Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUR_B,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_T,RTHII,RTHIP,IMUL_R,IMUR_M,RTHIA,LTHIA,RTHI
All Timesteps RMSE,0.00937129,0.0133573,0,0,0,0.0380006,0.0347461,0.0306704,0.0107107,0,0,0.0113158,0,0.0124454,0.00667215,0.0365539,0.0323224,0.0102506,0.013947,0.0154674,0.0191031,0.0139849,0.0140675,0.0346319,0.0162101,0.0200865,0.0177344,0.0242569,0.0405118,0.0102414,0.0106093,0.00430467,0.0278385,0.0228103,0.0248171,0.00879883,0.0100429,0,0,0.0419491,0,0.0144765,0.0180435,0.0367862,0.0314369,0.0247308,0.0265657,0.0150226,0.0117537,0.019054,0.0325269,0.0126608,0.0208425,0.0283163,0.0201634,0.00763232,0.00855414,0.0139014,0.00931042,0,0,0,0,0,0,0,0,0,0.0769341,0.0919556,0,0,0.0792249,0.017148,0.0942303
0,0.00954569,0.0174531,0,0,0,0.0244763,0.0345824,0.0310837,0.0136256,0,0,0.0168245,0,0.0107254,0.0112231,0.0406581,0.0476255,0.00710852,0.0266731,0.0285405,0.0186387,0.02137,0.0223433,0.0419013,0.0135111,0.0208515,0.0133654,0.018937,0.0439793,0.0144683,0.0102709,0.00639469,0.0342444,0.0234495,0.033441,0.0322367,0.0115107,0,0,0.039722,0,0.0147681,0.0195369,0.0345027,0.0359028,0.0470697,0.112591,0.0213881,0.0206119,0.0169302,0.0209311,0.0112984,0.0101349,0.0328024,0.020389,0.00899737,0.0090634,0.0199593,0.00724751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0101758,0.0174625,0,0,0,0.0286932,0.0345918,0.0324419,0.00951299,0,0,0.0179384,0,0.0110304,0.00920409,0.0381319,0.0467522,0.00711791,0.0221068,0.0260293,0.0230228,0.0196808,0.0199595,0.036374,0.0102966,0,0.0137468,0.017862,0.0472517,0.0148992,0.0108583,0.00671384,0.0304668,0.0232276,0.0279764,0.0200657,0.0118603,0,0,0.0420499,0,0.0146782,0.0202762,0.0316561,0.035185,0.0358971,0,0.022154,0.0197285,0.0154084,0.0258894,0.0022698,0.0150651,0.0286929,0.0211217,0.0106376,0.00952037,0.0185167,0.00808337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0103334,0.0167518,0,0,0,0.036126,0.0347555,0.0379296,0.00964682,0,0,0.0175939,0,0.01127,0.00846626,0.036633,0.051848,0.00832882,0.0222996,0.0221193,0.0243847,0.0209712,0.0206411,0.0325773,0.0106527,0.0199005,0.0155404,0.0159884,0,0.0147703,0.0110207,0.00650293,0.0268881,0.0230383,0.0249992,0.0109573,0.0119311,0,0,0.0426683,0,0.0144829,0.0203152,0.0333937,0.0339255,0.0282601,0.0205705,0.0209179,0.0188314,0.016052,0.0314607,0,0.017706,0.0238977,0.0210681,0.0109337,0.00982885,0.0171599,0.00872667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0104719,0.0168121,0,0,0,0.0321915,0.0347703,0.0343101,0.0106302,0,0,0.0176921,0,0.0113655,0.00797744,0.0366658,0.0484378,0.00900055,0.0200501,0.0215246,0.024634,0.0198456,0.0190754,0.031872,0.00854641,0.0168164,0.0140402,0.0171745,0.0501847,0.0145643,0.0110595,0.00656388,0.0266509,0.0230077,0.0254192,0.00884764,0.0119699,0,0,0.0431815,0,0.0144914,0.0205364,0.0342002,0.0352493,0.0259209,0.0270518,0.0213889,0.0187028,0.0174449,0.032944,0.0075107,0.0194719,0.0245865,0.0212208,0.0110746,0.00992148,0.0173184,0.00883332,0,0,0,0,0,0,0,0,0,0.0816174,0,0,0,0,0,0
4,0.0102186,0.01668,0,0,0,0.0328167,0.0349617,0.0334643,0.0112051,0,0,0.0175144,0,0.0115069,0.00823697,0.0370383,0.0463416,0.00944271,0.0175349,0.0214258,0.0243131,0.0187161,0.017805,0.0315476,0.00695492,0.0152755,0.0140159,0.0168434,0.0496002,0.0145583,0.0111761,0.00646781,0.0257525,0.0230151,0.0250464,0.00878218,0.0116897,0,0,0.0434063,0,0.0144264,0.0204686,0.0345441,0.0348866,0.0255662,0.0249298,0.0216684,0.0184084,0.017204,0.0326993,0.00734768,0.0194144,0.0247735,0.0211817,0.0111435,0.00988949,0.0173016,0.00867344,0,0,0,0,0,0,0,0,0,0.0817345,0,0,0,0,0,0
5,0.0100518,0.0167796,0,0,0,0.0333498,0.0351248,0.0325135,0.0118494,0,0,0.017334,0,0.0115906,0.00863534,0.0375008,0.0437749,0.00972914,0.0144362,0.0213664,0.0241058,0.0173686,0.0164401,0.0309252,0.00517138,0.0135149,0.0139553,0.0165668,0.048937,0.0143913,0.0112711,0.00643281,0.0255701,0.0230886,0.0251835,0.00919064,0.0114807,0,0,0.043683,0,0.0144608,0.020596,0.0347986,0.035321,0.0254383,0.0234289,0.0218624,0.0182374,0.0171392,0.03249,0,0.0195307,0.0251819,0.0212769,0.0110736,0.00984842,0.0174861,0.00871669,0,0,0,0,0,0,0,0,0,0.0815673,0,0,0,0,0,0
6,0.00994688,0.0169422,0,0,0,0.0339448,0.0352701,0.0308678,0.0125567,0,0,0.0172036,0,0.0116606,0.00869889,0.0378927,0.0410364,0.0100431,0.0109239,0.0213044,0.0240364,0.0160685,0.0151207,0.0298809,0.00332187,0.0115315,0.0140853,0.0162843,0.0481351,0.0141874,0.0113349,0.00635709,0.0252283,0.0230404,0.0251942,0.00947056,0.0113298,0,0,0.0439027,0,0.014426,0.0206499,0.0348865,0.0358093,0.0252243,0.0235159,0.0219513,0.0181089,0.0172515,0.0326377,0,0.0197457,0.0254234,0.0213673,0.011061,0.00991718,0.0177213,0.00864532,0,0,0,0,0,0,0,0,0,0.0816797,0,0,0,0,0,0
7,0.0100557,0.01729,0,0,0,0.0347006,0.0353808,0.0292584,0.0130828,0,0,0.0172132,0,0.011775,0.00850316,0.0382614,0.0382348,0.0107256,0.0076493,0.0213913,0.0242129,0.0141563,0.0140177,0.0291083,0.00350885,0.00929955,0.0151722,0.0157859,0.0469882,0.0139519,0.0113606,0.0063516,0.0253527,0.0229386,0.025343,0.00956758,0.0114423,0,0,0.0444019,0,0.014307,0.020881,0.0348108,0.0366635,0.0248843,0.0240725,0.0221382,0.0181794,0.0175142,0.0323252,0,0.0201487,0.0261766,0.0216484,0.0111153,0.00996567,0.0181622,0.0086493,0,0,0,0,0,0,0,0,0,0.0820139,0,0,0,0,0,0
8,0.0105058,0.0177637,0,0,0,0.0348793,0.03531,0.0274274,0.0143296,0,0,0.0174447,0,0.0118262,0.0077968,0.0387559,0.0351669,0.0117901,0.0103405,0.0222772,0.0247064,0.0131425,0.0150261,0.0286945,0.00828523,0.00811436,0.0166464,0.0149633,0.0444986,0.0137574,0.0114044,0.00649945,0.0253153,0.0230797,0.0254255,0.00979947,0.0118635,0,0,0.0450437,0,0.0143799,0.0213537,0.0344835,0.0373619,0.0244131,0.0243882,0.0228685,0.0184343,0.0176683,0.0320376,0.0077237,0.0204798,0.0268147,0.0220879,0.0113014,0.00998791,0.0187233,0.00919887,0,0,0,0,0,0,0,0,0,0.0812336,0,0,0,0,0,0
