Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x76,,x78,x82,x83,x84
All Timesteps RMSE,0.00480248,0.00357255,0,0,0,0,0,0,0.0196637,0.0292366,0.0111775,0.00793184,0,0,0.00486294,0,0.0133175,0.00278803,0.0403253,0.0159049,0.015751,0.037303,0.00522833,0.00588736,0.00822268,0.0119242,0.00837964,0.0369665,0.0111168,0.0107538,0.0100626,0.0308488,0.0232872,0.00450199,0.0112942,0.00197245,0.0148615,0.0228155,0.0133253,0.00501592,0.00542676,0,0,0.00635692,0,0.0162621,0.00398737,0.039198,0.0201801,0.0236455,0.0144809,0.00573294,0.00515401,0.00788566,0.0212477,0.0158031,0.00959325,0.0133431,0.029786,0.0111602,0.0143418,0.0171303,0.00430532,0.00334464,0.00155446,0.00399238,0.00567705,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.00151468,0.00269469,0,0,0,0,0,0,0.008449,0.0306624,0.00990391,0.00310709,0,0,0.00321005,0,0.0115972,0.00232794,0.036188,0.0172006,0.0144833,0.0023203,0.00638832,0.00312566,0.00709388,0.00697819,0.00723123,0.0362825,0.00748207,0.00664461,0.00864113,0.0349145,0.00952449,0.00346271,0.0118556,0.00209895,0.0205815,0.0229823,0.0200113,0.00916047,0.0020763,0,0,0.00336053,0,0.0159512,0.00415511,0.0382355,0.0228483,0.0168807,0.0211045,0.00604167,0.00537524,0.0124095,0.0283506,0.0206151,0.0176013,0.0122766,0.0218977,0.0115742,0.00756842,0.0201975,0.00330599,0.00311254,0.00113899,0.0035035,0.00208598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00159937,0.00222829,0,0,0,0,0,0,0.00912988,0.0306214,0.00900328,0.00223329,0,0,0.00362617,0,0.0114044,0.00156691,0.0363965,0.0160642,0.0145236,0.00227841,0.00638728,0.00326647,0.0065492,0.00685867,0.00694381,0.0362252,0.00724281,0.00636992,0.00841303,0.0347942,0.0100984,0.00422241,0.0120012,0.0023833,0.0186009,0.0229943,0.0200279,0.00869533,0.00243249,0,0,0.0033667,0,0.0160562,0.00404597,0.0375379,0.0244695,0.0171868,0.0220577,0.00608919,0.0055772,0.0125676,0.0279254,0.020614,0.0177035,0.0123082,0.0218833,0.0115352,0.0074586,0.0179019,0.00330612,0.00300024,0.00104558,0.00261256,0.00256941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00213762,0.00171472,0,0,0,0,0,0,0.0101009,0.0305979,0.00815338,0.00210107,0,0,0.00434748,0,0.0113876,0.00173345,0.0362956,0.0150689,0.0144957,0.00218948,0.0067559,0.00286913,0.00703176,0.00586777,0.00670563,0.036248,0.00712195,0.0061718,0.00822905,0.0345466,0.0112667,0.00414612,0.0122166,0.00270506,0.0173304,0.0230748,0.0202668,0.0085265,0.00292759,0,0,0.00343851,0,0.0160987,0.00390054,0.0371594,0.0261188,0.0177197,0.0223391,0.00626655,0.00581161,0.0124898,0.0275991,0.0202975,0.0174632,0.0123279,0.0219019,0.0115997,0.00738648,0.0163362,0.00366467,0.00317697,0.00101325,0.00168533,0.00359451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.00287687,0.0039928,0,0,0,0,0,0,0.0107144,0.0300022,0.00754681,0.00233195,0,0,0.00336248,0,0.0124758,0.00356548,0.0361848,0.0140627,0.0144511,0.00193623,0.00695355,0.00245616,0.00727168,0.00437372,0.00635446,0.0363205,0.00703535,0.0058416,0.007975,0.0342376,0.0121509,0.00573526,0.0113265,0.00102347,0.0157506,0.0230571,0.0203468,0.00838383,0.00258013,0,0,0.00328816,0,0.0158979,0.00316374,0.0372149,0.0277393,0.0183111,0.0220659,0.00621363,0.00601691,0.0122035,0.0271965,0.0200692,0.0170789,0.0123151,0.0221294,0.0115766,0.00742772,0.0152264,0.00450155,0.00334664,0.000980769,0.00538835,0.00153495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00269019,0.00361255,0,0,0,0,0,0,0.011348,0.0299854,0.00699846,0.00256699,0,0,0.00304086,0,0.0125311,0.00337775,0.0363969,0.0132693,0.0145416,0.00208026,0.00679857,0.0024649,0.007201,0.00386601,0.00626156,0.0364664,0.00681341,0.00546909,0.00766662,0.0336642,0.0133395,0.0055532,0.0112857,0.00111219,0.0153033,0.023065,0.0205271,0.00815879,0.00266132,0,0,0.00345678,0,0.0159201,0.00297774,0.0372406,0.0288114,0.0187129,0.0214777,0.00574563,0.00598632,0.0117871,0.0264213,0.0202294,0.0167674,0.0119923,0.0224086,0.0112247,0.00728373,0.015269,0.00466996,0.00330238,0.000992667,0.00494598,0.00150904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00250498,0.00307958,0,0,0,0,0,0,0.0122889,0.0299435,0.0061133,0.00285487,0,0,0.00275632,0,0.0126134,0.00312515,0.0369012,0.0123833,0.0147613,0.0024384,0.00639054,0.0023914,0.00709008,0.00410054,0.00624434,0.0367355,0.00651227,0.00512293,0.00718735,0.0331867,0.0145708,0.00557246,0.0111994,0.00115457,0.0153122,0.0230829,0.0204442,0.00778083,0.00284534,0,0,0.0036508,0,0.0159156,0.00304888,0.0374792,0.0291902,0.0191098,0.0206558,0.00490874,0.00600608,0.0120324,0.025229,0.0203726,0.0165683,0.0117982,0.0226717,0.0109008,0.00743448,0.0157011,0.00473075,0.0035875,0.000993975,0.00427581,0.00162242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00396125,0.00249669,0,0,0,0,0,0,0.0128724,0.0294382,0.00452714,0.00268513,0,0,0.00202869,0,0.0128228,0.00223421,0.0385434,0.010816,0.0147082,0.00344308,0.00439279,0.00276789,0.00701877,0.00507154,0.00630053,0.0370989,0.00612139,0.00446868,0.00645003,0.032738,0.015159,0.00436481,0.0111639,0.00170089,0.0166985,0.0229043,0.0153131,0.00529286,0.00483177,0,0,0.00403063,0,0.0160352,0.00382567,0.0388584,0.0154274,0.0211317,0.0203212,0.00143712,0.00671917,0.00826121,0.0201795,0.0217384,0.0127701,0.0108379,0.0172666,0.00994262,0.00697171,0.0161741,0.00521079,0.00411306,0.00105925,0.00370567,0.00345135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0029761,0.00316977,0,0,0,0,0,0,0.0140772,0.0298932,0.00426887,0.00306078,0,0,0.00233768,0,0.0127313,0.00298627,0.0368277,0.0111711,0.0151922,0.00323621,0.00580734,0.00416219,0.00672841,0.00467781,0.00605553,0.0370311,0.00616737,0.00469434,0.00660319,0.0331071,0.0168534,0.00489496,0.011278,0.00141705,0.0148342,0.0231415,0.0203871,0.00787796,0.00366343,0,0,0.0034932,0,0.0161193,0.00279039,0.0378136,0.0293263,0.0202304,0.0188129,0.00362953,0.00595375,0.0129484,0.0239433,0.0194773,0.0159849,0.013022,0.0224652,0.0120755,0.0096919,0.0161639,0.00473796,0.00353243,0.000946119,0.00437597,0.00231831,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00258411,0.00285808,0,0,0,0,0,0,0.0151518,0.0300008,0.00384607,0.00360467,0,0,0.00262088,0,0.0127303,0.00304553,0.0368414,0.010805,0.0146242,0.00348365,0.00560701,0.00518996,0.00594717,0.00424177,0.00597175,0.0370037,0.00582779,0.00502238,0.00647087,0.0330341,0.0179274,0.00499109,0.0112297,0.00124096,0.0140519,0.0232182,0.0197836,0.00796833,0.00353637,0,0,0.00343038,0,0.0160892,0.00266461,0.03802,0.0282861,0.0209657,0.0176872,0.00328471,0.00572421,0.012969,0.023803,0.0185147,0.0155403,0.0134491,0.0220956,0.0129213,0.0108654,0.0153479,0.00461624,0.00334055,0.000958481,0.00402276,0.00231321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.00369715,0.0022157,0,0,0,0,0,0,0.0154341,0.0296483,0.00322742,0.00462361,0,0,0.00222905,0,0.0128593,0.00239811,0.0383309,0.00983348,0.0140398,0.00429135,0.00389791,0.00498007,0.00546711,0.00452391,0.00612507,0.0370682,0.00569309,0.00518835,0.00619672,0.0326682,0.0181833,0.00429415,0.0112131,0.00153117,0.0151139,0.0230609,0.014378,0.00574287,0.00495696,0,0,0.00335819,0,0.0161585,0.00313214,0.0391609,0.0148053,0.0227821,0.019573,0.00113349,0.00612483,0.00943119,0.0196092,0.0214597,0.0144881,0.0135668,0.0153662,0.0125196,0.0107182,0.0142922,0.00486656,0.00346687,0.000914831,0.00353431,0.00384311,0,0,0,0,0,0,0,0,0,0,0,0,0,0
