Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_M,RTHII,LTHIA,RTHIA
All Timesteps RMSE,0.01582,0.0142275,0,0,0,0,0,0.0285617,0.0352583,0.0267394,0.00993283,0,0,0.0130965,0,0.0123674,0.00744791,0.0370811,0.0298895,0.00924954,0.00798983,0.0178125,0.0188289,0.0100727,0.00828182,0.0360518,0.0163027,0.0187632,0.0183539,0.0285467,0.0335741,0.00968354,0.011249,0.00430155,0.0250875,0.0211462,0.0228017,0.00785671,0.0157547,0,0,0.0338889,0,0.0140552,0.0103763,0.0349196,0.0277559,0.022977,0.0210079,0.0158748,0.00529535,0.0164503,0.0105331,0.015576,0.0123375,0.0173614,0.0267703,0.0104129,0.00825595,0.00910401,0.0163142,0.0159918,0,0,0,0,0,0,0,0,0.0303729,0,0.011628,0.0091386,0.0179069
0,0.0119157,0.0112513,0,0,0,0,0,0.0342522,0.036233,0.0317033,0.00919061,0,0,0.0151233,0,0.0111073,0.00460884,0.0403189,0.0334137,0.00956459,0.00853126,0.0116137,0.0183531,0.0125819,0.00668772,0.0373746,0.0203862,0.0232192,0.0213155,0.0372265,0.0338028,0.0113048,0.0119921,0.00463707,0.0354614,0.0213574,0.0198195,0.00292236,0.011949,0,0,0.0315509,0,0.0138183,0.0105072,0.035552,0.0142085,0.0141691,0.0202235,0.0163001,0.00612046,0.00797191,0.00765988,0.0152229,0.0173982,0.0127571,0.0444062,0.00918024,0.00984282,0.00986151,0.0125921,0.0122632,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0115586,0.0107938,0,0,0,0,0,0.0319429,0.0357763,0.0290613,0.00781859,0,0,0.0133212,0,0.0109576,0.00409932,0.0412695,0.028735,0.0101598,0.00967081,0.0130202,0.0171154,0.0117269,0.00509273,0.0398646,0.0215059,0.0230453,0.0217294,0.0376816,0.031423,0.0101925,0.0118633,0.0043713,0.018949,0.0212878,0.0162332,0.00935052,0.012472,0,0,0.0318436,0,0.0138406,0.0103545,0.0358612,0.0241349,0.0191584,0.0214632,0.0167199,0.0055748,0.00485921,0.00724433,0.00996897,0.00456988,0.0118843,0.021834,0.00884446,0.00973418,0.0100035,0.0122349,0.0120464,0,0,0,0,0,0,0,0,0.0294742,0,0,0,0
2,0.0117982,0.0106678,0,0,0,0,0,0.0294766,0.0355861,0.0275289,0.00724309,0,0,0.0129187,0,0.0110412,0.00400085,0.0410394,0.0268784,0.0103243,0.0112435,0.0121159,0.0168779,0.0115222,0.00482698,0.0400961,0.0226474,0.0234539,0.022327,0.038479,0.0297109,0.00984121,0.0117722,0.00420195,0.0198036,0.0212465,0.017074,0.00923836,0.0127283,0,0,0.031797,0,0.0139434,0.0101854,0.0359512,0.0247022,0.0192709,0.0224417,0.0161418,0.0051891,0.00520539,0.00810429,0.010353,0.00450524,0.0119989,0.021567,0.00876706,0.00993035,0.0100954,0.012222,0.0122335,0,0,0,0,0,0,0,0,0.0292089,0,0,0,0
3,0.0120135,0.0105186,0,0,0,0,0,0.0272496,0.0354329,0.0262736,0.00700253,0,0,0.0125775,0,0.0110907,0.00398538,0.0404529,0.026619,0.0103683,0.0123717,0.0114836,0.0167841,0.0114193,0.00457622,0.0401798,0.0232504,0.0236341,0.0225729,0.0386725,0.0278594,0.00965348,0.0116707,0.00402622,0.0205138,0.0211282,0.0176741,0.00898412,0.0129632,0,0,0.0315939,0,0.013961,0.0100289,0.036054,0.0251962,0.0194014,0.0230121,0.0156647,0.00485572,0.0054337,0.008593,0.0104941,0.00449725,0.0120096,0.0224995,0.00865918,0.0100488,0.0101392,0.0121503,0.0124163,0,0,0,0,0,0,0,0,0.0290585,0,0,0,0
4,0.0121875,0.0105239,0,0,0,0,0,0.0250548,0.0354033,0.0252983,0.00661154,0,0,0.0123137,0,0.0111253,0.00391984,0.0396848,0.0275114,0.0103234,0.012855,0.0112406,0.0167214,0.0109011,0.00409796,0.0401543,0.0233386,0.0235923,0.0225224,0.0385315,0.0260197,0.00946553,0.0116658,0.00392705,0.0211613,0.0210773,0.0182141,0.00889333,0.0131836,0,0,0.0315397,0,0.013984,0.00991391,0.0360857,0.0255934,0.0194071,0.0233867,0.0154106,0.00469469,0.00568187,0.00898153,0.0104067,0.0044019,0.011801,0.024634,0.00865424,0.0100428,0.0101138,0.0121709,0.0126186,0,0,0,0,0,0,0,0,0.0290338,0,0,0,0
5,0.0124129,0.0105708,0,0,0,0,0,0.0237977,0.0354211,0.0248291,0.00610559,0,0,0.0120492,0,0.011191,0.00395976,0.038954,0.0285226,0.0102338,0.012597,0.0112287,0.0167843,0.010445,0.00331497,0.0399033,0.0228714,0.0232598,0.022088,0.0381844,0.0253443,0.00910408,0.0116581,0.00378813,0.0214434,0.0209755,0.0184779,0.00881452,0.0133695,0,0,0.0315001,0,0.0139615,0.00979089,0.0360862,0.0262718,0.0193144,0.023543,0.0152925,0.00456426,0.00583811,0.00926823,0.0104257,0.00426901,0.0117191,0.0260561,0.0087355,0.0100834,0.010217,0.0122558,0.0128689,0,0,0,0,0,0,0,0,0.02901,0,0,0,0
6,0.0125394,0.010639,0,0,0,0,0,0.0242177,0.0353153,0.0252852,0.00589196,0,0,0.0117275,0,0.0111856,0.004046,0.038488,0.0294188,0.0102512,0.0116844,0.0114203,0.0168351,0.0101672,0.00264154,0.0391538,0.021832,0.022611,0.0212439,0.0375795,0.0260942,0.00874748,0.0116164,0.00385,0.0216066,0.0207772,0.0185904,0.00875672,0.0134996,0,0,0.0314135,0,0.0138498,0.00966708,0.0360419,0.0269345,0.0191466,0.0235655,0.0153441,0.00435586,0.00598299,0.00961692,0.0105478,0.00403435,0.0117823,0.0269122,0.0087499,0.0102168,0.0104094,0.0123383,0.0130795,0,0,0,0,0,0,0,0,0.0289377,0,0,0,0
7,0.0125252,0.0107126,0,0,0,0,0,0.0261874,0.0351387,0.0268364,0.00563918,0,0,0.0112629,0,0.0112264,0.00420474,0.0383133,0.0311843,0.0104016,0.010394,0.0116388,0.0166983,0.0100497,0.00274764,0.0380424,0.0203908,0.0216153,0.0202185,0.0367276,0.02839,0.00857308,0.0115083,0.00380394,0.0218496,0.0206809,0.0186787,0.00863363,0.0135468,0,0,0.0312996,0,0.0138291,0.00956502,0.0360216,0.0275186,0.0189481,0.0236085,0.0155705,0.00407551,0.00612952,0.0100068,0.0106846,0.00379345,0.0119032,0.0277338,0.00867216,0.0103089,0.010494,0.0124517,0.0132683,0,0,0,0,0,0,0,0,0.0288156,0,0,0,0
8,0.0126526,0.0107945,0,0,0,0,0,0.0290485,0.0349603,0.0285219,0.00565467,0,0,0.0109988,0,0.0112413,0.00435334,0.0383355,0.0338849,0.010643,0.00902823,0.011909,0.0165828,0.0099867,0.00355288,0.0369167,0.0189497,0.0205914,0.0191101,0.0358334,0.0317085,0.00843829,0.0113813,0.00355648,0.0220709,0.0205777,0.0187668,0.00864834,0.0136762,0,0,0.0312046,0,0.0137986,0.00940827,0.0360316,0.0280071,0.018637,0.023656,0.0159088,0.0037552,0.0062951,0.0104451,0.0107739,0.00357254,0.0119699,0.0285832,0.00860485,0.0102845,0.0104896,0.0126138,0.0135288,0,0,0,0,0,0,0,0,0.0286657,0,0,0,0
