Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHII,LTHIP,,x76,x77
All Timesteps RMSE,0.00654767,0.00570929,0,0,0,0,0,0,0.0206086,0.0310708,0.0178913,0.00775694,0,0,0.00733627,0,0.0144788,0.00392197,0.040244,0.0184081,0.0151466,0.0136302,0.00591482,0.00773747,0.00898029,0.013145,0.0122483,0.0173734,0.0246268,0.0313422,0.0248789,0.00555696,0.0118964,0.00318827,0.016736,0.0229846,0.0175119,0.00605041,0.00759259,0,0,0.00756635,0,0.0160937,0.00371351,0.0392335,0.0255011,0.0242257,0.0169308,0.00687507,0.00659519,0.0106022,0.026171,0.0392491,0.0117083,0.014234,0.0300274,0.012226,0.0155027,0.0189628,0.0061008,0.00293045,0.00169009,0.0070399,0.00722165,0,0,0,0,0,0,0,0,0.0111693,0.0388678,0,0,0
0,0.00786486,0.00992666,0,0,0,0,0,0,0.0102885,0.0286869,0.004229,0.006656,0,0,0.0116572,0,0.0141494,0.00337725,0.047275,0.0112145,0.0260241,0.0110168,0.0127772,0.00669908,0.0109321,0.0159154,0.00769331,0.00503211,0.00729619,0.0314891,0.0136506,0.00530771,0.0109422,0.00396876,0.00512964,0.0238313,0.0151511,0.00504712,0.0150007,0,0,0.00542096,0,0.0154585,0.00364801,0.0427017,0.0267872,0.0167562,0.0135278,0.00337242,0.0172109,0.00471302,0.0213877,0.00753299,0.00589145,0.0121419,0.0257471,0.00944974,0.0144654,0.0142754,0.0118386,0.0029144,0.000306641,0.0127385,0.00756866,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0540144,0.0434868,0,0,0,0,0,0,0.021751,0.0247628,0.0205282,0.00356288,0,0,0.0374942,0,0.0162495,0.0183092,0.0417517,0.0305615,0.0177742,0.0101686,0.000852773,0.0910131,0.00951029,0.0119328,0.0106653,0.0117894,0.0111209,0.0306466,0.0340693,0.0279324,0.00755922,0.0081219,0.0233096,0.0213814,0.0295597,0.0054047,0.0614797,0,0,0.0250764,0,0.017441,0.0105349,0.0397694,0.0461303,0.0113123,0.0237696,0.0110132,0.0608615,0.00824784,0.0287979,0.0179772,0.0156475,0.0188589,0.0231924,0.0114997,0.0261469,0.0225388,0.0356381,0.00257163,0.00318027,0.060289,0.0619103,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00875066,0.0122105,0,0,0,0,0,0,0.0204146,0.0286177,0.0117555,0.00482279,0,0,0.0110399,0,0.0146855,0.00305938,0.0458382,0.0151309,0.0229615,0.0132686,0.0108863,0.00705605,0.0112297,0.0180257,0.00673077,0.00402849,0.00406074,0.0296364,0.0257804,0.00548215,0.0109906,0.00375955,0.00666631,0.0233318,0.0134618,0.00418017,0.0166712,0,0,0.00915498,0,0.0149766,0.00340364,0.0417193,0.0221205,0.0163513,0.0119286,0.00211839,0.0172622,0.00390223,0.020481,0.0071194,0.00445462,0.0100788,0.0254544,0.00814505,0.011595,0.0159161,0.0117761,0.00556328,0.00255578,0.0138916,0.00740707,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.00828312,0.0114666,0,0,0,0,0,0,0.0208767,0.0289621,0.0117627,0.00401926,0,0,0.010478,0,0.0147039,0.00270181,0.0452526,0.0144678,0.0227368,0.0127415,0.0110556,0.00689733,0.0108324,0.0171444,0.00658907,0.00369678,0.00374621,0.0293743,0.0267434,0.00538443,0.0112237,0.00367226,0.00814858,0.0232538,0.0129781,0.00395037,0.0158429,0,0,0.00757885,0,0.0151269,0.00296578,0.041287,0.0200543,0.0161346,0.0116178,0.00219255,0.0166735,0.00335593,0.0202265,0.0074673,0.00418016,0.00961028,0.0249922,0.00782488,0.0105397,0.0176759,0.0113017,0.00491539,0.00225817,0.0131223,0.00695751,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00759436,0.0106998,0,0,0,0,0,0,0.0208649,0.0291157,0.0114712,0.00353946,0,0,0.00968469,0,0.0145997,0.00235718,0.0442351,0.0136475,0.022274,0.0126403,0.0106598,0.00631341,0.00989517,0.0161314,0.00666344,0.00378601,0.00336601,0.0291039,0.0270077,0.00503538,0.0113374,0.00357216,0.00929613,0.0231953,0.0115584,0.00379401,0.0147045,0,0,0.00590417,0,0.0152538,0.00275397,0.0415911,0.0163835,0.0161465,0.0116425,0.00238672,0.0161584,0.00320789,0.0201472,0.00807004,0.00388461,0.0084132,0.0241963,0.00710924,0.00830954,0.0191664,0.0108836,0.00456448,0.00195044,0.0124023,0.00621049,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00698513,0.00924443,0,0,0,0,0,0,0.0207831,0.0297002,0.0110037,0.00320519,0,0,0.00657819,0,0.0135179,0.00253875,0.0428434,0.012887,0.0217848,0.0124954,0.0102897,0.00580645,0.00874679,0.015485,0.00658315,0.00397231,0.00275203,0.0288159,0.0270528,0.0030742,0.0117989,0.00206555,0.00993431,0.0233326,0.0100897,0.00360142,0.0117242,0,0,0.00336884,0,0.0156215,0.00277176,0.0415596,0.0125372,0.0161366,0.0115961,0.00266714,0.0142196,0.00293932,0.0200589,0.00870591,0.00381812,0.00733455,0.0234476,0.00654806,0.00621546,0.0206009,0.0099553,0.00283846,0.000798389,0.00980873,0.00472087,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00654504,0.0100547,0,0,0,0,0,0,0.0216033,0.0292705,0.0109043,0.0050536,0,0,0.00735083,0,0.0143098,0.00249856,0.0407078,0.0127271,0.0211486,0.012792,0.0108001,0.00500882,0.00762595,0.0153168,0.00708353,0.00457364,0.0026598,0.0288802,0.0281751,0.003793,0.0114052,0.00307529,0.0209737,0.0230922,0.0138153,0.00488402,0.013372,0,0,0.00589304,0,0.0152929,0.00265047,0.0391485,0.0183689,0.0131189,0.0100181,0.00291931,0.0152978,0.00394735,0.0244024,0.00744867,0.00229762,0.00948733,0.024487,0.00821794,0.0112272,0.0285468,0.0107316,0.00429987,0.0019744,0.0125424,0.00505934,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0063496,0.00959093,0,0,0,0,0,0,0.0220524,0.0292063,0.0101374,0.00571125,0,0,0.00702795,0,0.0142403,0.00258027,0.0390336,0.0121131,0.0211473,0.0110987,0.0110845,0.00511174,0.00645958,0,0.00628327,0.00432391,0.00279288,0.0289864,0.0287626,0.00392193,0.0113414,0.00311303,0.0221969,0.0229001,0.0139524,0.00553424,0.0128248,0,0,0.00567338,0,0.0152842,0.00229447,0.038874,0.0165997,0.012765,0.00903408,0.00315687,0.0145862,0.00399809,0.0242119,0.00727878,0.00188152,0.0104559,0.0233485,0.00942711,0.0118044,0.0286091,0.0104031,0.00413457,0.00212208,0.0124864,0.00490427,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00695102,0.00903962,0,0,0,0,0,0,0.0218381,0.0289094,0.00920421,0.0043048,0,0,0.00707769,0,0.0142465,0.00197663,0.0382513,0.0112558,0.0210214,0.0103476,0.0105376,0.00574562,0.00638937,0,0.00570464,0.00413481,0.00224704,0.028576,0.0278825,0.00382401,0.0112449,0.00310097,0.0124242,0.0226121,0.00790068,0.00373546,0.0130185,0,0,0.00556962,0,0.0152451,0.00153334,0.0405929,0.00399222,0.0155195,0.0100365,0.00338013,0.0138005,0.00190484,0.0205134,0.0114619,0.00494427,0.00664524,0.0203655,0.0068049,0.00425459,0.0241364,0.00973496,0.00412361,0.00255024,0.0120548,0.00569135,0,0,0,0,0,0,0,0,0,0,0,0,0
