Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,IMUR_M,RTHII,,RTHIA,LTHIA
All Timesteps RMSE,0.00614276,0.00406039,0,0,0,0,0,0.0232593,0.031528,0.016611,0.00700017,0,0,0.00630522,0,0.0138771,0.00377697,0.0412848,0.0140237,0.0183644,0.00488894,0.0060825,0.0134091,0.0144512,0.0398661,0.0162161,0.017388,0.0120187,0.0295341,0.0276048,0.00674147,0.0115305,0.0031994,0.0184787,0.0244234,0.0157401,0.00452962,0.00722841,0,0,0.00656322,0,0.0171091,0.00480321,0.0381565,0.0204141,0.0237195,0.0178062,0.00538335,0.00704773,0.0302002,0.0142887,0.0119679,0.0285567,0.00842134,0.0117111,0.0213184,0.00480471,0.00407115,0.00308736,0.00445369,0.004987,0,0,0,0,0,0,0,0,0.0246176,0,0.0139333,0,0.0259017,0.0210982
0,0.00583944,0.00420323,0,0,0,0,0,0.0150087,0.0324234,0.0196478,0.0120354,0,0,0.00611159,0,0.0135633,0.00403876,0.0487911,0.0118519,0.0305183,0.0101152,0.00532311,0.0273649,0.0238735,0.0355357,0.0249892,0.0228926,0.0165124,0.0195536,0.0107383,0.00849795,0.0115749,0.00292648,0.0306043,0.0248847,0.0167469,0.00516537,0.00751568,0,0,0.0104834,0,0.0165071,0.00797974,0.0342407,0.0262963,0.0224333,0.0213709,0.0106559,0.0079582,0.00902681,0.0142896,0.0125218,0.0272929,0.00492472,0.016195,0.0329405,0.00568957,0.00690715,0.00308047,0.00418673,0.00305299,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.00583644,0.0040906,0,0,0,0,0,0.0130467,0.0327152,0.0175232,0.0112656,0,0,0.00603483,0,0.0136473,0.00373937,0.0503094,0.0116987,0.0294133,0.00945922,0.00573171,0.0260882,0.0230193,0.0355063,0.0242278,0.02309,0.0149054,0.0202144,0.00863833,0.00858674,0.0118632,0.00254372,0.0297041,0.0249423,0.0161055,0.00531647,0.00724559,0,0,0.00996229,0,0.0165966,0.00782429,0.0344414,0.0250993,0.0224823,0.0205703,0.0100201,0.00757339,0.00867312,0.0134297,0.0118175,0.0276035,0.00433005,0.0152053,0.0329018,0.00563002,0.0063217,0.00314865,0.00407262,0.00300071,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00586061,0.00382038,0,0,0,0,0,0.0128327,0.0326313,0.0144004,0.0105659,0,0,0.00606806,0,0.0136289,0.00370964,0.0512069,0.0117733,0.0278743,0.00895523,0.00593031,0.024405,0.0218038,0.0357385,0.0233509,0.0235414,0.0129543,0.0216232,0.0124681,0.00872789,0.0119268,0.00257804,0.0288725,0.0249042,0.015553,0.00548881,0.00706181,0,0,0.00926203,0,0.0166499,0.00757086,0.0347326,0.0240327,0.0225265,0.0199221,0.00952988,0.00721175,0.00838897,0.012773,0.0112503,0.0278945,0.00366542,0.0143224,0.0332401,0.00546735,0.00607475,0.00313679,0.00381405,0.00305201,0,0,0,0,0,0,0,0,0.0234353,0,0,0,0,0
3,0.00665914,0.00335631,0,0,0,0,0,0.00514465,0.032786,0.00518739,0.00983832,0,0,0.00685122,0,0.0137607,0.00429749,0.0474457,0.0133302,0.00989943,0.00637791,0.00674052,0.0130207,0.0087749,0.0353902,0.0106636,0.00998624,0.00619175,0.0274066,0.00637756,0.00951758,0.0119903,0.00276005,0.0489595,0.0248166,0.027941,0.00293446,0.00789405,0,0,0.00702616,0,0.0167423,0.00642617,0.0361417,0.0162818,0.0169863,0.0123502,0.00677146,0.00666708,0.00822221,0.0061603,0.00942819,0,0.0172537,0.00800264,0.0556525,0.00469832,0.00577844,0.00297476,0.00333226,0.00444898,0,0,0,0,0,0,0,0,0.00682433,0,0,0,0,0
4,0.00722379,0.00373702,0,0,0,0,0,0.0200445,0.0331233,0.0103906,0.0108004,0,0,0.00765754,0,0.0139252,0.00485575,0.0511279,0.0127562,0.022954,0.00700077,0.0072202,0.0181133,0.0179883,0.0356904,0.0202832,0.0222165,0.00937334,0.0251772,0.0250523,0.0101272,0.012102,0.00292612,0.0496478,0.0249081,0.0284836,0.00233686,0.00867889,0,0,0.00767067,0,0.0168515,0.00702945,0.0359664,0.0165928,0.0169671,0.012299,0.00766676,0.00729138,0.00827359,0.00603004,0.00962846,0,0.0177496,0.00817736,0.0569815,0.00527769,0.00589241,0.00326604,0.00382557,0.0053368,0,0,0,0,0,0,0,0,0.0136304,0,0,0,0,0
5,0.00698307,0.00175266,0,0,0,0,0,0.00794896,0.0322966,0.0121756,0.00604186,0,0,0.0052668,0,0.0135763,0.00239364,0.0454483,0.0139322,0.0056888,0.0042327,0.00813335,0.00654873,0.00402028,0.0389203,0.00696331,0.00689278,0.00861575,0.0319408,0.00887468,0.00812199,0.0116993,0.00211827,0.029267,0.0246234,0.0151603,0.00581411,0.00798856,0,0,0.00414813,0,0.0168315,0.0049916,0.0368622,0.0212549,0.0228158,0.0186094,0.00498545,0.00651015,0.00751473,0.0116201,0.00994518,0.0287553,0.00190898,0.0117441,0.0336903,0.00298327,0.0050645,0.00296272,0.00247344,0.00458059,0,0,0,0,0,0,0,0,0.0188981,0,0,0,0,0
6,0.0102813,0.00378865,0,0,0,0,0,0.0276663,0.0330753,0.0131519,0.00659512,0,0,0.000699915,0,0.0125599,0.00231121,0.0484643,0.0127857,0.0141966,0.00451429,0.00783469,0.00904117,0.0121208,0.0393089,0.0152253,0.0185688,0.00963479,0.0290688,0.0325166,0.00411836,0.0127039,0.00163304,0.0304307,0.0246475,0.0147716,0.00544867,0.0127864,0,0,0.00344542,0,0.0172546,0.00435816,0.0367163,0.0209584,0.0228439,0.0180304,0.0058858,0.00999165,0.0074855,0.0115019,0.00960128,0.029182,0.00172512,0.0114883,0.0343414,0.00256572,0.00399338,0.00394912,0.00671011,0.00888095,0,0,0,0,0,0,0,0,0.0119787,0,0,0,0,0
7,0.00575898,0.00171317,0,0,0,0,0,0.0124574,0.0321039,0.016797,0.0050474,0,0,0.00552254,0,0.013586,0.00261983,0.0438245,0.0142797,0.00973562,0.00338073,0.00701947,0.00729677,0.0042936,0.0407259,0.0120282,0.0102987,0.012959,0.0355833,0.0128694,0.00765323,0.0117239,0.00226201,0.0296425,0.0242923,0.0143989,0.00582241,0.00585009,0,0,0.00571364,0,0.0164661,0.00497014,0.0374374,0.0203462,0.0230946,0.0175938,0.00375283,0.0051542,0.00719027,0.0111234,0.00922952,0.0292175,0.00133997,0.0107824,0.0338202,0.00356544,0.00515455,0.00243232,0.00171435,0.00331702,0,0,0,0,0,0,0,0,0.0254255,0,0,0,0,0
8,0.00612797,0.00133469,0,0,0,0,0,0.0111091,0.0317561,0.0185904,0.00444915,0,0,0.00541601,0,0.0135463,0.00259024,0.042715,0.0146124,0.0182554,0.00336081,0.00727914,0.0110837,0.00883911,0.0415722,0.0173241,0.0130747,0.0150303,0.0382667,0.00752504,0.00763851,0.0114888,0.00218642,0.0288256,0.0243006,0.0141079,0.00576791,0.00624409,0,0,0.00414365,0,0.016565,0.0042434,0.0374659,0.0202868,0.0231658,0.017171,0.00310609,0.00497219,0.00702925,0.0107851,0.00895949,0.0292035,0.00118595,0.010429,0.0333045,0.00279305,0.00440027,0.00252738,0.00176597,0.00383679,0,0,0,0,0,0,0,0,0.028045,0,0,0,0,0
