Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LHEE,,x75,RTHII
All Timesteps RMSE,0.0546705,0.0228361,0,0,0,0,0,0,0.0596922,0.0386378,0.0477304,0.0180273,0,0,0.0619764,0,0.0161136,0.0403395,0.028271,0.0183633,0.039817,0.0194364,0.064701,0.0293271,0.0442766,0.0338783,0.0417125,0.0257225,0.0295542,0.0196518,0.0212173,0.0594809,0.0326824,0.0134687,0.0219068,0.0359879,0.0241069,0.0358777,0.0208297,0.0622592,0,0,0.0136606,0,0.0168375,0.0134679,0.0532315,0.0523001,0.021663,0.0415455,0.0234068,0.0539302,0.0397642,0.0498813,0.0341748,0.031065,0.0315374,0.0191958,0.0388588,0.0400921,0.0251054,0.00922821,0.00486442,0.0391765,0.0551962,0,0,0,0,0,0,0,0,0.252452,0,0,0.0395902
0,0.0196557,0.0250593,0,0,0,0,0,0,0.062425,0.0373052,0.0451877,0.0112967,0,0,0.00977003,0,0.0158831,0.00726869,0.0308189,0.014621,0.0423826,0.0190272,0.0102458,0.0324925,0.0497408,0.0367917,0.047471,0.0244461,0.0308051,0.0171137,0.0150876,0.056406,0.00843836,0.00894394,0.00462476,0.0318166,0.0246789,0.0401092,0.0164713,0.0170528,0,0,0.0337293,0,0.014979,0.0197068,0.048984,0.0523887,0.0251178,0.025554,0.0164709,0.023188,0.114071,0.0514874,0.0335767,0.014384,0.0295568,0.0131165,0.0225652,0.0268849,0.0178505,0.011459,0.00792726,0.0246596,0.0142516,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0181051,0.0236054,0,0,0,0,0,0,0.0624569,0.0373938,0.0453535,0.0112124,0,0,0.00903772,0,0.0157389,0.00682882,0.0306655,0.0148597,0.0416938,0.0185096,0.00850484,0.032296,0.0481199,0.0363249,0.0474692,0.023852,0.0303605,0.0170327,0.0153544,0.0566707,0.00830626,0.00896243,0.00460845,0.0302131,0.02434,0.0389119,0.0165214,0.0164327,0,0,0.0357843,0,0.0147254,0.0207762,0.0498464,0.0509825,0.0250204,0.0227539,0.0157565,0.0235295,0.11363,0.0516491,0.0321309,0.0128986,0.0284543,0.0123822,0.02176,0.0250872,0.0189681,0.0131133,0.00854792,0.0234444,0.0130941,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0173903,0.0227953,0,0,0,0,0,0,0.0627123,0.0374174,0.0455635,0.0111826,0,0,0.00876823,0,0.0157793,0.00669445,0.030453,0.0150479,0.0414349,0.0182673,0.00782115,0.0322581,0.0464743,0.0361288,0.0475526,0.0235005,0.0297262,0.0168138,0.0155756,0.0575104,0.00834078,0.00896391,0.00461728,0.0283419,0.0242236,0.0379092,0.0165642,0.0159089,0,0,0.0361177,0,0.0146274,0.0209284,0.0506913,0.0494823,0.025103,0.0201509,0.015426,0.0233279,0.112952,0.0520808,0.0307858,0.0121485,0.0280955,0.0122078,0.0217484,0.0231679,0.0191521,0.0136128,0.00870887,0.022644,0.0123608,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0168274,0.0220196,0,0,0,0,0,0,0.0629903,0.0373984,0.0456856,0.0112062,0,0,0.00854056,0,0.0157153,0.00650878,0.030185,0.0153068,0.0412119,0.0180695,0.00726496,0.0322211,0.046011,0.0359522,0.0476471,0.0232146,0.0291399,0.0166906,0.0157478,0.0582425,0.00837704,0.0089543,0.00466964,0.0260484,0.0241374,0.0369903,0.0166337,0.0154692,0,0,0.0360609,0,0.0145592,0.0209375,0.0514631,0.0488071,0.0251552,0.0177323,0.0152572,0.0230467,0.112137,0.0526267,0.0292919,0.0117153,0.0281147,0.0122244,0.0220352,0.020539,0.0190779,0.0141462,0.00887135,0.0218874,0.0115709,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0162828,0.0212164,0,0,0,0,0,0,0.0633927,0.0373526,0.0456625,0.01128,0,0,0.00829433,0,0.0155772,0.00630879,0.0298676,0.0156371,0.0409799,0.0178168,0.00674839,0.0321212,0.0465329,0.0357416,0.047762,0.0229578,0.0284881,0.0166108,0.0158983,0.0585377,0.00836844,0.00890037,0.00460427,0.0234187,0.0240333,0.0362109,0.0166801,0.0150887,0,0,0.0357601,0,0.0144862,0.0209058,0.0520979,0.0486336,0.0251832,0.0157314,0.0150911,0.022711,0.111209,0.0532817,0.027596,0.0117028,0.0285805,0.0123904,0.022575,0.0174336,0.0189314,0.014602,0.00906499,0.0211123,0.0110861,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0157378,0.0203949,0,0,0,0,0,0,0.063512,0.0372947,0.0456267,0.0113811,0,0,0.00789993,0,0.0154042,0.00603413,0.0295229,0.0159541,0.040731,0.0175143,0.00631668,0.0319294,0.0464149,0.0354831,0.0478367,0.0227283,0.0283192,0.0165532,0.0160727,0.0585352,0.00830192,0.00881363,0.00455225,0.020075,0.0239474,0.0356411,0.0166773,0.0147862,0,0,0.0354542,0,0.0144266,0.0207935,0.0526433,0.0487474,0.0252042,0.0140861,0.0148607,0.0225018,0.110065,0.0540857,0.0258162,0.0121811,0.0296222,0.0128781,0.0234155,0.0142068,0.0188402,0.0145033,0.00914865,0.0203561,0.010479,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0152514,0.0195935,0,0,0,0,0,0,0.0634202,0.0372392,0.045628,0.011428,0,0,0.00756618,0,0.0152668,0.00575366,0.0291658,0.016245,0.0405317,0.0172284,0.00607684,0.031717,0.0458288,0.0352269,0.047919,0.0225053,0.0282198,0.0164638,0.0162534,0.0584643,0.0082503,0.00872627,0.00451252,0.0162303,0.0238941,0.0351286,0.016579,0.014627,0,0,0.0351094,0,0.014396,0.0206239,0.0533562,0.0494206,0.0252086,0.0127439,0.0146177,0.0224167,0.108914,0.0550928,0.0241381,0.013218,0.031164,0.0135565,0.0246327,0.0110918,0.0187705,0.0142031,0.00921864,0.0196606,0.00989194,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0148792,0.0188689,0,0,0,0,0,0,0.063397,0.0371994,0.0456424,0.0114055,0,0,0.00737575,0,0.0151897,0.00544712,0.0287889,0.0164229,0.0403114,0.0169132,0.00602951,0.0315377,0.0452633,0.0349911,0.0479779,0.0223075,0.0280906,0.0163856,0.0164018,0.0583549,0.00819494,0.00868305,0.004479,0.0123106,0.0238617,0.0347011,0.016437,0.0146398,0,0,0.0347497,0,0.0143825,0.0205024,0.0542835,0.0507112,0.0252223,0.0120902,0.0142915,0.0224188,0.107724,0.0560904,0.0230407,0.0148715,0.0325167,0.0144287,0.0264783,0.00998483,0.0186943,0.0141639,0.00930489,0.0190366,0.00947915,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0145886,0.0181272,0,0,0,0,0,0,0.0634589,0.0371564,0.0456577,0.0112742,0,0,0.00725604,0,0.015099,0.00512299,0.0284537,0.0164942,0.0400844,0.0164748,0.00624256,0.0313269,0.044698,0.0347336,0.0480087,0.0221494,0.0278296,0.016323,0.0165419,0.0583255,0.00809152,0.00863689,0.00445105,0.00902663,0.0238252,0.034473,0.0161648,0.0147797,0,0,0.0341735,0,0.0143785,0.0203228,0.05539,0.0525461,0.025198,0.0126174,0.0139165,0.0224678,0.106267,0.0572303,0.0223576,0.0170137,0.0340771,0.0154028,0.0291229,0.0140417,0.0185966,0.0143261,0.0094048,0.0184495,0.00937694,0,0,0,0,0,0,0,0,0,0,0,0
