Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LASI,RASI
All Timesteps RMSE,0,0,0,0,0,0,0.0313016,0.0222906,0,0,0,0.0167427,0.0200708,0.00826137,0,0,0.0212357,0,0.0258151,0.0119165,0.0648492,0.0182616,0.0453639,0.0252617,0.0253324,0.0193304,0.0106364,0.0141199,0.00752623,0.0388826,0.0133333,0.0150307,0.0108145,0.02799,0.0232501,0.0212728,0.0183871,0.0103576,0.0172728,0.0157384,0.0139536,0.0378469,0,0,0.0602905,0,0.0116045,0.0289333,0.0498,0.0182065,0.0351352,0.0253743,0.0205785,0.040921,0.0131231,0.0279584,0.0145687,0.0154432,0.0160958,0.0208854,0.0123075,0.0145332,0.0162603,0.0479881,0.0158493,0.0301245,0.0222163,0.0376476,0,0,0,0.0193743,0.0166666
0,0,0,0,0,0,0,0.0435086,0.0333177,0,0,0,0.0199543,0.0214952,0.00585148,0,0,0.0392168,0,0.0144372,0.0250646,0.0495921,0.0186545,0.0427691,0.0325399,0.00842505,0.0281105,0.0152994,0.021072,0.00763022,0.0329241,0.0130045,0.0161551,0.0111144,0.0308777,0.0277538,0.0333791,0.0154822,0.0101168,0.0224205,0.0141625,0.01717,0.046774,0,0,0.0771073,0,0.00993247,0.0411758,0.0353919,0.0221103,0.0305178,0.0294925,0.00722585,0.00665441,0.0137898,0.0239392,0.013914,0.0180829,0.0204592,0.0315246,0.0146078,0.0180157,0.0210081,0.0433254,0.0144024,0.0241769,0.0303499,0.0595972,0,0,0,0,0
1,0,0,0,0,0,0,0.0431636,0.0327626,0,0,0,0.0199359,0.021358,0.00584907,0,0,0.0387004,0,0.014459,0.0246694,0.0495488,0.0184653,0.0427186,0.0323333,0.00895786,0.0275104,0.01498,0.0206366,0.00768667,0.0330544,0.0129207,0.0158214,0.0110422,0.0307823,0.0275684,0.0327778,0.0154886,0.00995319,0.0220424,0.0142167,0.0169271,0.0463155,0,0,0.0765989,0,0.0099469,0.0410758,0.0356196,0.0219372,0.030146,0.0292466,0.00764338,0.00635688,0.0135374,0.0239369,0.0138381,0.0174797,0.0198937,0.0310797,0.0142046,0.017489,0.0203999,0.0430533,0.0142143,0.02437,0.0298222,0.0589573,0,0,0,0,0
2,0,0,0,0,0,0,0.0428099,0.0322531,0,0,0,0.0199356,0.0212772,0.00586036,0,0,0.0380155,0,0.0145547,0.0243026,0.0495474,0.0183559,0.0427572,0.0320459,0.00942944,0.0269858,0.0145987,0.0203688,0.00773739,0.0331679,0.0128741,0.0157322,0.0109791,0.0307522,0.0276239,0.0322458,0.0155077,0.00987144,0.0217789,0.0142014,0.0167899,0.0458153,0,0,0.0762333,0,0.0098651,0.0408709,0.0359369,0.0218616,0.0298008,0.0290644,0.00798407,0.00610986,0.0133434,0.0240068,0.0137414,0.0169985,0.0193157,0.030666,0.0137529,0.0169257,0.0199235,0.0427147,0.0141466,0.0243658,0.029266,0.0582939,0,0,0,0,0
3,0,0,0,0,0,0,0.0422133,0.0316316,0,0,0,0.0199187,0.0212578,0.00597961,0,0,0.036563,0,0.01452,0.0234868,0.0496607,0.0183755,0.0427636,0.0315977,0.00981253,0.0259672,0.0141716,0.0199438,0.00777574,0.0333544,0.0128395,0.0158191,0.0109351,0.0307376,0.027856,0.0313345,0.0154895,0.0098316,0.0215505,0.0141004,0.0166261,0.0451919,0,0,0.0759088,0,0.00976082,0.0407265,0.0362439,0.0217651,0.0295244,0.0288373,0.00825859,0.00605434,0.0132144,0.0240303,0.0136944,0.0166738,0.0188708,0.0302648,0.0133583,0.0164734,0.0195152,0.042424,0.0140755,0.0242685,0.0285782,0.0573082,0,0,0,0,0
4,0,0,0,0,0,0,0.0417505,0.0310599,0,0,0,0.0200227,0.0212127,0.00605772,0,0,0.0357571,0,0.0146149,0.0230045,0.0497882,0.0183973,0.0427822,0.0312587,0.0102138,0.0252978,0.0138652,0.0195398,0.00781639,0.0335862,0.0128232,0.0158074,0.0109302,0.0307553,0.0280612,0.0307289,0.0155038,0.00967399,0.0212754,0.0140655,0.0163598,0.0446323,0,0,0.0755256,0,0.00971755,0.040576,0.0365307,0.0216524,0.0293215,0.0286229,0.00850277,0.00590723,0.0130889,0.0240076,0.0137409,0.0163778,0.0183979,0.0298672,0.0129854,0.0160248,0.0191172,0.0422627,0.0139319,0.024382,0.027962,0.0565479,0,0,0,0,0
5,0,0,0,0,0,0,0.0412346,0.0304302,0,0,0,0.0200518,0.0211559,0.00618376,0,0,0.0348819,0,0.0146718,0.0224658,0.0499263,0.0183226,0.042791,0.0308519,0.0105434,0.0245596,0.0135589,0.0189554,0.00780437,0.0338369,0.0127935,0.0156234,0.0108729,0.0307848,0.0279864,0.0300636,0.015495,0.00951398,0.0210853,0.0141637,0.0161689,0.0440228,0,0,0.0750791,0,0.00976539,0.0403687,0.0367763,0.0215819,0.0291581,0.0282766,0.00874879,0.00577038,0.01298,0.0240311,0.0138988,0.0161019,0.0179549,0.0295362,0.0126033,0.0156114,0.0188908,0.0419701,0.0137539,0.0246143,0.0272938,0.0557312,0,0,0,0,0
6,0,0,0,0,0,0,0.040725,0.0297869,0,0,0,0.0198782,0.0210816,0.0063207,0,0,0.0339683,0,0.0147342,0.0219123,0.0500446,0.0181897,0.0428055,0.0304087,0.0108679,0.0238408,0.0131716,0.0184258,0.00775044,0.0341185,0.012742,0.0155351,0.010807,0.0308134,0.0276574,0.029346,0.0154925,0.00934332,0.0208892,0.0142602,0.0160486,0.0434628,0,0,0.0746143,0,0.0097987,0.0401225,0.0370276,0.0214542,0.0290024,0.0278117,0.00910318,0.00566093,0.0128866,0.0241547,0.0141214,0.0158776,0.0175686,0.0292538,0.0122794,0.0152593,0.0187808,0.0417577,0.0136065,0.0248039,0.026606,0.0549323,0,0,0,0,0
7,0,0,0,0,0,0,0.0401977,0.029105,0,0,0,0.0196659,0.021006,0.00638855,0,0,0.0330339,0,0.0147736,0.0213703,0.0502633,0.0181148,0.0427752,0.0300124,0.0111941,0.0231376,0.0128495,0.0180167,0.00771841,0.0343716,0.0126657,0.0155614,0.0107712,0.0308098,0.0273974,0.0286267,0.0154816,0.00919702,0.0205362,0.0143119,0.0158932,0.0429025,0,0,0.0741148,0,0.00980542,0.0399962,0.0372942,0.0212042,0.0289058,0.0273938,0.00948234,0.00556615,0.0126993,0.0241478,0.0142096,0.0155886,0.0171506,0.0289689,0.0119744,0.0148944,0.0186023,0.0413931,0.0134821,0.0249448,0.0258539,0.0541317,0,0,0,0,0
8,0,0,0,0,0,0,0.0396402,0.0283857,0,0,0,0.0194282,0.0209341,0.00637379,0,0,0.0321222,0,0.014784,0.0208511,0.0505145,0.0180803,0.0427546,0.0296133,0.0114434,0.0224121,0.0125402,0.0174333,0.00772894,0.0346316,0.012578,0.0154849,0.0107422,0.0307506,0.0271324,0.0279183,0.0154635,0.00901497,0.020105,0.0143013,0.0155964,0.0422918,0,0,0.0736168,0,0.00977547,0.0399526,0.037567,0.0207789,0.028859,0.0269765,0.00987158,0.00551109,0.0123983,0.0239631,0.0140933,0.0151835,0.0166573,0.0286433,0.0116796,0.0145194,0.0182991,0.0410398,0.0133762,0.025034,0.025092,0.0532366,0,0,0,0,0
