Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Box:BFBR,,,Box:BFBL,,,Box:BFTL,,,Box:BFTR,,,Box:BBR,,,Box:BBL,,,Box:IMU_M,,,Box:IMU_R,,,Box:IMU_L,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
7104,0,858.304810,-521.572083,1731.825562,975.354614,-502.576996,1738.121948,861.076233,-660.820312,1764.256714,993.034546,-663.583679,1762.749268,842.702881,-613.664856,1596.497437,1000.831360,-585.021240,1584.405151,956.199097,-799.109863,1544.080933,974.859070,-833.082764,1433.038818,909.283508,-598.136230,1450.100586,898.535706,-568.515198,1384.207275,1086.972900,-794.066895,1464.219727,690.906006,-765.570129,1504.012695,588.813293,-746.949341,1358.955322,528.785339,-728.251282,1252.269287,,,,459.731598,-604.052002,1192.874878,439.097198,-483.966034,1177.563965,,,,418.380737,-359.181000,1125.057495,442.059967,-435.003326,1090.562134,1181.795654,-587.746155,1483.174927,1189.582031,-503.460693,1323.591553,1204.348877,-461.356567,1183.289673,,,,1122.997192,-339.603851,1144.869629,1026.302979,-262.525574,1165.448242,1019.117615,-279.975128,1089.280762,976.318420,-162.550339,1076.943970,996.343811,-237.835342,1051.956787,,,,,,,868.282288,-866.484619,1126.522827,1081.936279,-822.076721,1126.813354,,,,1157.571167,-655.514465,1091.918701,700.337280,-630.912720,938.879822,700.468811,-523.892883,832.332886,722.805847,-465.241760,775.190857,704.022644,-522.802063,714.427124,688.683716,-585.230774,769.303955,735.429199,-497.927582,557.304016,,,,718.938477,-513.085693,450.740906,725.722839,-474.071960,399.248291,736.680237,-548.247314,349.333679,737.794067,-582.657349,398.615906,765.128296,-532.984558,144.600235,,,,721.601135,-388.182526,85.121101,771.370178,-323.612762,98.190880,1141.586182,-609.737122,925.976440,845.623474,-613.451477,91.096733,1122.933105,-573.118530,760.513367,1067.933350,-508.619598,730.787964,1072.418945,-542.524963,652.110657,1123.427368,-609.891785,684.683716,1062.828369,-635.169128,507.987732,,,,1085.804443,-651.657227,387.971344,1039.068726,-602.965881,324.699646,1055.055054,-646.300720,287.993713,1092.164917,-697.382568,350.269135,1022.830505,-667.773499,103.142815,,,,983.575378,-764.578247,47.520340,917.621643,-471.104095,55.286949,1001.575562,-515.077881,64.248955,903.911194,-45.009224,1089.361450,401.806488,-209.118057,1116.505005,431.208405,-237.685791,1392.733887,925.285034,-73.875427,1364.036621,1006.839966,-339.129547,1326.142456,518.043396,-496.522919,1358.728271,805.926514,49.082958,1098.019531,837.984741,58.041088,1105.510010,779.269714,39.346134,1114.383301
7105,0,857.047913,-513.299622,1732.422852,974.266663,-493.592468,1739.312012,860.024475,-652.157715,1764.134644,991.966614,-654.839172,1762.615845,841.663757,-604.126892,1596.783936,999.588074,-575.307678,1584.781494,955.116028,-789.236755,1543.966064,973.882141,-823.123718,1432.818848,908.333984,-588.551147,1449.968750,897.623718,-558.330811,1384.253906,1085.823975,-784.239563,1464.097046,689.807190,-755.916199,1503.837769,587.927795,-737.384277,1358.665527,528.037598,-718.642944,1251.842041,,,,458.648224,-594.682678,1192.644897,437.843842,-474.641510,1177.341797,,,,416.912781,-349.895203,1124.789673,440.722290,-425.709259,1090.306763,1180.758911,-577.951111,1482.928589,1188.400146,-493.590851,1323.330078,1202.877808,-451.307281,1182.851807,,,,1121.463501,-329.504181,1144.854126,1024.598877,-252.409958,1165.489990,1017.521973,-270.068115,1089.297729,974.626221,-152.492096,1076.962280,994.804321,-227.739410,1052.030029,,,,,,,866.548767,-856.575012,1126.597290,1080.305908,-813.129639,1126.930176,,,,1156.463989,-647.001892,1091.480957,698.774963,-620.671875,938.500793,699.311890,-514.793579,830.757935,722.296814,-456.256226,773.390076,704.087463,-514.328613,712.870911,688.261963,-576.414795,767.962524,734.989136,-488.145813,554.872314,,,,716.299194,-495.946533,447.621887,723.947815,-454.501648,398.313660,731.700073,-526.244141,344.129425,731.699402,-563.404907,391.447174,757.991760,-500.885437,140.331421,,,,713.152832,-353.655396,89.223419,762.577576,-289.343231,105.137398,1140.543213,-601.804016,925.605713,838.213623,-578.531067,81.835220,1122.187500,-566.351318,759.866150,1067.690796,-501.866272,729.552551,1071.970581,-536.323364,651.144653,1122.469727,-603.771423,684.322388,1062.125366,-630.492126,507.609070,,,,1085.119995,-648.399109,387.813782,1038.932495,-600.360413,323.882141,1054.619385,-644.091919,287.735687,1091.504517,-694.761902,350.704071,1022.473083,-667.466064,103.086281,,,,983.552917,-764.421082,47.753693,917.605347,-470.832581,54.916748,1001.562927,-514.998108,64.072517,902.050049,-35.064560,1089.333008,400.138000,-199.878189,1116.236450,429.502777,-228.368149,1392.467407,923.281250,-63.946335,1364.023193,1005.436157,-329.242859,1326.064209,516.743958,-487.039886,1358.470215,804.020142,59.013515,1098.702271,836.051453,67.855141,1106.229004,777.459900,49.197063,1115.128418
7106,0,856.113892,-503.684631,1733.801270,973.049561,-484.891052,1740.384277,859.027527,-643.422974,1764.145630,990.947693,-646.187805,1762.493530,840.553711,-594.474731,1597.082886,998.404419,-565.595520,1585.229126,953.915894,-779.245056,1543.816650,972.801025,-812.924988,1432.505493,907.378174,-578.426514,1449.893188,896.359070,-548.046997,1384.302979,1084.611328,-774.339172,1463.886230,688.716553,-746.179077,1503.582275,586.909363,-727.831238,1358.407349,527.059448,-709.127563,1251.694824,,,,457.539215,-585.187988,1192.324341,436.428711,-465.258942,1177.222046,,,,415.428101,-340.446472,1124.446655,439.408356,-416.222321,1090.085815,1179.706299,-568.210571,1482.581543,1187.824707,-484.317322,1323.243408,1201.165527,-441.237244,1182.684326,,,,1119.789551,-319.468567,1144.785278,1023.048645,-242.352997,1165.465820,1015.945801,-259.696136,1089.273926,972.995544,-142.434433,1076.839233,993.297852,-217.648743,1051.994385,,,,,,,864.706726,-846.438232,1126.600220,1078.482178,-804.022461,1126.969482,,,,1155.376953,-638.460083,1091.019775,697.164978,-610.291382,938.067749,698.429382,-505.670837,828.719666,721.658447,-447.709381,771.117615,703.803223,-506.442841,710.986938,687.676025,-568.006104,766.438843,734.173767,-478.497528,552.626587,,,,713.682861,-478.799835,445.440460,721.944763,-435.246674,398.383392,725.832336,-504.596161,340.281738,725.676453,-544.051636,385.518341,750.740234,-469.152679,137.288086,,,,705.427002,-318.663605,95.072937,755.107910,-255.543289,114.161263,1139.549316,-594.084351,925.341064,830.020447,-543.294678,73.772057,1121.386230,-559.488403,759.215210,1067.275635,-494.778229,728.276917,1071.648804,-530.041504,650.218933,1121.601929,-597.649231,684.022400,1061.507812,-625.824707,507.365875,,,,1084.545410,-645.046692,387.649994,1038.608521,-597.928040,323.212189,1054.388794,-641.646851,287.602539,1090.996460,-691.839172,351.087738,1022.425415,-667.198425,103.082176,,,,983.399719,-764.324036,47.566830,917.662537,-470.697052,54.520962,1001.614319,-514.751038,64.007164,900.223389,-25.022205,1089.197388,398.470490,-190.414825,1115.812378,427.833374,-218.971909,1392.034302,921.264771,-53.987400,1363.922974,1003.893005,-319.174896,1325.943359,515.378662,-477.593231,1358.078491,802.115906,68.947311,1099.493896,834.176575,77.675293,1106.988403,775.478455,58.886818,1115.863525
7107,0,855.089844,-494.524414,1734.617065,971.984314,-475.645447,1741.295776,857.959290,-634.601685,1764.104004,989.865601,-637.415344,1762.295776,839.523560,-584.130310,1597.441650,997.104004,-555.775269,1585.576294,952.701233,-769.236755,1543.626099,971.553589,-802.501038,1432.087158,906.364258,-568.110474,1449.938354,894.932434,-537.558838,1384.287842,1083.263184,-764.433716,1463.605347,687.610962,-736.415222,1503.386841,585.821533,-718.224365,1358.166382,526.001343,-699.526611,1251.310791,,,,456.366608,-575.746948,1192.072021,435.403870,-455.396973,1176.836060,,,,413.998596,-331.024719,1123.975464,437.972626,-406.803772,1089.713379,1178.503906,-558.396606,1482.149048,1186.101807,-474.257721,1322.715454,1199.596069,-431.323303,1182.210693,,,,1118.172119,-309.430084,1144.494141,1021.428833,-232.190964,1165.316284,1014.390320,-249.937469,1089.017944,971.310181,-132.300095,1076.601196,991.645325,-207.503479,1051.794189,,,,,,,862.772339,-836.190735,1126.652710,1076.539062,-794.907227,1127.037109,,,,1154.265137,-629.963989,1090.732544,695.651367,-599.818359,937.560547,697.355469,-497.093628,826.499390,720.877319,-439.548584,768.446350,703.425537,-498.573120,708.561035,687.192078,-559.727539,764.758057,733.715393,-468.304626,550.719299,,,,711.237183,-463.007050,444.181091,719.596497,-417.207336,399.386169,720.659851,-483.341339,338.109222,720.232300,-525.327026,380.744904,743.305603,-437.229645,135.731689,,,,698.584778,-284.534760,102.483284,748.854187,-223.133026,124.106392,1138.505615,-586.282043,925.111084,821.029236,-508.981293,66.976479,1120.705444,-552.713684,758.640198,1067.243286,-487.809784,727.041626,1071.454712,-523.747192,649.288574,1120.725586,-591.356628,683.656067,1060.829834,-620.938721,506.800354,,,,1084.185303,-641.617310,387.578125,1038.553223,-595.180847,322.473755,1054.132690,-639.377563,287.191132,1090.512939,-688.801331,351.449219,1022.241455,-666.818848,103.081413,,,,983.352051,-764.243042,47.719120,917.715149,-470.646149,54.151276,1001.799255,-514.539062,64.003548,898.379639,-14.948536,1088.941162,396.877869,-181.089172,1115.262695,426.043274,-209.413177,1391.560181,919.273560,-43.908890,1363.661621,1002.215149,-308.867981,1325.745117,514.015076,-467.960724,1357.667847,800.238159,79.052795,1100.128174,832.267822,87.677917,1107.613281,773.585693,68.766220,1116.460815
7108,0,854.018555,-485.280426,1735.627319,971.012817,-466.627899,1742.070801,856.862183,-625.660461,1763.931885,988.774536,-628.653442,1762.059204,838.347534,-574.187988,1597.704834,995.782227,-545.789917,1585.900513,951.309570,-759.107971,1543.398071,970.066040,-791.949402,1431.605469,905.032837,-558.447083,1449.851440,892.971924,-527.805969,1384.320801,1081.784302,-754.396912,1463.236328,686.316833,-726.573608,1503.249023,584.569763,-708.555176,1358.010498,524.771423,-689.936707,1251.213135,,,,455.621094,-565.385681,1191.444336,433.803131,-446.020538,1176.484985,,,,412.538239,-321.586182,1123.354126,436.721191,-397.230957,1089.219360,1177.218140,-548.489990,1481.707031,1184.533325,-464.329254,1322.411255,1197.768677,-421.280731,1181.774658,,,,1116.501709,-299.359589,1144.072876,1019.839783,-222.112015,1165.041504,1012.790771,-239.423813,1088.846802,969.715515,-122.121895,1076.266235,990.091797,-197.348145,1051.531006,,,,,,,860.718323,-825.790649,1126.696167,1074.469604,-785.709412,1127.071167,,,,1153.114746,-621.308838,1090.452759,694.112183,-589.430298,936.978027,696.384888,-488.625671,824.046387,719.851929,-431.641876,765.432922,702.487793,-491.851410,706.303406,686.220459,-552.180725,762.840515,732.914429,-458.901245,549.275574,,,,708.781677,-448.669220,443.476532,716.943848,-400.661652,400.964569,715.915833,-463.580444,336.601715,715.503174,-507.804321,376.942078,735.881104,-406.025543,135.758743,,,,692.866943,-250.935043,111.684624,744.255310,-191.581161,136.138733,1137.380005,-578.426331,924.906311,811.332825,-474.829224,61.740807,1120.004395,-545.872620,757.992981,1067.213135,-480.943573,725.676208,1071.141602,-517.380737,648.237854,1119.838013,-585.101379,683.257080,1060.212646,-616.386780,506.670288,,,,1083.696289,-638.378540,387.537231,1038.288940,-592.465942,321.717865,1053.954956,-637.162842,287.034393,1090.053833,-685.881287,351.930786,1022.092957,-666.579590,103.115967,,,,983.264832,-764.212646,47.941608,917.930115,-470.187012,54.185394,1001.717102,-514.738342,63.933918,896.595520,-4.842983,1088.519287,395.131256,-171.529709,1114.637939,424.282410,-199.765900,1390.898926,917.348450,-33.645710,1363.258179,1000.634460,-298.613739,1325.477173,512.578735,-458.216583,1357.214355,798.445862,89.033661,1100.357300,830.444458,97.678947,1107.863770,771.806396,78.712265,1116.635864
7109,0,852.628113,-477.080292,1736.284424,969.899292,-457.494720,1742.800293,855.736572,-616.731445,1763.890991,987.647705,-619.658997,1761.629150,836.828003,-564.637634,1598.030640,994.263489,-535.856506,1586.047241,949.817749,-748.887146,1543.090454,968.343384,-781.261475,1431.118896,903.430359,-547.765991,1450.093750,891.176270,-517.255798,1384.317749,1080.191406,-744.295410,1462.836304,684.973694,-716.620667,1503.084229,583.279541,-698.440063,1357.893066,523.369812,-680.355591,1251.006470,,,,454.025543,-555.933777,1191.163818,432.363312,-436.286713,1176.055664,,,,411.083679,-311.948975,1122.700928,435.260620,-387.579102,1088.633301,1175.829224,-538.506226,1481.255249,1182.626221,-454.118835,1322.020752,1195.996826,-411.376190,1181.124268,,,,1115.004517,-289.103088,1143.242676,1017.948120,-211.429321,1164.728882,1012.416931,-225.906860,1089.813110,967.971741,-111.987556,1075.836670,988.522034,-187.180038,1051.151978,,,,,,,858.517395,-815.210083,1126.662354,1072.410034,-776.298462,1127.075073,,,,1151.872437,-612.364990,1090.144897,692.523376,-579.034912,936.261475,695.233154,-480.506439,821.404785,718.519897,-424.247589,762.155579,701.408691,-484.668640,703.530212,684.989624,-544.905945,761.121765,731.998840,-450.362000,547.904541,,,,706.285339,-435.524536,443.087097,713.921570,-385.428589,403.045135,711.429321,-445.186676,335.505737,711.447876,-491.308838,373.725464,728.633972,-375.325745,137.146423,,,,687.917297,-218.681290,122.407799,740.920410,-161.513046,149.655640,1136.299072,-570.393005,924.722290,800.855713,-441.771332,57.897129,1119.035400,-538.897949,757.229553,1066.744751,-473.641815,724.219971,1070.794067,-510.898712,647.141968,1118.886719,-578.760376,682.904297,1059.478516,-611.590759,506.239594,,,,1083.165039,-634.951172,387.459717,1038.085571,-589.684204,320.962402,1053.709717,-634.823120,286.844086,1089.686279,-683.156311,352.566925,1021.955017,-666.315186,103.165863,,,,983.311340,-764.268372,48.377781,917.953918,-470.176697,53.872185,1001.697510,-514.616516,63.733242,894.709961,5.235609,1087.929321,393.378601,-161.933792,1113.828979,422.413208,-189.958572,1390.185059,915.353516,-23.386086,1362.732422,998.907715,-288.170471,1325.207397,511.063690,-448.347290,1356.708618,796.709229,99.015732,1100.021362,828.752319,107.824799,1107.614624,770.072205,88.815140,1116.381470
7110,0,851.456848,-467.844696,1736.921509,968.587708,-448.530457,1743.603394,854.566956,-607.587158,1763.691650,986.430786,-610.650940,1761.095215,835.618896,-553.952271,1598.089966,992.811768,-525.728027,1586.171509,948.238464,-738.616028,1542.723877,966.481445,-770.518982,1430.596069,901.245422,-536.774719,1450.089478,889.590088,-506.189117,1384.155396,1078.469360,-734.056274,1462.398560,683.505615,-706.652954,1502.918457,581.791748,-688.399658,1357.631836,521.894226,-670.420898,1250.720825,,,,452.155914,-546.675659,1190.933838,430.923096,-426.444061,1175.427002,,,,409.517578,-302.265747,1121.969849,433.770172,-377.957855,1088.016479,1174.271606,-528.314026,1480.724243,1181.288086,-444.157776,1321.313354,1194.241821,-401.405304,1180.554932,,,,1113.050171,-279.138214,1142.961792,1016.441101,-201.281769,1164.339355,1009.700562,-217.533752,1088.663818,966.317993,-101.741951,1075.304077,986.896240,-177.009445,1050.794434,,,,,,,856.207764,-804.496277,1126.642700,1070.238892,-766.685181,1127.045898,,,,1150.396118,-602.974976,1089.847168,690.759033,-568.905762,935.269714,693.843262,-472.593323,818.647705,716.999939,-417.052887,758.630981,699.615723,-478.611450,701.007385,683.530701,-537.665955,759.187622,730.863464,-442.865479,546.433960,,,,703.714417,-423.140106,442.714935,710.932800,-371.065643,405.200531,706.917419,-427.442535,334.956055,707.479187,-475.576782,370.802032,721.392273,-346.275085,139.803345,,,,683.625122,-187.944275,134.157669,737.903442,-133.681854,163.285583,1135.120117,-562.111511,924.388306,791.118713,-408.845856,55.652412,1118.165527,-531.838745,756.326965,1066.514282,-466.643250,722.785522,1070.265503,-504.441254,646.001465,1117.759155,-572.307251,682.406067,1058.620117,-606.892700,505.772705,,,,1082.535522,-631.580322,387.351562,1037.865845,-587.067505,320.259521,1053.526123,-632.534546,286.706970,1089.020752,-680.039734,352.895203,1021.979004,-665.682617,103.280815,,,,983.227783,-764.228210,48.574127,917.912720,-470.116150,53.515118,1001.590637,-514.607727,63.558578,892.860168,15.374559,1087.267090,392.094574,-152.415085,1112.884644,420.537537,-179.984589,1389.354492,913.334961,-12.934711,1362.094360,997.191162,-277.672180,1324.919556,509.480225,-438.281952,1356.196289,795.114563,108.257042,1098.925659,826.844177,117.804642,1106.730347,768.125183,98.839806,1115.463257
7111,0,850.606384,-457.575317,1737.852539,967.466370,-439.078613,1744.015015,853.307556,-598.459778,1763.366455,985.592590,-602.700623,1760.985718,833.824707,-544.521179,1598.309814,991.223389,-515.609314,1586.099487,946.570984,-728.240417,1542.224731,964.490845,-759.862732,1430.092773,899.868835,-526.576660,1449.602295,887.712036,-496.189026,1384.048828,1076.665771,-723.671570,1461.943481,681.901428,-696.219238,1502.628784,580.151123,-678.358887,1357.329590,520.290466,-660.399414,1250.290161,,,,450.571320,-536.708984,1190.376709,429.465179,-416.309753,1174.739014,,,,407.882385,-292.475922,1121.193481,432.245239,-368.176392,1087.380371,1172.599976,-517.974304,1480.204468,1179.375977,-433.775787,1320.856445,1192.329590,-391.120483,1179.970581,,,,1111.391724,-269.061493,1142.465698,1014.646667,-190.924088,1163.828003,1008.093506,-207.346100,1088.252808,964.598816,-91.583977,1074.728760,985.219543,-166.813217,1050.283081,,,,,,,853.908386,-793.738647,1126.544922,1068.173340,-756.690369,1126.921875,,,,1148.774414,-593.314514,1089.643677,689.153992,-558.758972,933.903564,692.302368,-464.622070,815.831604,715.146729,-409.864380,755.036804,697.660461,-472.027985,698.119080,681.677490,-530.354614,757.132874,729.290466,-435.748627,544.846924,,,,700.835815,-410.680237,442.805206,707.682312,-357.091492,407.483063,702.932495,-410.117279,334.626190,704.113037,-459.920288,368.288757,715.043396,-318.371460,143.328171,,,,679.502502,-159.280426,146.168167,735.173279,-107.348335,177.372055,1133.810791,-553.536926,923.782532,782.451355,-377.474274,55.024933,1117.025635,-524.708130,755.481873,1065.900024,-459.390015,721.194702,1069.510376,-498.018250,644.737122,1116.589722,-565.941772,681.948853,1057.720215,-602.260315,505.379425,,,,1081.871704,-628.154907,387.215240,1037.381104,-584.231812,319.474121,1053.092407,-630.167542,286.541626,1088.323486,-677.073853,353.363342,1021.703247,-665.648865,103.596710,,,,982.953918,-764.235107,48.805428,917.875122,-469.980774,53.249317,1001.527405,-514.540527,63.340626,891.039124,25.553495,1086.435669,390.294342,-142.592758,1111.914307,418.684601,-169.875839,1388.419556,911.308777,-2.349743,1361.354980,995.368713,-267.215210,1324.564697,507.768463,-428.186737,1355.753052,792.822021,119.131462,1097.740112,824.775635,128.011444,1105.369629,766.113586,108.876770,1114.054810
7112,0,848.968201,-449.136078,1738.414185,966.175659,-430.011353,1744.656128,852.003723,-589.190186,1763.098389,984.261475,-593.544800,1760.307495,832.565857,-533.568604,1598.278931,989.543823,-505.528320,1586.089355,944.840088,-717.802063,1541.691162,962.533875,-749.242004,1429.544067,897.955750,-516.801208,1449.033936,886.122498,-484.890778,1383.732178,1074.782349,-713.145325,1461.464600,680.250366,-685.777283,1502.337036,578.673035,-668.446838,1356.972900,518.615540,-650.225647,1249.812012,,,,448.924713,-526.686523,1189.863037,427.779388,-406.314606,1174.094971,,,,406.248352,-282.569366,1120.359009,430.575348,-358.344482,1086.585693,1170.829102,-507.520447,1479.702148,1177.614258,-423.358643,1320.229980,1190.769287,-381.064148,1179.405273,,,,1109.572632,-258.724792,1141.892212,1012.916199,-180.651566,1163.288574,1006.297974,-197.134933,1087.661377,962.813110,-81.397705,1074.026978,983.506165,-156.624176,1049.674316,,,,,,,851.589233,-782.810547,1126.415771,1066.117310,-746.500854,1126.787598,,,,1147.015015,-583.161560,1089.484985,687.672180,-548.755676,932.084534,690.518127,-456.730133,812.848816,712.983154,-402.850983,751.228333,694.977356,-465.920990,695.223755,679.398926,-523.337708,755.288147,727.402649,-428.136169,543.148315,,,,698.018555,-398.323761,443.166565,704.521790,-343.219666,409.871490,699.016052,-393.084564,334.836914,700.667847,-444.135162,366.400543,709.433960,-292.039459,147.517838,,,,675.499207,-132.680435,157.869263,731.881470,-82.879242,190.691040,1132.405029,-544.629395,923.040466,775.336365,-347.302429,55.646473,1115.776245,-517.439514,754.448242,1065.379150,-452.341034,719.593201,1068.806274,-491.519684,643.436157,1115.205200,-559.407959,681.273254,1056.831177,-597.525635,504.879944,,,,1081.057617,-624.875793,387.228058,1036.953491,-581.541687,318.807190,1052.665771,-627.848694,286.349243,1087.559448,-674.118225,353.896790,1021.380188,-665.294800,103.749756,,,,982.870483,-764.121155,49.042805,917.821899,-469.869263,52.806168,1001.403564,-514.475342,63.130768,889.181946,35.684410,1085.514038,388.504395,-132.890442,1110.995117,416.602386,-159.576141,1387.382080,909.221680,8.187878,1360.436157,993.471741,-256.503876,1324.111694,505.991882,-417.756317,1355.113647,790.948914,128.307373,1095.616455,822.615540,138.113876,1103.451538,763.972839,118.992447,1112.115967
