Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBHD,RILC,LILC
All Timesteps RMSE,0,0,0,0,0,0,0.00405708,0.00701598,0,0,0,0.115281,0.0188383,0.0154966,0,0.00750458,0,0.0264035,0.00302539,0.0449192,0.0452754,0.0102228,0.0148608,0.00698359,0.011266,0.0136252,0.0110168,0.0290585,0.00969672,0.0120154,0.00774098,0.0144113,0.109387,0.00834041,0.0178834,0.00229496,0.0262654,0.0156882,0.018985,0.00423807,0,0,0.00603697,0,0.0132781,0.0021911,0.0385289,0.0325709,0.0134301,0.0142195,0.00685593,0.00990242,0.0266331,0.0122583,0.0126441,0.015531,0.0210079,0.014364,0.0167443,0.0284767,0.00762076,0.0053924,0.00253542,0.00829756,0.00425825,0,0,0,0,0.0251896,0.0375394
0,0,0,0,0,0,0,0.00450601,0.00902629,0,0,0,0.104883,0.0181826,0.00546731,0,0.0111607,0,0.0266826,0.00359929,0.0445739,0.0660998,0.0076774,0.00797935,0.00931244,0.0156158,0.0199089,0.0105109,0.0312422,0.00852652,0.00753957,0.00629674,0.017326,0.123901,0.00655175,0.0180441,0.00181391,0.0105604,0.0152815,0.0204616,0.00468444,0,0,0.0079853,0,0.0123512,0.00311201,0.0346301,0.0380548,0.0245659,0.0265527,0.00584739,0.0092226,0.021547,0.0157625,0.015293,0.0132216,0.0158498,0.0102624,0.0184887,0.0351786,0.0100312,0.00319458,0.00198349,0.0114501,0.00613073,0,0,0,0,0,0
1,0,0,0,0,0,0,0.00537352,0.00862372,0,0,0,0.104573,0.0180562,0.0037203,0,0.0112077,0,0.026584,0.00348619,0.0450777,0.0652607,0.00699369,0.00882165,0.0103926,0.0130402,0.0162729,0.00785257,0.0310981,0.0083369,0.007478,0.00579659,0.0176021,0.124664,0.00743312,0.0179395,0.00201726,0.0100716,0.0152342,0.0201648,0.00529858,0,0,0.00751134,0,0.0123289,0.00331151,0.0345863,0.0380148,0.024367,0.0267183,0.00582508,0.00905223,0.0212591,0.0149125,0.0152758,0.0134841,0.0155623,0.0104639,0.018411,0.0347352,0.00986767,0.00306937,0.00196975,0.0114006,0.00738754,0,0,0,0,0,0
2,0,0,0,0,0,0,0.00540027,0.00858309,0,0,0,0.104441,0.0180047,0.00277474,0,0.0114294,0,0.0266555,0.0038565,0.0453267,0.0637543,0.00646181,0.0094344,0.0105512,0.0108091,0.0133733,0.00554439,0.0313687,0.0080035,0.00757444,0.00565044,0.0180494,0.124639,0.00821982,0.0180099,0,0.0091534,0.0152755,0.0197371,0.00537368,0,0,0.00736444,0,0.0123881,0.0030256,0.0348082,0.0384912,0.0238643,0.0263244,0.00588945,0.00894637,0.0210514,0.014136,0.0149398,0.0134677,0.0151897,0.0106891,0.0184342,0.0346684,0.00980173,0.00323974,0.00202192,0.0113951,0.00761754,0,0,0,0,0,0
3,0,0,0,0,0,0,0.00524676,0.008639,0,0,0,0.104328,0.0181801,0.00286123,0,0.011458,0,0.0265135,0.00364906,0.0455162,0.0619812,0.00606822,0.0100181,0.0109541,0.00874375,0.0110033,0.00411963,0.0320166,0.00785466,0.00782914,0.0059631,0.0186812,0.124094,0.0103932,0.0179274,0.00222261,0.00810544,0.0153733,0.0193515,0.00537401,0,0,0.00736048,0,0.0125086,0.00283723,0.0351491,0.0393416,0.0233548,0.0258604,0.00596681,0.0088833,0.0207868,0.0135193,0.0147177,0.0134586,0.0147879,0.0109679,0.0185651,0.0345963,0.00977528,0.00360711,0.00205933,0.0113115,0.00761193,0,0,0,0,0,0
4,0,0,0,0,0,0,0.00521742,0.00881753,0,0,0,0.104584,0.0181974,0.00292131,0,0.011622,0,0.0264814,0.003668,0.0456262,0.0602462,0.00614393,0.0106576,0.0110246,0.00661415,0.00895769,0.00456421,0.0327401,0.0078771,0.00798029,0.00672112,0.0195228,0.122869,0.0113339,0.0179219,0.00234252,0.00704588,0.0153161,0.0190125,0.00553068,0,0,0.00753457,0,0.0124583,0.00289658,0.035555,0.0403187,0.0227901,0.0254893,0.00598156,0.00880363,0.0204979,0.012946,0.0145444,0.0134501,0.0143629,0.0112788,0.0187522,0.0346953,0.00993308,0.00331392,0.00210551,0.011345,0.00769418,0,0,0,0,0,0
5,0,0,0,0,0,0,0.00512699,0.00892391,0,0,0,0.105362,0.0181964,0.00277732,0,0.0117158,0,0.0264642,0.0035607,0.0457721,0.0581879,0.00709057,0.011299,0.0110509,0.00470666,0.00776782,0.00582614,0.0332026,0.00811158,0.00811655,0.00758544,0.0202203,0.121261,0.0114628,0.0179085,0.00266283,0.00611727,0.0153142,0.0186914,0.0055906,0,0,0.00731054,0,0.0124609,0.00272919,0.0359129,0.0411491,0.0222057,0.0250914,0.0060456,0.00879467,0.0202291,0.0124124,0.0144793,0.0135012,0.0139802,0.0115662,0.018859,0.034862,0.0100666,0.00332851,0.00210503,0.0112108,0.00772749,0,0,0,0,0,0
6,0,0,0,0,0,0,0.00512013,0.00910368,0,0,0,0.106689,0.0181801,0.00211142,0,0.0118038,0,0.0264251,0.00341288,0.0459731,0.0560011,0.00879368,0.0118972,0.0111131,0.00349253,0.00723868,0.00694777,0.0332399,0.00832698,0.00818877,0.0084046,0.0207375,0.119434,0.0115339,0.0178666,0.00313093,0.0053174,0.0153358,0.0183658,0.00565553,0,0,0.0073607,0,0.0124705,0.00264818,0.0361522,0.0418977,0.0215452,0.0247182,0.00615735,0.00890936,0.0199965,0.0119136,0.0144313,0.0136048,0.0135732,0.0119024,0.0189371,0.0348686,0.0101517,0.00334227,0.0021161,0.011077,0.00777767,0,0,0,0,0,0
7,0,0,0,0,0,0,0.00517301,0.00923725,0,0,0,0.108144,0.0181639,0.00130306,0,0.0118461,0,0.0263295,0.00338009,0.0462295,0.0539318,0.0101645,0.0123032,0.0112756,0.00337307,0.00711091,0.00789026,0.0330754,0.00854443,0.00833116,0.00898236,0.0209909,0.117998,0.0116915,0.0177939,0.00257467,0.00452449,0.0154398,0.0179517,0.00569444,0,0,0.0075021,0,0.0125891,0.00279383,0.0362098,0.0424233,0.0208012,0.0244379,0.00620958,0.00906402,0.0200114,0.0113433,0.0143208,0.0137209,0.0131345,0.0122721,0.0189588,0.0349712,0.0102074,0.00348343,0.00211932,0.0109871,0.00784276,0,0,0,0,0,0
8,0,0,0,0,0,0,0.00525639,0.00922039,0,0,0,0.109127,0.0182293,0.000742454,0,0.0119099,0,0.0261843,0.00341957,0.0465059,0.05235,0.0102503,0.0124753,0.0113625,0.00371596,0.00745197,0.00858409,0.0330194,0.00859402,0.00842686,0.00911004,0.0209344,0.117423,0.0118636,0.017703,0.00216041,0.00384272,0.0154926,0.0175719,0.00570515,0,0,0.00750036,0,0.0126545,0.00301601,0.0361934,0.0429372,0.0202995,0.0244014,0.00626991,0.00926953,0.0201236,0.0108465,0.014246,0.0138825,0.0126871,0.0126159,0.0189838,0.0348857,0.0102562,0.00363367,0.00216673,0.0109352,0.0079066,0,0,0,0,0,0
