Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LWRB,LILC
All Timesteps RMSE,0,0,0,0,0,0,0.0134227,0.0216096,0,0,0,0.103324,0.0171667,0.0163475,0,0,0.0113332,0,0.029731,0.00357078,0.0476851,0.0540788,0.0109628,0.0365806,0.0159134,0.0103738,0.0139346,0.0103947,0.028783,0.0107604,0.0128232,0.00812123,0.0162876,0.120113,0.0145287,0.0190041,0.0223704,0.0118355,0.018573,0.0210034,0,0,0.0205814,0,0.0106489,0.0134579,0.0380361,0.0315324,0.0141619,0.015281,0.0242732,0.0326536,0.00702036,0.0255418,0.00992957,0.00895796,0.015103,0.014754,0.014708,0.0175038,0.0426635,0.0198357,0.0115304,0.009638,0.0224696,0.0152933,0,0,0,0.00321784,0.0232616
0,0,0,0,0,0,0,0.0132578,0.0143318,0,0,0,0.106033,0.0175451,0.00776641,0,0,0.00969662,0,0.0290784,0.00293736,0.0476898,0.0609977,0.00768466,0.0214598,0.00956247,0.016123,0.0212876,0.0175209,0.0340227,0.00592383,0.00563061,0.00512845,0.0157513,0.119629,0.0120303,0.0185627,0.0126105,0.0118386,0.0112089,0.0231331,0,0,0.0195222,0,0.0107264,0.0118045,0.0383356,0.011482,0.0129357,0.0155793,0.0101241,0.0306102,0.00556448,0.0231678,0.00787697,0.00688118,0.00690716,0.0151398,0.00769997,0.00942064,0.033533,0.0183667,0.0103719,0.00969681,0.0124923,0.0153962,0,0,0,0,0
1,0,0,0,0,0,0,0.01268,0.0138966,0,0,0,0.105739,0.0175915,0.00764873,0,0,0.0101042,0,0.0288287,0.00322977,0.0479767,0.0608666,0.00846979,0.0206579,0.00945763,0.0142806,0.0190105,0.0150565,0.0325221,0.00586169,0.00551306,0.0045687,0.015138,0.120506,0.012214,0.0184568,0.0131602,0.0119167,0.0118732,0.0222356,0,0,0.0188226,0,0.0108182,0.0114192,0.0380844,0.012818,0.0126488,0.0151856,0.0101437,0.0299274,0.00535035,0.0228179,0.00784775,0.0069232,0.00674738,0.0149107,0.00775083,0.00970422,0.0338217,0.0174874,0.0103478,0.00968291,0.0115534,0.0143467,0,0,0,0,0
2,0,0,0,0,0,0,0.0126238,0.0138246,0,0,0,0.104859,0.0175481,0.00747417,0,0,0.0100815,0,0.0287886,0.00337675,0.048415,0.0602095,0.00922009,0.0206484,0.0093957,0.0124943,0.016829,0.0127779,0.031575,0.00551626,0.00510442,0.00366103,0.0150094,0.121219,0.0122474,0.018385,0.0126474,0.0119741,0.0122026,0.0221158,0,0,0.0187647,0,0.0108774,0.0115492,0.0378623,0.0132253,0.0125261,0.015034,0.0103271,0.029965,0.00515298,0.0228138,0.00746191,0.00684507,0.0068159,0.0147454,0.00791317,0.00973509,0.0343899,0.0172664,0.0103919,0.0088911,0.0110545,0.013891,0,0,0,0,0
3,0,0,0,0,0,0,0.0127521,0.0134764,0,0,0,0.102998,0.0174975,0.00824035,0,0,0.0100983,0,0.0287777,0.00334223,0.0487845,0.0591356,0.00967041,0.0207289,0.00935719,0.0110328,0.0150626,0.0105193,0.0307893,0.00531785,0.00488227,0.00276425,0.0150289,0.12202,0.0123934,0.0183393,0.0122652,0.0120563,0.0124933,0.0222049,0,0,0.0188512,0,0.0109394,0.0118077,0.0378209,0.0136772,0.0125198,0.0150781,0.0104174,0.0301581,0.00508645,0.022923,0.00708269,0.00682865,0.00698705,0.0145248,0.00806636,0.00977304,0.0348003,0.0172027,0.0103584,0.0078685,0.0107212,0.013639,0,0,0,0,0
4,0,0,0,0,0,0,0.0129695,0.013081,0,0,0,0.100659,0.0175137,0.00977664,0,0,0.0101749,0,0.0287203,0.00322748,0.0490886,0.0579566,0.00956168,0.0207709,0.00936553,0.00989276,0.0137679,0.00803751,0.0302277,0.00543221,0.00523617,0.00212237,0.0151249,0.1228,0.0125001,0.0183278,0.0119806,0.012106,0.0127525,0.022301,0,0,0.0188239,0,0.0110058,0.0118209,0.0378716,0.0143036,0.0125684,0.0152577,0.0104782,0.030277,0.00501604,0.0229815,0.00674748,0.00679105,0.00723867,0.0142976,0.00822531,0.0100156,0.0351947,0.0172673,0.0103154,0.00812913,0.0105863,0.0135074,0,0,0,0,0
5,0,0,0,0,0,0,0.0131203,0.013311,0,0,0,0.0987243,0.0175634,0.0114496,0,0,0.0102068,0,0.0286263,0.0031899,0.0492841,0.056804,0.00906264,0.0207962,0.00953868,0.00905454,0.0129116,0.00549233,0.0300337,0.00587222,0.00611131,0.00213565,0.0153728,0.123553,0.0125252,0.0183236,0.0116791,0.0121182,0.0127811,0.0222871,0,0,0.0187815,0,0.0110349,0.0117904,0.0379562,0.0149597,0.0126343,0.0154041,0.0105186,0.0303431,0.00495399,0.022973,0.00649885,0.00683377,0.0074262,0.0140859,0.00838837,0.010213,0.0355561,0.0172098,0.0102966,0.00842536,0.0106723,0.0134188,0,0,0,0,0
6,0,0,0,0,0,0,0.0132188,0.0137772,0,0,0,0.0975131,0.0175966,0.0129222,0,0,0.0101652,0,0.0286025,0.00319505,0.0493946,0.0554062,0.00882462,0.0208139,0.00974011,0.00862098,0.0128254,0.00331423,0.030195,0.00696289,0.00775274,0.00289717,0.0156652,0.1242,0.0125594,0.0183464,0.0113855,0.0121344,0.0128657,0.0222057,0,0,0.0187747,0,0.0110614,0.0117583,0.0380297,0.0156726,0.0127034,0.015574,0.0106187,0.0304015,0.0048864,0.0228817,0.00631148,0.00691394,0.00752902,0.0139306,0.00856076,0.0103161,0.0359139,0.0171425,0.0102795,0.00850337,0.01082,0.0133883,0,0,0,0,0
7,0,0,0,0,0,0,0.0133159,0.0141276,0,0,0,0.0970387,0.0176379,0.0142268,0,0,0.0100009,0,0.0286428,0.00317316,0.0494263,0.0540598,0.00904619,0.0209391,0.00984559,0.00846458,0.0134503,0.00337997,0.0307288,0.0084143,0.00988678,0.00410569,0.0159504,0.124899,0.0125648,0.0184069,0.0111071,0.012165,0.0129962,0.0221637,0,0,0.0187932,0,0.0110988,0.0117427,0.0381388,0.0163261,0.0127626,0.0157407,0.0107908,0.0304995,0.00495467,0.0227782,0.00622424,0.00708549,0.00759857,0.0138174,0.00868517,0.0103288,0.0361731,0.0171193,0.010276,0.00849259,0.0110195,0.0134727,0,0,0,0,0
8,0,0,0,0,0,0,0.0134703,0.0144298,0,0,0,0.0973989,0.0175929,0.0152438,0,0,0.00988298,0,0.028739,0.00306074,0.0494768,0.0526906,0.00977309,0.0214166,0.00990424,0.0087283,0.0146514,0.00575908,0.0316262,0.00996672,0.0122008,0.00554662,0.0163155,0.125516,0.012649,0.0184066,0.0107634,0.0121683,0.0131529,0.0222798,0,0,0.0189331,0,0.0111182,0.0119182,0.0383127,0.0169064,0.0128144,0.0158436,0.0111839,0.030713,0.00537352,0.0226413,0.00596939,0.00734349,0.00767806,0.013702,0.00879849,0.0103121,0.0364011,0.017299,0.0103275,0.00849287,0.0112545,0.0137823,0,0,0,0,0
