Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LANK,x73,LILC
All Timesteps RMSE,0,0,0,0,0,0,0.00415214,0.00761858,0,0,0,0.114803,0.0189979,0,0,0.00524971,0,0.0237469,0.00196344,0.0467665,0.0516342,0.00947415,0.0191613,0.00473455,0.00966629,0.0130762,0.0100196,0.0295351,0.00969533,0.0116004,0.00775709,0.0154297,0.112488,0.00443751,0.0168094,0.0279787,0.0153851,0.0164573,0.00412167,0,0,0.00682863,0,0.0135578,0.00374203,0.0387908,0.0311533,0.0228279,0.0121427,0.0116765,0.00655674,0.00770119,0.0262293,0.0100901,0.0100912,0.0141043,0.0221236,0.0131035,0.016181,0.0257191,0.00571031,0.00430383,0.00239322,0.00911856,0.00527993,0,0,0,0.0155096,0,0.039922
0,0,0,0,0,0,0,0.00400938,0.0119809,0,0,0,0.106567,0.0192238,0,0,0.00732152,0,0.0249216,0.00447212,0.0491761,0.0500847,0.00652206,0.0354067,0.00443044,0.00738571,0.015002,0.00903335,0.023843,0.0100196,0.0144931,0.00693993,0.0107418,0.0723496,0.00504575,0.0170108,0.0260331,0.0150458,0.0137483,0.00565745,0,0,0.0053569,0,0.01208,0.00406401,0.0377126,0.029663,0.0152256,0.00721531,0.0121035,0.00619687,0.00168935,0.0232541,0.00486725,0.00400014,0.0121189,0.0276213,0.0116966,0.0135435,0.0116848,0.00210616,0.00469915,0.00314312,0.013049,0.00677518,0,0,0,0,0,0
1,0,0,0,0,0,0,0.00460958,0.0118406,0,0,0,0.104969,0.0191063,0,0,0.00717408,0,0.0251031,0.00430607,0.0494777,0.0534875,0.00609926,0.0350426,0.00550706,0.00673975,0.0142888,0.0090784,0.0241608,0.00920775,0.0144885,0.0064032,0.0117339,0.0753007,0.00501325,0.0169644,0.0254279,0.0148718,0.0128547,0.00628623,0,0,0.00462818,0,0.0119273,0.00368953,0.0370283,0.0281772,0.0148973,0.00728089,0.0120191,0.00682228,0.00219395,0.0227176,0.00480802,0.0053585,0.0109813,0.0266437,0.0105634,0.0123806,0.0123059,0.00239212,0.00516595,0.00308177,0.0129575,0.00762732,0,0,0,0,0,0
2,0,0,0,0,0,0,0.00493442,0.0128923,0,0,0,0.10707,0.0190691,0,0,0.0070641,0,0.0251055,0.00413114,0.0493692,0.0556553,0.00816386,0.0349392,0.00605991,0.00822528,0.0167392,0.0106624,0.0254841,0.00922866,0.0154365,0.00477577,0.01361,0.0778036,0.00495213,0.0169294,0.024137,0.0148754,0.0119365,0.00701873,0,0,0.00378412,0,0.0119383,0.00360098,0.0370213,0.0272298,0.0143263,0.00786441,0.0123513,0.00745485,0.00281665,0.0222092,0.00477771,0.00587656,0.0100883,0.0255821,0.00948221,0.0116692,0.0127167,0.0034916,0.00521565,0.00299736,0,0.00798723,0,0,0,0.0156027,0,0
3,0,0,0,0,0,0,0.0048887,0.0116465,0,0,0,0.108693,0.0188698,0,0,0.00640984,0,0.025062,0.00364169,0.0495422,0.0577593,0.00801462,0.0322634,0.00682128,0.00802825,0.0162719,0.0106435,0.0257717,0.0091208,0.0155095,0.00444484,0.0143233,0.0813626,0.00498733,0.0169077,0.023697,0.0148214,0.0114947,0.0069594,0,0,0.00361791,0,0.0118751,0.00361816,0.0372278,0.0266615,0.0136553,0.00844706,0.011697,0.00786619,0.00349108,0.0221336,0.00488927,0.00592811,0.00962805,0.0249691,0.00889613,0.0112898,0.0129683,0.00330184,0.00503226,0.00300297,0.0122554,0.00791678,0,0,0,0.0157239,0,0
4,0,0,0,0,0,0,0.00486882,0.0116457,0,0,0,0.111771,0.0188208,0,0,0.00623612,0,0.0250493,0.00345276,0.0498593,0.0593196,0.00773365,0.0303499,0.00711966,0.00765738,0.0153175,0.0104884,0.0261083,0.00881254,0.0149858,0.00415741,0.0149342,0.0858838,0.00497503,0.0168899,0.0233668,0.0148931,0.0111888,0.00706549,0,0,0.00327003,0,0.0119357,0.00345011,0.0377598,0.0263303,0.0132218,0.0083969,0.0113981,0.00815583,0.00373618,0.0221414,0.00495322,0.00566791,0.00921874,0.0245367,0.008526,0.0110418,0.0132855,0.00371132,0.00512304,0.00303327,0.0120498,0.00772677,0,0,0,0.0160673,0,0
5,0,0,0,0,0,0,0.00488342,0.0115866,0,0,0,0.116484,0.0188712,0,0,0.00620517,0,0.0250747,0.00334656,0.0501365,0.059991,0.00809921,0.0286262,0.00713388,0.00731542,0.01454,0.0100523,0.026388,0.00888014,0.0145718,0.00405387,0.014987,0.0932266,0.00495597,0.0168906,0.0233032,0.0149495,0.0112349,0.00721313,0,0,0.00298797,0,0.0119806,0.00339659,0.0382918,0.0262289,0.0129746,0.0081477,0.0113044,0.0084869,0.00364251,0.022088,0.00478811,0.00511989,0.0091002,0.0241993,0.00830044,0.0110873,0.0133172,0.00413381,0.00506558,0.00306977,0.0121455,0.00751295,0,0,0,0.0164314,0,0
6,0,0,0,0,0,0,0.00492152,0.0114052,0,0,0,0.121248,0.0190129,0,0,0.00617485,0,0.0251061,0.00332051,0.0504003,0.0597327,0.00884108,0.0269609,0.00691135,0.00699683,0.0139482,0.00984121,0.0265724,0.00881272,0.0135159,0.00376177,0.0148161,0.103213,0.00492175,0.0169178,0.02326,0.0149725,0.0113716,0.0072689,0,0,0.00289923,0,0.0119933,0.00342189,0.0385569,0.0261205,0.0129738,0.00787558,0.0112754,0.00863324,0.00326556,0.0219347,0.00448106,0.00462597,0.00905541,0.0238636,0.00813913,0.0111825,0.013304,0.00449233,0.0048996,0.00311701,0.0124096,0.00729285,0,0,0,0.0169843,0,0
7,0,0,0,0,0,0,0.00493209,0.0111285,0,0,0,0.123573,0.0191757,0,0,0.00620287,0,0.0250504,0.00327849,0.0506192,0.0606209,0.00940912,0.0255079,0.00665002,0.00677462,0.0135108,0.0097725,0.0266891,0.00874655,0.0121429,0.00352249,0.0143874,0.110371,0.00488514,0.0169541,0.0229739,0.015098,0.0113531,0.00710481,0,0,0.00221496,0,0.0120989,0.00304235,0.0387254,0.026008,0.0131231,0.00745399,0.0112943,0.00847192,0.00311594,0.0217923,0.00456564,0.00465534,0.00911322,0.0234614,0.00801836,0.0116722,0.0132954,0.00498309,0.00451079,0.00296612,0.0125962,0.00707652,0,0,0,0.0185248,0,0
8,0,0,0,0,0,0,0.00513461,0.0110052,0,0,0,0.124036,0.0191147,0,0,0.00603526,0,0.0249767,0.00311032,0.0508272,0.0624358,0.00948092,0.0245797,0.00647351,0.00667963,0.0133457,0.00990323,0.0268609,0.00873507,0.0108227,0.00359347,0.0137343,0.111767,0.00478282,0.0168967,0.0221473,0.0150672,0.0108354,0.00712797,0,0,0.00251186,0,0.0120648,0.00311038,0.0383944,0.0256474,0.0133606,0.00704539,0.011489,0.00838723,0.00289346,0.0214204,0.0048406,0.00489525,0.00897039,0.0230274,0.00774356,0.0123432,0.0139633,0.00489934,0.00463898,0.00298659,0.0128455,0.00707911,0,0,0,0.0204175,0,0
