Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,L5FT,RILC,LILC,LWRB,RASI
All Timesteps RMSE,0,0,0,0,0,0,0.0133547,0.032893,0,0,0,0.020457,0.0207824,0,0,0.0108655,0,0.0244159,0.00532609,0.0399336,0.0610926,0.013432,0.0406489,0.0241646,0.0128459,0.0146361,0.010658,0.0240212,0.0119198,0.015048,0.0118385,0.0178282,0.118282,0.0154306,0.0169789,0.0314369,0.0158468,0.0188072,0.0161996,0,0,0.0266095,0,0.0108203,0.0154948,0.0466265,0.032004,0.025684,0.0352133,0.033371,0.0152521,0.0290566,0.0154471,0.0153081,0.0175723,0.0173079,0.0150652,0.0184468,0.0402989,0.00916296,0.0151289,0.00943776,0.0372223,0.0161161,0,0,0,0.109544,0.0429427,0.0481629,0.0026087,0.0271543
0,0,0,0,0,0,0,0.0154484,0.0474658,0,0,0,0.0226943,0.0279178,0,0,0.014493,0,0.0209336,0.00869614,0.0405083,0.013768,0.0133396,0.0580428,0.0435125,0.0110584,0.0117711,0.0152608,0.0157157,0.0117649,0.0178688,0.0157562,0.0167681,0.0717209,0.0119544,0.0219233,0.039661,0.018417,0.00964561,0.0160491,0,0,0.0241463,0,0.00836117,0.0125648,0.0498419,0.00798054,0.0347506,0.0400602,0.0433473,0.026218,0.0355875,0.0191949,0.0235211,0.0169144,0.0238297,0.0120314,0.0189872,0.0229624,0.0193758,0.0117039,0.00887668,0.0554677,0.0197498,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0114774,0.0462204,0,0,0,0.0225199,0.0291837,0,0,0.0112075,0,0.0206131,0.00760888,0.0413456,0.0157994,0.0139096,0.0591924,0.0376818,0.0110324,0.0113663,0.0155324,0.0152885,0.0123628,0.0182671,0.0166561,0.0174167,0.0696855,0.0121513,0.0209406,0.0403186,0.0180476,0.00817664,0.015665,0,0,0.0283844,0,0.00808375,0.0146832,0.0498353,0.0129546,0.0373075,0.0411712,0.0444016,0.0270358,0.0370908,0.0202908,0.0238218,0.0153098,0.0207587,0.00969667,0.0188292,0.026278,0.0204962,0.0138614,0.00937098,0.0548032,0.0166659,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.00902957,0.0447358,0,0,0,0.0223074,0.0308992,0,0,0.0105863,0,0.0205011,0.00718722,0.0418617,0.0179963,0.0143494,0.0591036,0.033232,0.0109989,0.0113004,0.0156323,0.014866,0.0127028,0.018747,0.0175739,0.0178521,0.0672655,0.0123836,0.020526,0.0394517,0.0178761,0.0058357,0.0152185,0,0,0.0307765,0,0.00772628,0.0160151,0.0498288,0.0182698,0.0380273,0.041002,0.0445252,0.0271679,0.0381003,0.020956,0.0236134,0.0138522,0.0193951,0.00847898,0.0187498,0.0286645,0.0206614,0.0154894,0.00961729,0.0539466,0.0142804,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.00752763,0.0434072,0,0,0,0.0221607,0.0327559,0,0,0.010953,0,0.0204698,0.00724747,0.042292,0.0205574,0.0149067,0.0587724,0.0298432,0.0110155,0.0113523,0.0157138,0.0144501,0.0129838,0.0193021,0.0184882,0.0182046,0.0645518,0.0124486,0.0203293,0.038756,0.0177967,0.00505207,0.0146805,0,0,0.0322054,0,0.00742346,0.0167258,0.0498444,0.0228797,0.0371758,0.0404085,0.0442281,0.0270017,0.0387696,0.0214168,0.0231843,0.0130667,0.0191437,0.00815598,0.0187878,0.0297192,0.0205507,0.0166302,0.00967315,0.0526975,0.0125458,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.00729413,0.0427355,0,0,0,0.0221268,0.0230238,0,0,0.0116822,0,0.0206245,0.007498,0.0416221,0.0197261,0.015201,0.0591214,0.027558,0.0107628,0.0106704,0.015893,0.0142091,0.0107986,0.0146962,0.0145779,0.0126723,0.074843,0.0127492,0.0201685,0.0386785,0.017645,0.00541721,0.0145841,0,0,0.0330269,0,0.00730175,0.0164316,0.0498028,0.0266324,0.0346461,0.0398654,0.0439051,0.0263853,0.0386223,0.0212464,0.0223531,0.0129802,0.0196107,0.00846155,0.0186654,0.029412,0.0202104,0.0173226,0.00938067,0.0518689,0.0120386,0,0,0,0.133019,0,0,0,0
5,0,0,0,0,0,0,0.00704879,0.0417549,0,0,0,0.0221321,0.024733,0,0,0.0123725,0,0.0207074,0.00772283,0.0417635,0.0227471,0.0154058,0.0588377,0.0253913,0.0106951,0.0102788,0.0157743,0.013519,0.0109094,0.0148429,0.0152313,0.01275,0.072414,0.0127432,0.0201421,0.0397014,0.0176168,0.00549719,0.0141611,0,0,0.0338957,0,0.00711659,0.0158895,0.0496888,0.0294825,0.0324832,0.0391039,0.0433176,0.0255266,0.0380359,0.0207478,0.021551,0.0132712,0.0198187,0.00868484,0.0181499,0.0288503,0.0196392,0.0179497,0.00869606,0.0508635,0.0114651,0,0,0,0.131522,0,0,0,0
6,0,0,0,0,0,0,0.00738778,0.0409935,0,0,0,0.0221604,0.0258612,0,0,0.0126257,0,0.0207269,0.0077778,0.0415587,0.0262196,0.0145056,0.058621,0.0237823,0.0103637,0.00929396,0.0152915,0.0129098,0.010617,0.0145098,0.0152785,0.0124549,0.0698755,0.0128522,0.0200765,0.0415334,0.0175183,0.00684358,0.0139718,0,0,0.0344325,0,0.00707804,0.0167773,0.0495305,0.0322819,0.0324506,0.0385019,0.0426206,0.0246422,0.0371162,0.0202034,0.020741,0.0142199,0.0196592,0.00898882,0.0182593,0.0284498,0.0187563,0.0184088,0.00853747,0.0501381,0.0115981,0,0,0,0.129963,0,0,0,0
7,0,0,0,0,0,0,0.00762524,0.0400147,0,0,0,0.022044,0.0264396,0,0,0.0130811,0,0.0206405,0.00792274,0.0420144,0.0275867,0.0114352,0.0576753,0.0221575,0.0107814,0.00960279,0.0152658,0.0118739,0.00881497,0.0130607,0.0135956,0.0113858,0.0659385,0.0128214,0.020058,0.0434859,0.0175396,0.00935524,0.0137789,0,0,0.0351428,0,0.00693309,0.0168361,0.0493079,0.0355911,0.0354683,0.0381693,0.0418862,0.0242283,0.0362326,0.0203702,0.0205849,0.0155338,0.0192085,0.00933311,0.0189224,0.0280662,0.018224,0.0189081,0.00941259,0.0492199,0.0114769,0,0,0,0.129935,0,0,0,0
8,0,0,0,0,0,0,0.0100179,0.0406094,0,0,0,0.021891,0.0252053,0,0,0.0132023,0,0.020881,0.00754127,0.0401988,0.0357974,0.0112907,0.059203,0.0231909,0.00880175,0.00682627,0.0125148,0.0127735,0.00996681,0.0135765,0.0139177,0.0107698,0.0679361,0.0137489,0.0198521,0.0447814,0.0169617,0.01118,0.015222,0,0,0.0347108,0,0.00756196,0.0176869,0.048934,0.0385142,0.0381874,0.0391477,0.0414475,0.0236353,0.0348689,0.0206324,0.0205997,0.016107,0.0189813,0.00951583,0.0191199,0.0279426,0.0171529,0.0186766,0.0109411,0.0499015,0.0143627,0,0,0,0.124196,0,0,0,0
