Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,RASI,LILC,RILC
All Timesteps RMSE,0,0,0,0,0,0,0.00821561,0.0112684,0,0,0,0.123485,0.0181128,0.0152224,0,0,0.00446401,0,0.0281193,0.00247715,0.0449581,0.0844314,0.020037,0.0159869,0.00836561,0.0196478,0.0249639,0.0149206,0.0289161,0.0136368,0.0152734,0.0102036,0.02052,0.190311,0.00783975,0.0173084,0.00251331,0.10385,0.0120183,0.0208638,0.00915993,0,0,0.0212607,0,0.0091652,0.0132117,0.0353403,0.033313,0.0206616,0.0144216,0.0144964,0.008412,0.0267895,0.0164265,0.0116896,0.0156882,0.0208007,0.0124611,0.0179945,0.065618,0.0166331,0.0124937,0.00602283,0.0134233,0.00744975,0,0,0,0.0081044,0.0404643,0.0251365
0,0,0,0,0,0,0,0.00938818,0.0157717,0,0,0,0.118642,0.0185254,0.0115744,0,0,0.00684901,0,0.0271189,0.00280021,0.0457696,0.0605004,0.0113656,0.0352027,0.00403182,0.00991899,0.00933413,0.0139514,0.0153409,0.00931581,0.0106049,0.00827556,0.0137881,0.20027,0.00839203,0.0167309,0.00117728,0.0981958,0.0124296,0.0217738,0.00890192,0,0,0.0105216,0,0.00945366,0.00448134,0.0340213,0.0313613,0.0169026,0.0035642,0.0177832,0.00681053,0.0301945,0.0270001,0.0121318,0.0108591,0.0288369,0.00781637,0.00491584,0.0636105,0.0155397,0.00694228,0.00355047,0.019631,0.00631483,0,0,0,0,0,0
1,0,0,0,0,0,0,0.00825183,0.0158465,0,0,0,0.12204,0.0185337,0.00355517,0,0,0.00714368,0,0.026901,0.00281952,0.0424672,0.0508622,0.0155878,0.0347785,0.00476199,0.0121945,0.0233238,0.007108,0.0229305,0.013371,0.0196088,0.00354761,0.0141403,0.186264,0.00819838,0.016669,0.00142321,0.100097,0.012196,0.0215527,0.00545844,0,0,0.0105592,0,0.00943629,0.00412229,0.0355484,0.0292885,0.0187792,0.00730686,0.0152753,0.00620205,0.0282356,0.0256031,0.0119445,0.0104794,0.027072,0.00594183,0.00542921,0.0620627,0.0144757,0.00695533,0.00329383,0.0192067,0.00369595,0,0,0,0,0,0
2,0,0,0,0,0,0,0.00962933,0.0169708,0,0,0,0.124106,0.0184335,0.0105411,0,0,0.00721627,0,0.0268589,0.00278902,0.0468368,0.0477948,0.0098113,0.0343257,0.00523252,0.0112712,0.0107791,0.0138012,0.0173389,0.00630771,0.00769631,0.00586175,0.0154788,0.192066,0.00818005,0.0166617,0.00161954,0.0998261,0.0124404,0.0205497,0.0102782,0,0,0.0126619,0,0.00950349,0.00527217,0.0343136,0.0275149,0.0193084,0.00659288,0.0192321,0.00615556,0.0276404,0.024724,0.0118892,0.00969521,0.0258591,0.00487522,0.0055777,0.0620862,0.0170576,0.00677393,0.0032006,0.0199241,0.00759233,0,0,0,0,0,0
3,0,0,0,0,0,0,0.00886516,0.0164001,0,0,0,0.126797,0.018317,0.0065615,0,0,0.00726229,0,0.0269263,0.00284242,0.0440483,0.0490361,0.0181257,0.0323888,0.00541269,0.0108995,0.0228163,0.00948443,0.0251852,0.0140121,0.0223137,0.00400973,0.0156852,0.179757,0.00826966,0.0166644,0.00163562,0.100149,0.0123159,0.0188412,0.00668302,0,0,0.012772,0,0.00951298,0.00505122,0.0362818,0.0246129,0.0189661,0.00822514,0.0166105,0.00522354,0.026681,0.0238248,0.011724,0.00820654,0.0240891,0.00396991,0.00623526,0.0607769,0.0159901,0.0066109,0.00305257,0.0202557,0.0046158,0,0,0,0,0,0
4,0,0,0,0,0,0,0.00926397,0.016497,0,0,0,0.127978,0.0182071,0.00840102,0,0,0.00738165,0,0.0270715,0.00286013,0.044637,0.0523362,0.0190325,0.0309922,0.0057435,0.0106874,0.0222592,0.0106688,0.0264099,0.0142428,0.0230964,0.00426561,0.0163851,0.178637,0.00818454,0.0166856,0.00154936,0.100135,0.0123835,0.0173346,0.00729263,0,0,0.0134759,0,0.00949773,0.00546801,0.0367498,0.0223409,0.018089,0.0090352,0.0173095,0.00472425,0.0261205,0.023312,0.0118982,0.00699045,0.0228545,0.00353026,0.00664526,0.0598846,0.0166414,0.0065002,0.00301259,0.0204988,0.00504391,0,0,0,0,0,0
5,0,0,0,0,0,0,0.010028,0.0168542,0,0,0,0.12868,0.018074,0.0116919,0,0,0.00795267,0,0.0272292,0.00281705,0.0461466,0.0570108,0.012814,0.0296566,0.00597842,0.00889721,0.0137101,0.00939071,0.0243516,0.00781251,0.0157668,0.00215883,0.016751,0.182248,0.00830082,0.0167333,0,0.100714,0.0124281,0.0165748,0.00948519,0,0,0.0138723,0,0.00943553,0.00584573,0.0362052,0.0207449,0.0172742,0.0096517,0.0192244,0.00435913,0.0257067,0.0227191,0.0119371,0.00631409,0.0219686,0.00325796,0.00710596,0.0586273,0.0177476,0.00688356,0.00313692,0.0203917,0.00678863,0,0,0,0,0,0
6,0,0,0,0,0,0,0.00969249,0.0166205,0,0,0,0.124705,0.0182243,0.00901604,0,0,0.00787299,0,0.0269534,0.00280595,0.0455366,0.0694106,0.0202526,0.027873,0.00659799,0.0109035,0.021299,0.0123818,0.0284519,0.0141324,0.0225434,0.0044376,0.0173017,0.178904,0.00817946,0.0166482,0.00150889,0.102589,0.0122865,0.0162113,0.00840638,0,0,0.0133656,0,0.00934332,0.00539263,0.0369785,0.0194332,0.0168723,0.01093,0.0183948,0.00386662,0.0249749,0.021644,0.0117632,0.00637859,0.0210974,0.00355507,0.00811775,0.0560977,0.0170466,0.0069179,0.00320806,0.0197563,0.00595575,0,0,0,0,0,0
7,0,0,0,0,0,0,0.009961,0.0167787,0,0,0,0.121361,0.0182194,0.00834216,0,0,0.00812764,0,0.0269384,0.00283615,0.0460219,0.0810324,0.0204152,0.0259144,0.00696994,0.0112067,0.0208721,0.012806,0.0291536,0.0140295,0.0218376,0.0044961,0.017538,0.180462,0.0082157,0.0166442,0.00197951,0.104251,0.0123028,0.0161403,0.00864302,0,0,0.0138288,0,0.00931219,0.00558574,0.0370108,0.0188287,0.0168117,0.0114922,0.0188489,0.00360762,0.024588,0.0205963,0.0114718,0.00673679,0.0204649,0.00380539,0.00879348,0.0539443,0.0173807,0.00700961,0.00326057,0.0196388,0.00616441,0,0,0,0,0,0
8,0,0,0,0,0,0,0.0102482,0.0169287,0,0,0,0.119677,0.0181867,0.00831798,0,0,0.00827039,0,0.0269785,0.00291958,0.0464681,0.0870942,0.0199007,0.023736,0.00715697,0.0113951,0.0205338,0.0130014,0.0295612,0.0137992,0.0206016,0.00449083,0.0174928,0.18232,0.0082478,0.0166433,0.00218031,0.105872,0.0123401,0.0162677,0.00873105,0,0,0.0141043,0,0.00930902,0.00580878,0.0369467,0.0185931,0.0168501,0.0118354,0.0191324,0.0033097,0.0241907,0.0196533,0.0110807,0.00702506,0.0200668,0.00391868,0.0092382,0.0519446,0.0176516,0.00708686,0.00332771,0.0198364,0.00630283,0,0,0,0,0,0
9,0,0,0,0,0,0,0.0105202,0.0170157,0,0,0,0.119375,0.0182168,0.00941782,0,0,0.00836447,0,0.0268264,0.00301387,0.046834,0.0860784,0.0201358,0.0215981,0.00727875,0.0114557,0.0202526,0.0131426,0.0297011,0.0135463,0.0191855,0.00436099,0.0172128,0.184272,0.00832961,0.0166125,0.002122,0.107358,0.0123678,0.0164668,0.00881315,0,0,0.0144236,0,0.00929985,0.00610519,0.0368003,0.0185496,0.0169581,0.0121997,0.0193649,0.00291377,0.0239017,0.0189329,0.0109377,0.0072103,0.0198513,0.00385971,0.00953971,0.0501382,0.0179735,0.00717027,0.00334224,0.0201885,0.0064783,0,0,0,0,0,0
10,0,0,0,0,0,0,0.0107779,0.0171277,0,0,0,0.119807,0.0183028,0.0104919,0,0,0.00843694,0,0.0266976,0.00309862,0.0470695,0.0832167,0.0205384,0.0195117,0.00732009,0.0114754,0.019731,0.0130862,0.029639,0.0129008,0.0178664,0.00411877,0.0168483,0.186469,0.00839154,0.0166045,0.00195721,0.108702,0.0123788,0.0167641,0.00893449,0,0,0.0147031,0,0.00927001,0.00638481,0.0365402,0.0186704,0.017068,0.0124746,0.0195432,0.00252549,0.0236551,0.0183771,0.0110266,0.00723193,0.019797,0.00371365,0.00982175,0.0485959,0.0182474,0.00726785,0.00327553,0.0207916,0.00672082,0,0,0,0,0,0
