Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,,RTHI
All Timesteps RMSE,0.0229261,0,0,0,0,0.0253963,0,0,0,0,0,0,0.042068,0.0360277,0.0443031,0.0229711,0,0,0.059232,0,0.046907,0.0398657,0.034153,0.0491712,0.0206532,0.0105044,0.0245875,0.0286671,0.014342,0.0144134,0.0118333,0.0381535,0.0157562,0.0205971,0.0250648,0.0199317,0.0479885,0.0462522,0.0290353,0.0323151,0.0182659,0.0280912,0.0163575,0.0249924,0.0260396,0,0,0.0567111,0,0.0371636,0.0332843,0.042214,0.0284359,0.0209125,0.018482,0.0183653,0.0474973,0.027454,0.0225812,0.0252943,0.0182438,0.0373105,0.016205,0.0201296,0.0251153,0.0492401,0.0404287,0.0280758,0.0250603,0.0195437,0,0,0,0,0.0232023
0,0.0640129,0,0,0,0,0.062102,0,0,0,0,0,0,0.0515199,0.019601,0.0467014,0.0105273,0,0,0.0676543,0,0.0555453,0.0323949,0.0313369,0.0417368,0.0304718,0.00808001,0.0250615,0.0689717,0.0163543,0.0155496,0.0119129,0.0335285,0.0161472,0.0224523,0.0246926,0.0195974,0.053664,0.0681166,0.0174093,0.0364234,0.011344,0.0206169,0.0110257,0.0136625,0.0514537,0,0,0.0505829,0,0.0380521,0.0146985,0.0423309,0.0130205,0.0270008,0.00981368,0.0248708,0.0712929,0.0271118,0.0197282,0.022547,0.0127119,0.0412303,0.0113357,0.0114239,0.015083,0.0539892,0.0361456,0.0197891,0.0579951,0.0458911,0,0,0,0,0
1,0.0630363,0,0,0,0,0.0610029,0,0,0,0,0,0,0.0504223,0.0196236,0.0462348,0.010814,0,0,0.0669354,0,0.0556843,0.0322277,0.0313513,0.0416696,0.0301436,0.00823918,0.0242887,0.0686758,0.0165403,0.0159255,0.0118006,0.0332548,0.0162184,0.0223346,0.0247616,0.0197857,0.0527134,0.0678371,0.0177006,0.0365784,0.0114838,0.0205457,0.0111302,0.0138517,0.0508343,0,0,0.0493703,0,0.0373053,0.0142474,0.0423084,0.0128796,0.0269051,0.00956062,0.0241855,0.0702727,0.0271157,0.0197203,0.0224735,0.0127971,0.0412502,0.0113577,0.0114767,0.0151487,0.0531928,0.035429,0.0206193,0.0569914,0.0450278,0,0,0,0,0
2,0.0622309,0,0,0,0,0.0600818,0,0,0,0,0,0,0.05031,0.0195127,0.046154,0.0108897,0,0,0.0666395,0,0.0557944,0.0324007,0.0313288,0.0416669,0.0298779,0.00826065,0.0236408,0.0683638,0.0165575,0.0158999,0.0118499,0.0331792,0.0161802,0.0222679,0.0247208,0.0198171,0.0525971,0.0677636,0.0180362,0.0369935,0.0115177,0.020683,0.0111617,0.0140215,0.0504481,0,0,0.0486704,0,0.0366946,0.0142547,0.0422652,0.0128007,0.0267602,0.00962438,0.0235304,0.0693913,0.0271577,0.0197336,0.0225323,0.0128342,0.041284,0.0113119,0.0114206,0.015193,0.052869,0.0339418,0.0215642,0.0560746,0.0443355,0,0,0,0,0
3,0.0617208,0,0,0,0,0.0594877,0,0,0,0,0,0,0.0502725,0.0192931,0.0461297,0.0108687,0,0,0.0668112,0,0.0558856,0.0329027,0.0312961,0.0416649,0.0297036,0.00833131,0.0231091,0.0685077,0.0165453,0.015883,0.0118673,0.0331674,0.0161787,0.0222489,0.0246993,0.0198344,0.0525687,0.0682385,0.0181938,0.0379005,0.011402,0.0208148,0.0111255,0.0141618,0.0503195,0,0,0.0481056,0,0.0363695,0.0143741,0.042287,0.0128123,0.0267832,0.0096808,0.0229331,0.0686801,0.0271433,0.0197387,0.0224846,0.0128223,0.0412613,0.0112538,0.0114161,0.0152024,0.0527589,0.0324639,0.0223848,0.0554164,0.0438842,0,0,0,0,0
4,0.0616619,0,0,0,0,0.0593557,0,0,0,0,0,0,0.0502784,0.0186495,0.0461522,0.0108826,0,0,0.0683531,0,0.0553016,0.0342855,0.0312638,0.041648,0.0295818,0.00836349,0.0226446,0.0694938,0.0165328,0.015873,0.011872,0.0331519,0.0161921,0.0222608,0.0247043,0.0198575,0.0525671,0.070192,0.0180059,0.0400462,0.0113273,0.0208752,0.0110339,0.0142594,0.0505908,0,0,0.0476684,0,0.0362041,0.0144835,0.0423405,0.0127436,0.026926,0.00974661,0.0223476,0.0682892,0.0271403,0.0196945,0.0223654,0.0127445,0.0412001,0.0111914,0.0113916,0.0151708,0.0525194,0.0312469,0.0229259,0.0551417,0.0437766,0,0,0,0,0
5,0.0614686,0,0,0,0,0.0615706,0,0,0,0,0,0,0.0496095,0.0210352,0.0456662,0.0102614,0,0,0.052098,0,0.0509328,0.0285046,0.0318146,0.0413532,0.0320695,0.00851681,0.0284994,0.0639223,0.0166736,0,0.0120007,0.0337366,0.0165696,0.0224699,0.0249189,0.0199578,0.0519696,0.0550887,0.0159808,0.0294211,0.0115854,0.0208297,0.0114012,0.0144568,0.051398,0,0,0.0477129,0,0.0359911,0.0149232,0.0423102,0.0134804,0.0268288,0.00947053,0.0284521,0.0697141,0.0272782,0.0202939,0.0227197,0.0128894,0.0415021,0.0116558,0.0115558,0.0155468,0.0535269,0.030547,0.0232427,0.05789,0.0424944,0,0,0,0,0
6,0.061253,0,0,0,0,0.0612784,0,0,0,0,0,0,0.050307,0.0212071,0.0458195,0.0103097,0,0,0.0517865,0,0.0509459,0.0285303,0.0317474,0.0412135,0.0319308,0.00841052,0.0283615,0.0638496,0.0164138,0.0159507,0.0117804,0.033732,0.0164387,0.022453,0.024832,0.0198452,0.0525302,0.0547335,0.0159393,0.0290442,0.0115524,0.0206607,0.0113359,0.0144528,0.0512044,0,0,0.0477022,0,0.0358382,0.0147167,0.0423097,0.0133735,0.0266518,0.00941368,0.0283328,0.0691853,0.027282,0.020237,0.0226859,0.012869,0.0414537,0.0115789,0.0115272,0.0155129,0.0532221,0.0304347,0.0232594,0.0576397,0.0422192,0,0,0,0,0
7,0.061287,0,0,0,0,0.0611748,0,0,0,0,0,0,0.0506304,0.0212823,0.0460073,0.0102591,0,0,0.0517211,0,0.0509166,0.0285842,0.0316945,0.0412539,0.0317982,0.00853395,0.0282262,0.0639398,0.0163926,0.0158818,0.0117606,0.0337458,0.0164328,0.0224911,0.0248965,0.0197892,0.0527992,0.0547058,0.0158226,0.0288501,0.0115523,0.0204727,0.0112562,0.0144226,0.0513049,0,0,0.0477639,0,0.0357903,0.0146278,0.0423139,0.0132619,0.0266451,0.00950217,0.0281256,0.0689128,0.0272827,0.0202239,0.0226794,0.0128363,0.0414008,0.0115221,0.0114673,0.0154535,0.0529708,0.030529,0.0232023,0.0575916,0.0421858,0,0,0,0,0
8,0.0674214,0,0,0,0,0.0638337,0,0,0,0,0,0,0.0497353,0.0166665,0.0456746,0.0108284,0,0,0.0805044,0,0.0533125,0.0383634,0.0312192,0.0412091,0.0291514,0.00872537,0.0221413,0.0746112,0.0163988,0.0157995,0.0116813,0.0333622,0.0163552,0.0222486,0.024775,0.0199459,0.0520104,0.0788416,0.0226303,0.0354155,0.0109614,0.0202276,0.010595,0.014256,0.0538466,0,0,0.0469307,0,0.0358005,0.0137803,0.0423265,0.0122662,0.0262128,0.00969206,0.0217764,0.0680512,0.0273056,0.0193809,0.0220566,0.0125485,0.0408406,0.0109269,0.0112712,0.0147492,0.0516897,0.0303565,0.0225654,0.0593737,0.0474284,0,0,0,0,0
