Timestep,C7,CBL,CBR,CFL,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x72,x73,CFR
All Timesteps RMSE,0.0214659,0,0,0,0.0267546,0,0,0,0,0,0,0.0403909,0.0346906,0.0442222,0.0282523,0,0,0.0655605,0,0.0475246,0.0423506,0.0329018,0.0503314,0.0163132,0.0104705,0.0334701,0.0267534,0.012665,0.0123764,0.0106407,0.0389771,0.0151001,0.0196887,0.024798,0.0199707,0.0481763,0.0513704,0.0260987,0.0324901,0.0298677,0.0321561,0.0267151,0.0302841,0.0204322,0,0,0.0691918,0,0.0369917,0.0350607,0.0427421,0.0370968,0.0212963,0.0209064,0.0234611,0.0459313,0.0195162,0.0259383,0.0191834,0.0220823,0.0170017,0.0334302,0.0143391,0.019681,0.0387404,0.0581194,0.0371966,0.0247944,0.0272378,0.0172558,0,0,0,0
0,0.0690042,0,0,0,0.0643195,0,0,0,0,0,0,0.0524181,0.0206201,0.046976,0.0148624,0,0,0.0636097,0,0.0572638,0.0254751,0.0281047,0.0397796,0.027428,0.0072052,0.0183465,0.0725218,0.0137234,0.0130247,0.00941067,0.031955,0.0141859,0.0197157,0.0226509,0.0186041,0.0559285,0.0640076,0.0159544,0.0290051,0.0360298,0.0187121,0.0311411,0.0164221,0.054302,0,0,0.0638484,0,0.0382964,0.0193011,0.0419048,0.0306815,0.0275356,0.0174432,0.0160989,0.0682923,0.0206068,0.02239,0.0186825,0.0238636,0.00934391,0.0372632,0.0070317,0.00779544,0.0379757,0.0599242,0.0374762,0.0216544,0.0592724,0.0461825,0,0,0,0
1,0.0612139,0,0,0,0.060486,0,0,0,0,0,0,0.0522512,0.0209966,0.0469726,0.0131426,0,0,0.063313,0,0.0580519,0.0246595,0.0277918,0.0391889,0.0288868,0.00726717,0.0226501,0.0732072,0.0146301,0.0136992,0.009686,0.0318736,0.014782,0.0203426,0.0229238,0.0187311,0.055948,0.0640481,0.0162704,0.0294637,0.0354443,0.0181069,0.0305794,0.0146789,0.0429586,0,0,0.0428643,0,0.0404143,0.0117695,0.0424493,0.0299646,0.0289844,0.016417,0.0202684,0.0620482,0.0204942,0.0225168,0.0184825,0.0233655,0.00856562,0.0371897,0.00723436,0.00678697,0.0370337,0.046847,0.0490114,0.0204241,0.057107,0.0389358,0,0,0,0
2,0.0610581,0,0,0,0.0603857,0,0,0,0,0,0,0.0523102,0.020956,0.0472349,0.0131248,0,0,0.0634976,0,0.0581826,0.0247465,0.0277631,0.0391251,0.0289322,0.00729354,0.022667,0.0735237,0.0153078,0.0136916,0.00971785,0.0318585,0.0148182,0.0204515,0.0229446,0.0187297,0.0559543,0.064185,0.0164798,0.0298789,0.0354009,0.0181307,0.0305498,0.0146521,0.0427526,0,0,0.0428682,0,0.040477,0.0118148,0.0425182,0.0298536,0.0292343,0.0163774,0.0201365,0.0619934,0.0204975,0.0225406,0.0184816,0.0233346,0.00848651,0.0371977,0.00725121,0.00666642,0.0369443,0.0468545,0.0491979,0.0204675,0.0570662,0.0388153,0,0,0,0
3,0.0609494,0,0,0,0.0602931,0,0,0,0,0,0,0.0522647,0.0207853,0.0473556,0.0130387,0,0,0.0641205,0,0.0582833,0.0252612,0.0277163,0.0392217,0.0290486,0.00732119,0.0226346,0.0743038,0.0152309,0.0137312,0.00978461,0.03183,0.0148257,0.0204998,0.0229695,0.0187886,0.0558682,0.0649689,0.0168334,0.0309405,0.0353012,0.0181685,0.0304481,0.0145864,0.0425928,0,0,0.0429667,0,0.0406108,0.0118922,0.0426389,0.0296129,0.0297459,0.0162333,0.0200305,0.0620065,0.0205102,0.0225828,0.0184667,0.0232578,0.00832655,0.0371955,0.00727998,0.00643671,0.0367641,0.0469269,0.0493974,0.0205787,0.0569801,0.0387729,0,0,0,0
4,0.0610791,0,0,0,0.060368,0,0,0,0,0,0,0.0520756,0.020428,0.0471895,0.013202,0,0,0.0658755,0,0.0583296,0.0265273,0.0276755,0.0393427,0.0288422,0.00734237,0.0223729,0.0757606,0.0154957,0.013743,0.00980951,0.0318137,0.0148042,0.020473,0.0229604,0.0188445,0.0557052,0.0668507,0.0174576,0.0326781,0.0352767,0.0181635,0.030365,0.0146447,0.0424637,0,0,0.0430652,0,0.0407209,0.0118951,0.0426682,0.0296511,0.0297649,0.0162651,0.0197934,0.0620383,0.0204497,0.0226044,0.018415,0.0232313,0.00834116,0.0371576,0.00724498,0.00648059,0.0367391,0.0469877,0.0496564,0.0204676,0.0570241,0.0389294,0,0,0,0
5,0.063029,0,0,0,0.0635712,0,0,0,0,0,0,0.0525804,0.0205158,0.0468006,0.0111286,0,0,0.049446,0,0.0534301,0.0233942,0.0282435,0.0390746,0.0319166,0.00713,0.0292687,0.0748621,0.0146442,0.0136409,0.00964239,0.0323536,0.014862,0.020561,0.02304,0.018565,0.056179,0.0542574,0.0150945,0.0267274,0.0350548,0.0182108,0.0301671,0.0136435,0.0441554,0,0,0.0433945,0,0.0407668,0.0123483,0.0427479,0.0293389,0.0302437,0.0157157,0.0272932,0.0641738,0.021066,0.0226032,0.0188446,0.0234475,0.0077497,0.0375122,0.0077068,0.00528439,0.0361683,0.0482393,0.0497875,0.02036,0.060665,0.0391821,0,0,0,0
6,0.0630424,0,0,0,0.0634631,0,0,0,0,0,0,0.0523961,0.0207605,0.0466308,0.0110374,0,0,0.0488552,0,0.0536637,0.0228502,0.0282167,0.039097,0.0319092,0.00710095,0.028986,0.0751887,0.0142859,0.0136352,0.00963137,0.0323164,0.0148613,0.0205793,0.0230346,0.0186083,0.055925,0.0535028,0.016094,0.0259992,0.0348471,0.0181365,0.0299756,0.0135834,0.0438734,0,0,0.0433112,0,0.0408315,0.0122844,0.0428317,0.0291896,0.0304829,0.0156154,0.0268801,0.0637688,0.0209278,0.022692,0.0187457,0.0233264,0.00760081,0.0374945,0.00772218,0.00512724,0.0359412,0.0479469,0.0500714,0.0200505,0.0605497,0.039321,0,0,0,0
7,0.0628044,0,0,0,0.0631134,0,0,0,0,0,0,0.0523728,0.020955,0.0466781,0.0111122,0,0,0.0484648,0,0.0538372,0.0223351,0.0282052,0.0390989,0.0317532,0.00709347,0.028497,0.0754704,0.0142444,0.0136161,0.00961414,0.032362,0.014827,0.0206421,0.0230232,0.0186334,0.0559146,0.0529251,0.01734,0.0256438,0.0348308,0.0180483,0.0299349,0.0136475,0.0433896,0,0,0.0434455,0,0.0408225,0.0121816,0.0428296,0.029202,0.0303732,0.0156629,0.0263813,0.0633168,0.0208516,0.0227121,0.0187311,0.0233201,0.00763986,0.0375224,0.00769177,0.00519573,0.0359551,0.0477673,0.0503724,0.0197388,0.0602544,0.0392665,0,0,0,0
8,0.0623386,0,0,0,0.0625987,0,0,0,0,0,0,0.0523702,0.0211723,0.0467505,0.0114559,0,0,0.0479306,0,0.0539463,0.0217952,0.0282329,0.0391349,0.0313124,0.00711296,0.0277346,0.0757214,0.0142314,0.0136265,0.0095876,0.0324941,0.0148205,0.0206468,0.0230129,0.0186512,0.0559268,0.0522187,0.0187269,0.0253807,0.0350343,0.0179013,0.0302045,0.0138614,0.0426221,0,0,0.0437231,0,0.0407086,0.0120103,0.0426928,0.0294327,0.0297453,0.0161119,0.025754,0.0627037,0.0208333,0.0226692,0.0187876,0.0234623,0.00789656,0.0375605,0.00761891,0.00554012,0.0362014,0.0476046,0.0506955,0.019374,0.0598432,0.0389818,0,0,0,0
