Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x71,x73,x79,
All Timesteps RMSE,0.0282003,0,0,0,0,0.02831,0,0,0,0,0,0,0.0233302,0.0369125,0.0220381,0.0261128,0,0,0.0581713,0,0.0474674,0.0387209,0.0332984,0.0290776,0.0195209,0.0119819,0.0301705,0.0273574,0.0088363,0.00904173,0.0100368,0.0469457,0.0136201,0.0151926,0.0158685,0.0295963,0.0222781,0.044388,0.0270977,0.0305426,0.0297956,0.031545,0.0262393,0.0265269,0.024973,0,0,0.0648859,0,0.0312665,0.0322726,0.0434085,0.0342501,0.023329,0.0187289,0.0216421,0.0415222,0.0169232,0.031295,0.0129444,0.0148181,0.0158924,0.0355854,0.0144398,0.0181341,0.0339954,0.0520268,0.0340505,0.0378243,0.0282822,0.0191584,0,0,0,0
0,0.02142,0,0,0,0,0.0183245,0,0,0,0,0,0,0.0106856,0.0426762,0.0186004,0.0227424,0,0,0.0570918,0,0.0477729,0.0361964,0.0357346,0.0402003,0.0115118,0.0183025,0.0327943,0.0199969,0.0131846,0.012734,0.0133029,0.0546587,0.0104371,0.0105937,0.0177805,0.0238663,0.0213018,0.0447727,0.0274773,0.0212861,0.0267509,0.0396273,0.0248309,0.027976,0.0190242,0,0,0.076764,0,0.0352157,0.0390384,0.0443055,0.0206494,0.0235317,0.0105541,0.0139136,0.0408563,0.0102112,0.0282518,0.0131688,0.0147271,0.00296509,0.0346006,0.00820939,0.00385339,0.0246453,0.0603088,0.0371171,0.025431,0.0200501,0.014809,0,0,0,0
1,0.0214591,0,0,0,0,0.0179491,0,0,0,0,0,0,0.00979642,0.0425543,0.0158212,0.0226419,0,0,0.0577947,0,0.0477408,0.0365481,0.0354376,0.036714,0.0114477,0.0184069,0.0330126,0.0207611,0.013374,0.0136166,0.0133617,0.0542078,0.010039,0.0101158,0.0164608,0.0232521,0.0208026,0.0453244,0.027344,0.0214359,0.0265455,0.0395916,0.0244969,0.0278788,0.0195609,0,0,0.0764901,0,0.0353516,0.0387014,0.0442822,0.0201596,0.0236756,0.0100632,0.0134748,0.0408243,0.0103817,0.0284545,0.0124966,0.0145035,0.00311083,0.0346877,0.00836493,0.00382728,0.0239283,0.0602084,0.0371522,0.0253943,0.0198774,0.0150475,0,0,0,0
2,0.0113089,0,0,0,0,0.0209318,0,0,0,0,0,0,0.00892852,0.0429396,0.0145075,0.0220584,0,0,0.0398468,0,0.0502281,0.0262966,0.0348812,0.0347902,0.0112334,0.0185235,0.0325724,0.0105934,0.0135204,0.0147196,0.0135111,0.0536079,0.00944235,0.00969046,0.0157808,0.0232406,0.0206041,0.030532,0.0283908,0.0161796,0.0263479,0.0400133,0.0240073,0.0269767,0.0226051,0,0,0.065359,0,0.038178,0.0333025,0.0444185,0.0195949,0.0241368,0.00953784,0.012714,0.0515564,0.0101087,0.0286689,0.0125086,0.0142669,0.00295382,0.0344946,0.00825952,0.00373812,0.0227201,0.0566807,0.0366794,0.022648,0.0234188,0.0132459,0,0,0,0
3,0.0207411,0,0,0,0,0.0176806,0,0,0,0,0,0,0.00839902,0.0423693,0.0133682,0.0218853,0,0,0.0580471,0,0.0475924,0.0365196,0.0348765,0.0333127,0.011329,0.0181105,0.0333104,0.0198663,0.0136599,0.0156048,0.0138623,0.0534709,0.00899549,0.00937075,0.0152969,0.0232762,0.0206399,0.0451301,0.0270889,0.0216082,0.0265662,0.0396966,0.0240066,0.0269645,0.0191872,0,0,0.075723,0,0.0354875,0.0388401,0.0442696,0.0195801,0.023544,0.00917882,0.012648,0.0408068,0.0100695,0.028739,0.0126251,0.0142703,0.00307051,0.0346511,0.00837431,0.00368504,0.0222632,0.0599718,0.0369703,0.0252211,0.01976,0.0142319,0,0,0,0
4,0.0206988,0,0,0,0,0.0175822,0,0,0,0,0,0,0.00833331,0.0423633,0.0123915,0.0216947,0,0,0.0579379,0,0.0475865,0.0363371,0.034644,0.0316842,0.0113391,0.0179821,0.0335242,0.0200568,0.0141146,0.0162811,0.0141783,0.0526928,0.00850307,0.0087031,0.0147144,0.0235599,0.0210679,0.0450353,0.0270833,0.021674,0.0268258,0.0397151,0.0240568,0.0264211,0.0195865,0,0,0.0757212,0,0.0354201,0.0388628,0.0443079,0.0196257,0.0235525,0.00832285,0.0123838,0.0407539,0.0101126,0.0289605,0.0121261,0.0140093,0.00310699,0.0346534,0.00859161,0.00378339,0.0220715,0.0598751,0.0368454,0.0252036,0.0198126,0.0142882,0,0,0,0
5,0.0206142,0,0,0,0,0.0175435,0,0,0,0,0,0,0.0082252,0.0423432,0.0115383,0.0215336,0,0,0.0578536,0,0.047576,0.0362459,0.034463,0.030139,0.0114966,0.0177901,0.0336777,0.0201474,0.0144578,0.0165416,0.0143541,0.0516622,0.00796642,0.00770145,0.0137183,0.024101,0.021753,0.0449128,0.0270201,0.02192,0.0267305,0.0397049,0.0238284,0.0257867,0.0199167,0,0,0.0756765,0,0.035358,0.0388865,0.0443486,0.0193222,0.0235575,0.00741542,0.0121835,0.0408361,0.0102147,0.0290503,0.0114115,0.0137143,0.00319647,0.0345477,0.00872983,0.0039336,0.0216508,0.0598663,0.0367487,0.0251359,0.0199122,0.0143205,0,0,0,0
6,0.0131356,0,0,0,0,0.0208838,0,0,0,0,0,0,0.00811203,0.0426326,0.0111412,0.0211044,0,0,0.0439978,0,0.0494622,0.0285274,0.0340007,0.0284797,0.0115446,0.0179123,0.0328822,0.0108178,0.0146629,0.0174956,0.0146094,0.0505515,0.00718126,0.00652554,0.0127018,0.0249538,0.022457,0.033231,0.0278648,0.0178746,0.0262219,0.0400098,0.0232731,0.0245585,0.0232583,0,0,0.0652031,0,0.0380869,0.0334174,0.0445797,0.018632,0.024143,0.00675377,0.0113978,0.0510127,0.0100205,0.0292286,0.0105713,0.0135339,0.00314434,0.0343195,0.00860481,0.00399054,0.0207654,0.0562323,0.0362795,0.0224576,0.0230795,0.015086,0,0,0,0
7,0.0198193,0,0,0,0,0.0176398,0,0,0,0,0,0,0.00820024,0.0421474,0.0110322,0.0213049,0,0,0.0578851,0,0.0475877,0.0366373,0.0341022,0.0268374,0.0120397,0.0174504,0.0339804,0.0186312,0.0149633,0.0179405,0.0147135,0.0502437,0.00643532,0.00554265,0.0119203,0.0257677,0.0231835,0.0445724,0.0269153,0.0222649,0.0261968,0.0397178,0.0232357,0.0247681,0.0195016,0,0,0.0753566,0,0.0355083,0.038692,0.0444814,0.0184468,0.0235836,0.00681038,0.0119149,0.0409959,0.0100925,0.0292185,0.00951658,0.0137889,0.00313232,0.0342607,0.00856961,0.00391569,0.0204911,0.0597738,0.0365483,0.0249047,0.0201411,0.0136151,0,0,0,0
8,0.0210837,0,0,0,0,0.0190367,0,0,0,0,0,0,0.00844753,0.0420487,0.0113165,0.0212228,0,0,0.0577476,0,0.0476456,0.0367253,0.0339618,0.0252218,0.0124622,0.0173313,0.0342648,0.0184545,0.0149732,0.0182317,0.014839,0.0498789,0.00566561,0.00458944,0.0112172,0.0267274,0.0239114,0.044456,0.0269129,0.022389,0.0263446,0.0396469,0.0233689,0.02458,0.0215182,0,0,0.0763892,0,0.0352195,0.0390895,0.0446069,0.0185052,0.0235525,0.00662138,0.0119383,0.0411875,0.0101573,0.0293006,0.00898973,0.0138536,0.00310154,0.0340486,0.00867001,0.00402401,0.0203774,0.0603081,0.03644,0.0250881,0.0216731,0.0144144,0,0,0,0
