Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,-0.0841522
1,1,-0.0876236
1,2,-0.0349045
1,3,0.00591278
1,4,0.0364685
1,5,0.0572205
1,6,0.101433
1,7,0.101089
1,8,0.0978851
1,9,0.0671768
2,0,0.101128
2,1,0.0500488
2,2,0.08564
2,3,0.0341415
2,4,-0.0170135
2,5,-0.0331116
2,6,-0.0137711
2,7,-0.0388336
2,8,0.00919342
2,9,0.0183105
3,0,0.0307083
3,1,0.0462341
3,2,0.0849152
3,3,0.128784
3,4,0.109482
3,5,0.123177
3,6,0.100899
3,7,0.129509
3,8,0.10006
3,9,0.0769424
4,0,0.03685
4,1,-0.0220871
4,2,-0.000572205
4,3,-0.0247192
4,4,-0.0102234
4,5,0.0364304
4,6,0.0631332
4,7,0.0706482
4,8,0.0913239
4,9,0.120773
5,0,0.0935745
5,1,0.129738
5,2,0.124321
5,3,0.0779724
5,4,0.114174
5,5,0.101967
5,6,0.0737762
5,7,0.0191879
5,8,-0.00354767
5,9,-0.0603867
6,0,-0.0123596
6,1,-0.00228882
6,2,0.00286102
6,3,0.0413132
6,4,0.0749207
6,5,0.095253
6,6,0.111694
6,7,0.0976181
6,8,0.141029
6,9,0.103111
7,0,0.0857544
7,1,0.0864792
7,2,0.0588226
7,3,0.0381851
7,4,-0.00926971
7,5,-0.0615311
7,6,-0.0759125
7,7,-0.057106
7,8,-0.0371933
7,9,-0.0450897
8,0,0.00957489
8,1,0.0289154
8,2,0.0642014
8,3,0.0608826
8,4,0.0671005
8,5,0.0606155
8,6,0.0346756
8,7,0.0541306
8,8,0.023613
8,9,0.0416565
9,0,-0.0446701
9,1,-0.100098
9,2,-0.109825
9,3,-0.112915
9,4,-0.120888
9,5,-0.0554657
9,6,-0.0163269
9,7,-0.015564
9,8,0.00827789
9,9,0.0350189
10,0,0.0123978
10,1,0.0630951
10,2,-0.0127029
10,3,0.00366211
10,4,0.0120926
10,5,-0.0170517
10,6,-0.0364685
10,7,-0.0785065
10,8,-0.124054
10,9,-0.154152
11,0,-0.149498
11,1,-0.131378
11,2,-0.0955963
11,3,-0.0791168
11,4,-0.0367355
11,5,-0.0313568
11,6,-0.000114441
11,7,0.0170135
11,8,0.0145721
11,9,-0.00785828
12,0,-0.0294876
12,1,-0.0350189
12,2,-0.0350189
12,3,-0.0882721
12,4,-0.11013
12,5,-0.169716
12,6,-0.170364
12,7,-0.141907
12,8,-0.13134
12,9,-0.0940323
13,0,-0.0775909
13,1,-0.055275
13,2,0.0209808
13,3,-0.0269699
13,4,-0.0208664
13,5,-0.0178146
13,6,-0.0101089
13,7,-0.0191498
13,8,-0.00663757
13,9,-0.0267792
14,0,-0.089798
14,1,-0.16407
14,2,-0.184288
14,3,-0.177879
14,4,-0.157852
14,5,-0.133209
14,6,-0.0882721
14,7,-0.0431442
14,8,-0.0327682
14,9,-0.00274658
15,0,-0.00484467
15,1,-0.0179291
15,2,-0.0234985
15,3,-0.0262833
15,4,0.000724792
15,5,-0.0131989
15,6,-0.0270462
15,7,-0.120049
15,8,-0.114365
15,9,-0.133781
16,0,-0.143776
16,1,-0.133629
16,2,-0.0994492
16,3,-0.0625229
16,4,-0.0342941
16,5,-0.00686646
16,6,-0.0185394
16,7,0.0312424
16,8,0.0352859
16,9,0.0356674
17,0,0.0268173
17,1,0.00255585
17,2,0.00656128
17,3,-0.0320435
17,4,-0.0392914
17,5,-0.112572
17,6,-0.0837708
17,7,-0.0901031
17,8,-0.0643921
