Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,RTHIA,RTIBA
All Timesteps RMSE,0.0219994,0.0178082,0,0,0,0,0,0,0.0197785,0.0107075,0.0121773,0.00822471,0,0,0.0388383,0,0.0296617,0.0175306,0.0402595,0.0140921,0.0251059,0.0126396,0.00686894,0.0225246,0.00784163,0.0122618,0.0101429,0.0362468,0.00908995,0.0111034,0.00533673,0.0288595,0.0225216,0.0309765,0.0164593,0.013874,0.0178915,0.0128131,0.0128786,0.00820473,0.016949,0,0,0.0392707,0,0.0109963,0.0157893,0.0432927,0.022366,0.0245937,0.0105869,0.00983931,0.020226,0.00789706,0.0103995,0.00862455,0.0120318,0.0113712,0.0134154,0.0209124,0.0291596,0.010514,0.00871294,0.0154862,0.0174898,0,0,0,0,0,0,0,0.0385751,0.044775
0,0.0316852,0.0198897,0,0,0,0,0,0,0.0369815,0.00548341,0.0218774,0.0152404,0,0,0.0488777,0,0.0321547,0.020911,0.0423519,0.018239,0.0205305,0.0256126,0.0141225,0.0265444,0.0105553,0.021949,0.0189544,0.0408238,0.0199771,0.0245321,0.00931299,0.0197925,0.038682,0.0337764,0.0190663,0.0161347,0.0212566,0.0158963,0.0193174,0.0131606,0.0251781,0,0,0.0489327,0,0.00921379,0.0173698,0.0353726,0.0283863,0.0195848,0.0133857,0.0118043,0.0224394,0.0151481,0.0193942,0.00677495,0.0103536,0.0129821,0.01172,0.0266946,0.0417964,0.0109422,0.00701658,0.0143365,0.0265073,0,0,0,0,0,0,0,0,0
1,0.0321194,0.0203821,0,0,0,0,0,0,0.0397078,0.0052808,0.0227473,0.0152011,0,0,0.0486302,0,0.0324526,0.0207142,0.0424877,0.0217875,0.0201298,0.0259695,0.0146051,0.0273097,0.0110829,0.0220009,0.019073,0.040974,0.0200764,0.0246193,0.00903326,0.0199215,0.041908,0.0335854,0.0192114,0.0162921,0.0222193,0.0158392,0.0211662,0.0129868,0.0254415,0,0,0.050538,0,0.00947775,0.0178543,0.0354622,0,0.019781,0.0124224,0.0109984,0.0226784,0.0143821,0.0184593,0.00635195,0.01083,0.0137586,0.0129427,0.0293352,0.0427228,0.011157,0.00719199,0.0145018,0.0269869,0,0,0,0,0,0,0,0,0
2,0.0325053,0.0208342,0,0,0,0,0,0,0.0424998,0.00504861,0.0236335,0.0146912,0,0,0.0481509,0,0.0327098,0.020478,0.0427356,0.0254336,0.0196826,0.0265714,0.0148313,0.0278068,0.0113262,0.0215417,0.0191176,0.0414721,0.0201652,0.0245798,0.00876331,0.0202629,0.0456754,0.033249,0.0193488,0.0164897,0.0222919,0.0157067,0.0192794,0.0121714,0.025722,0,0,0.0518367,0,0.0097305,0.018489,0.0353143,0.028863,0.020176,0.0130519,0.0102001,0.0227759,0.0136746,0.0186708,0.00569362,0.0107648,0.0131915,0.0124623,0.028529,0.0435815,0.0112957,0.00740691,0.0149474,0.0274934,0,0,0,0,0,0,0,0,0
3,0.0321513,0.0209485,0,0,0,0,0,0,0.0460124,0.00505927,0.0237836,0.0159576,0,0,0.0484577,0,0.0327683,0.0206226,0.041442,0.024587,0.0188304,0.0263695,0.0164411,0.0280134,0.0104317,0.0204635,0.0186009,0.0410175,0.0192214,0.0240342,0.00803511,0.0213115,0.0513703,0.0339034,0.0193512,0.0165831,0.0323914,0.0156987,0.0274763,0.0158169,0.0251529,0,0,0.0535839,0,0.00982427,0.0193968,0.0410593,0.029685,0.0194765,0.0188898,0.0094161,0.0232322,0.0124189,0.0193385,0.0175796,0.0217988,0.0233575,0.0224679,0.0286012,0.0448382,0.0112962,0.00744046,0.0154551,0.0273743,0,0,0,0,0,0,0,0.0276511,0
4,0.0326784,0.021616,0,0,0,0,0,0,0.0483175,0.00520819,0.0239313,0.0130079,0,0,0.0476991,0,0.0332002,0.0204058,0.0429679,0.0199868,0.0188315,0.0269329,0.0146569,0.0279245,0.0112003,0.0199695,0.019011,0.042365,0.0193578,0.0244945,0.0082971,0.0218338,0.0558314,0.0329934,0.0196358,0.0168771,0.0229694,0.0154214,0.0190325,0.00996581,0.0258441,0,0,0.0546059,0,0.0101289,0.0199967,0.0351085,0.0295503,0.0205587,0.0127576,0.00875323,0.0229651,0.0120183,0.0183976,0.00494224,0.0109829,0.0132104,0.0133124,0.0305961,0.0453294,0.0114141,0.00772781,0.0159267,0.0279939,0,0,0,0,0,0,0,0,0
5,0.0322887,0.0219464,0,0,0,0,0,0,0.0525212,0.0050534,0.0237704,0.01412,0,0,0.0477515,0,0.0333243,0.0203166,0.0414937,0.0177952,0.0183633,0.0266554,0.0163126,0.0280584,0.0099924,0.0186795,0.0183221,0.0416373,0.0178341,0.0240011,0.00762843,0.023266,0.0625197,0.0333043,0.0196839,0.0168412,0.0297273,0.0154038,0.0270152,0.0136279,0.0253621,0,0,0.0564564,0,0.0101787,0.0207917,0.0405432,0.0311103,0.0196909,0.0183723,0.00861296,0.023301,0.0127254,0.0195905,0.0176911,0.0213522,0.0228827,0.0220416,0.0259769,0.0463497,0.0112985,0.00776871,0.0160885,0.0278871,0,0,0,0,0,0,0,0.0271182,0
6,0.0325524,0.0223988,0,0,0,0,0,0,0.0557312,0.00494737,0.0243594,0.0130547,0,0,0.0471025,0,0.0336587,0.0199909,0.0412903,0.0176719,0.0189453,0.0266905,0.0164256,0.0282453,0.00959403,0.0174926,0.0180746,0.0417713,0.01659,0.0238822,0.00718957,0.0243873,0.0672105,0.0327799,0.0198784,0.0169943,0.0290766,0.015174,0.0269071,0.0126009,0.0256823,0,0,0.0576004,0,0.0103891,0.0213431,0.04053,0.0315523,0.0199689,0.0179076,0.00832645,0.0231956,0.0128727,0.019668,0.0178416,0.0213393,0.0229229,0.0220359,0.0252701,0.046717,0.0114258,0.0080043,0.0164162,0.0283567,0,0,0,0,0,0,0,0.0271845,0
7,0.0326095,0.0226223,0,0,0,0,0,0,0.0581755,0.00498997,0.0251773,0.0117123,0,0,0.0467988,0,0.033907,0.0198493,0.0409828,0.0179099,0.0193984,0.0263253,0.0163031,0.0282112,0.00934055,0.0164645,0.0179869,0.041781,0.0153346,0.0236855,0.00669916,0.0255473,0.0706619,0.032427,0.0200336,0.0172025,0.0283744,0.015026,0.0268089,0.0115984,0.0257905,0,0,0.0585813,0,0.0106184,0.0218447,0.0406096,0.0319457,0.0201842,0.0173158,0.00802975,0.0230677,0.0128475,0.0197801,0.0178526,0.0213014,0.0229962,0.0220386,0.0247186,0.0472211,0.0115995,0.00823169,0.0168464,0.0285193,0,0,0,0,0,0,0,0.0273633,0
8,0.0326348,0.0226991,0,0,0,0,0,0,0.0597132,0.00508955,0.0259028,0.0102204,0,0,0.0466146,0,0.034167,0.0198349,0.0405128,0.0182652,0.0196638,0.0255854,0.0161064,0.0281332,0.0091515,0.0157106,0.0179271,0.0415706,0.0142323,0.0235374,0.00624855,0.0265976,0.0731549,0.0320885,0.0201968,0.017384,0.0276026,0.0149079,0.026756,0.0107195,0.0258312,0,0,0.0594353,0,0.0108192,0.0223281,0.0406962,0.0324652,0.020316,0.0167578,0.00778548,0.0228965,0.0127846,0.0198397,0.0178127,0.0212462,0.0230986,0.0220458,0.0242611,0.0476423,0.0117326,0.00845044,0.0171678,0.0285371,0,0,0,0,0,0,0,0.0276424,0
