Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
All Timesteps RMSE,0.0506995,0.0433954,0,0,0,0,0,0,0.0398643,0.0209864,0.0157348,0.0176467,0,0,0.0665852,0,0.0339463,0.0406405,0.0440552,0.0226992,0.0288655,0.0239854,0.0220284,0.0521411,0.0141801,0.0200013,0.0180827,0.0389845,0.0134395,0.0174729,0.00913639,0.0287011,0.0523225,0.0571804,0.0210636,0.0519702,0.0228118,0.014059,0.0152157,0.0169615,0.0471437,0,0,0.0549551,0,0.0137684,0.0295086,0.044961,0.0293777,0.0231582,0.0149529,0.0231339,0.0381802,0.0102534,0.0425571,0.0108467,0.0128045,0.0136749,0.0453448,0.011281,0.0150294,0.0267821,0.0389091,0.0225025,0.0161266,0.0446898,0.0409903,0,0,0,0,0,0,0,0
0,0.0722581,0.0461589,0,0,0,0,0,0,0.0200048,0.00982463,0.011558,0.00835466,0,0,0.0558022,0,0.0557552,0.0402663,0.0472953,0.0244199,0.0217007,0.0254597,0.0108921,0.0809356,0.0155775,0.0270273,0.0211505,0.0376566,0.0129392,0.0146544,0.00949689,0.0310872,0.0261221,0.0305245,0.0285884,0.0352801,0.00796191,0.00905514,0.00678432,0.0074275,0.0761147,0,0,0.0370656,0,0.0143968,0.020487,0.0387102,0.0119087,0.0173373,0.00631665,0.00844326,0.0502552,0.00857754,0.0429509,0.00934488,0.00881277,0.0068393,0.0461453,0.00628149,0.00691476,0.00870961,0.0154595,0.0251671,0.0175083,0.0602337,0.0704456,0,0,0,0,0,0,0,0
1,0.0711739,0.0458733,0,0,0,0,0,0,0.0212196,0.00982952,0.0112023,0.00830054,0,0,0.0452822,0,0.0590661,0.0313683,0.0472334,0.0235912,0.0213618,0.0259259,0.00986585,0.0841605,0.0156055,0.0269028,0.0210892,0.0372016,0.012881,0.01507,0.00905094,0.0308606,0.027611,0.0270526,0.0230048,0.0283278,0.00813211,0.00895957,0.00666344,0.00722368,0.0755107,0,0,0.0370324,0,0.0143912,0.0204249,0.0394055,0.0115678,0.0174195,0.00669439,0.00762513,0.0506415,0.00848522,0.0428873,0.00911317,0.00875946,0.00699811,0.0459525,0.00638353,0.00704753,0.00901155,0.0162148,0.0248226,0.0173681,0.0599883,0.0697019,0,0,0,0,0,0,0,0
2,0.0728672,0.0469059,0,0,0,0,0,0,0.021717,0.0101675,0.011096,0.00808247,0,0,0.0461045,0,0.0590926,0.0317808,0.0470221,0.0231926,0.0209953,0.0262441,0.0089336,0.0861438,0.0154885,0.0265822,0.0208917,0.0369119,0.0128142,0.0150982,0.00883745,0.0308605,0.028116,0.0283614,0.0230551,0.0283189,0.00845204,0.00889629,0.00657572,0.00691984,0.0771541,0,0,0.0364707,0,0.0143372,0.0203963,0.0396202,0.0112319,0.0173267,0.00628934,0.00715995,0.0522085,0.0085057,0.0428077,0.00910498,0.00867869,0.00664848,0.0457662,0.0061486,0.00670333,0.00966198,0.0167052,0.0248192,0.0174439,0.0613534,0.0713353,0,0,0,0,0,0,0,0
3,0.0734461,0.0469638,0,0,0,0,0,0,0.022414,0.0102633,0.0111656,0.00803726,0,0,0.0462995,0,0.0589649,0.031863,0.0468164,0.0231868,0.0211759,0.0266068,0.00834948,0.0866906,0.0153615,0.0263722,0.0207456,0.036676,0.0128176,0.0150171,0.00870502,0.030941,0.0287185,0.0288179,0.0230106,0.0282073,0.00892176,0.00882015,0.0064473,0.00688084,0.0782331,0,0,0.0356889,0,0.014364,0.0203112,0.0395829,0.0107586,0.0173662,0.00593652,0.00688161,0.0538271,0.0084626,0.0427485,0.00906578,0.00863925,0.00632086,0.0456812,0.00593795,0.00636853,0.0101084,0.0171343,0.0247458,0.0174838,0.06167,0.0720111,0,0,0,0,0,0,0,0
4,0.0774892,0.049822,0,0,0,0,0,0,0.0231241,0.0112739,0.0113076,0.00725772,0,0,0.0488127,0,0.0589734,0.032744,0.0465451,0.0229978,0.0212404,0.0267824,0.00657609,0.0920908,0.0150433,0.0261351,0.0205365,0.0364736,0.0127437,0.0147512,0.00842753,0.0310047,0.0293434,0.0326947,0.0232249,0.0282227,0.00934061,0.00869102,0.0064464,0.00603234,0.0824068,0,0,0.035515,0,0.0142302,0.0206152,0.0396965,0.0105783,0.0176624,0.00554265,0.00600542,0.057565,0.00850442,0.0427107,0.00911735,0.0086637,0.00600013,0.0455462,0.0057563,0.00608211,0.0107688,0.0190531,0.0245829,0.0178096,0.0656925,0.075984,0,0,0,0,0,0,0,0
5,0.0785637,0.0500369,0,0,0,0,0,0,0.0240083,0.0113708,0.0115262,0.00653541,0,0,0.0493842,0,0.0587163,0.0329775,0.0462901,0.0230698,0.022039,0.0270547,0.00525633,0.0935132,0.0147764,0.026207,0.020496,0.036333,0.0127321,0.0145992,0.00819898,0.0310839,0.0301648,0.0338282,0.0231721,0.0280848,0.00974031,0.00859371,0.00648542,0.00538019,0.084883,0,0,0.0350478,0,0.0141788,0.0208022,0.0398215,0.0103517,0.0181678,0.00515,0.00532032,0.0613835,0.00858672,0.0426776,0.00912206,0.00857361,0.00575566,0.0455091,0.00561838,0.00585857,0.0111454,0.0206423,0.024431,0.018037,0.0669819,0.0774447,0,0,0,0,0,0,0,0
6,0.0789541,0.0500975,0,0,0,0,0,0,0.0245808,0.0108886,0.0117677,0.00565111,0,0,0.0493209,0,0.0577363,0.0332413,0.0461117,0.023268,0.0224262,0.0273923,0.00398622,0.0945361,0.0145885,0.0264343,0.0205423,0.0360754,0.0127727,0.0145614,0.00797743,0.031175,0.0306902,0.0342384,0.0237444,0.0281145,0.010089,0.00839209,0.00653203,0.00449606,0.0871308,0,0,0.0343614,0,0.0142779,0.0210961,0.0399913,0.0100933,0.0186867,0.00479164,0.00490436,0.0657054,0.0086697,0.0426615,0.00914197,0.00851236,0.00552591,0.0454634,0.00549112,0.00565165,0.0113872,0.0227047,0.0241873,0.0182746,0.0680052,0.078412,0,0,0,0,0,0,0,0
7,0.0788383,0.0506441,0,0,0,0,0,0,0.0248302,0.0100621,0.0120504,0.00484399,0,0,0.0488699,0,0.0559159,0.0337102,0.0460296,0.0236026,0.0223286,0.0278141,0.00346429,0.0956956,0.0144256,0.0263458,0.0206845,0.0356565,0.0128838,0.0146463,0.00777449,0.0312627,0.0309145,0.0341516,0.0249907,0.0284942,0.0102635,0.00818412,0.00653358,0.00355231,0.0888864,0,0,0.0334366,0,0.0147028,0.0215187,0.0401246,0.00980689,0.0192228,0.0045524,0.00493596,0.0699744,0.00870211,0.0426519,0.00909688,0.0085213,0.0053343,0.0454199,0.00534969,0.00545013,0.0113963,0.0253055,0.0238877,0.0185988,0.0692531,0.0789457,0,0,0,0,0,0,0,0
8,0.0771054,0.0571224,0,0,0,0,0,0,0.0136885,0.00935886,0.0115815,0.00305257,0,0,0.0465664,0,0.0512306,0.0344269,0.0392442,0.0172241,0.0279203,0.00706446,0.00405146,0.101274,0.00922985,0.00840056,0.00715542,0.0416759,0.00952356,0.0102096,0.0101338,0.0289495,0.0145779,0.0328328,0.0284617,0.0299758,0.0109598,0.00796538,0.0059095,0.0014315,0.0826665,0,0,0.0321946,0,0.0151385,0.0225749,0.0409118,0.00790644,0.0208454,0.00426867,0.00583849,0.0658858,0.0101115,0.0434542,0.0100928,0.00954646,0.00376119,0.0442361,0.00410805,0.00400631,0.0123119,0.0268714,0.0238725,0.0193691,0.0742533,0.0767848,0,0,0,0,0,0,0,0
