Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73
All Timesteps RMSE,0.0282447,0.0263072,0,0,0,0,0,0,0.0324003,0.0149578,0.01622,0.00774972,0,0,0.0391891,0,0.0289456,0.0179769,0.0413846,0.0131249,0.026477,0.0198005,0.00829182,0.0412846,0.0119692,0.0172488,0.0146605,0.0372254,0.0123204,0.0160914,0.00692297,0.0276964,0.0366597,0.0337975,0.0190084,0.0141214,0.0206001,0.0105733,0.0146778,0.00624848,0.0222395,0,0,0.0397297,0,0.0126562,0.0182694,0.0444105,0.0252345,0.0240072,0.0163439,0.0089209,0.0231932,0.0114928,0.0449265,0.0115625,0.0128031,0.0163892,0.0475288,0.0131846,0.0179994,0.0216557,0.0301325,0.0132914,0.00996498,0.02599,0.0227735,0,0,0,0,0,0,0
0,0.117065,0.116617,0,0,0,0,0,0,0.0223425,0.00569963,0.0112231,0.00413122,0,0,0.0579972,0,0.0288429,0.0296496,0.0444074,0.0090002,0.024657,0.0178206,0.011787,0.203696,0.00924474,0.0154355,0.0137854,0.0352912,0.00997023,0.0120361,0.00150082,0.0300501,0.0262209,0.0980657,0.015521,0.0108452,0.0111201,0.00948521,0.0144326,0.00361449,0.0889616,0,0,0.0463931,0,0.0102378,0.0242544,0.0423092,0.0235099,0.0207456,0.0158533,0.0122374,0.0789512,0.00687578,0.0422984,0.00806192,0.00895642,0.0177491,0.0511464,0.0141533,0.018787,0.0108533,0.0558809,0.00731934,0.0100942,0.133657,0.103133,0,0,0,0,0,0,0
1,0.116587,0.117298,0,0,0,0,0,0,0.0221431,0.00598894,0.0112555,0.00413168,0,0,0.0566603,0,0.0289367,0.0287229,0.0443683,0.0089289,0.0246109,0.0177158,0.0117605,0.202533,0.00922401,0.0151706,0.0137341,0.0351303,0.0099524,0.0121032,0.00149154,0.0300723,0.0260816,0.096099,0.015339,0.0105831,0.0109544,0.00969443,0.0143523,0.0036099,0.0869012,0,0,0.0465871,0,0.0102366,0.0236592,0.042205,0.023376,0.0208418,0.0153386,0.012203,0.0772674,0.00687146,0.0422432,0.00797881,0.00890044,0.017521,0.0508628,0.0145055,0.0186811,0.0104772,0.0556378,0.00653195,0.00950025,0.133748,0.102176,0,0,0,0,0,0,0
2,0.117026,0.117516,0,0,0,0,0,0,0.0219613,0.00568386,0.0113172,0.00413672,0,0,0.0622034,0,0.0285473,0.0314429,0.0443546,0.00888252,0.0245519,0.0177033,0.0116439,0.205539,0.00918878,0.0150441,0.0136575,0.0350144,0.00995997,0.0121232,0.00150808,0.0300835,0.0260569,0.0998217,0.0153142,0.011257,0.0110035,0.00981153,0.0143743,0.0037935,0.0892078,0,0,0.0478387,0,0.0106216,0.02353,0.0421303,0.0233617,0.0206272,0.0152093,0.0121615,0.0798761,0.00679179,0.0421981,0.00802906,0.0088211,0.0175039,0.0508804,0.0148297,0.0186888,0.0103355,0.0575519,0.00573234,0.00903126,0.134674,0.103414,0,0,0,0,0,0,0
3,0.113022,0.11611,0,0,0,0,0,0,0.0219677,0.00590244,0.0113672,0.00398913,0,0,0.0582956,0,0.0285476,0.0301141,0.0443596,0.00886101,0.0246021,0.0177674,0.01185,0.200498,0.00911367,0.0149833,0.0135702,0.0349445,0.00997257,0.0121305,0.00149981,0.03006,0.0262221,0.0951425,0.0150316,0.0108085,0.010771,0.00986922,0.0143774,0.00375693,0.0866987,0,0,0.0490196,0,0.0109212,0.0235606,0.0420066,0.0232956,0.0205909,0.015017,0.0122803,0.0811382,0.00670286,0.0421188,0.00805964,0.00873203,0.0173883,0.051,0.0148682,0.0185408,0.00999214,0.0588278,0.00503077,0.00865587,0.133115,0.100321,0,0,0,0,0,0,0
4,0.115509,0.117684,0,0,0,0,0,0,0.0220481,0.00564153,0.0114149,0.00404799,0,0,0.0658126,0,0.0282284,0.0342643,0.0443374,0.00881454,0.0244537,0.0177462,0.0115481,0.205651,0.00905185,0.0148393,0.013482,0.0349009,0.00993804,0.0120955,0.00151132,0.030043,0.0263807,0.100624,0.0150861,0.0115106,0.0107778,0.00994969,0.0146186,0.00393514,0.0889543,0,0,0.0498695,0,0.0110912,0.0235779,0.0419157,0.0232946,0.020362,0.0149083,0.0120654,0.0820251,0.0065993,0.0420848,0.00811305,0.00867662,0.0173368,0.0509723,0.0148211,0.0184482,0.00990694,0.0597127,0.00421489,0.00839836,0.134946,0.102642,0,0,0,0,0,0,0
5,0.120544,0.122017,0,0,0,0,0,0,0.0221448,0.00549674,0.011438,0.00419664,0,0,0.0703887,0,0.0282618,0.0368516,0.0443441,0.00876008,0.0241742,0.0177505,0.0109029,0.210546,0.00902248,0.0146549,0.0134493,0.0348834,0.0098641,0.0121254,0.00149717,0.0300235,0.0265861,0.103711,0.0150523,0.011737,0.0106677,0.010085,0.01473,0.0042643,0.087574,0,0,0.0500734,0,0.0112893,0.0234109,0.0419023,0.0232913,0.0200999,0.0147001,0.0116411,0.0772144,0.00648256,0.0420454,0.0081307,0.00862401,0.0172909,0.0509503,0.0147929,0.0183061,0.00969644,0.0583235,0.00351165,0.00829254,0.137849,0.105035,0,0,0,0,0,0,0
6,0.119114,0.119456,0,0,0,0,0,0,0.0225106,0.00537562,0.0115503,0.0040119,0,0,0.0774295,0,0.0283485,0.0405242,0.0443367,0.00874973,0.0242705,0.0179983,0.0112227,0.210938,0.00895888,0.0146496,0.013514,0.0348652,0.00986014,0.0123413,0.00147259,0.0299661,0.0270771,0.106462,0.0153096,0.0125741,0.0106434,0.0102816,0.0147828,0.00436162,0.0922993,0,0,0.0509304,0,0.0114074,0.0234319,0.0419415,0.0233336,0.0200333,0.014711,0.0119816,0.0830999,0.00633677,0.0419687,0.00816989,0.00855873,0.017396,0.0511478,0.0147839,0.0184111,0.00970426,0.0607744,0.00336083,0.00788974,0.136974,0.106134,0,0,0,0,0,0,0
7,0.115973,0.118628,0,0,0,0,0,0,0.0230901,0.00457058,0.0117768,0.00370867,0,0,0.0725594,0,0.0291823,0.0384052,0.0443676,0.008738,0.0245949,0.0183417,0.0122883,0.20532,0.0088899,0.014767,0.0135976,0.0349061,0.00997889,0.0125945,0.00143413,0.0298881,0.027752,0.100838,0.0152792,0.0129818,0.0106163,0.0103486,0.0149376,0.00447236,0.0893519,0,0,0.052081,0,0.0116032,0.0237203,0.0419185,0.0235794,0.0198542,0.014981,0.0129558,0.0835446,0.00603353,0.0418358,0.00819254,0.00838999,0.0177181,0.0516381,0.0149111,0.0187608,0.009893,0.0616715,0.00321992,0.00754055,0.135707,0.103536,0,0,0,0,0,0,0
8,0.122203,0.12007,0,0,0,0,0,0,0.0233738,0.00491333,0.0119479,0.00397186,0,0,0.0861309,0,0.0296689,0.0448133,0.0443385,0.00871669,0.0243374,0.0184271,0.0121572,0.212036,0.00876921,0.0146933,0.0135592,0.0348814,0.0101666,0.0126826,0.0013819,0.0298759,0.027939,0.108884,0.0158646,0.01417,0.0105441,0.0108441,0.0150784,0.0048524,0.0952157,0,0,0.0516746,0,0.0117018,0.0231977,0.04189,0.0237339,0.01954,0.0149592,0.0129742,0.0836873,0.0058338,0.0417386,0.00813123,0.00824356,0.0178529,0.0518757,0.0149542,0.0189168,0.00990395,0.061218,0.00384374,0.00703592,0.137843,0.109266,0,0,0,0,0,0,0
