Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0460434
1,1,0.0231171
1,2,0.0369644
1,3,-0.0056839
1,4,-0.000953674
1,5,0.0230789
1,6,-0.0201416
1,7,-0.0944138
1,8,-0.0828934
1,9,-0.13073
2,0,-0.145416
2,1,-0.133286
2,2,-0.102768
2,3,-0.0515366
2,4,-0.0337982
2,5,-0.07164
2,6,-0.00331879
2,7,0.0151062
2,8,0.00667572
2,9,-0.00648499
3,0,-0.00686646
3,1,-0.0367737
3,2,-0.0270844
3,3,-0.114098
3,4,-0.102959
3,5,-0.159264
3,6,-0.158463
3,7,-0.157623
3,8,-0.126266
3,9,-0.0807953
4,0,-0.0646973
4,1,-0.0501251
4,2,-0.0150299
4,3,-0.001297
4,4,-0.0165939
4,5,-0.0177383
4,6,0.0031662
4,7,-0.0233459
4,8,-0.00644684
4,9,-0.0447464
5,0,-0.0784302
5,1,-0.151176
5,2,-0.175095
5,3,-0.162735
5,4,-0.166206
5,5,-0.10849
5,6,-0.0744629
5,7,-0.0523758
5,8,0.00522614
5,9,0.0030899
6,0,0.0194931
6,1,-0.018692
6,2,0.0202179
6,3,-0.0413513
6,4,-0.00209808
6,5,0.0106049
6,6,-0.00614166
6,7,-0.0788879
6,8,-0.10952
6,9,-0.127449
7,0,-0.108757
7,1,-0.133743
7,2,-0.0794601
7,3,-0.0421906
7,4,-0.00339508
7,5,0.0342178
7,6,0.0637436
7,7,0.0844193
7,8,0.0827026
7,9,0.0494003
8,0,0.00209808
8,1,0.0137329
8,2,0.0407028
8,3,0.000190735
8,4,-0.0365067
8,5,-0.109825
8,6,-0.0764465
8,7,-0.0944138
8,8,-0.0331116
8,9,-0.0114441
9,0,0.00839233
9,1,0.0647736
9,2,0.0337601
9,3,0.0920486
9,4,0.0813293
9,5,0.0914001
9,6,0.0941086
9,7,0.116882
9,8,0.057869
9,9,0.106468
10,0,0.00125885
10,1,-0.00305176
10,2,-0.0317764
10,3,-0.065155
10,4,-0.0162125
10,5,-0.00724792
10,6,0.0485992
10,7,0.0535202
10,8,0.051918
10,9,0.109024
11,0,0.101242
11,1,0.107155
11,2,0.0694656
11,3,0.12825
11,4,0.0801468
11,5,0.075798
11,6,0.0798798
11,7,0.0300598
11,8,-0.0299835
11,9,-0.0315857
12,0,-0.0559998
12,1,-0.00331879
12,2,-0.00411987
12,3,0.0404358
12,4,0.0374603
12,5,0.0694656
12,6,0.11879
12,7,0.11837
12,8,0.0841904
12,9,0.0768661
13,0,0.0743484
13,1,0.05867
13,2,0.0399399
13,3,0.00637054
13,4,-0.0673294
13,5,-0.0857544
13,6,-0.0564957
13,7,-0.0514603
13,8,-0.0460815
13,9,-0.00637054
14,0,-0.0315857
14,1,0.0180817
14,2,0.0440216
14,3,0.082016
14,4,0.0616837
14,5,0.0812531
14,6,0.0602341
14,7,0.0702286
14,8,0.0553894
14,9,0.0428009
15,0,-0.059967
15,1,-0.0922775
15,2,-0.114632
15,3,-0.116959
15,4,-0.10128
15,5,-0.0528336
15,6,-0.0201797
15,7,-0.019989
15,8,0.0136948
15,9,0.0502396
16,0,0.0748444
16,1,0.011673
16,2,0.0324249
16,3,0.00225067
16,4,-0.0144196
16,5,-0.0151062
16,6,-0.0439072
16,7,-0.0794601
16,8,-0.102272
16,9,-0.133057
17,0,-0.157623
17,1,-0.102921
17,2,-0.0993347
17,3,-0.0851059
17,4,-0.0390244
17,5,-0.0159836
17,6,0.0225067
17,7,-0.00736237
17,8,0.00637054
17,9,-0.0699997
18,0,-0.0146484
18,1,-0.0213623
18,2,-0.0189972
18,3,-0.0813293
18,4,-0.110512
18,5,-0.13237
18,6,-0.192375
