Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,
All Timesteps RMSE,0.025848,0.0142447,0,0,0,0,0,0.0223756,0.0158533,0.00885369,0.0129304,0,0,0.0125232,0,0.0261438,0.00859207,0.0448805,0.011235,0.0320595,0.0148666,0.0131823,0.0173673,0.00716641,0.00974491,0.0079822,0.0299656,0.00689118,0.0084325,0.00477176,0.0333691,0.0274892,0.0146914,0.0181604,0.00671215,0.0241663,0.00958782,0.0182805,0.0137286,0.0233253,0,0,0.0149946,0,0.00766561,0.00701653,0.0472167,0.0201466,0.0339435,0.0174039,0.0111619,0.0169658,0.0076954,0.028989,0.0104128,0.00925995,0.0436159,0.034162,0.0118835,0.0130385,0.0235704,0.0113045,0.00933303,0.00972664,0.0128823,0.0228068,0,0,0,0,0,0,0,0,0,0
0,0.0684313,0.0324795,0,0,0,0,0,0.0280888,0.0150266,0.0104265,0.00940867,0,0,0.0171485,0,0.0304563,0.0160512,0.0460871,0.00547621,0.0294169,0.0146712,0.00517528,0.0127098,0.00688608,0.00775706,0.00410409,0.0352975,0.00591866,0.00643583,0.0059052,0.0349407,0.0369549,0.015933,0.021624,0.0113706,0.027798,0.00660921,0.0196502,0.0117443,0.0570711,0,0,0.0578305,0,0.0118931,0.0231132,0.042687,0.0211882,0.0309261,0.01532,0.00554256,0.0851407,0.00543718,0.0284319,0.00565703,0.00836215,0.01073,0.0387336,0.00438383,0.00908201,0.0268679,0.0639803,0.0116888,0.0055494,0.0269069,0.0534474,0,0,0,0,0,0,0,0,0,0
1,0.0710279,0.0348506,0,0,0,0,0,0.0289031,0.0140472,0.0104489,0.00763161,0,0,0.00429257,0,0.0281983,0.0081606,0.0463671,0.00476511,0.0312978,0.0142454,0.00901133,0.00805321,0.00742959,0.00826182,0.00440767,0.0354917,0.00569543,0.00635027,0.0055768,0.035162,0.0381601,0.00452994,0.0202761,0.00775968,0.0276544,0.0055993,0.0192152,0.0110957,0.0549462,0,0,0.0586809,0,0.0111116,0.0207869,0.0425639,0.0208739,0.0314999,0.0147195,0.00886018,0.0812524,0.00590922,0.0283621,0.00594965,0.0086034,0.0106176,0.0386681,0.00436812,0.0090552,0.026705,0.0612388,0.0116647,0.00409319,0.0280166,0.0543572,0,0,0,0,0,0,0,0,0,0
2,0.0711832,0.0354063,0,0,0,0,0,0.0289222,0.0140367,0.0104234,0.00769712,0,0,0.00446534,0,0.028096,0.00835524,0.0462816,0.00419967,0.0310968,0.0140475,0.00864065,0.00846378,0.00796104,0.00866887,0.00459639,0.0355277,0.00549531,0.00619137,0.00536219,0.0352834,0.0380472,0.00503999,0.0202316,0.00746693,0.0279058,0.00564101,0.0193799,0.0115954,0.054713,0,0,0.0586653,0,0.0111252,0.0206417,0.042849,0.0214399,0.0312838,0.0143101,0.00838033,0.081408,0.00563326,0.028966,0.00550067,0.0080145,0.0107452,0.0379496,0.00394469,0.00894856,0.0268724,0.0612729,0.0115072,0.0040877,0.0286134,0.0541402,0,0,0,0,0,0,0,0,0,0
3,0.111801,0.0822748,0,0,0,0,0,0.0308094,0.0121166,0.0109049,0.00757302,0,0,0.0239113,0,0.0342846,0.0258682,0.0477669,0.00361482,0.0316064,0.0135949,0.0106402,0.109975,0.0087032,0.009115,0.00515938,0.0365002,0.00545122,0.00638405,0.00516516,0.0353892,0.0399994,0.0305772,0.0235838,0.0127941,0.0292808,0.00417378,0.0203797,0.0157854,0.0696079,0,0,0.0576408,0,0.0127404,0.0192156,0.0416245,0.0223237,0.0303629,0.0145166,0.0135817,0.0764827,0.00873125,0.0272262,0.00926069,0.0117992,0.0118,0.039904,0.0050802,0.0103091,0.0282065,0.0597976,0.00878824,0.0050875,0.0876059,0.086793,0,0,0,0,0,0,0,0,0,0
4,0.0450685,0.0157693,0,0,0,0,0,0.0291195,0.0158611,0.0103047,0.00885772,0,0,0.01315,0,0.0258184,0.00874064,0.0463966,0.00410453,0.0302264,0.0136166,0.00621291,0.0215558,0.00845415,0.00908815,0.00493654,0.0355562,0.00497511,0.00588124,0.00483936,0.0353589,0.0377042,0.00345721,0.0191093,0.00667187,0.0286416,0.0148727,0.0201654,0.0135494,0.0321603,0,0,0.050596,0,0.00123778,0.013425,0.0434565,0.0234624,0.030034,0.0138327,0.00635415,0.0584542,0.00507346,0.030315,0.00425933,0.00669489,0.011493,0.0363879,0.00400194,0.00932508,0.0272888,0.0459074,0.00951441,0.00649653,0.0111946,0.0374447,0,0,0,0,0,0,0,0,0,0
5,0.0440121,0.0157399,0,0,0,0,0,0.029165,0.0158521,0.0105363,0.00896627,0,0,0.0128004,0,0.025733,0.00868076,0.0463072,0.00405837,0.0300465,0.0134626,0.00599541,0.0184602,0.00900165,0.00957527,0.00530506,0.0355356,0.00495397,0.00577167,0.00468181,0.0355795,0.0374074,0.00377943,0.0190613,0.00638449,0.0288281,0.0151781,0.0203359,0.014137,0.0309915,0,0,0.0495359,0,0.0012977,0.013601,0.0437507,0.0242337,0.0297222,0.0133636,0.00641079,0.0580774,0.00524701,0.0307574,0.00354921,0.00623247,0.0117185,0.0355858,0.00422589,0.00942869,0.02736,0.0452401,0.009313,0.00696109,0.0115226,0.0362032,0,0,0,0,0,0,0,0,0,0
6,0.10545,0.0906914,0,0,0,0,0,0.0301485,0.0135397,0.0111386,0.010415,0,0,0.0158704,0,0.0300189,0.0200785,0.0479776,0.00405928,0.0294304,0.0135325,0.00743351,0.124259,0.00956027,0.00979716,0.0056806,0.0365161,0.00514697,0.00591141,0.00482039,0.0357189,0.0385291,0.0403256,0.0211908,0.00966313,0.0295656,0.00522847,0.0212004,0.0199496,0.0595878,0,0,0.103338,0,0.005242,0.0408803,0.0428058,0.0254188,0.0277179,0.0131017,0.0114279,0.0865045,0.00708847,0.0292039,0.00610479,0.00903211,0.0125965,0.0368398,0.0046798,0.0108231,0.0281254,0.0829349,0.017589,0.0139734,0.0981352,0.0809038,0,0,0,0,0,0,0,0,0,0
7,0.0475743,0.0129481,0,0,0,0,0,0.0299545,0.0154994,0.0107382,0.00854025,0,0,0.0119154,0,0.0265666,0.0083696,0.0462664,0.0051527,0.0306722,0.0129408,0.0074237,0.0269838,0.00968675,0.010335,0.00607166,0.0352999,0.0050738,0.00580241,0.00452744,0.0360739,0.03816,0.00447927,0.0195367,0.00665507,0.029269,0.0139431,0.0213091,0.0142929,0.0359915,0,0,0.041681,0,0.000883982,0.0107368,0.0445683,0.0266579,0.0292833,0.0125553,0.00733947,0.0486444,0.00536371,0.0312636,0.00289841,0.00614102,0.0126635,0.0341058,0.0053942,0.0101721,0.0275819,0.0345886,0.00442645,0.00674777,0.00682204,0.0403496,0,0,0,0,0,0,0,0,0,0
8,0.0469916,0.0127963,0,0,0,0,0,0.0302724,0.0155006,0.0109236,0.00847252,0,0,0.0120037,0,0.0265806,0.00829441,0.0462519,0.0057207,0.0305385,0.0127218,0.00757969,0.0263071,0.0100889,0.0107368,0.00653074,0.0353126,0.00524264,0.00586765,0.00452469,0.0363636,0.0384727,0.00430648,0.0195341,0.00663706,0.0292331,0.0139032,0.0214991,0.0144852,0.0355308,0,0,0.0401195,0,0.000814398,0.0104032,0.0451707,0.0276652,0.0288986,0.0120298,0.00741962,0.0474409,0.00561832,0.0312252,0.0026747,0.00598738,0.0128951,0.0333558,0.00584292,0.0101365,0.02736,0.0329941,0.00390928,0.00709549,0.00674437,0.0398813,0,0,0,0,0,0,0,0,0,0
