Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,
All Timesteps RMSE,0.0262522,0.0144411,0,0,0,0,0,0,0.0173432,0.0168733,0.00823119,0.0151195,0,0,0.00868562,0,0.0255211,0.00663802,0.0437405,0.00996193,0.0317848,0.0160823,0.0107401,0.0145883,0.00656374,0.00923425,0.0069762,0.0296189,0.00620033,0.00727797,0.004612,0.0344088,0.021013,0.0131943,0.0176117,0.00669853,0.0207226,0.0113838,0.0152464,0.015933,0.024466,0,0,0.0145341,0,0.0125085,0.0062051,0.0484048,0.0157217,0.0330589,0.0155127,0.00943476,0.0122125,0.00586503,0.0308105,0.0088316,0.00688309,0.0121966,0.0325771,0.0105094,0.0100781,0.0198784,0.00968594,0.00831984,0.00781629,0.0115697,0.0226368,0,0,0,0,0,0,0,0,0
0,0.016255,0.0109175,0,0,0,0,0,0,0.0172574,0.0204138,0.00512329,0.00727879,0,0,0.00814577,0,0.0182784,0.00346713,0.0399708,0.0133258,0.0319917,0.0152903,0.00772959,0.00997225,0.00511854,0.00980011,0.00684261,0.0323639,0.00993085,0.00939555,0.00830189,0.0356538,0.0217659,0.011842,0.0130582,0.00488971,0.01838,0.0102007,0.0136231,0.00811877,0.0159861,0,0,0.0140288,0,0.00918517,0.00664755,0.0456708,0.015306,0.0334953,0.00966608,0.00792366,0.0140785,0.0040105,0.0327159,0.00693061,0.000927852,0.00553176,0.0341676,0.00245983,0.00350376,0.0158855,0.0091975,0.00643726,0.0061205,0.00771632,0.0144774,0,0,0,0,0,0,0,0,0
1,0.0154887,0.0104995,0,0,0,0,0,0,0.0171918,0.0203258,0.00525055,0.00721262,0,0,0.00756118,0,0.0181393,0.00303737,0.03992,0.0134937,0.0318641,0.0149612,0.0075026,0.00929526,0.00486296,0.00916268,0.00657227,0.0325922,0.0100143,0.00928583,0.00842612,0.0356198,0.0217141,0.0111099,0.0130522,0.00489863,0.0178058,0.0099851,0.0132477,0.00792609,0.0153469,0,0,0.0138013,0,0.00891093,0.00652591,0.04585,0.0148019,0.0332653,0.00929211,0.00783239,0.0138828,0.00458999,0.0325523,0.00708893,0.00103387,0.00579503,0.0337775,0.00262509,0.00361666,0.0154339,0.00928547,0.00596746,0.00593493,0.00732367,0.01385,0,0,0,0,0,0,0,0,0
2,0.0148363,0.00996422,0,0,0,0,0,0,0.0171784,0.0202171,0.00548495,0.00698386,0,0,0.00689841,0,0.0180948,0.00276413,0.0399363,0.0136934,0.0317949,0.014474,0.00720053,0.00860529,0.0046312,0.00869476,0.00630855,0.0327366,0.0101484,0.00931957,0.00848851,0.0356501,0.0217804,0.0104685,0.0130742,0.00483222,0.0172491,0.00981323,0.0129291,0.00772714,0.0147823,0,0,0.013602,0,0.00876478,0.00636105,0.0460897,0.0143627,0.0330666,0.00888348,0.00779301,0.0137995,0.0045154,0.0324796,0.00637353,0.00191033,0.00611761,0.0334254,0.00276054,0.00368331,0.0150002,0.00946888,0.00564005,0.00570439,0.00693936,0.0133208,0,0,0,0,0,0,0,0,0
3,0.0142589,0.00938678,0,0,0,0,0,0,0.0171242,0.0201012,0.00583018,0.0066937,0,0,0.00619569,0,0.0181414,0.00262679,0.0398985,0.0138688,0.0317455,0.0139802,0.00700916,0.00789433,0.00431466,0.00825248,0.00599576,0.0327942,0.0103124,0.00934461,0.00857451,0.0356987,0.0218005,0.00982471,0.0131221,0.00467109,0.0167652,0.0096541,0.0127787,0.00749826,0.0142902,0,0,0.0134247,0,0.00867497,0.00611181,0.0463542,0.0141589,0.0328099,0.00845896,0.00785862,0.013768,0.00435227,0.0325358,0.00523998,0.00267991,0.00653196,0.0330709,0.0029018,0.00380572,0.014615,0.00968003,0.00541404,0.00546534,0.00658308,0.0128615,0,0,0,0,0,0,0,0,0
4,0.0135787,0.00888536,0,0,0,0,0,0,0.0171129,0.0199782,0.00611524,0.00638149,0,0,0.00554097,0,0.018197,0.00253661,0.0398321,0.0140103,0.0317632,0.0135554,0.00675113,0.00724457,0.00385606,0.00779248,0.00561415,0.0328036,0.0101693,0.00931932,0.00870269,0.0357221,0.0218355,0.00889359,0.0131913,0.00460233,0.0163241,0.00939933,0.0126823,0.00725477,0.0137214,0,0,0.013248,0,0.00841188,0.00567768,0.0466317,0.0141129,0.0325074,0.0080768,0.0077345,0.0136642,0.00436023,0.0327014,0.00519357,0.00261038,0.00700013,0.0326455,0.00309155,0.00404319,0.0142615,0.00985865,0.00514651,0.00527781,0.00617195,0.0123328,0,0,0,0,0,0,0,0,0
5,0.0127795,0.00821827,0,0,0,0,0,0,0.0171644,0.019834,0.00641045,0.0061965,0,0,0.00497093,0,0.0182998,0.00250101,0.0398417,0.0142289,0.0318541,0.0130148,0.006388,0.00667313,0.00334453,0.00737825,0.00525927,0.0327946,0.0100179,0.00941521,0.0089009,0.0358272,0.0220266,0.00802321,0.0133072,0.00459913,0.0158908,0.00912924,0.0125315,0.00700017,0.0130161,0,0,0.0128353,0,0.00813923,0.00520393,0.0469216,0.0139657,0.0322831,0.00775627,0.00744924,0.0134823,0.00442309,0.0328415,0.00491618,0.0060739,0.00748187,0.0321565,0.00335258,0.0044033,0.01391,0.0100177,0.00483524,0.0051023,0.00568836,0.0117196,0,0,0,0,0,0,0,0,0
6,0.0119617,0.0074688,0,0,0,0,0,0,0.0169868,0.0196386,0.00674247,0.00605091,0,0,0.00439158,0,0.0184419,0.00254849,0.039971,0.0144422,0.0319012,0.0123693,0.00589682,0.00616931,0.00321364,0.00689584,0.00492649,0.0328037,0.0100532,0.0095441,0.00913122,0.035996,0.0219989,0.00729251,0.0134185,0.00450616,0.0154814,0.00887432,0.0124108,0.00669542,0.0122721,0,0,0.0124083,0,0.00795882,0.00478663,0.0469961,0.0138169,0.032074,0.00734889,0.00711987,0.0133491,0.0044214,0.0327846,0.00475057,0.00759433,0.00788698,0.0318335,0.00369302,0.00478399,0.0135392,0.0102252,0.00446213,0.00490643,0.00524037,0.0111113,0,0,0,0,0,0,0,0,0
7,0.011467,0.00710608,0,0,0,0,0,0,0.0168287,0.0194316,0.0071463,0.00599939,0,0,0.00381815,0,0.0185644,0.0027447,0.0401232,0.0147822,0.0318269,0.012031,0.00602879,0.0053785,0.00331402,0.00654751,0.00463716,0.0328462,0.0103477,0.00974185,0.0094861,0.0362037,0.0218934,0.00645405,0.0135154,0.00442843,0.0148691,0.00872988,0.012144,0.0062258,0.011884,0,0,0.0121152,0,0.0078091,0.0043621,0.0472543,0.0136447,0.031861,0.00697085,0.00713945,0.0133333,0.00465767,0.0326579,0.00465023,0.00512683,0.00816523,0.0315817,0.00396919,0.00507799,0.0129521,0.0104844,0.00418552,0.00463508,0.00507469,0.0107459,0,0,0,0,0,0,0,0,0
8,0.0111838,0.00696962,0,0,0,0,0,0,0.017045,0.0192958,0.00735828,0.00618128,0,0,0.00310591,0,0.0186411,0.002986,0.0404579,0.0149533,0.0311602,0.0115193,0.00670184,0.00426361,0.0034965,0.00638933,0.00432204,0.0328324,0.0104927,0.0098244,0.00958749,0.0363601,0.0222466,0.00533879,0.0135834,0.00440404,0.0146309,0.00868814,0.0123425,0.00569221,0.0117838,0,0,0.011887,0,0.00771553,0.00400337,0.0476197,0.0140337,0.031446,0.00673298,0.00738647,0.0132425,0.00522381,0.032751,0.00485784,0.00449123,0.00861644,0.0313687,0.00424434,0.00538269,0.0126637,0.0106908,0.00413743,0.00439732,0.00511654,0.0105358,0,0,0,0,0,0,0,0,0
