Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTIBA,IMUR_B
All Timesteps RMSE,0.0259343,0.0144723,0,0,0,0,0,0.0150783,0.0179363,0.00656788,0.0166282,0,0,0.00855484,0,0.0258627,0.00593712,0.0435191,0.0128984,0.03085,0.0201434,0.00999146,0.0146988,0.00911052,0.0129137,0.00962493,0.0341432,0.00869897,0.00850122,0.00628041,0.0338283,0.018796,0.0134079,0.01732,0.00551377,0.0232109,0.0125593,0.0168884,0.0177087,0.023352,0,0,0.0137134,0,0.0142196,0.00621881,0.0493149,0.0173338,0.033283,0.0168684,0.00893953,0.0120102,0.00781439,0.0337404,0.0105411,0.00819243,0.010313,0.00990158,0.00962027,0.0225095,0.00927772,0.0085577,0.00873661,0.0119458,0.022034,0,0,0,0,0,0,0,0,0.0336183,0
0,0.025035,0.0125081,0,0,0,0,0,0.00315814,0.0159621,0.00615304,0.00986038,0,0,0.00653297,0,0.0252881,0.00471698,0.039662,0.0143318,0.031099,0.0124987,0.00905478,0.00860631,0.0053157,0.0093853,0.00672113,0.0322702,0.0084621,0.00757286,0.00807433,0.0371305,0.00444801,0.00889464,0.0182817,0.00427061,0.0130581,0.011883,0.0172032,0.0156437,0.0219742,0,0,0.0160512,0,0.00803808,0.0079916,0.0452971,0.0182645,0.0328841,0.0157894,0.00934234,0.0101804,0.00601851,0.0280595,0.0139782,0.00902453,0.023264,0.0249023,0.0241959,0.0149224,0.0116388,0.00556309,0.00680068,0.00957666,0.0221204,0,0,0,0,0,0,0,0,0,0
1,0.0249797,0.0129288,0,0,0,0,0,0.00325257,0.0159085,0.00642368,0.00965567,0,0,0.00626184,0,0.0252857,0.00448331,0.0396575,0.0146843,0.0309563,0.01276,0.0089575,0.00988706,0.00547376,0.00962817,0.00677629,0.0327562,0.00887146,0.00797066,0.00837196,0.0371479,0.0048827,0.00931352,0.0183131,0.00434944,0.0131101,0.0115101,0.0170354,0.0151706,0.0222594,0,0,0.0159443,0,0.00772938,0.00722493,0.0455702,0.018168,0.0326934,0.0152659,0.00953302,0.0107544,0.00605366,0.028085,0.013776,0.00882201,0.0227574,0.0243661,0.0235631,0.0148484,0.0114441,0.00501241,0.00619908,0.0100306,0.0221153,0,0,0,0,0,0,0,0,0,0
2,0.0246418,0.0126213,0,0,0,0,0,0.00331792,0.0159364,0.0066008,0.00928606,0,0,0.00592101,0,0.0251923,0.00438171,0.0396652,0.0149828,0.0307932,0.0130073,0.00875707,0.00972707,0.00562512,0.00973271,0.00682089,0.033461,0.00920165,0.00823131,0.00863205,0.0371287,0.00510975,0.00898445,0.0182894,0.00443215,0.0132566,0.0114454,0.0169348,0.014666,0.0220377,0,0,0.0157133,0,0.00760104,0.00710001,0.0458158,0.0180232,0.032442,0.0147757,0.0096797,0.0110128,0.00609804,0.0281738,0.0135206,0.0085655,0.0222141,0.0238317,0.022916,0.014873,0.0115455,0.00490209,0.00605583,0.00981333,0.0217985,0,0,0,0,0,0,0,0,0,0
3,0.0243635,0.0123687,0,0,0,0,0,0.00345903,0.015941,0.00670618,0.00877828,0,0,0.00554924,0,0.025118,0.00427593,0.0396742,0.0151015,0.0306324,0.0130063,0.00870249,0.00946742,0.00576281,0.00973677,0.00669597,0.033759,0.00938073,0.00844453,0.00878494,0.0370941,0.00541311,0.00862539,0.0182642,0.00450112,0.0133485,0.0113702,0.0167983,0.0141476,0.0218858,0,0,0.0154848,0,0.00746765,0.00698773,0.0460283,0.017854,0.0321435,0.014418,0.00974817,0.0113175,0.00610096,0.0283817,0.0133241,0.00842202,0.0217964,0.0233391,0.0224235,0.0148889,0.0116547,0.00477074,0.00593138,0.00965897,0.0214947,0,0,0,0,0,0,0,0,0,0
4,0.0241003,0.0122906,0,0,0,0,0,0.00359805,0.0159289,0.00675656,0.00824797,0,0,0.00511123,0,0.0250444,0.00413444,0.0396552,0.0150308,0.0304751,0.0126953,0.00874131,0.00923002,0.00583312,0.00960536,0.0063717,0.0338606,0.00945556,0.00857936,0.00882954,0.0370251,0.0056725,0.00822196,0.0182361,0.00455954,0.0134469,0.0113119,0.0167009,0.0136581,0.021774,0,0,0.0153557,0,0.00739705,0.00695137,0.0462102,0.0176447,0.031795,0.0141573,0.00993855,0.0116513,0.00606927,0.0286088,0.0128776,0.00828126,0.0214112,0.0228485,0.0220168,0.0149203,0.0118106,0.00462022,0.00584759,0.00957013,0.0212276,0,0,0,0,0,0,0,0,0,0
5,0.0238381,0.0123146,0,0,0,0,0,0.00364883,0.0159199,0.00679872,0.00776604,0,0,0.00460531,0,0.0249792,0.00393581,0.0396738,0.0148504,0.0303247,0.0121293,0.00883379,0.0090485,0.00580623,0.00928396,0.00611206,0.033962,0.00945447,0.00860811,0.00882984,0.0369107,0.00575961,0.0077967,0.0182012,0.00460281,0.0136184,0.0112829,0.0166516,0.0131953,0.0216328,0,0,0.0152506,0,0.00736967,0.00689169,0.0463996,0.0175442,0.0314197,0.0139237,0.0102599,0.0119675,0.00610384,0.0288378,0.0122132,0.00816305,0.0210073,0.0223179,0.0214712,0.0149676,0.0120044,0.00449596,0.00577406,0.00953915,0.0209689,0,0,0,0,0,0,0,0,0,0
6,0.0236297,0.0122523,0,0,0,0,0,0.00367398,0.0159449,0.00678643,0.00732586,0,0,0.00403058,0,0.0249002,0.00367473,0.0397177,0.014524,0.0302069,0.0114013,0.00902375,0.00890591,0.00557668,0.00881736,0.00588459,0.033799,0.00932467,0.00855741,0.0087129,0.0367654,0.00579109,0.00731926,0.0181635,0.00460803,0.0138978,0.011277,0.0166627,0.0127372,0.0215152,0,0,0.015082,0,0.00731015,0.00680681,0.0465694,0.0175592,0.0310472,0.0136194,0.0104551,0.0123026,0.00621676,0.0290364,0.0118341,0.00800578,0.0204728,0.0216775,0.0207281,0.0150724,0.0121974,0.00436241,0.00568701,0.00955127,0.0207505,0,0,0,0,0,0,0,0,0,0
7,0.0234052,0.0121092,0,0,0,0,0,0.00364389,0.0159683,0.00662633,0.00695608,0,0,0.00342094,0,0.0247862,0.00335662,0.039808,0.013851,0.0300899,0.0102436,0.00929528,0.00881494,0.00517019,0.00818879,0.00559474,0.0333069,0.00894682,0.00835183,0.0083663,0.0365818,0.00575422,0.00684127,0.0181204,0.00461376,0.0142263,0.0112622,0.0167174,0.0123141,0.0214075,0,0,0.0150303,0,0.00722624,0.00675109,0.0467131,0.0176019,0.0306628,0.0133553,0.0105161,0.0126854,0.00631541,0.0292233,0.0112494,0.00791624,0.0199307,0.021021,0.0199346,0.0152042,0.0124807,0.00431027,0.00557505,0.00957802,0.0205126,0,0,0,0,0,0,0,0,0,0
8,0.0233259,0.0120711,0,0,0,0,0,0.00336063,0.0159965,0.00626668,0.00668521,0,0,0.00282281,0,0.0246815,0.00307447,0.039924,0.0126783,0.0299643,0.00837452,0.00977408,0.00872845,0.00481735,0.00733599,0.00524168,0.0326846,0.00824566,0.00777243,0.00773109,0.0363785,0.00525918,0.00639768,0.0180696,0.00460867,0.0146014,0.0112639,0.0168003,0.0118467,0.021465,0,0,0.0149459,0,0.00709419,0.00663158,0.0467845,0.0176432,0.0303195,0.0131484,0.0106926,0.0131939,0.00634593,0.0295223,0.0109589,0.00794713,0.0195023,0.0204687,0.0193236,0.0153561,0.0127461,0.00422206,0.00550565,0.00967793,0.0204038,0,0,0,0,0,0,0,0,0,0
