Trajectories
100
,,Wheelbarrow:WBR,,,Wheelbarrow:WBL,,,Wheelbarrow:WFL,,,Wheelbarrow:WFM,,,Wheelbarrow:WFR,,,Wheelbarrow:IMUR_T,,,Wheelbarrow:IMUR_M,,,Wheelbarrow:IMUR_B,,,Wheelbarrow:IMUL_R,,,Wheelbarrow:IMUL_M,,,Wheelbarrow:IMUL_L,,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
22273,0,861.127808,182.502258,824.680664,520.635620,132.011536,832.387329,288.399994,755.726624,694.085815,539.393555,1092.063965,620.871338,908.200684,847.619385,680.284241,1056.365967,-74.994064,764.500916,1062.889160,-98.677345,725.689453,,,,507.086273,-128.104507,843.048706,464.776215,-126.598640,846.809753,,,,700.444702,-317.617798,1742.676636,817.866943,-305.166687,1754.080566,694.690369,-459.923309,1768.969238,827.020996,-472.034454,1774.412720,684.130310,-401.992126,1606.758911,842.202820,-382.798065,1598.121582,774.497986,-600.755371,1558.436279,787.994934,-638.868958,1444.454834,762.411438,-398.014343,1456.352295,756.913391,-369.537170,1389.977295,897.656067,-631.067017,1480.718750,521.849060,-555.492981,1508.729736,453.064606,-578.556824,1341.090698,433.652039,-583.376648,1213.452759,,,,418.002136,-492.638763,1091.012817,442.214569,-393.928345,1015.074158,442.453491,-453.750427,973.522949,445.162231,-343.087616,882.772095,424.290070,-430.053284,914.594788,1035.333740,-471.355621,1496.747681,1096.286255,-459.630798,1338.565063,1137.080078,-464.300690,1192.543213,,,,1115.098999,-362.454559,1075.141357,1038.425781,-280.186829,1000.458618,1086.582764,-330.892914,959.933289,1061.972046,-261.505951,854.907837,1097.382080,-316.968994,892.368835,641.203125,-358.812103,1040.034790,852.540466,-331.761688,1030.858521,687.341797,-678.329956,1160.548340,904.827271,-660.259521,1144.925293,557.557922,-482.467255,1088.399536,995.693726,-501.056122,1099.414551,555.671692,-488.087463,912.413269,557.248108,-454.383606,818.242981,577.841187,-411.296021,747.499268,570.522583,-486.402618,705.404968,558.478149,-532.351624,775.517273,648.131165,-541.342712,506.682739,,,,638.804565,-555.202454,399.112915,646.759094,-514.692200,348.903564,664.110291,-587.179504,298.291840,664.885864,-622.466248,346.761902,711.265320,-559.784851,98.480568,,,,799.833923,-630.929199,54.144600,716.374939,-347.112701,54.316463,996.253784,-444.658997,945.696960,652.674744,-424.935516,52.569912,993.273499,-349.719116,803.963745,932.609009,-287.054535,782.264221,951.400330,-299.797394,700.170593,1008.531921,-365.984650,722.378845,971.904602,-382.564911,548.371826,,,,996.040283,-445.523804,454.400696,,,,975.649658,-475.841705,357.034119,996.653931,-503.069214,438.380981,953.861633,-577.627258,197.711853,,,,895.483948,-687.287170,175.713684,888.530273,-417.622772,62.566185,967.082153,-465.638824,87.853851
22274,0,859.612976,192.675705,824.598450,519.233643,142.208115,832.308350,286.685638,765.713196,693.940552,537.621582,1102.274658,621.041382,906.556824,857.933838,680.434448,1055.033569,-64.509407,764.187805,1061.585449,-88.312515,725.632263,1039.854614,-109.601944,702.226013,505.498840,-117.821304,842.763977,463.610870,-116.412872,846.238464,431.610107,-126.293304,826.368103,698.932617,-308.556824,1742.818726,816.759338,-295.538544,1754.207520,693.370056,-450.576721,1768.818604,825.755310,-462.580597,1774.197754,682.824402,-392.308624,1606.689453,840.973511,-373.041748,1598.082031,773.310791,-591.072998,1558.362915,786.898987,-629.296692,1444.437988,761.022644,-388.803131,1456.351685,755.784363,-359.655243,1389.781616,896.526855,-621.347534,1480.674805,520.605957,-545.765259,1508.383667,451.889008,-568.224854,1340.603394,432.282349,-573.305298,1213.106079,,,,416.686279,-482.480774,1090.698242,440.868225,-383.710938,1014.761780,441.147644,-443.747833,973.480957,443.747406,-333.025726,882.471191,422.884552,-420.043518,914.578735,1034.130005,-461.427887,1496.705933,1094.837402,-449.039520,1338.448608,1135.985107,-453.777954,1192.320312,,,,1113.904053,-351.958496,1075.092041,1037.195068,-269.728333,1000.332581,1085.243408,-320.359161,959.701721,1060.208984,-251.067520,854.886597,1096.066895,-306.532776,892.208740,639.436707,-349.970184,1039.952759,850.965942,-322.453552,1030.826172,686.241699,-669.286072,1160.769287,903.666504,-651.052124,1145.157471,556.093872,-473.896667,1087.887573,994.124451,-491.671906,1099.449097,554.440491,-480.651886,911.905579,556.463928,-447.500580,817.283691,576.471802,-405.588318,746.168884,569.963562,-480.385284,704.783386,557.896484,-525.828186,775.216614,647.986694,-537.137878,506.403381,,,,638.609619,-552.015686,398.922668,646.689331,-511.920807,348.389526,664.254883,-584.995361,298.591553,664.888184,-619.780457,347.274048,711.592590,-559.659546,98.815254,,,,800.261780,-630.614319,54.114162,716.234375,-347.241089,53.843689,994.740540,-434.564514,946.375183,652.762512,-424.611542,52.716602,990.506653,-338.224060,805.426941,929.314758,-275.870056,784.431824,947.876892,-287.833862,702.126099,1006.222961,-354.204559,723.805542,968.408020,-368.117706,548.496887,,,,993.145325,-426.956635,451.651367,962.771423,-398.118011,369.852448,972.706177,-453.248779,352.988892,994.538513,-483.974457,433.362793,951.658081,-548.094604,189.203629,,,,893.791748,-657.038452,161.782745,885.027954,-382.460907,61.571213,964.192261,-430.703033,84.937355
22275,0,858.191101,202.894699,824.328308,517.851501,152.537140,832.032837,285.204315,776.051941,694.027710,536.029053,1112.538208,621.205200,904.938049,868.228271,680.610046,1053.701782,-54.159851,764.151733,1060.254272,-78.069702,725.365906,,,,504.321289,-107.778625,842.490662,463.813293,-104.694832,844.940125,,,,697.721558,-298.982880,1742.747925,815.540344,-286.158020,1754.106201,692.229675,-441.165375,1768.464844,824.579773,-453.030426,1773.818848,681.557739,-382.933350,1606.504395,839.716431,-363.306183,1597.957520,772.185242,-581.345947,1558.123413,785.888184,-619.702332,1444.264648,759.784302,-379.022461,1455.940552,754.422974,-349.960114,1389.343750,895.470825,-611.645325,1480.505005,519.445251,-536.077148,1507.958496,450.492706,-558.530212,1340.171753,430.918304,-563.211975,1212.618286,,,,415.299591,-472.450897,1090.059937,439.526825,-373.510437,1014.311646,439.861694,-434.943970,973.514343,442.490967,-322.762604,882.069458,421.619843,-409.791290,913.938904,1032.953125,-451.486877,1496.529907,1093.794312,-438.806335,1338.301636,1134.834106,-443.037811,1192.207520,,,,1112.658936,-341.374023,1074.633911,1035.880737,-259.481842,999.873657,1083.948486,-310.144775,959.296204,1058.929321,-240.749130,854.540649,1094.719727,-296.307251,891.768188,637.613281,-341.132172,1039.640137,849.434570,-313.171997,1030.712036,685.274048,-660.245605,1160.780396,902.626587,-641.735291,1145.068481,554.743225,-465.608582,1087.225952,993.005432,-482.542450,1099.278320,553.880432,-472.972839,910.949280,555.237244,-440.864380,816.181580,575.728699,-399.000092,744.823669,569.484436,-474.280640,703.988770,557.467468,-519.230347,774.779053,647.635620,-533.042236,506.195770,,,,638.493774,-548.494141,398.773224,646.761719,-508.892548,347.804474,664.343689,-582.263062,298.639130,664.896423,-616.738586,347.764618,712.299744,-558.853394,98.914665,,,,800.371643,-631.276428,54.627117,716.320984,-346.919373,53.601635,993.362061,-424.649323,946.748230,652.836670,-424.506409,52.755062,987.838318,-327.067261,806.601379,926.188416,-264.957214,786.328430,944.317932,-276.160095,703.736755,1002.612854,-341.956848,724.597839,964.939270,-354.192291,548.472656,,,,990.247986,-408.786682,448.957428,959.819824,-376.604767,368.814117,970.545837,-430.906830,349.400696,991.993713,-464.783478,428.176361,949.508789,-517.970398,180.802460,,,,892.300232,-625.207520,148.019211,882.418579,-346.487213,61.589321,961.667175,-395.645447,82.349266
22276,0,856.828796,213.212006,824.286072,516.278931,162.485199,831.738525,283.567413,786.062866,693.933899,534.407166,1122.786499,621.343628,903.231262,878.327026,680.659119,1052.254517,-43.893764,763.785522,1058.826050,-67.801529,724.989197,1037.293335,-88.988518,701.887207,502.579498,-97.492020,841.984375,460.420898,-96.202400,845.802490,,,,696.888123,-289.138489,1742.562622,814.376648,-276.574219,1753.980713,691.170654,-431.763977,1767.975220,823.525574,-443.720673,1773.371216,680.531921,-373.042450,1606.138672,838.585510,-353.462097,1597.672241,771.096802,-571.564209,1557.744507,784.910828,-609.960205,1443.889648,758.793030,-369.000916,1455.328735,753.322571,-340.373749,1388.790894,894.422729,-601.800110,1480.193604,518.365662,-526.341309,1507.475342,449.256744,-548.492554,1339.538086,429.377747,-553.740173,1212.192871,,,,413.932495,-462.395477,1089.328491,438.210999,-363.448364,1013.805054,438.514984,-424.825226,972.995422,441.118591,-312.629059,881.506653,420.265717,-399.707092,913.407288,1031.791748,-441.540009,1496.176758,1092.770020,-428.346008,1337.977295,1133.852783,-432.374664,1191.858032,,,,1111.516602,-331.124939,1073.895264,1034.453369,-249.406998,999.379517,1082.573730,-299.915955,958.722900,1057.564697,-230.522736,853.815796,1093.344849,-286.065247,891.221008,635.827881,-332.265930,1039.053955,848.019226,-303.951752,1030.434204,684.460815,-651.239258,1160.661133,901.595642,-632.419678,1144.799805,553.438660,-457.240753,1086.330200,992.047913,-473.240448,1098.666992,552.858643,-465.233429,910.173279,554.564270,-433.842987,815.115723,575.138123,-392.548218,743.304871,569.110535,-468.155029,703.162781,557.141602,-512.574524,774.192261,647.688904,-528.029541,505.748322,,,,638.519348,-544.648193,398.441437,646.782654,-505.959167,346.821198,664.463928,-579.444824,298.730835,664.826416,-613.482971,348.224060,712.937012,-558.227966,99.055832,,,,800.717773,-631.006409,54.680302,716.307861,-346.794464,53.100372,992.374756,-414.723572,947.096436,652.928955,-424.577484,52.743263,985.244446,-315.927429,807.399414,923.037598,-254.101074,787.814453,940.861877,-264.799683,705.077515,999.774536,-330.318878,725.312317,961.572021,-340.849091,548.508667,,,,987.368652,-390.928619,446.214539,957.560303,-355.128693,367.730164,967.459534,-408.774139,345.915039,988.903259,-446.339172,422.999664,947.633057,-487.414032,172.708817,,,,890.635071,-593.160461,134.360565,880.119019,-310.434692,61.985317,959.351257,-360.284668,79.947304
22277,0,855.359375,223.287018,823.879272,514.785645,172.560471,831.373291,282.198242,796.443787,693.985046,533.018555,1133.099731,621.523376,901.901123,888.692871,680.674561,1050.815918,-33.632111,763.135986,1057.455078,-57.640495,724.509583,1035.575928,-78.612473,700.911926,501.384796,-87.387596,841.563721,459.444214,-85.689514,844.903381,,,,695.711853,-279.783264,1742.251587,813.090637,-267.176636,1753.807129,690.158081,-422.109283,1767.349854,822.523010,-434.221466,1772.706543,679.322815,-363.490814,1605.667358,837.483398,-343.768127,1597.201294,770.028259,-561.738342,1557.237671,783.951843,-600.268372,1443.455811,757.780945,-359.062439,1454.793579,752.281860,-330.794891,1388.099365,893.395752,-591.931519,1479.795776,517.518372,-516.017212,1506.494385,448.090546,-538.357910,1338.709106,428.420074,-543.130554,1211.238281,,,,412.685120,-452.497559,1088.510132,436.814331,-353.352356,1013.265747,437.053375,-414.316223,972.027039,439.647614,-302.563507,880.980286,418.901978,-389.348480,912.759277,1030.712036,-431.548950,1495.688477,1091.817261,-417.897705,1337.476807,1132.863892,-421.602905,1191.261108,,,,1110.274048,-321.024139,1073.098633,1032.890747,-240.485077,998.516113,1081.171509,-289.701111,958.090454,1056.127930,-220.340591,853.362305,1091.895874,-275.853607,890.636169,634.222656,-323.564301,1038.283081,846.689392,-294.566956,1030.176514,683.680420,-642.167847,1160.320435,900.580078,-622.944702,1144.277466,552.073792,-448.963287,1085.370972,992.115356,-464.686005,1097.997925,552.125793,-457.328156,909.141174,553.998962,-426.638458,813.873413,574.616455,-385.822296,741.760437,568.867920,-461.723602,702.161133,556.874146,-505.750549,773.499084,647.714722,-522.943909,505.161591,,,,638.581787,-540.534119,398.062012,647.236511,-501.919342,346.332550,664.683594,-576.356140,298.762848,664.843323,-609.903259,348.576263,713.698853,-557.514282,99.161461,,,,801.096008,-630.751099,54.823330,716.302551,-346.718994,52.607800,990.952332,-404.624512,946.767090,653.066223,-424.457184,52.832096,983.060730,-305.271515,807.723999,919.918823,-243.498932,788.893188,937.469055,-253.665573,705.995544,996.779358,-318.790863,725.732178,958.336853,-327.917572,548.153687,,,,984.269958,-373.440979,443.532227,954.645386,-334.456299,366.538208,965.137878,-386.728485,342.530243,986.419861,-427.622742,418.042206,945.681519,-456.624786,165.126572,,,,889.066895,-560.165771,121.492310,877.575500,-274.651703,62.153461,957.038330,-324.861145,78.359459
22278,0,853.879150,233.350693,823.409302,513.407166,182.857086,831.015076,280.728424,806.540588,693.845154,531.704651,1143.393555,621.640808,900.553040,898.854248,680.606812,1049.329468,-23.493326,762.641785,1055.999390,-47.502239,723.949158,1034.031128,-68.358727,700.291565,499.726440,-77.155952,840.943115,458.129303,-75.430557,844.232300,,,,694.615906,-270.377594,1741.899292,812.242554,-257.736877,1753.368652,689.189758,-412.749847,1766.643433,821.595337,-424.716125,1771.923218,678.508667,-353.460297,1605.046387,836.443481,-333.952454,1596.616699,769.044800,-551.811096,1556.628052,783.092407,-590.525574,1442.914185,756.475708,-349.542725,1454.214111,751.178833,-321.203827,1387.210205,892.459656,-582.007202,1479.278564,516.343262,-506.667786,1505.811035,446.913818,-528.352112,1337.834351,426.955475,-533.743774,1210.649414,,,,410.972900,-442.484314,1087.905884,435.464447,-343.205536,1012.672668,435.648926,-403.277466,971.241821,438.137543,-292.256836,880.393677,417.377075,-379.387787,912.240540,1029.691162,-421.451263,1495.005737,1090.641602,-407.076599,1336.704834,1132.050171,-411.105591,1190.629883,,,,1109.014771,-310.404266,1072.385132,1031.336426,-230.078705,998.068115,1079.863037,-279.497253,957.412781,1054.673828,-210.150726,852.805847,1090.464355,-265.736511,890.008972,632.651978,-314.802551,1037.316895,845.373718,-285.193298,1029.709229,683.006042,-633.094849,1159.835815,899.665405,-613.339661,1143.597168,550.863525,-440.631836,1084.308350,991.400574,-455.309052,1096.921753,551.654114,-449.148285,907.904602,553.504761,-419.148407,812.519043,574.041870,-378.802948,740.273010,568.709351,-455.188202,701.146179,556.688904,-498.823395,772.715332,647.642273,-517.839355,504.591095,,,,638.656921,-536.331665,397.684692,647.411560,-498.363647,345.483246,664.878296,-573.284241,298.815826,664.925598,-606.171082,348.969452,714.351990,-556.886963,99.296478,,,,801.517822,-630.541931,55.016579,716.351318,-346.517334,52.097641,990.088135,-394.504242,946.742554,653.228638,-424.352142,52.889301,980.874084,-294.565308,807.887268,916.922241,-233.058334,789.632690,934.125000,-242.808685,706.554626,994.074707,-307.548248,725.764343,955.192566,-315.468414,547.639282,,,,981.461121,-356.607300,441.074402,952.301758,-313.722595,365.785309,962.886536,-364.849884,339.333221,983.743958,-409.602081,413.048767,944.068970,-425.143463,157.889206,,,,887.561401,-526.499084,109.712440,875.935791,-238.172806,64.022079,955.083679,-289.284912,77.191139
22279,0,852.347473,243.388168,822.767883,511.911499,192.881348,830.398315,279.505371,816.985168,693.906006,530.412292,1153.613892,621.749878,899.248596,908.995728,680.511108,1047.897461,-13.256261,761.857239,1054.512207,-37.434238,723.293884,1032.829346,-58.384708,699.967163,498.492371,-67.012138,840.372864,456.335754,-65.633858,844.012817,421.367554,-78.263161,825.963379,693.566650,-260.468597,1741.517212,811.345520,-247.874146,1752.825684,688.345093,-403.241943,1765.848389,820.677551,-415.096558,1770.967896,677.386292,-344.087067,1604.420654,835.434448,-324.056366,1595.854858,768.155090,-541.802612,1555.939087,782.305908,-580.652405,1442.293457,755.662598,-338.517822,1452.764160,750.192200,-311.509186,1386.208618,891.604309,-571.931396,1478.659302,515.352722,-496.793182,1504.920654,445.825195,-518.286499,1336.830933,425.897522,-523.682068,1209.700073,,,,410.156494,-432.340088,1087.413086,433.915405,-333.118378,1012.015686,434.514221,-392.387756,970.301880,436.655640,-282.152191,879.708618,415.703979,-369.209656,911.631104,1028.649048,-411.100372,1494.166504,1089.834473,-396.759583,1335.905884,1131.143188,-400.793213,1189.717407,,,,1107.940796,-299.953827,1071.939697,1030.006836,-219.962982,997.282654,1078.439331,-269.188843,956.662292,1053.131470,-199.972931,852.064941,1089.015625,-255.532974,889.294983,631.264771,-306.028961,1036.200073,844.180969,-275.709564,1029.065918,682.470032,-623.926941,1159.234741,898.772827,-603.648987,1142.701538,549.693665,-432.311005,1083.222656,990.848206,-445.841888,1095.714478,551.025391,-440.890198,906.676514,553.040039,-411.879944,811.176270,573.559082,-371.947906,738.728455,568.523071,-448.643402,700.102905,556.554504,-491.740051,771.880615,647.616699,-512.505188,503.995300,,,,638.832825,-532.050232,397.174896,647.645996,-494.727875,344.635071,665.095215,-570.166260,298.905518,664.956116,-602.603394,349.410583,715.000427,-556.240356,99.465599,,,,801.863892,-630.247131,55.188240,716.458618,-346.390167,51.734947,988.947510,-384.249908,946.262878,653.380005,-424.244110,52.944122,977.677979,-283.447693,808.005615,913.916016,-222.771957,789.883972,930.899780,-232.201935,706.607239,991.397217,-296.722687,725.575928,952.195923,-303.543243,546.916504,,,,978.616028,-340.135040,438.605804,950.166992,-293.288483,365.170807,960.817261,-342.997223,336.226135,980.568176,-391.280151,407.815826,942.230286,-393.458954,151.342178,,,,885.910400,-492.628357,98.504005,873.906494,-202.352036,65.405304,953.356018,-253.662354,76.732613
22280,0,850.910339,253.464645,822.220703,510.533752,203.090088,829.901672,278.196472,827.251404,693.849304,529.190002,1163.905518,621.941772,897.958191,919.143555,680.346130,1046.353271,-3.200143,760.931763,1053.062866,-27.353912,722.458191,1031.319214,-48.256767,699.138916,497.053223,-56.858898,839.621521,454.163300,-55.904114,843.814087,,,,692.558105,-251.329483,1741.023560,810.434143,-238.216202,1752.248047,687.526001,-393.584198,1764.898560,819.878540,-405.471771,1769.887695,676.274902,-334.207306,1603.745239,834.436462,-314.013367,1594.964111,767.313660,-531.719604,1555.155151,781.547119,-570.722351,1441.551880,754.449646,-329.086212,1451.805908,749.087524,-301.712097,1385.065674,890.805969,-561.834778,1477.927124,514.387817,-487.062683,1503.868652,444.837128,-508.312714,1335.692871,424.753754,-513.861633,1208.752441,,,,409.232880,-421.829498,1086.735840,432.438751,-322.965637,1011.231750,432.773102,-384.099457,970.237976,434.991394,-271.968811,878.947021,414.195740,-359.011627,910.854431,1027.682861,-400.655945,1493.192261,1088.939575,-386.395599,1334.987305,1130.440186,-390.516388,1188.931763,,,,1106.261841,-289.853424,1071.184204,1028.633911,-209.861084,996.472107,1077.081787,-259.029358,955.758301,1051.567139,-189.962769,851.208923,1087.542725,-245.332245,888.394409,629.899475,-297.048065,1034.990845,843.043335,-266.244415,1028.207764,681.924744,-614.639648,1158.532104,898.016602,-593.960327,1141.730225,548.518188,-423.587769,1082.037964,990.258301,-436.116730,1094.362915,550.398438,-432.500824,905.455627,552.534058,-404.311493,809.845093,573.109436,-364.957184,737.106934,568.445679,-441.689026,698.998657,556.372437,-484.511902,771.097168,647.576904,-506.833130,503.307983,,,,638.769104,-527.921936,396.816315,647.751221,-491.228088,343.820831,665.235779,-567.244324,299.072723,664.976746,-598.973511,349.896637,715.630615,-555.539490,99.534172,,,,801.988525,-630.824158,55.561337,716.537415,-346.395935,51.303932,987.801025,-373.793640,945.579590,653.506226,-424.189972,52.924854,975.670349,-273.055756,807.365967,911.356812,-212.891708,789.648682,927.845459,-221.866577,706.309998,988.804199,-285.974731,724.890198,949.246399,-292.128998,545.841858,,,,975.935791,-323.633148,435.727692,948.361328,-272.353027,364.808716,958.628052,-321.179626,333.220184,977.852051,-373.141174,402.392975,940.687439,-361.333466,145.545898,,,,884.633484,-458.112823,88.312569,872.160156,-166.492554,67.993286,951.299622,-218.131943,76.798790
22281,0,849.578613,263.593506,821.657104,509.126373,213.190384,829.307312,276.980774,837.586914,693.919617,528.086060,1174.132080,622.144165,896.799500,929.301270,680.217468,1044.937500,6.911589,760.139954,1051.545654,-17.360123,721.612915,1029.768799,-38.201359,698.240051,495.105743,-46.658947,838.714294,453.063385,-45.309502,842.527405,418.670685,-59.991096,824.416199,691.901978,-241.469757,1740.287964,809.649902,-228.378281,1751.489990,686.767944,-384.070862,1763.943848,819.146118,-395.985413,1768.816162,675.509338,-323.932495,1602.800537,833.546509,-304.015411,1593.994141,766.525940,-521.601379,1554.245239,780.872925,-560.703796,1440.697266,752.861633,-319.385925,1450.864258,747.902405,-291.964905,1383.848877,890.087646,-551.173767,1477.084717,513.497864,-477.253662,1502.805786,443.893066,-498.239075,1334.416504,423.929962,-503.323914,1207.564697,,,,407.598877,-412.112427,1085.917725,430.829803,-312.831604,1010.390259,431.122375,-372.723724,968.873413,433.474792,-261.744659,878.136719,412.553223,-348.827393,910.070068,1026.728027,-390.087280,1492.146484,1088.097290,-376.098785,1333.980469,1129.512817,-380.089905,1187.827881,,,,1104.962769,-279.623871,1070.231934,1027.389038,-199.683136,995.466431,1075.776001,-248.943527,954.707581,1050.165039,-179.730118,850.323669,1086.040527,-235.243835,887.376892,628.599365,-287.955322,1033.710938,841.942993,-256.514404,1027.223022,681.544250,-605.185181,1157.768677,897.256775,-584.029053,1140.625366,547.328491,-414.842468,1080.779053,989.721924,-426.306946,1093.004150,549.589355,-423.910339,904.415161,552.042908,-396.519684,808.555054,572.601624,-357.712738,735.565979,568.124146,-434.835815,698.015564,556.197021,-477.044678,770.317505,647.337219,-501.462769,502.674805,,,,638.603271,-523.729492,396.401794,647.652039,-487.657684,342.953674,665.113342,-564.328552,299.177521,664.988953,-595.356567,350.455780,716.009277,-554.970154,99.660507,,,,802.299622,-629.748779,55.418934,716.619934,-346.253540,51.017269,986.732300,-363.324738,944.686157,653.735352,-424.080597,53.015053,973.011108,-262.455658,806.413025,908.829102,-202.981873,788.922913,925.088806,-211.863480,705.542725,986.361023,-275.613556,723.856506,946.298157,-280.937500,544.453308,,,,973.405090,-307.237946,432.771454,945.841858,-252.861923,364.390686,956.506287,-299.491058,330.477356,975.094666,-354.759308,396.742371,938.775330,-329.115570,140.433716,,,,882.481201,-422.481781,79.282059,869.993652,-130.732162,71.230392,949.358154,-182.736450,77.680298
