Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LBHD
All Timesteps RMSE,0.052402,0.0252184,0,0,0,0,0,0,0.0407721,0.0176795,0.0318607,0.0612446,0,0.0487179,0,0.0284566,0.015719,0.0320542,0.0373793,0.0232535,0.0336835,0.0356966,0.0354888,0.0292933,0.0322091,0.0237192,0.0501822,0.0302563,0.0301435,0.0282357,0.0210805,0.0419609,0.0405017,0.0208988,0.00656676,0.0323428,0.00438285,0.0326486,0.105636,0.0464576,0,0,0.0349146,0,0.00838453,0.0185556,0.0496772,0.0416742,0.0265001,0.0690253,0.031968,0.0207105,0.0213059,0.0230506,0.0396425,0.023766,0.0292025,0.0181893,0.0212989,0.0256601,0.0411205,0.0322702,0.00902859,0.00640477,0.0192025,0.0507373,0,0,0,0,0,0,0,0,0
0,0.055435,0.0251627,0,0,0,0,0,0,0.0739675,0.0176011,0.0408406,0.0693056,0,0.0433374,0,0.0288613,0.0130198,0.0293758,0.0237841,0.0221676,0.0320804,0.0458774,0.0353861,0.0296698,0.0318091,0.0210277,0.0509008,0.0262581,0.0303133,0.0296752,0.0234521,0.074107,0.0373493,0.0224554,0.00701742,0.0557376,0.00271182,0.050105,0.1159,0.0478718,0,0,0.0319238,0,0.00681022,0.0182097,0.0547406,0.0432124,0.0235144,0.0722722,0.0254013,0.0215376,0.0136329,0.0317652,0.0628951,0.0327457,0.0366026,0.012162,0.0163585,0.0253068,0.0527643,0.0311979,0.0104979,0.00786425,0.0174333,0.0514199,0,0,0,0,0,0,0,0,0
1,0.0565814,0.0258826,0,0,0,0,0,0,0.0648661,0.0166689,0.0372334,0.069635,0,0.0442685,0,0.0284789,0.0138995,0.0294254,0.0224786,0.0232461,0.0315975,0.0452842,0.0362983,0.0311328,0.0319298,0.0226488,0.0510275,0.0250853,0.0275251,0.0282316,0.0214686,0.0637128,0.0383088,0.0213833,0.00723443,0.0528825,0.00270688,0.0490238,0.116592,0.0486969,0,0,0.0318751,0,0.00709146,0.0180107,0.0548776,0.0396849,0.023304,0.0691832,0.0250108,0.0220224,0.0125531,0.0354703,0.0610739,0.0307201,0.0355997,0.0124797,0.0181454,0.0231544,0.0512372,0.0312798,0.0107047,0.00777296,0.0179559,0.0522903,0,0,0,0,0,0,0,0,0
2,0.0574263,0.026516,0,0,0,0,0,0,0.0648601,0.016411,0.0370823,0.0688454,0,0.044399,0,0.0283806,0.014186,0.0296864,0.0229834,0.0235396,0.0321147,0.0452294,0.0369037,0.0310907,0.0318112,0.0224346,0.0505574,0.025635,0.0280761,0.0285787,0.0213122,0.0638665,0.0385352,0.0211979,0.00736065,0.0523523,0.00270941,0.048451,0.116726,0.0493567,0,0,0.0318445,0,0.00723151,0.0178245,0.0547912,0.0379293,0.0234849,0.0680886,0.0252329,0.0223471,0.0119672,0.0358496,0.060727,0.0297188,0.0352602,0.0125,0.0186476,0.0224195,0.051529,0.0312786,0.0108386,0.00774725,0.0184332,0.05296,0,0,0,0,0,0,0,0,0
3,0.0583083,0.0271414,0,0,0,0,0,0,0.0646367,0.0163282,0.0370714,0.0678357,0,0.0445337,0,0.0283625,0.014503,0.0299311,0.0234811,0.0238182,0.0325905,0.0450656,0.0374839,0.0311669,0.0316714,0.0223683,0.0501694,0.0261045,0.0284805,0.028861,0.0211544,0.0638649,0.0386329,0.0212257,0.00740868,0.0521747,0.0026965,0.0479202,0.116495,0.0501026,0,0,0.0318627,0,0.00734308,0.017693,0.0544446,0.0368244,0.0236951,0.0675541,0.025577,0.0226887,0.0115684,0.0353766,0.0604001,0.0288545,0.0351969,0.0125725,0.0190444,0.0222145,0.0518699,0.0312997,0.0107864,0.00770279,0.0189749,0.0536512,0,0,0,0,0,0,0,0,0
4,0.0589632,0.0276268,0,0,0,0,0,0,0.0643558,0.016354,0.0373399,0.0668382,0,0.0447033,0,0.0283003,0.014707,0.0301113,0.0241198,0.0239379,0.0331966,0.0450115,0.0377058,0.0315541,0.0315216,0.0223675,0.0498438,0.0265298,0.0287376,0.0290964,0.021063,0.0637481,0.0385318,0.0212314,0.00736838,0.0519268,0.00270658,0.0474616,0.11607,0.0507132,0,0,0.0318787,0,0.0074413,0.0175473,0.0543692,0.0359055,0.0238049,0.0671276,0.0258963,0.0229237,0.0111301,0.0349787,0.0598324,0.0278568,0.0352642,0.0127337,0.0195831,0.0221971,0.051954,0.0312949,0.0105877,0.00761722,0.0195183,0.0541496,0,0,0,0,0,0,0,0,0
5,0.059287,0.0279876,0,0,0,0,0,0,0.0641211,0.016384,0.0374274,0.0659381,0,0.0449518,0,0.028203,0.0147152,0.0299643,0.0248237,0.0239501,0.0335952,0.0451207,0.0377388,0.0323995,0.0315071,0.0223843,0.0495666,0.0269292,0.028978,0.0293028,0.0210376,0.0635372,0.0384549,0.0211918,0.00739082,0.0515293,0.0027686,0.0470417,0.115679,0.0510352,0,0,0.0319604,0,0.00754427,0.0172834,0.0539952,0.0349562,0.0237642,0.0666092,0.0261638,0.0228647,0.0107095,0.0346272,0.0590864,0.026772,0.035348,0.0129467,0.0201894,0.0222455,0.0521,0.0311439,0.0106437,0.00752061,0.0200049,0.0543989,0,0,0,0,0,0,0,0,0
6,0.0595268,0.0281369,0,0,0,0,0,0,0.0639398,0.0163855,0.0373585,0.0651058,0,0.0452073,0,0.0282072,0.0146865,0.0299067,0.0256195,0.0240204,0.0339603,0.045322,0.037769,0.0323246,0.0315375,0.0223541,0.0493155,0.0273145,0.029122,0.029525,0.0211073,0.0635095,0.0384066,0.0211715,0.00741513,0.0510902,0.00284384,0.0465447,0.11527,0.0512914,0,0,0.0320521,0,0.0076144,0.0170917,0.0538533,0.0338644,0.0237111,0.066104,0.0264941,0.0226575,0.0103316,0.0342801,0.0581152,0.0258826,0.0353557,0.0130605,0.0207367,0.0224019,0.0517569,0.0309935,0.0106991,0.00738907,0.0202741,0.0546125,0,0,0,0,0,0,0,0,0
7,0.0596784,0.0281001,0,0,0,0,0,0,0.0635705,0.0163405,0.0373224,0.0643187,0,0.0454937,0,0.028111,0.0147993,0.0297898,0.02649,0.0239544,0.0343919,0.0456057,0.0378078,0.0318637,0.0314965,0.0223439,0.0490903,0.027647,0.0291869,0.0297526,0.0212628,0.0633837,0.0384506,0.0211124,0.00747983,0.0504406,0.00291933,0.0456456,0.114731,0.0514434,0,0,0.0319793,0,0.00767026,0.0170512,0.0538511,0.0325225,0.0236486,0.0655742,0.0268008,0.0223745,0.00983676,0.0338761,0.0570938,0.0252911,0.035299,0.0130015,0.0211401,0.0225198,0.0515365,0.0308083,0.0105035,0.007258,0.0204212,0.0547517,0,0,0,0,0,0,0,0,0
8,0.0597801,0.0279955,0,0,0,0,0,0,0.0632492,0.016313,0.0374129,0.0636352,0,0.0458491,0,0.0278763,0.0148588,0.0296066,0.0272761,0.0238528,0.0346834,0.0459371,0.0377267,0.0315924,0.0316043,0.0223579,0.0488823,0.0279675,0.0293404,0.0299916,0.0214049,0.063141,0.0385571,0.0210285,0.00750383,0.0495195,0.00298617,0.0444315,0.114124,0.0515153,0,0,0.0318712,0,0.00773043,0.0169887,0.0538431,0.0309503,0.0236315,0.0649825,0.0270538,0.0220992,0.00956324,0.0333658,0.0560996,0.0244198,0.0349102,0.0127924,0.0213424,0.0224097,0.0512299,0.0306733,0.0104098,0.00721375,0.0206188,0.0548229,0,0,0,0,0,0,0,0,0
9,0.0598352,0.0278634,0,0,0,0,0,0,0.0627564,0.0163292,0.0374161,0.0631495,0,0.0459812,0,0.0279665,0.0146359,0.0294445,0.0281632,0.0236826,0.034985,0.0462443,0.0376964,0.0316708,0.0318259,0.0224189,0.0486844,0.0282787,0.0294501,0.0302598,0.0215494,0.0627697,0.0386098,0.0210484,0.00750878,0.0482175,0.00303818,0.0428859,0.113493,0.0515489,0,0,0.0316762,0,0.00776787,0.0168768,0.0538615,0.0293198,0.0236701,0.0643562,0.0273171,0.0218688,0.00944579,0.032887,0.0550544,0.0233321,0.0340198,0.0124395,0.0213796,0.0219177,0.0506112,0.0305464,0.0103357,0.00719086,0.0206697,0.0548666,0,0,0,0,0,0,0,0,0
10,0.0598767,0.0275636,0,0,0,0,0,0,0.0622099,0.0163399,0.0374578,0.0628708,0,0.0460172,0,0.0280494,0.0145561,0.0293522,0.0292121,0.0234216,0.0353631,0.0464452,0.0376917,0.0317321,0.0319727,0.0224915,0.0485634,0.0285891,0.0295904,0.0305454,0.021681,0.0623349,0.0386669,0.0210579,0.00746937,0.0466021,0.00307493,0.0410291,0.11291,0.0516074,0,0,0.0313835,0,0.0077868,0.0167664,0.0540473,0.0274717,0.0237198,0.0637607,0.0275192,0.0217513,0.00952368,0.0323731,0.0539236,0.0223015,0.0327922,0.0118955,0.0212633,0.0210648,0.0497557,0.0304783,0.0103003,0.00710186,0.0202146,0.0549096,0,0,0,0,0,0,0,0,0
11,0.0599805,0.027415,0,0,0,0,0,0,0.0615505,0.016362,0.0376185,0.0627975,0,0.046092,0,0.0280504,0.0146115,0.029187,0.0301521,0.0230639,0.0357123,0.0464455,0.0378332,0.0317494,0.0320807,0.0225888,0.0485148,0.0288653,0.0296871,0.0307197,0.021759,0.0616091,0.0388035,0.0210455,0.00742465,0.0450589,0.00310729,0.0389503,0.11233,0.0517033,0,0,0.0310798,0,0.00783838,0.0167277,0.0541859,0.0255874,0.0237598,0.0632568,0.0276979,0.021699,0.00971049,0.0318425,0.0528228,0.0214062,0.0312241,0.0111906,0.0206175,0.0198127,0.0490432,0.0304089,0.0102113,0.00704846,0.0191497,0.0549623,0,0,0,0,0,0,0,0,0
12,0.0599414,0.0273204,0,0,0,0,0,0,0.0609386,0.0164334,0.0378685,0.062795,0,0.0461003,0,0.0279788,0.0145981,0.0290714,0.0311078,0.0228152,0.0361077,0.0464033,0.0379233,0.0317799,0.0321564,0.0226237,0.048345,0.0292043,0.0298045,0.0308695,0.0218397,0.0607919,0.0388015,0.0210246,0.0073623,0.043654,0.00316778,0.0366538,0.111879,0.0517439,0,0,0.0309729,0,0.00788592,0.0167218,0.0543863,0.023216,0.0238988,0.0626928,0.027957,0.021618,0.00984644,0.0313324,0.0515477,0.02066,0.0292934,0.0104689,0.0198393,0.0183231,0.0490321,0.030197,0.010179,0.0070589,0.0186008,0.0549192,0,0,0,0,0,0,0,0,0
