Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,RTHII
All Timesteps RMSE,0.0453303,0.0334046,0,0,0,0,0,0,0.0388861,0.0224568,0.0305435,0.0548992,0,0,0.0443129,0,0.0209011,0.0175038,0.0334205,0.0338543,0.019541,0.0309165,0.0274994,0.0425709,0.0199,0.0221493,0.0168007,0.0460001,0.0284415,0.0287203,0.0262672,0.0204487,0.0411759,0.0416248,0.0175092,0.00394382,0.0379433,0.00919867,0.0383774,0.100551,0.0443765,0,0,0.0321519,0,0.0111396,0.0168703,0.0480774,0.0457413,0.0256682,0.076901,0.0420309,0.024381,0.037095,0.0240112,0.0448945,0.0333596,0.017027,0.021607,0.0282074,0.0431622,0.0266153,0.0118355,0.00508622,0.0317808,0.0486217,0,0,0,0,0,0,0,0,0.0371196
0,0.0419202,0.0361763,0,0,0,0,0,0,0.0243827,0.0190993,0.0320969,0.0452227,0,0,0.050747,0,0.0252809,0.0227221,0.0380462,0.0432558,0.0209646,0.0466407,0.0262202,0.044853,0.0226308,0.0257949,0.0176811,0.0356451,0.0429361,0.0422696,0.033917,0.0141494,0.0447262,0.0452138,0.0190767,0.00568225,0.0303724,0.00842828,0.0247095,0.0983749,0.0377496,0,0,0.0335137,0,0.00931852,0.0186582,0.0418899,0.0342549,0.0294759,0.0610239,0.0535316,0.0245962,0.035244,0.0202125,0.037045,0.0200061,0.0183009,0.0147714,0.0187611,0.0368485,0.0269581,0.00604358,0.00275942,0.0352983,0.0460598,0,0,0,0,0,0,0,0,0
1,0.041725,0.036459,0,0,0,0,0,0,0.0244028,0.0189508,0.0304989,0.0450539,0,0,0.0515317,0,0.02495,0.0230437,0.0386442,0.0398988,0.0208327,0.0451371,0.0260167,0.0451755,0.022067,0.0255256,0.0185719,0.0361552,0.0424443,0.0413522,0.0330962,0.0136564,0.0420305,0.0456969,0.0189389,0.00593905,0.0313111,0.00839607,0.0250371,0.0976457,0.0373361,0,0,0.0329658,0,0.00952762,0.0184932,0.0420095,0.033623,0.0289285,0.0615866,0.0536996,0.0242238,0.0338996,0.0191841,0.0358031,0.0207275,0.0174231,0.0154275,0.0191687,0.0376507,0.0266216,0.00610809,0.00281852,0.0354299,0.0458158,0,0,0,0,0,0,0,0,0
2,0.0414746,0.0366104,0,0,0,0,0,0,0.0236978,0.0188817,0.0294518,0.0452268,0,0,0.0518539,0,0.025086,0.0231431,0.0392397,0.0362611,0.0205289,0.0437774,0.0258616,0.0451884,0.0210412,0.0249934,0.0192518,0.0366679,0.0416433,0.0405701,0.0321612,0.0132876,0.0391999,0.045785,0.0189849,0.00602078,0.0313375,0.00825108,0.0254695,0.0974071,0.0369551,0,0,0.0326589,0,0.00954303,0.0182489,0.0420189,0.0338543,0.028291,0.0624764,0.0536073,0.0239246,0.0329949,0.0188094,0.0348646,0.021828,0.016882,0.0153995,0.0199186,0.037138,0.0262771,0.0062222,0.00290805,0.0355966,0.0454742,0,0,0,0,0,0,0,0,0
3,0.0411129,0.0364178,0,0,0,0,0,0,0.0238949,0.0189029,0.0284513,0.0456411,0,0,0.0517382,0,0.0251212,0.0230508,0.0397406,0.0321621,0.0201869,0.042401,0.0259712,0.0449794,0.0201609,0.0241537,0.0198824,0.0371371,0.0407089,0.039749,0.0310868,0.0130073,0.0356616,0.0455028,0.0190302,0.00590732,0.0307647,0.00817516,0.0257666,0.0974561,0.0365323,0,0,0.032241,0,0.00951608,0.01795,0.0419937,0.0347289,0.0276872,0.0635657,0.0530794,0.0234581,0.0325344,0.018611,0.0344155,0.0227582,0.0164878,0.0156473,0.0205898,0.0358087,0.0256997,0.00615671,0.00298491,0.0354868,0.0450248,0,0,0,0,0,0,0,0,0
4,0.0406413,0.0359197,0,0,0,0,0,0,0.0245969,0.019002,0.0273296,0.046005,0,0,0.051412,0,0.0249076,0.0228918,0.0401807,0.0281414,0.0197086,0.041042,0.0262706,0.0446644,0.0194284,0.0229392,0.0201187,0.0374737,0.0399736,0.0388667,0.0301807,0.012896,0.0318462,0.045077,0.0189547,0.00572336,0.029743,0.00819653,0.0257753,0.0975537,0.0360336,0,0,0.0315626,0,0.00947952,0.0176577,0.0419053,0.0357375,0.0269955,0.0648128,0.0522905,0.0228597,0.0326238,0.0185097,0.0346329,0.0232313,0.0161672,0.0160968,0.0208918,0.0339976,0.025016,0.00595294,0.00300393,0.0350088,0.0445,0,0,0,0,0,0,0,0,0
5,0.040271,0.0352973,0,0,0,0,0,0,0.025671,0.0191235,0.0260204,0.0463411,0,0,0.0509414,0,0.0247387,0.0224683,0.040503,0.0240905,0.0190757,0.0397213,0.0266928,0.0444615,0.0186016,0.0217187,0.0199459,0.03771,0.0394269,0.0380474,0.0293781,0.0130359,0.0284433,0.0446538,0.0188376,0.00547278,0.0284903,0.00822836,0.0255535,0.0977304,0.0357073,0,0,0.0306938,0,0.00944018,0.0171757,0.0418099,0.0365748,0.026341,0.0659979,0.0512686,0.0222391,0.0332356,0.0184973,0.0353907,0.0236092,0.015922,0.0159156,0.0210074,0.0317692,0.0242774,0.00560011,0.00284867,0.0342726,0.0441157,0,0,0,0,0,0,0,0,0
6,0.0399659,0.0347472,0,0,0,0,0,0,0.0273344,0.0193162,0.0247971,0.0467022,0,0,0.0505827,0,0.0244216,0.0221236,0.040561,0.0199076,0.0182421,0.0382298,0.0269298,0.0444078,0.0177907,0.020595,0.0196864,0.0379192,0.0388405,0.0373908,0.0285434,0.0134621,0.026089,0.0444744,0.0186798,0.00521694,0.0272873,0.00832551,0.0254017,0.0979248,0.0354927,0,0,0.0297669,0,0.00945638,0.016671,0.0417861,0.0374707,0.0259616,0.0669603,0.0500551,0.0216663,0.034127,0.0185309,0.0364051,0.0239964,0.0157853,0.0158646,0.0212788,0.0296094,0.0234944,0.00519783,0.00266311,0.0335128,0.0437645,0,0,0,0,0,0,0,0,0
7,0.0383554,0.0353434,0,0,0,0,0,0,0.0303368,0.0187366,0.0243691,0.0468753,0,0,0.0541698,0,0.0256913,0.0236653,0.040728,0.0159614,0.0171681,0.036926,0.026214,0.0462053,0.0171531,0.0194807,0.0196932,0.0384039,0.0383243,0.0367803,0.0276331,0.014192,0.0266923,0.0470312,0.0193218,0.00617472,0.0264994,0.00936262,0.0253642,0.0975611,0.0324622,0,0,0.0256877,0,0.00969715,0.0140915,0.0417989,0.0381392,0.0254103,0.0672901,0.04868,0.020373,0.0350162,0.018425,0.0372808,0.0243152,0.0157752,0.0160373,0.0217155,0.0279477,0.0197616,0.00436404,0.00179397,0.0341521,0.0414852,0,0,0,0,0,0,0,0,0
8,0.0379795,0.0350677,0,0,0,0,0,0,0.0332501,0.0188567,0.0245455,0.0468521,0,0,0.0548916,0,0.0258032,0.0238487,0.0409922,0.0145282,0.0166786,0.0350376,0.0261729,0.0465569,0.0162704,0.0176435,0.0191517,0.0387684,0.0377989,0.0363192,0.0272391,0.0149007,0.031995,0.0474547,0.0192361,0.00607036,0.0260008,0.0093904,0.0259302,0.0974933,0.0312865,0,0,0.0246405,0,0.00993026,0.0132768,0.0418521,0.0398438,0.025675,0.0678589,0.0476929,0.0194263,0.0355566,0.0183638,0.038009,0.0251726,0.0158051,0.0165329,0.0229379,0.0265039,0.0191469,0.00362676,0.00154587,0.0337882,0.0405443,0,0,0,0,0,0,0,0,0
