Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LBHD,LTIBI,x79,
All Timesteps RMSE,0.0126469,0.0116168,0,0,0,0,0,0,0.0300887,0.0215494,0.0191843,0.0108105,0,0.0155483,0,0.0278671,0.0086638,0.0371425,0.0361065,0.0219493,0.0164345,0.0122754,0.0180916,0.0232716,0.0223146,0.0222491,0.047929,0.0178939,0.0180045,0.036989,0.0402378,0.0230456,0.0188182,0.00372157,0.0287278,0.00660355,0.0317508,0.0113586,0.011153,0,0,0.0131349,0,0.0101404,0.0051,0.0835424,0.0417229,0.0794096,0.019317,0.0131229,0.00918709,0.0152539,0.0268846,0.0460266,0.0192851,0.0222217,0.0305836,0.0205463,0.0232097,0.0361014,0.0123773,0.00534976,0.00296333,0.01099,0.010679,0,0,0,0,0,0,0,0,0,0.0175978,0,0
0,0.00926156,0.00679688,0,0,0,0,0,0,0.0538305,0.0183451,0.0269743,0.0111886,0,0.0337872,0,0.0269263,0.0118538,0.0270729,0.0366886,0.0228096,0.0171014,0.0120854,0.0249015,0.0272172,0.0288275,0.0233558,0.0421454,0.0167622,0.0245332,0.0330947,0.0616532,0.0384656,0.0189437,0.00597056,0.0350555,0.00675138,0.031837,0.0110765,0.00571619,0,0,0.0127153,0,0.00970007,0.00600055,0.0823933,0.0295484,0.0752457,0.0147924,0.00626108,0.00530681,0.0163607,0.00862062,0.0304337,0.0164119,0.0123806,0.0381604,0.00789329,0.00886634,0.0501734,0.0130491,0.0075222,0.00270524,0.0061685,0.00770051,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0088447,0.00631709,0,0,0,0,0,0,0.0508746,0.0183413,0.0262807,0.0104775,0,0.033675,0,0.0275668,0.011829,0.02721,0.0358387,0.0232221,0.0171059,0.0111564,0.025494,0.0273446,0.0293091,0.0231916,0.0421223,0.0164153,0.0235009,0.0328634,0.0586627,0.0389221,0.0190883,0,0.0359588,0.00639901,0.0315333,0.0101359,0.00530356,0,0,0.0123453,0,0.00983769,0.00578905,0.0826841,0.030592,0.0757916,0.0163449,0.00650714,0.00551721,0.0152144,0.00891263,0.0320707,0.0158781,0.0121366,0.0376867,0.00677701,0.00906284,0.052388,0.0130346,0.00719213,0.00258722,0.00581645,0.00721736,0,0,0,0,0,0,0,0,0,0.0110869,0,0
2,0.00834171,0.0061016,0,0,0,0,0,0,0.0495223,0.0180051,0.0257505,0.0101625,0,0.0329957,0,0.0277869,0.0116086,0.0273464,0.0355756,0.0234807,0.0169341,0.0105331,0.0257161,0.0272272,0.0293866,0.0230722,0.0418252,0.0166157,0.023432,0.0324526,0.0576971,0.0388232,0.0191776,0.00601354,0.0361283,0.00607618,0.0302549,0.00935628,0.00468688,0,0,0.0122566,0,0.00986842,0.005833,0.082819,0.0308576,0.0764636,0.0162163,0.00647177,0.00561527,0.0140604,0.00875513,0.033538,0.0160597,0.0123968,0.0373412,0.00608558,0.0101441,0.0537721,0.0135284,0.0067254,0.00245169,0.00571172,0.00653392,0,0,0,0,0,0,0,0,0,0.0109512,0,0
3,0.0086191,0.00593705,0,0,0,0,0,0,0.0481581,0.0179761,0.0251067,0.0102492,0,0.0329278,0,0.0280485,0.0112946,0.0274625,0.0351679,0.0232885,0.0165318,0.0106005,0.025896,0.0271395,0.0295062,0.0229758,0.0415441,0.0168522,0.0233293,0.0319461,0.0568808,0.0388847,0.0192475,0.00596798,0.0355761,0.00601968,0.0284134,0.00992142,0.00483297,0,0,0.0117147,0,0.00981295,0.00569713,0.0831824,0.0309203,0.0758899,0.0146894,0.00618461,0.00535652,0.0133083,0.00826318,0.0342421,0.0165011,0.0125081,0.0366837,0.00542372,0.0113962,0.0542165,0.0132874,0.00638326,0.00239071,0.00543078,0.00668958,0,0,0,0,0,0,0,0,0,0.0112014,0,0
4,0.00879862,0.00563158,0,0,0,0,0,0,0.0467895,0.017959,0.0242951,0.0101467,0,0.0327932,0,0.0279913,0.0108173,0.0279132,0.0345996,0.022822,0.0160283,0.0106637,0.0261372,0.0269346,0.0294794,0.0228871,0.0414471,0.0171231,0.023426,0.0314782,0.0562376,0.0389034,0.0192478,0.00583033,0.0347223,0.00599518,0.0268335,0.0103775,0.00502666,0,0,0.0112707,0,0.00979894,0.0053393,0.083513,0.031257,0.0757197,0.0125508,0.00613055,0.00513003,0.013019,0.00743937,0.034563,0.0171891,0.0123195,0.0362591,0.00536478,0.0122041,0.0541879,0.0130188,0.00625382,0.0023276,0.00511698,0.00672428,0,0,0,0,0,0,0,0,0,0.011594,0,0
5,0.00870157,0.00522563,0,0,0,0,0,0,0.0453942,0.0179248,0.0233238,0.0103648,0,0.0324717,0,0.02789,0.0104229,0.02852,0.0339888,0.0225609,0.0151336,0.0100346,0.0265482,0.0264945,0.0291981,0.0227247,0.041369,0.0175869,0.0236311,0.0309312,0.055859,0.0388052,0.0192497,0.00566241,0.0337269,0.00593481,0.0253823,0.010498,0.00489211,0,0,0.0110784,0,0.00981572,0.00504439,0.0838113,0.0320351,0.0761884,0.0104826,0.00614459,0.00505609,0.0129997,0.00656346,0.0345877,0.0175451,0.0119079,0.0361611,0.00597467,0.0122905,0.0537939,0.0129681,0.00615465,0.00224934,0.00476471,0.00645439,0,0,0,0,0,0,0,0,0,0.0121311,0,0
6,0.0083747,0.00469165,0,0,0,0,0,0,0.0437083,0.0179187,0.02206,0.0104245,0,0.0319718,0,0.0278785,0.00980184,0.0292858,0.0333427,0.0222457,0.014212,0.0093462,0.0270057,0.0258666,0.0286846,0.0225994,0.041289,0.0182841,0.0239436,0.0303175,0.0553247,0.0385899,0.0192945,0.0055541,0.0328326,0.00583915,0.0242823,0.00987108,0.00448026,0,0,0.0109299,0,0.00983287,0.00480455,0.0836143,0.0321691,0.0770704,0.00968754,0.00606831,0.00499262,0.0128558,0.00663073,0.0346793,0.0174272,0.0112116,0.0359483,0.00631435,0.0114532,0.0529043,0.0129716,0.00602393,0.00218091,0.00434443,0.00597397,0,0,0,0,0,0,0,0,0,0.012817,0,0
7,0.00785766,0.00411711,0,0,0,0,0,0,0.0416712,0.0179133,0.0204885,0.0104502,0,0.0313178,0,0.0277768,0.00924758,0.0301579,0.0327305,0.0217942,0.0135305,0.00876377,0.0275308,0.0250436,0.0279938,0.022361,0.0411781,0.0190871,0.0242685,0.0296695,0.0542279,0.0381889,0.0193113,0.00544915,0.031931,0.00571361,0.0233523,0.00864166,0.00377843,0,0,0.0106891,0,0.00987485,0.00449133,0.0830363,0.0311245,0.0781542,0.00973464,0.00608507,0.00484643,0.0122633,0.00755529,0.0352069,0.016903,0.0101699,0.0354921,0.00578105,0.00986945,0.0515917,0.0129682,0.00599814,0.00207332,0.00392188,0.00540094,0,0,0,0,0,0,0,0,0,0.0135704,0,0
8,0.00754322,0.00423304,0,0,0,0,0,0,0.0394061,0.0176842,0.0187277,0.0107528,0,0.0317367,0,0.0279858,0.00963887,0.0308595,0.0322741,0.0212883,0.0134749,0.00836896,0.0272824,0.024031,0.0271808,0.0219934,0.0409183,0.0199312,0.0246486,0.0289014,0.0525487,0.038551,0.0191963,0.00545932,0.0306418,0.00558735,0.0220949,0.00802119,0.00344791,0,0,0.0105698,0,0.00984319,0.00438612,0.0828104,0.0289923,0.0787387,0.00991353,0.00593703,0.00458284,0.0111551,0.0088369,0.0361866,0.0161626,0.00893847,0.0348543,0.00487528,0.00806908,0.0497519,0.0131843,0.00584347,0.0019172,0.00403572,0.00489974,0,0,0,0,0,0,0,0,0,0.0143469,0,0
