Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,x80
All Timesteps RMSE,0.0102562,0.00709824,0,0,0,0,0,0.0308583,0.0193995,0.0157704,0.00835623,0,0,0.0105364,0,0.026989,0.00595608,0.0349012,0.0273464,0.0210928,0.0121023,0.0110882,0.00878472,0.0153582,0.0162753,0.0134479,0.0425713,0.0124853,0.0131533,0.0120451,0.036819,0.0388336,0.0117111,0.0186062,0.00697382,0.0326369,0.0120994,0.0306065,0.00869665,0.0128447,0,0,0.0138451,0,0.0140629,0.00892578,0.0851342,0.0426274,0.0819371,0.0258085,0.00726765,0.0113955,0.0195415,0.0281555,0.0514408,0.0211376,0.0215961,0.029766,0.0187414,0.0226905,0.0453979,0.00936296,0.0113972,0.00909175,0.00830172,0.0104813,0,0,0,0,0,0,0,0,0,0
0,0.00530223,0.00449056,0,0,0,0,0,0.0149618,0.015496,0.0179014,0.00587462,0,0,0.0155808,0,0.03456,0.0085848,0.0332305,0.029994,0.0168821,0.0169148,0.00775367,0.0198323,0.0108581,0.0161785,0.0167558,0.0496775,0.0172905,0.0181239,0.0186689,0.0371694,0.0234268,0.0229726,0.020941,0.00610399,0.0273799,0.00314032,0.0267814,0.0062247,0.00722912,0,0,0.00231567,0,0.00632229,0.00267349,0.0878743,0.0282196,0.0834271,0.0230281,0.00765259,0.0123576,0.0110675,0.0155613,0.0362073,0.0162866,0.0106874,0.0342644,0.00592567,0.0131708,0.0318515,0.00639886,0.00651274,0.00674636,0.00640159,0.00660122,0,0,0,0,0,0,0,0,0,0
1,0.00524999,0.00581081,0,0,0,0,0,0.0147812,0.0150534,0.0177377,0.00540232,0,0,0.0152397,0,0.0347365,0.00832304,0.0348242,0.0298812,0.0177448,0.017305,0.00859958,0.0200585,0.0116771,0.0147906,0.0170587,0.0504702,0.0180372,0.0188752,0.0189005,0.0364008,0.0232659,0.022603,0.0210345,0.00612043,0.0273901,0.00315249,0.0270726,0.00735485,0.00775186,0,0,0.00321314,0,0.00680689,0.00253787,0.087844,0.0292928,0.0836974,0.0225637,0.00789106,0.0112452,0.01116,0.0149225,0.0365383,0.0167362,0.0098551,0.0344745,0.00588823,0.0128558,0.0312008,0.00416111,0.00570503,0.00663006,0.00824792,0.00679717,0,0,0,0,0,0,0,0,0,0
2,0.00555034,0.00575692,0,0,0,0,0,0.0141978,0.0149662,0.0174479,0.00490417,0,0,0.0142066,0,0.0347455,0.00772071,0.0359391,0.0297656,0.0178553,0.0172526,0.00878047,0.0197767,0.0129899,0.01369,0.0169322,0.0511663,0.0186839,0.0193702,0.0191071,0.0356468,0.0232269,0.0217679,0.0210944,0.00625996,0.0277242,0.00320999,0.0277445,0.00804418,0.00814315,0,0,0.00362855,0,0.00710636,0.00231382,0.0878728,0.0306523,0.0842098,0.0225533,0.00769079,0.010706,0.0114291,0.0148002,0.0370494,0.0170973,0.00946429,0.0347102,0.00616825,0.013139,0.0305775,0.00331342,0.00529879,0.00658852,0.00809586,0.00697695,0,0,0,0,0,0,0,0,0,0
3,0.00572974,0.00581143,0,0,0,0,0,0.0135626,0.0149031,0.0172373,0.00469354,0,0,0.0135978,0,0.0347509,0.00720257,0.0369715,0.0295246,0.0177165,0.0166423,0.00889541,0.0194517,0.0137651,0.0136615,0.0165439,0.0517628,0.0192716,0.0197099,0.0194333,0.0347659,0.0232986,0.0209833,0.021147,0.00638031,0.0281291,0.0033085,0.0283046,0.00874522,0.0084836,0,0,0.00384975,0,0.00738115,0.00211761,0.0878374,0.0320473,0.0847123,0.0226977,0.00737988,0.0103669,0.0117802,0.0149127,0.0375122,0.0176149,0.00934043,0.0349025,0.006509,0.0135758,0.0299835,0.00281595,0.0049789,0.00652862,0.00804192,0.00710854,0,0,0,0,0,0,0,0,0,0
4,0.0059444,0.00579815,0,0,0,0,0,0.0132005,0.0147709,0.017267,0.00449822,0,0,0.0129685,0,0.0346543,0.00673991,0.0379325,0.0292632,0.0174931,0.015883,0.00908174,0.0190891,0.0144141,0.0138538,0.0161294,0.0523094,0.0198347,0.0200096,0.0197796,0.03387,0.0236733,0.0202797,0.0211212,0.00646198,0.0282841,0.00339857,0.0285907,0.00938103,0.00882159,0,0,0.00401408,0,0.00761818,0.00205138,0.0877804,0.0332649,0.0852403,0.0228405,0.0070233,0.0100692,0.0120725,0.0152477,0.0378898,0.0179723,0.00933932,0.0349984,0.00675062,0.0139737,0.0294911,0.00241066,0.00474363,0.00646885,0.00802929,0.00733353,0,0,0,0,0,0,0,0,0,0
5,0.00623051,0.00578951,0,0,0,0,0,0.013039,0.0146193,0.0175239,0.00425577,0,0,0.012362,0,0.0345402,0.00638657,0.0387894,0.0289884,0.0173189,0.0151475,0.00948388,0.0185996,0.0151918,0.0136877,0.0156168,0.05271,0.0203174,0.02028,0.0201567,0.0330162,0.0243712,0.0196396,0.0210669,0.00655776,0.0284789,0.00348288,0.028878,0.00999568,0.00917892,0,0,0.00419803,0,0.00782595,0.00219209,0.0876099,0.0344492,0.0858155,0.0230295,0.00677229,0.00977586,0.0123421,0.0158029,0.0380391,0.018161,0.00949935,0.0350483,0.00699409,0.0143936,0.0292349,0.00221125,0.00455856,0.00643847,0.00801015,0.00768844,0,0,0,0,0,0,0,0,0,0
6,0.00648846,0.00578595,0,0,0,0,0,0.0132943,0.0145487,0.0177508,0.0039622,0,0,0.0121002,0,0.0345344,0.006127,0.0396109,0.0286023,0.0172254,0.0142568,0.010034,0.0183463,0.0161617,0.0132686,0.0150745,0.0529738,0.0206457,0.020446,0.0204895,0.0322966,0.0251051,0.0190431,0.0211195,0.00662774,0.0288044,0.00354702,0.02928,0.0104897,0.00951744,0,0,0.00437738,0,0.00805776,0.00252042,0.0873541,0.0355646,0.0864168,0.0232063,0.0065855,0.00950334,0.0126243,0.0165646,0.0381876,0.0181585,0.0096102,0.0350263,0.0073085,0.0147276,0.0291663,0.00218805,0.00436731,0.00642416,0.0079075,0.00808778,0,0,0,0,0,0,0,0,0,0
7,0.00668091,0.00577346,0,0,0,0,0,0.0137656,0.0144941,0.0180546,0.00371316,0,0,0.0118062,0,0.0345105,0.00592304,0.0405992,0.0284141,0.0169856,0.0131995,0.0103601,0.0179811,0.0174225,0.0133667,0.0147815,0.0531504,0.020775,0.0205004,0.0206932,0.0319032,0.0258383,0.0185337,0.0211876,0.00670042,0.0290585,0.00356845,0.0296372,0.0105465,0.00972676,0,0,0.00477384,0,0.00822691,0.0026775,0.0871399,0.0364477,0.0868768,0.0234374,0.00625253,0.00913141,0.0126,0.0171468,0.0384321,0.0181992,0.00961899,0.0350614,0.00760489,0.0149004,0.0292047,0.00210742,0.00420475,0.00639216,0.00774926,0.00841944,0,0,0,0,0,0,0,0,0,0
8,0.00689786,0.0054502,0,0,0,0,0,0.0144007,0.0144717,0.0184634,0.00381423,0,0,0.0116727,0,0.0345052,0.00569375,0.0417833,0.0284267,0.0164389,0.0123478,0.0101658,0.0176724,0.0188259,0.0141342,0.0146391,0.0533154,0.0207618,0.020476,0.0208387,0.0319192,0.0264055,0.0179416,0.0212762,0.00681042,0.0290141,0.00356382,0.0297208,0.0101897,0.00966538,0,0,0.00485341,0,0.00822673,0.0026413,0.0870146,0.0372104,0.0872457,0.0234459,0.00569423,0.00881922,0.0125602,0.0171567,0.038857,0.0182253,0.00955022,0.0351351,0.00780687,0.0150622,0.0287906,0.00203925,0.00418033,0.00631645,0.00734616,0.00857399,0,0,0,0,0,0,0,0,0,0
9,0.00729123,0.00512305,0,0,0,0,0,0.0150206,0.0144333,0.0188073,0.00414617,0,0,0.0113833,0,0.0345155,0.00573362,0.0427921,0.028547,0.0161612,0.0118955,0.0101833,0.0174107,0.0202429,0.0152368,0.014503,0.0533487,0.0205508,0.0202818,0.0208086,0.0323241,0.0270754,0.0173863,0.0213245,0.00679864,0.0287629,0.00354534,0.0296273,0.00983439,0.00971066,0,0,0.00494579,0,0.00820794,0.00270925,0.086883,0.0380439,0.0875782,0.0233299,0.00546648,0.00855454,0.0125981,0.017227,0.0392468,0.0182958,0.00954171,0.0351719,0.00800893,0.0153018,0.0282759,0.00201041,0.0041026,0.00614177,0.00687531,0.00875514,0,0,0,0,0,0,0,0,0,0
10,0.00875144,0.00328731,0,0,0,0,0,0.0161676,0.0148461,0.018805,0.0046222,0,0,0.00928086,0,0.0336836,0.00514866,0.0436182,0.0285284,0.0158283,0.012033,0.0101487,0.0154535,0.0212137,0.0157846,0.0142583,0.0533847,0.02013,0.0197714,0.0205386,0.0333059,0.0284738,0.0153918,0.0209013,0.00656045,0.0285532,0.00367411,0.0295778,0.00933586,0.010735,0,0,0.00595815,0,0.0085288,0.00329813,0.0867738,0.0388658,0.0879697,0.0231658,0.00610518,0.0107433,0.0126899,0.0177136,0.0394929,0.0184397,0.0096485,0.0350833,0.00830681,0.0156874,0.027851,0.00505033,0.00415144,0.00637215,0.00341984,0.00910074,0,0,0,0,0,0,0,0,0,0
11,0.00923241,0.00438155,0,0,0,0,0,0.0181885,0.0145614,0.0189916,0.00480677,0,0,0.010188,0,0.0340581,0.00557637,0.0444118,0.0287536,0.0159001,0.0127836,0.0107314,0.0162953,0.021015,0.0150617,0.0133733,0.0540981,0.0203126,0.0197092,0.0207076,0.0348048,0.0308433,0.0160436,0.0211177,0.0069084,0.0283401,0.0034188,0.0295261,0.00930297,0.0107696,0,0,0.00515332,0,0.00814123,0.00309219,0.0866993,0.039481,0.0883233,0.0229642,0.00609352,0.0108139,0.01273,0.0182608,0.0398391,0.0188932,0.00970741,0.0350319,0.00854726,0.0159123,0.0274135,0.00437976,0.00405709,0.00598734,0.00438544,0.00945663,0,0,0,0,0,0,0,0,0,0
12,0.00922979,0.00422901,0,0,0,0,0,0.0204283,0.0145483,0.0185407,0.00488901,0,0,0.0101277,0,0.0338999,0.00557612,0.0455546,0.0281871,0.0160141,0.0130226,0.0110658,0.0159863,0.0208838,0.0146894,0.012759,0.0545868,0.020034,0.0191199,0.020292,0.0364648,0.0336053,0.0157319,0.0210342,0.00706824,0.0282282,0.00338259,0.0294645,0.00900509,0.010846,0,0,0.00513654,0,0.00813696,0.00313328,0.0867087,0.0401396,0.0884957,0.0229919,0.00620751,0.0106605,0.0128896,0.0187056,0.0401248,0.0192604,0.00989968,0.034854,0.0087495,0.0162449,0.027181,0.00433482,0.0039722,0.00593813,0.00415044,0.0094108,0,0,0,0,0,0,0,0,0,0
13,0.00931942,0.00415077,0,0,0,0,0,0.0227093,0.0145302,0.0176093,0.00502556,0,0,0.01009,0,0.033832,0.00562816,0.046499,0.0269832,0.0163552,0.0126651,0.0114405,0.0156568,0.0209331,0.0143748,0.0123856,0.0546988,0.0193522,0.0181558,0.0193946,0.0380535,0.0368212,0.0153697,0.0210236,0.00719643,0.0281519,0.00336615,0.0294029,0.00884956,0.0109825,0,0,0.00514363,0,0.00820088,0.00314915,0.0868767,0.0406507,0.0884939,0.0229461,0.00618756,0.0106087,0.0131331,0.0193185,0.040398,0.019321,0.0100789,0.0346522,0.00896309,0.0164988,0.027014,0.00431499,0.00390988,0.00590355,0.00397146,0.00944523,0,0,0,0,0,0,0,0,0,0
14,0.00938137,0.00405034,0,0,0,0,0,0.0253073,0.0145253,0.0161009,0.00517861,0,0,0.0101787,0,0.033703,0.00581879,0.047051,0.0253245,0.0168299,0.0119637,0.0118552,0.0153328,0.0206514,0.0138475,0.0121697,0.0546414,0.0183746,0.0169823,0.018121,0.0395567,0.0406693,0.0150983,0.0209865,0.00722732,0.0276783,0.00336051,0.0290969,0.00888034,0.0111003,0,0,0.0051456,0,0.00821714,0.00322249,0.0871858,0.0410265,0.0883839,0.0225384,0.00606375,0.0105718,0.0133927,0.0196416,0.0407137,0.0190605,0.0100999,0.0344952,0.00913032,0.0166123,0.0266489,0.004274,0.00386588,0.00586592,0.0038067,0.0094818,0,0,0,0,0,0,0,0,0,0
15,0.00946326,0.00400051,0,0,0,0,0,0.0282607,0.014529,0.0138052,0.0053686,0,0,0.0102445,0,0.0336331,0.00601222,0.0472178,0.0231865,0.017462,0.0107175,0.0122362,0.015127,0.0198144,0.0130529,0.0122378,0.0543929,0.0168713,0.0154605,0.0162828,0.0409495,0.0454043,0.014836,0.020973,0.00727602,0.0272073,0.00333917,0.0286545,0.00908968,0.0112474,0,0,0.00525728,0,0.00821638,0.00332486,0.0874799,0.0414183,0.0882171,0.0220878,0.00576763,0.0105356,0.0136987,0.0196394,0.0409603,0.0191414,0.0100952,0.0343588,0.00931537,0.0167811,0.0261843,0.00424426,0.00386396,0.00585901,0.00368506,0.00954926,0,0,0,0,0,0,0,0,0,0
16,0.00951956,0.00395735,0,0,0,0,0,0.0311519,0.0145305,0.0107703,0.00564051,0,0,0.0102532,0,0.0336295,0.00612274,0.0470806,0.0211273,0.0182825,0.00867952,0.01258,0.0149471,0.0187114,0.0126971,0.0127371,0.0536683,0.0144927,0.0133217,0.0137726,0.0421402,0.050434,0.0145153,0.0210046,0.00738228,0.026875,0.00333403,0.0281043,0.00936491,0.0113758,0,0,0.00537876,0,0.00824372,0.00340893,0.0876978,0.041869,0.0879615,0.0220468,0.00525505,0.0105614,0.0134405,0.0196284,0.0411199,0.0191784,0.0102888,0.0341532,0.00949831,0.0170514,0.0258339,0.00421322,0.00383249,0.00580392,0.00356447,0.00958948,0,0,0,0,0,0,0,0,0,0
17,0.00951838,0.00391603,0,0,0,0,0,0.0340947,0.0145317,0.00764949,0.0060362,0,0,0.0101477,0,0.0336412,0.00623189,0.0466455,0.0203465,0.019085,0.00620959,0.0129703,0.0145344,0.0176552,0.0130661,0.0133237,0.0522973,0.0114658,0.0109871,0.01103,0.042892,0.0554649,0.0141632,0.0210296,0.00745895,0.0264896,0.0033117,0.0275887,0.00969275,0.0114367,0,0,0.0054043,0,0.00819953,0.00344662,0.0878798,0.0423848,0.0876239,0.0218222,0.0047221,0.0105215,0.0131133,0.0198312,0.0413041,0.0189102,0.0104997,0.0337881,0.00972755,0.017271,0.025418,0.00421148,0.00379826,0.0057201,0.00332097,0.0096104,0,0,0,0,0,0,0,0,0,0
18,0.00886499,0.00331614,0,0,0,0,0,0.0374135,0.0145444,0.00502828,0.00636395,0,0,0.00985847,0,0.0336276,0.00633976,0.0457774,0.0220119,0.0195707,0.00492992,0.013234,0.0140971,0.0161786,0.013764,0.0130583,0.0508982,0.00891843,0.00930741,0.00889227,0.0437576,0.0605103,0.0137908,0.0209726,0.00755819,0.026099,0.00328324,0.0271148,0.00992819,0.010977,0,0,0.00464691,0,0.00812815,0.00308373,0.088006,0.0430796,0.0872807,0.0211442,0.00440355,0.00977207,0.0126178,0.0198453,0.0415673,0.0186963,0.010512,0.0334184,0.00986363,0.0174572,0.0249878,0.0038851,0.00391048,0.00579662,0.00286771,0.00919063,0,0,0,0,0,0,0,0,0,0
19,0.00948715,0.00391658,0,0,0,0,0,0.0400884,0.0147634,0.0028171,0.00664512,0,0,0.0096811,0,0.0334961,0.00640253,0.0445585,0.0248488,0.0198736,0.00495168,0.0134464,0.0133501,0.0145255,0.0146341,0.0120879,0.0493517,0.0069873,0.00831234,0.00749779,0.0447566,0.0648497,0.0131064,0.0209919,0.00741345,0.0257707,0.00319656,0.0265413,0.0100388,0.0114403,0,0,0.00526836,0,0.00804364,0.00306846,0.088075,0.0437073,0.0868283,0.0206174,0.00434824,0.0098495,0.0119274,0.0199214,0.0418028,0.0184544,0.0105156,0.0330889,0.00995685,0.0176099,0.0246791,0.00379239,0.00367688,0.00536885,0.00287713,0.00957337,0,0,0,0,0,0,0,0,0,0
20,0.00856565,0.00298854,0,0,0,0,0,0.0412709,0.0148022,0.00240351,0.00694529,0,0,0.00934258,0,0.0333512,0.00643777,0.0432531,0.0273331,0.0201027,0.00614533,0.0135944,0.0128466,0.0130703,0.0154211,0.0107345,0.0474852,0.00581549,0.00781693,0.00711482,0.0457898,0.067445,0.0128265,0.0208773,0.00752726,0.0255893,0.00319106,0.025996,0.0100802,0.0106896,0,0,0.00448986,0,0.00799754,0.00260617,0.0881792,0.044493,0.0864038,0.0202224,0.00441127,0.00891942,0.0113416,0.0199742,0.0421352,0.0180418,0.0105501,0.0328429,0.0100861,0.0177672,0.0246033,0.0033586,0.00366175,0.0052346,0.00226715,0.00885199,0,0,0,0,0,0,0,0,0,0
