Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75,
All Timesteps RMSE,0.0460494,0.0267132,0,0,0,0,0,0,0.0485469,0.0151245,0.031221,0.0460697,0,0,0.0273962,0,0.0363516,0.0122823,0.0353087,0.0318706,0.0235331,0.0221234,0.0473547,0.0338978,0.021538,0.020807,0.0202137,0.0368414,0.0216732,0.0220025,0.0224865,0.0169271,0.0455187,0.0229965,0.0221033,0.00927383,0.0512372,0.00552334,0.0383015,0.0964432,0.0412576,0,0,0.0169172,0,0.00671928,0.00876466,0.0539136,0.0547174,0.0269355,0.0841725,0.0288365,0.0355115,0.040569,0.0280806,0.0445934,0.0541566,0.0448089,0.0266196,0.0268811,0.0427985,0.0579118,0.0265247,0.00653979,0.00432072,0.0230208,0.0407631,0,0,0,0,0,0,0,0,0,0
0,0.0535272,0.0290543,0,0,0,0,0,0,0.0391168,0.0149442,0.0237116,0.0319549,0,0,0.0290511,0,0.0357762,0.0139219,0.0337593,0.0445686,0.0253581,0.0323731,0.0401541,0.036857,0.0244992,0.019895,0.0153597,0.0279628,0.0277163,0.0265816,0.0273996,0.0112821,0.0377368,0.0244412,0.0220846,0.00887005,0.0588682,0.00513601,0.0412795,0.0901519,0.0459435,0,0,0.018383,0,0.00609607,0.0101275,0.0525919,0.0451714,0.0264872,0.0826738,0.0366388,0.0369693,0.0424686,0.0267661,0.0362728,0.0539508,0.0502283,0.0405988,0.0355681,0.0518761,0.06874,0.027077,0.00635902,0.004521,0.0219986,0.0479395,0,0,0,0,0,0,0,0,0,0
1,0.0527823,0.0283099,0,0,0,0,0,0,0.0387563,0.0148039,0.0241531,0.0318568,0,0,0.0291888,0,0.0359995,0.0138025,0.0338885,0.045729,0.0261104,0.0330721,0.041137,0.0364931,0.0241105,0.0190439,0.0153947,0.0277523,0.0288004,0.0276563,0.027933,0.0115664,0.0381078,0.024466,0.0221221,0.00893875,0.0596938,0.00524252,0.0408535,0.0908317,0.0451849,0,0,0.0182462,0,0.0061146,0.0099226,0.0528382,0.0477594,0.0264133,0.084484,0.0371598,0.0365213,0.0416902,0.0281819,0.0395268,0.0536582,0.0490368,0.039614,0.0340255,0.0506965,0.0702312,0.0269137,0.00601579,0.00438921,0.0216262,0.0473614,0,0,0,0,0,0,0,0,0,0
2,0.0518442,0.0271146,0,0,0,0,0,0,0.037713,0.014785,0.0243943,0.0317875,0,0,0.0291815,0,0.0361186,0.0140858,0.0340122,0.046239,0.0265734,0.0338223,0.0422432,0.0360808,0.0239704,0.0186634,0.0153651,0.0276488,0.0298185,0.0286579,0.0283979,0.0116251,0.0377766,0.0243733,0.0221574,0.00907109,0.061071,0.00535706,0.0405028,0.0909913,0.0443248,0,0,0.0178221,0,0.00616332,0.00968767,0.0524114,0.0513607,0.0261424,0.0835994,0.0376438,0.036097,0.041453,0.0284801,0.0411583,0.0531116,0.0480014,0.0395756,0.0333715,0.0498125,0.0721445,0.0267002,0.00561823,0.00430161,0.0213695,0.0465647,0,0,0,0,0,0,0,0,0,0
3,0.0508277,0.0262858,0,0,0,0,0,0,0.0363057,0.0148257,0.0243983,0.0317104,0,0,0.0291045,0,0.0362091,0.0142675,0.0340962,0.0462477,0.0267295,0.0344185,0.0433418,0.0357139,0.0240028,0.0186062,0.0154009,0.0275655,0.0307716,0.02949,0.0287493,0.0115701,0.0371519,0.0243434,0.0222065,0.00925655,0.0636083,0.00546775,0.0407194,0.0908391,0.0434423,0,0,0.0171448,0,0.00619749,0.0096418,0.0516787,0.0556378,0.0259831,0.0816116,0.0382703,0.0358161,0.0413116,0.0276423,0.0416279,0.052467,0.0478576,0.040159,0.0335493,0.049908,0.0750831,0.0265574,0.00512177,0.00417755,0.0211505,0.0457132,0,0,0,0,0,0,0,0,0,0
4,0.0498271,0.0257328,0,0,0,0,0,0,0.0346189,0.0147727,0.0242776,0.0315709,0,0,0.0291404,0,0.0364061,0.0143619,0.034253,0.0456869,0.0268055,0.0348732,0.0440963,0.0355724,0.0244319,0.0189866,0.0156147,0.0275856,0.0316698,0.0302645,0.0289608,0.0113518,0.0362128,0.0245499,0.0222779,0.0092578,0.0665586,0.00550131,0.0414664,0.0908673,0.0426666,0,0,0.0169763,0,0.00616265,0.00956534,0.0512826,0.059759,0.0263626,0.0801214,0.0388186,0.0357719,0.0407904,0.026724,0.0411204,0.0517139,0.0483522,0.040668,0.0339092,0.0506117,0.0781497,0.0267919,0.00517932,0.00402098,0.0209398,0.0449384,0,0,0,0,0,0,0,0,0,0
5,0.0492448,0.0255993,0,0,0,0,0,0,0.0328723,0.0145871,0.0241152,0.0315043,0,0,0.0296505,0,0.0367418,0.0145163,0.0345159,0.0445701,0.0269846,0.0352872,0.0444919,0.0358818,0.0251112,0.0196224,0.0160101,0.0277373,0.0326063,0.0310704,0.0290441,0.0109311,0.035382,0.0251587,0.0223883,0.00918568,0.0694657,0.00540867,0.0425084,0.0910627,0.0423165,0,0,0.0174531,0,0.00617136,0.0095288,0.0511696,0.0637205,0.027163,0.0808346,0.0391392,0.0362537,0.0405328,0.025773,0.0399567,0.0509115,0.0493989,0.0408383,0.0342309,0.0516961,0.0810517,0.027633,0.00509938,0.00391872,0.0209591,0.0444184,0,0,0,0,0,0,0,0,0,0
6,0.0488159,0.025576,0,0,0,0,0,0,0.0312515,0.0144674,0.0237448,0.0316096,0,0,0.0305494,0,0.0370525,0.0147298,0.0349246,0.0429335,0.0271359,0.0356793,0.0448679,0.0361761,0.0255146,0.0204915,0.0165207,0.0279902,0.0335537,0.0319235,0.0290351,0.0103659,0.0350119,0.0258824,0.0224931,0.00940811,0.0720979,0.005212,0.0436246,0.0912353,0.0421178,0,0,0.0181913,0,0.00612601,0.00969333,0.0510474,0.0678272,0.0278722,0.0833949,0.0391457,0.0369396,0.0401949,0.024781,0.0382391,0.0501977,0.050736,0.0408196,0.034597,0.0530459,0.0833595,0.0286784,0.0054034,0.00383636,0.0211245,0.0439013,0,0,0,0,0,0,0,0,0,0
7,0.0484428,0.0256089,0,0,0,0,0,0,0.0296346,0.0144076,0.0229987,0.0317131,0,0,0.0316592,0,0.0372922,0.0148114,0.0354884,0.0406832,0.0273153,0.0357928,0.0452038,0.0364374,0.0256811,0.021576,0.0171122,0.0282228,0.0343816,0.032564,0.0289096,0.00975963,0.0347436,0.0266157,0.0226247,0.00964376,0.0736861,0.00500991,0.044417,0.0914081,0.0419457,0,0,0.0189679,0,0.00609912,0.00977563,0.0507101,0.0711881,0.028351,0.0856269,0.0389059,0.037628,0.039845,0.0240641,0.0368583,0.0496368,0.0518055,0.0408371,0.0349557,0.0541682,0.0844135,0.0296481,0.00570495,0.00376839,0.0214326,0.0433667,0,0,0,0,0,0,0,0,0,0
8,0.0481283,0.0258311,0,0,0,0,0,0,0.0279664,0.0142838,0.0219604,0.0321087,0,0,0.0325974,0,0.0376057,0.0149462,0.036166,0.0378711,0.0274968,0.0354788,0.0454887,0.0367242,0.0260553,0.0226178,0.0178719,0.0285527,0.0349338,0.0328748,0.0286911,0.00925993,0.0344265,0.0273006,0.0227658,0.00974011,0.0733661,0.00491823,0.0444987,0.0917942,0.0417683,0,0,0.0191545,0,0.00610825,0.00996021,0.0500691,0.0731233,0.0286246,0.0863545,0.0386454,0.038225,0.039338,0.0242059,0,0.049205,0.0522543,0.0408101,0.0350509,0.0545149,0.0834488,0.0303381,0.00578159,0.00373319,0.0218675,0.0429276,0,0,0,0,0,0,0,0,0,0
