Timestep,C7,CLAV,IMUL_L,IMUL_R,IMUR_T,L5FT,L5HD,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_M,LANK,RTHIP,IMUR_M,IMUR_B,
All Timesteps RMSE,0.0291514,0.021225,0,0,0,0.0265234,0.0162206,0.0150117,0,0,0.0222911,0,0.0266515,0.00444961,0.0366143,0.0244714,0.0257018,0.0102341,0.0124996,0.0208126,0.0237749,0.0231935,0.0221566,0.052712,0.013291,0.0139232,0.0122916,0.0381267,0.0355251,0.0170182,0.0207999,0.00417431,0.0327931,0.00530752,0.0327588,0.0221751,0.0245432,0,0,0.03238,0,0.00754172,0.01112,0.0857857,0.0424283,0.0828125,0.0279014,0.0254963,0.0203841,0.0209298,0.0368694,0.0715136,0.0201007,0.0302353,0.0170406,0.0220449,0.0375399,0.0202355,0.00938656,0.00721186,0.0198058,0.0254444,0,0,0,0,0,0,0,0,0,0.0133803,0.0265663,0,0,0
0,0.0254169,0.0185478,0,0,0,0.0184281,0.0145697,0.00450012,0,0,0.0174117,0,0.0274065,0.00550324,0.0308748,0.0371488,0.0180251,0.00381158,0.00256178,0.0149599,0.0225539,0.0279244,0.0220517,0.0472944,0.0114977,0.0130583,0.0121956,0.0260296,0.0175334,0.0126355,0.0218459,0.00458928,0.0345564,0.00437755,0.0291919,0.00382119,0.0202125,0,0,0.0370135,0,0.00707054,0.0122301,0.0838941,0.0274854,0.0815937,0.0261479,0.00343314,0.0176522,0.0144419,0.0264044,0.0528757,0.0163209,0.0334679,0.00805095,0.0159307,0.0331698,0.0249539,0.0079109,0.00881149,0.0165506,0.0192364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0262395,0.0176185,0,0,0,0.0210702,0.014937,0.00491463,0,0,0.0227802,0,0.0292608,0.00468964,0.0313289,0.0338959,0.0170856,0.00457804,0.000936858,0.0248502,0.0212162,0.0259034,0.0213817,0.0471521,0.0123797,0.0141936,0.0129263,0.026645,0.016501,0.0202283,0.0219738,0.00643039,0.0346336,0.00385122,0.0289944,0.00363018,0.0187737,0,0,0.0330382,0,0.00623105,0.0105829,0.082945,0.0272576,0.0802462,0.0252332,0.00525665,0.0164566,0.0135865,0.026024,0.0524092,0.0156202,0.0331621,0.00756232,0.0152259,0.0329468,0.020698,0.0082145,0.00864423,0.0151903,0.0200433,0,0,0,0,0,0,0,0,0,0.0218289,0.021992,0,0,0
2,0.0237682,0.015447,0,0,0,0.0249902,0.0140564,0.00458039,0,0,0.0215768,0,0.0292921,0.00436841,0.0318377,0.0304045,0.0176067,0.00456063,0.00168963,0.0217608,0.0205676,0.0240474,0.0210108,0.0474983,0.0130497,0.0150784,0.0134041,0.0268943,0.0172215,0.0182331,0.0228626,0.00725307,0.0344515,0.00317019,0.0290328,0.00378519,0.0169397,0,0,0.0325406,0,0.0063399,0.0100101,0.082572,0.0274054,0.0806838,0.025657,0.00486052,0.0149739,0.0140041,0.0262439,0.0528124,0.015422,0.0334856,0.00744571,0.0150028,0.0324082,0.0200949,0.00846519,0.00911441,0.0137981,0.0183601,0,0,0,0,0,0,0,0,0,0.0222608,0.0224684,0,0,0
3,0.0250327,0.0317546,0,0,0,0.0285176,0.0182067,0.0318095,0,0,0.0114291,0,0.0239664,0.00806721,0.0239219,0.0288372,0.0317922,0.00628701,0.0144332,0.0150562,0.0198468,0.0224164,0.0193176,0.0433781,0.0136749,0.0154904,0.0133782,0.0255048,0.0202928,0.0149198,0.0199057,0.0069605,0.0415784,0.00602473,0.0362374,0.0464622,0.0284033,0,0,0.011462,0,0.00292131,0.0060976,0.106551,0.0361074,0,0,0.0519869,0.0302817,0.0196459,0.0277542,0.0594284,0.0252547,0.0348865,0.0153028,0.0264042,0.0386063,0.0160123,0.00899479,0.00884748,0.0343274,0.0272999,0,0,0,0,0,0,0,0,0,0.023539,0.0298216,0,0,0
4,0.0292104,0.0202321,0,0,0,0.0310586,0.0153049,0.00571557,0,0,0.0226157,0,0.0289109,0.00172325,0.0323922,0.0218363,0.0163423,0.0040923,0.00316856,0.0221734,0.0192553,0.0219428,0.0204784,0.0486048,0.0146887,0.0166952,0.0144551,0.0274547,0.024497,0.0179838,0.021807,0.00581741,0.0338881,0.00343616,0.0294533,0.00456473,0.0211012,0,0,0.0356159,0,0.00598827,0.0105693,0.0822379,0.0280007,0.080845,0.0253886,0.00501296,0.0155964,0.0144019,0.0264713,0.0534019,0.013689,0.0334764,0.00685511,0.013765,0.0310308,0.0236414,0.00685152,0.00808987,0.0175893,0.0226255,0,0,0,0,0,0,0,0,0,0.021246,0.0226395,0,0,0
5,0.0299759,0.0208203,0,0,0,0.0334404,0.0153578,0.00644233,0,0,0.0229669,0,0.0288457,0.00157332,0.032659,0.0195055,0.0160829,0.0041448,0.00418134,0.021891,0.0187171,0.0212646,0.0205887,0.0493831,0.0154263,0.0174919,0.0148725,0.0279428,0.0294591,0.0178186,0.0217827,0.00573833,0.0337665,0.00343951,0.0297949,0.00522163,0.0217911,0,0,0.0363707,0,0.00595404,0.0108624,0.0822561,0.0283349,0.0811852,0.0255895,0.00476025,0.0157039,0.0147308,0.0264784,0.0538316,0.0131261,0.0336368,0.00668173,0.0135796,0.0304634,0.0247677,0.00634831,0.0079896,0.0179441,0.023288,0,0,0,0,0,0,0,0,0,0.0207556,0.0229526,0,0,0
6,0.0285984,0.0198147,0,0,0,0.0351456,0.0153069,0.0073447,0,0,0.0223934,0,0.0288749,0.00176461,0.0329832,0.0192468,0.0160776,0.00466219,0.00492821,0.02191,0.0187374,0.0206868,0.0209438,0.0505502,0.0159383,0.0180005,0.0152459,0.0287901,0.0335841,0.0175757,0.0217502,0.00562688,0.0353535,0.00332882,0.0316841,0.0059562,0.0204825,0,0,0.0350621,0,0.00581194,0.0105703,0.0824676,0.0311158,0.0820267,0,0.00390253,0.0151728,0,0.0259157,0.0545088,0.0150431,0.0331572,0,0.0161304,0.0315302,0.024082,0.00574261,0.00811535,0.0170627,0.0221892,0,0,0,0,0,0,0,0,0,0.0203844,0.0241446,0,0,0
7,0.0288229,0.019711,0,0,0,0.0361732,0.0151369,0.0076296,0,0,0.022546,0,0.0292261,0.00201657,0.0330734,0.0197743,0.0157204,0.00506443,0.00619803,0.0224523,0.0186907,0.0200579,0.0212401,0.051702,0.0163857,0.0185599,0.0156658,0.0297799,0.0365764,0.0176364,0.0218379,0.00559734,0.0342322,0.00337439,0.0304508,0.00547117,0.0206506,0,0,0.0347263,0,0.00586642,0.0105121,0.0824694,0.0299056,0.0819421,0.0260819,0.0039188,0.0152983,0.0154146,0.0268882,0.0544278,0.0126093,0.0339726,0.00655778,0.0137132,0.0301535,0.0241537,0.00634327,0.00821726,0.0166478,0.0223711,0,0,0,0,0,0,0,0,0,0.0203972,0.0231495,0,0,0
8,0.0233456,0.0323984,0,0,0,0.0382957,0.0184827,0.0296123,0,0,0.0116301,0,0.0236783,0.00685298,0.0240259,0.0201004,0.0318489,0.00362879,0.0130036,0.0139055,0.0187191,0.0208738,0.020208,0.048513,0.0152392,0.0175303,0.01414,0.0295285,0.038862,0.0137431,0.0195177,0.006194,0.0433875,0.00551906,0.037192,0.0468024,0.0305624,0,0,0.0111863,0,0.00235302,0.00585718,0.107476,0.0361928,0,0.040017,0.0559527,0.034435,0,0.0290748,0.0614906,0.0221228,0.0355577,0.0124199,0.0239223,0.0396671,0.01652,0.00941168,0.00897849,0.0367759,0.025063,0,0,0,0,0,0,0,0,0,0.022737,0.0312361,0,0,0
