Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFIN,LFRM,LGTR,LHEE,LILC,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LFHD,LKNE,LWRB,x79,
All Timesteps RMSE,0.0542691,0.0345832,0,0,0,0,0,0,0.0464009,0.0175386,0.0330806,0.058705,0,0,0.0247343,0.0266497,0.00961747,0.0331291,0.0353584,0.0206855,0.0447296,0.0355044,0.0173349,0.018241,0.0186491,0.039823,0.0228727,0.0227316,0.0233844,0.0178096,0.0566539,0.0273537,0.0205933,0.0495484,0.0109185,0.0400332,0.10797,0.0486585,0,0,0.0267838,0,0.0114225,0.0164075,0.055145,0.0552556,0.0269577,0.0918564,0.0270068,0.0351668,0.0312614,0.0279644,0.0476364,0.0448265,0.0458412,0.0246698,0.0254513,0.0428997,0.0523944,0.0238175,0.00954272,0.00850819,0.0273997,0.04677,0,0,0,0,0,0,0,0,0,0.0239115,0.0060157,0,0
0,0.0366553,0.0266078,0,0,0,0,0,0,0.036354,0.0183633,0.0314468,0.0495213,0,0,0.0292079,0.0300218,0.0151479,0.0302517,0.0507759,0.0257212,0.0498603,0.0262611,0.0212645,0.0180889,0.0128362,0.0309331,0.0351442,0.0339454,0.0315443,0.0137082,0.0570755,0.0265564,0.0230051,0.0597639,0.0107596,0.0390735,0.107867,0.0354175,0,0,0.0310146,0,0.0108688,0.0188699,0.0547502,0.0599319,0.0272698,0.0826827,0.0327946,0.0369615,0.0268154,0.0265386,0.0406487,0.0381939,0.0455693,0.0362734,0.0306164,0.0464367,0.0574008,0.0278807,0.006954,0.0085801,0.0267776,0.0346255,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0359799,0.026402,0,0,0,0,0,0,0.0375041,0.0180917,0.0319773,0.0499744,0,0,0.0290986,0.0297564,0.0153162,0.0305929,0.0507727,0.0260139,0.0504223,0.0266047,0.0208635,0.0171244,0.0128305,0.0304837,0.0358295,0.0348126,0.0319326,0.0138574,0.0591008,0.0262914,0.0227404,0.0620363,0.0108646,0.0399458,0.108271,0.0347398,0,0,0.0309242,0,0.0109827,0.0184338,0.0537914,0.0630227,0.0273015,0.085986,0.0330361,0.036678,0.0266361,0.0263825,0.0413993,0.0379615,0.0470017,0.0362622,0.0307958,0.0479815,0.0602007,0.027617,0.00742644,0.00843294,0.0267685,0.034004,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0353134,0.0263331,0,0,0,0,0,0,0.036714,0.0179191,0.0317423,0.0504444,0,0,0.0289474,0.0298004,0.0150169,0.0311311,0.049503,0.0262383,0.0507414,0.0268122,0.0209194,0.017259,0.0133055,0.0302893,0.0364591,0.0353163,0.0319352,0.0133833,0.0590331,0.0259289,0.0227165,0.0625807,0.0108982,0.0400318,0.108684,0.0341467,0,0,0.0307801,0,0.0110631,0.0184215,0.0531017,0.0648671,0.0273453,0.0877431,0.0333471,0.0365904,0.0263594,0.0258315,0.0417871,0.0376782,0.047641,0.0361198,0.0307352,0.0486914,0.0606318,0.0275768,0.00762419,0.00844908,0.0268518,0.0333862,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0346892,0.0262943,0,0,0,0,0,0,0.035827,0.017642,0.0310796,0.0508556,0,0,0.0289809,0.0299973,0.0148209,0.0316071,0.047391,0.0263615,0.0508582,0.0270655,0.0209401,0.0174832,0.0139747,0.0305658,0.0369882,0.0357146,0.031704,0.012708,0.0586022,0.0257647,0.0226755,0.0617269,0.0108985,0.0398115,0.109021,0.0335549,0,0,0.0304802,0,0.011086,0.018372,0.0526376,0.0657823,0.0272948,0.0883654,0.0337082,0.0365066,0.0259013,0.0250848,0.0423928,0.0371818,0.0476837,0.0358052,0.0304232,0.0487043,0.0593349,0.0274609,0.00773611,0.00855221,0.0269409,0.0328006,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0548928,0.0350736,0,0,0,0,0,0,0.0334714,0.0179178,0.030239,0.0500121,0,0,0.0251424,0.0281218,0.0106017,0.0318567,0.0455682,0.0254883,0.0475834,0.038907,0.020759,0.0173884,0.0145906,0.0306811,0.037205,0.0359344,0.0315499,0.0122221,0.0574436,0.0295966,0.0217084,0.0603025,0.0111633,0.0390776,0.107726,0.0472777,0,0,0.0288233,0,0.0114646,0.0177023,0.0522128,0.0647362,0.0270068,0.0882808,0.0358632,0.0360226,0.0257736,0.0246672,0.0434532,0.0371018,0.0465765,0.0345827,0.0291164,0.0473497,0.057194,0.0263504,0.00835849,0.00879202,0.0270406,0.0473601,0,0,0,0,0,0,0,0,0,0.0407703,0,0,0
5,0.054305,0.034935,0,0,0,0,0,0,0.0320762,0.0177779,0.0291271,0.0506546,0,0,0.0242385,0.0279311,0.010414,0.0327746,0.0426295,0.0258761,0.0480536,0.0380856,0.021112,0.0177284,0.0158401,0.0313138,0.0375933,0.0362174,0.0312379,0.0112897,0.0567748,0.0286625,0.0215429,0.0581445,0.0110125,0.03842,0.108588,0.0469105,0,0,0.0289774,0,0.0112886,0.0179782,0.0521226,0.0634682,0.0265189,0.086894,0.0355802,0.0364825,0.0252171,0.025089,0.044353,0.0362645,0.045579,0.0337951,0.0281397,0.0460349,0.0540973,0.0266747,0.00813469,0.0088624,0.0272896,0.0468905,0,0,0,0,0,0,0,0,0,0.0406458,0,0,0
6,0.0536565,0.0347657,0,0,0,0,0,0,0.0301343,0.0178441,0.0277428,0.0511592,0,0,0.0234465,0.0279567,0.0100379,0.0336504,0.0393519,0.0261167,0.0481282,0.0372296,0.0210141,0.0177116,0.0170599,0.0319226,0.0376009,0.036147,0.0306937,0.0104393,0.0550721,0.0278099,0.0215666,0.0567069,0.0109057,0.0376884,0.108963,0.0465055,0,0,0.0292931,0,0.0111963,0.0181497,0.0520989,0.0625831,0.0260854,0.0861059,0.035299,0.0369498,0.0245192,0.024968,0.0451736,0.0354818,0.0451076,0.0330752,0.0273926,0.0452659,0.0517651,0.0271028,0.00785807,0.00889418,0.0275389,0.0463738,0,0,0,0,0,0,0,0,0,0.0402619,0,0,0
7,0.0528472,0.0346314,0,0,0,0,0,0,0.0276245,0.0179174,0.026376,0.051548,0,0,0.0225272,0.0278255,0.00935245,0.0345361,0.0360205,0.0262251,0.0480435,0.0359223,0.0204403,0.0173531,0.0181413,0.0325294,0.0372999,0.0357475,0.0301222,0.00980015,0.0523841,0.026705,0.021536,0.0554513,0.0108306,0.0372321,0.109167,0.0459542,0,0,0.0296565,0,0.0111251,0.0182459,0.0521024,0.062101,0.0256619,0.0861461,0.0349463,0.037355,0.0240246,0.0247858,0.0455854,0.0349481,0.0450925,0.0323991,0.0268606,0.0449534,0.0500581,0.0275482,0.0077952,0.00889519,0.0277888,0.045647,0,0,0,0,0,0,0,0,0,0.0396348,0,0,0
8,0.0517896,0.0344702,0,0,0,0,0,0,0.0243513,0.0178837,0.0252758,0.051988,0,0,0.0216607,0.0277051,0.00871754,0.0354014,0.0329558,0.0261922,0.0479787,0.0343663,0.0197598,0.0167023,0.0190926,0.0332104,0.0367369,0.0352059,0.0295753,0.00946153,0.0487991,0.0255111,0.0214359,0.0540852,0.0107432,0.0374587,0.109501,0.0451296,0,0,0.0299528,0,0.0110364,0.0184186,0.052213,0.0622409,0.0253044,0.0871219,0.0345255,0.0375458,0.0238441,0.0245652,0.0455148,0.0347284,0.0455192,0.0318146,0.0266611,0.0450672,0.0483649,0.0278018,0.00789478,0.00888301,0.0279495,0.0446624,0,0,0,0,0,0,0,0,0,0.0387997,0,0,0
