Timestep,C7,CLAV,IMUL_L,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUL_R,RILC,RHEE,IMUL_M,IMUR_M,LTHII,RTHII,IMUR_B,,x81,x82
All Timesteps RMSE,0.0154906,0.00959439,0,0,0.0285527,0.0242245,0.0141406,0.00920016,0,0,0.0162423,0,0.0162508,0.00467123,0.0378956,0.0290285,0.0216797,0.0121272,0.0125354,0.0291989,0.0155611,0.0146401,0.0342715,0.0141863,0.0145059,0.0138472,0.0405035,0.0402368,0.0239756,0.0171673,0.00272308,0.0400358,0.01129,0.0432669,0.0132164,0.0162842,0,0,0.0148255,0,0.01134,0.00871983,0.0857171,0.0269055,0.0148567,0.0147269,0.0207035,0.0282512,0.026808,0.0348121,0.0281023,0.0334433,0.0379241,0.0449064,0.0104764,0.015454,0.0104731,0.0110975,0.0151213,0,0,0,0,0,0,0,0,0,0.084415,0.0554784,0,0,0.0131427,0.256416,0,0,0,0
0,0.0387563,0.032684,0,0,0.0257137,0.0259948,0.0150782,0.0227529,0,0,0.024692,0,0.0142329,0.00973441,0.0277554,0.0150914,0.0323385,0.0204173,0.0144646,0.0550411,0.016107,0.0174212,0.03035,0.0231567,0.0199045,0.0216435,0.0530072,0.0302861,0.0327694,0.0153669,0.0040725,0.0542055,0.0182999,0.0514551,0.0397417,0.0443469,0,0,0.0406653,0,0.0150387,0.0195412,0.114823,0.0461508,0.0566232,0.0443214,0.00948186,0.0215433,0.0231742,0.022065,0.0296965,0.0182896,0.0333189,0.0494669,0.0126735,0.0208219,0.0124363,0.0405817,0.0414257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0405236,0.0337848,0,0,0.026581,0.026408,0.0157072,0.0227187,0,0,0.0251049,0,0.0138761,0.00940503,0.0291355,0.0176441,0.0330169,0.0201684,0.013221,0.0564583,0.0153003,0.0162897,0.0310471,0.0238428,0.0199829,0.0217191,0.0534616,0.031132,0.0331792,0.0153228,0.00448429,0.0857933,0.0184937,0.0584055,0.0423185,0.0465575,0,0,0.0415327,0,0.0153073,0.018482,0.112779,0.0375146,0.0579791,0.0456214,0.0130964,0.0261421,0.0252442,0.0359608,0,0.0427032,0.0317937,0.100495,0.0132143,0.0213626,0.0125563,0.0414871,0.0434965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0359673,0.0312403,0,0,0.0293499,0.0267877,0.0147849,0.022525,0,0,0.0246428,0,0.0140131,0.00883991,0.0282648,0.0189351,0.0325675,0.0223932,0.0152814,0.0527986,0.0147096,0.0149013,0.0313627,0.0223641,0.0185852,0.0203332,0.0525063,0.0333088,0.0322198,0.015381,0.00477935,0.0524625,0.0185037,0.050209,0.0401602,0.0418178,0,0,0.0403753,0,0.0154781,0.0182619,0.114423,0.0439644,0.0574282,0.0427856,0.0101043,0.0225345,0.0226728,0.021368,0.0292216,0.0188545,0.0330278,0.0489313,0.0127576,0.0208672,0.0126055,0.0388782,0.0385448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.0351634,0.0308386,0,0,0.0322083,0.0269923,0.0143735,0.0229264,0,0,0.024969,0,0.0137537,0.0086684,0.0285842,0.0219563,0.033042,0.023661,0.0156053,0.0519799,0.0133044,0.0128697,0.0324145,0.0212979,0.0175107,0.019425,0.052235,0.0364195,0.0321244,0.0153708,0.00506341,0.0508832,0.0185538,0.049011,0.0397575,0.0414357,0,0,0.0398975,0,0.0156463,0.0188725,0.114101,0.0423897,0.058005,0.0428889,0.0102991,0.0231955,0.022002,0.0209198,0.0288801,0.0188532,0.0328388,0.0484923,0.0125405,0.020704,0.0125847,0.0385457,0.0376529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.0348969,0.030446,0,0,0.0352238,0.0269958,0.0147345,0.0235657,0,0,0.0251504,0,0.0135074,0.00855428,0.0291065,0.0255496,0.0336671,0.0245899,0.015965,0.0518237,0.0118332,0.0107086,0.0336266,0.0200148,0.0162907,0.0184592,0.0522086,0.0403093,0.0322024,0.0152943,0.00511009,0.0490555,0.0185324,0.0476097,0.0394009,0.0412442,0,0,0.0394768,0,0.0155996,0.0186297,0.113806,0.0406359,0.0585656,0.0426121,0.0103564,0.02381,0.0212017,0.0205944,0.0284271,0.0189099,0.0327093,0.0477799,0.0124133,0.0206829,0.0124043,0.0380274,0.0372365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.0335755,0.0301807,0,0,0.0374401,0.0272549,0.0162073,0.0246923,0,0,0.0254645,0,0.0134455,0.00843967,0.0297613,0.0292812,0.0344331,0.0243786,0.0164678,0.0505282,0.0105539,0.00891101,0.0346555,0.0187518,0.0156164,0.0176911,0.0522077,0.0427099,0.0322185,0.0153042,0.00532065,0.0471572,0.0185149,0.0459669,0.0390683,0.0401629,0,0,0.0391878,0,0.0156684,0.0186629,0.113397,0.0384172,0.0595172,0.0423399,0.01035,0.0242826,0.0201523,0.0202253,0.0279513,0.0190473,0.0325487,0.0472026,0.0124625,0.0206151,0.0123883,0.0372568,0.0356349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0331668,0.0298879,0,0,0.0392072,0.0273658,0.0179546,0.0255771,0,0,0.0257546,0,0.0136762,0.00848392,0.0305829,0.0330499,0.0352289,0.022288,0.0165952,0.0498673,0.00983533,0.00791116,0.0348734,0.0179908,0.016431,0.0173961,0.0522634,0.0442394,0.0321613,0.0153775,0.0053525,0.0449266,0.0184071,0.0442697,0.0388463,0.0398698,0,0,0.0386837,0,0.0155392,0.0179701,0.11297,0.0360472,0.0599682,0.0419825,0.0102324,0.0245235,0.0188502,0.0200301,0.0273387,0.0193194,0.0325005,0.0464862,0.0122496,0.0205834,0.0123583,0.0367222,0.0350122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0317019,0.0292358,0,0,0.0396573,0.0276456,0.0188568,0.0266298,0,0,0.0262778,0,0.0134877,0.00863435,0.0312488,0.0362533,0.0361769,0.0192556,0.0166925,0.0479753,0.00927967,0.00739522,0.0342766,0.018207,0.0176657,0.0175238,0.0521203,0.0440514,0.0325402,0.0153653,0.00545408,0.0421536,0.0183448,0.0421833,0.0386192,0.0384227,0,0,0.0383451,0,0.0154869,0.017672,0.112372,0.0332704,0.0604113,0.0408478,0.00987461,0.0244808,0.0173454,0.0198924,0.0266549,0.0195547,0.0323861,0.0457388,0.0123779,0.0203155,0.0123497,0.0359617,0.0332609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.031482,0.0287462,0,0,0.0395393,0.027642,0.0190068,0.0273481,0,0,0.0263673,0,0.0131541,0.00863085,0.0316846,0.0386977,0.0370285,0.0165972,0.0164071,0.047363,0.00881915,0.00722846,0.0332946,0.0187116,0.0185252,0.0178589,0.0517719,0.0437744,0.0331422,0.0152848,0.00542388,0.0391738,0.0182941,0.0414997,0.0383918,0.0382876,0,0,0.0377569,0,0.0153276,0.0171336,0.111837,0.0306248,0.0603988,0.040306,0.00922071,0.0242582,0.0159456,0.0207406,0.0252201,0,0.0333806,0.0439132,0.0121711,0.0201728,0.0121101,0.0356431,0.0330516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0285314,0.0277229,0,0,0.0390437,0.0279776,0.0187254,0.0279894,0,0,0.0272327,0,0.0127013,0.00903555,0.0317762,0.0404878,0.0376873,0.0158102,0.0159099,0.0440838,0.00830432,0.0071454,0.0327209,0.0189336,0.0186965,0.0181046,0.051205,0.0427374,0.0319739,0.0152397,0.00589981,0.0343497,0.0183017,0.037624,0.0379659,0.0347997,0,0,0.0375847,0,0.0152576,0.0170121,0.111264,0.0267092,0.0599383,0.0372951,0.00830524,0.0244548,0.01368,0.0203933,0.0250308,0.0206222,0.0327624,0.0425983,0.0127279,0.0199284,0.0120759,0.0340132,0.0300545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0273502,0.0274957,0,0,0.0391093,0.0281323,0.0186943,0.0285214,0,0,0.026971,0,0.0125884,0.00945538,0.0315558,0.0422395,0.0380936,0.0174191,0.0156401,0.040861,0.00842902,0.00828958,0.0326224,0.0186136,0.018679,0.0180361,0.0502686,0.0428377,0.0297555,0.014803,0.00623845,0.0309655,0.0182219,0.0348833,0.0381832,0.0345282,0,0,0.0369512,0,0.0143974,0.0169477,0.110712,0.0226946,0.0592687,0.0377616,0.00655937,0.0247538,0.0106296,0.0207326,0.0238725,0.020968,0.0327372,0.0420614,0.0120427,0.0197695,0.0120561,0.0336767,0.0288198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0288723,0.0278307,0,0,0.0378288,0.027947,0.0187184,0.0285006,0,0,0.0270372,0,0.0125777,0.00925158,0.0316677,0.0438188,0.0377959,0.0195102,0.0145857,0.0430894,0.00851354,0.00931435,0.0328465,0.0186326,0.0186043,0.0185939,0.0502847,0.0404328,0.0307313,0.0152577,0.00594724,0.0282207,0.0180761,0.0313111,0.0376787,0.0358575,0,0,0.0363098,0,0.0151842,0.0166899,0.110485,0.0205876,0.0592437,0.0375152,0.00688843,0.0249933,0.00948817,0.0211801,0.0226898,0.0205853,0.0321691,0.0432084,0.0118029,0.0195416,0.0118313,0.0339377,0.030881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0295805,0.0280227,0,0,0.0352456,0.0278638,0.0181103,0.0284843,0,0,0.0271498,0,0.0125388,0.00924225,0.0317328,0.0443616,0.0372504,0.0212579,0.0137214,0.0432903,0.00953127,0.0100767,0.0330529,0.018838,0.0183218,0.0187777,0.0497396,0.0370444,0.0304319,0.0152924,0.0059231,0.0260243,0.0179497,0.0283879,0.0376138,0.0370362,0,0,0.0354832,0,0.0151981,0.0164984,0.110131,0.0183172,0.0586417,0.0380976,0.00647949,0.0257137,0.00743398,0.0218578,0.0215135,0.020573,0.0317799,0.0445058,0.0113164,0.0192756,0.0117331,0.0340649,0.0316427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.00598531,0.00479966,0,0,0.0341982,0.0238858,0.0165012,0.0095861,0,0,0.0176628,0,0.0172338,0.00460829,0.0419124,0.0456383,0.022012,0.0156322,0.0135382,0.0202073,0.0171777,0.0169384,0.0370172,0.0167682,0.0180111,0.0171407,0.0499314,0.0397986,0.0227008,0.0170629,0.00249231,0.00858062,0.0136908,0.022017,0.00787616,0.00594073,0,0,0.0168753,0,0.012626,0.00838904,0.0834344,0.0152462,0.00592407,0.0133859,0.0169699,0.0201009,0.0195763,0.0210255,0.0175774,0.0189974,0.0259042,0.037503,0.013875,0.0119418,0.00940426,0.00626311,0.00660147,0,0,0,0,0,0,0,0,0,0.086643,0,0,0,0,0,0,0,0,0
14,0.0054097,0.00479069,0,0,0.0300123,0.0237873,0.0154904,0.00942411,0,0,0.0174224,0,0.0171677,0.00461553,0.0422639,0.044985,0.0218984,0.0136129,0.0124543,0.0202434,0.0170558,0.0158705,0.0367589,0.0161696,0.0173167,0.0163026,0.0486518,0.0354034,0.0221247,0.0170997,0.00249038,0.00978099,0.0135345,0.0215235,0.00705392,0.00513151,0,0,0.0162349,0,0.0125246,0.00837716,0.0832134,0.0172383,0.00539747,0.0134218,0.0162835,0.0210929,0.0194946,0.0219038,0.0163547,0.0188574,0.0254598,0.0401606,0.0137951,0.0119554,0.00932964,0.00631782,0.00582704,0,0,0,0,0,0,0,0,0,0.0867423,0,0,0,0,0,0,0,0,0
15,0.00511032,0.00483666,0,0,0.0255711,0.0237273,0.0145469,0.00938142,0,0,0.0167834,0,0.0170556,0.00463597,0.0423891,0.0439799,0.0218832,0.0107891,0.0115173,0.02018,0.0159891,0.0149886,0.036588,0.0153451,0.0164478,0.0151395,0.0474864,0.0308252,0.0217903,0.0171276,0.00241599,0.0119579,0.0133807,0.0216614,0.0064672,0.00469323,0,0,0.0157,0,0.0124156,0.00846542,0.0828599,0.0190849,0.00492057,0.0135465,0.0159116,0.0223076,0.0199186,0.0225898,0.0151286,0.0186964,0.0248877,0.0432049,0.0139486,0.011981,0.00925524,0.00649456,0.00514497,0,0,0,0,0,0,0,0,0,0.0867176,0,0,0,0,0,0,0,0,0
