Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,x75
All Timesteps RMSE,0.0399292,0.0239621,0,0,0,0,0,0,0.0283063,0.014357,0.0251698,0.0517946,0,0,0.0358303,0,0.0368546,0.0115652,0.0343733,0.0300437,0.0268413,0.0256819,0.0546358,0.0291089,0.0365083,0.0290722,0.0356196,0.0397991,0.0237789,0.0235576,0.0236704,0.0216509,0.0362452,0.0274178,0.0241091,0.00793781,0.0372758,0.00213352,0.0363203,0.0976691,0.0327216,0,0,0.0126384,0,0.00401737,0.00849079,0.0594878,0.0492782,0.0319011,0.0672105,0.0284106,0.0248465,0.051743,0.0306068,0.0309932,0.0608295,0.0381141,0.0263655,0.0255122,0.0369263,0.0441431,0.0126642,0.0106504,0.00813567,0.0206816,0.0339604,0,0,0,0,0,0,0,0,0
0,0.041508,0.0253321,0,0,0,0,0,0,0.0344318,0.0160102,0.0410273,0.0538274,0,0,0.0350656,0,0.0391397,0.0127804,0.0363138,0.0533155,0.0220638,0.0220022,0.0380106,0.0305098,0.0349962,0.0290269,0.0326283,0.040971,0.0244911,0.0286864,0.0264063,0.0318659,0.0457609,0.0282879,0.0263153,0.00885189,0.0355303,0.00130672,0.0422898,0.0861051,0.0367663,0,0,0.0219428,0,0.00485088,0.014415,0.0560495,0.0694538,0.0410968,0.0741794,0.0219073,0.0308443,0.0588511,0.0312835,0.0283668,0.0673133,0.0411404,0.0114321,0.0304165,0.0418551,0.0745682,0.0223926,0.0137665,0.00912154,0.0186962,0.0341377,0,0,0,0,0,0,0,0,0
1,0.0417232,0.0252276,0,0,0,0,0,0,0.0315533,0.0160739,0.0382,0.0538347,0,0,0.0355073,0,0.0391682,0.013034,0.0363512,0.0524677,0.0223133,0.0237365,0.0383671,0.0304342,0.034564,0.026279,0.0310135,0.0404886,0.0255539,0.0286265,0.0272274,0.0318588,0.043382,0.0285727,0.0263078,0.00904039,0.0356574,0.0014475,0.0431403,0.0865375,0.0373324,0,0,0.0227806,0,0.00508803,0.0143966,0.056731,0.0649491,0.0408191,0.0757817,0.02177,0.0313824,0.0586625,0.0300031,0.0305701,0.0680149,0.0417297,0.0105923,0.0300161,0.0406097,0.0735387,0.0226775,0.0134237,0.00915748,0.0185783,0.0343953,0,0,0,0,0,0,0,0,0
2,0.0415897,0.0251201,0,0,0,0,0,0,0.0295079,0.0160632,0.036359,0.0534604,0,0,0.0355599,0,0.0391562,0.0131144,0.0362304,0.0516277,0.022493,0.0228848,0.0385376,0.0300928,0.0334092,0.0240241,0.0294561,0.0395627,0.0257371,0.0282443,0.0272156,0.0313314,0.0415624,0.0285423,0.0263304,0.00907335,0.0363889,0.00162288,0.0438945,0.0865865,0.0373655,0,0,0.0231414,0,0.00521647,0.0140946,0.0568755,0.0618526,0.040725,0.075987,0.0214638,0.0315129,0.0587077,0.0302,0.0325908,0.0686728,0.0419846,0.0108886,0.0295256,0.0395373,0.0742035,0.0224326,0.0133943,0.00916672,0.0183379,0.0343531,0,0,0,0,0,0,0,0,0
3,0.0413259,0.0250292,0,0,0,0,0,0,0.0279802,0.0161009,0.03495,0.0531688,0,0,0.0354047,0,0.0391208,0.0131728,0.0359953,0.0502849,0.0224163,0.021183,0.0389429,0.0296062,0.0318946,0.0222904,0.028123,0.0383823,0.0250648,0.027225,0.0263038,0.0303894,0.0401301,0.0282898,0.0263467,0.00904574,0.0371305,0.00175345,0.0447066,0.0869052,0.0370215,0,0,0.0231237,0,0.00530262,0.0137205,0.0569615,0.0591211,0.0405439,0.0759898,0.0212319,0.0313074,0.0587367,0.0306565,0.0345679,0.06934,0.042061,0.0111686,0.0290279,0.038364,0.0747613,0.0218791,0.0135162,0.00915111,0.0180281,0.034228,0,0,0,0,0,0,0,0,0
4,0.0411023,0.0249254,0,0,0,0,0,0,0.0272233,0.016107,0.0339269,0.0529195,0,0,0.0350437,0,0.039322,0.0131862,0.0355949,0.0485362,0.0223577,0.0197475,0.0393912,0.0290508,0.0305134,0.0212688,0.027193,0.0373477,0.0238393,0.0259384,0.0253377,0.0293139,0.0393061,0.0278398,0.02641,0.00905831,0.0378503,0.00184689,0.0454188,0.0873682,0.0364927,0,0,0.0227839,0,0.0053586,0.0137498,0.0571866,0.056768,0.0402974,0.075705,0.0208916,0.0309117,0.0586455,0.0311767,0.0364401,0.0699138,0.0419813,0.0113589,0.0284661,0.0370692,0.0748809,0.0210055,0.0135861,0.00912687,0.0177492,0.0341141,0,0,0,0,0,0,0,0,0
5,0.0407254,0.0245743,0,0,0,0,0,0,0.0266623,0.0160029,0.0329717,0.0530178,0,0,0.0346736,0,0.039565,0.0132684,0.035284,0.0463568,0.022159,0.0194041,0.040194,0.0284411,0.0294749,0.020806,0.0266988,0.0369439,0.0227226,0.0247939,0.0246514,0.0284291,0.0383219,0.0272829,0.0264203,0.00903326,0.038282,0.00192324,0.0461656,0.0884381,0.0358776,0,0,0.0221379,0,0.00527998,0.0136737,0.0575774,0.0551107,0.0399741,0.0754968,0.0206762,0.0301963,0.0586707,0.031746,0.0383257,0.0705438,0.0417811,0.0113693,0.0278042,0.0357032,0.0745006,0.0197327,0.01345,0.00909907,0.0174582,0.0338841,0,0,0,0,0,0,0,0,0
6,0.0404961,0.0241944,0,0,0,0,0,0,0.0262282,0.015961,0.0319905,0.0535442,0,0,0.0346341,0,0.0395357,0.013507,0.0351084,0.0438553,0.0219266,0.0202182,0.041507,0.0281117,0.0291262,0.0210114,0.0267887,0.0372737,0.0221486,0.0239986,0.0241367,0.0277715,0.0371917,0.0269924,0.0263788,0.00908959,0.0385811,0.00191249,0.0466481,0.0899506,0.0354138,0,0,0.0212817,0,0.00519725,0.0134762,0.0585132,0.0530379,0.0392512,0.0762163,0.0206669,0.0293116,0.0584876,0.0318384,0.0406335,0.0711577,0.0415502,0.0106372,0.0268053,0.0341324,0.0727267,0.0183327,0.0133662,0.00911493,0.017491,0.0338777,0,0,0,0,0,0,0,0,0
7,0.0400572,0.0239085,0,0,0,0,0,0,0.0260827,0.0160078,0.0312323,0.0539994,0,0,0.0346002,0,0.0394204,0.0135926,0.0350789,0.0414765,0.0216886,0.0215689,0.0429569,0.0276791,0.0294103,0.0217297,0.0273629,0.0380079,0.0221006,0.0236873,0.0237863,0.027466,0.0360829,0.0266568,0.0263659,0.0091283,0.0385656,0.00181095,0.047074,0.0910627,0.0348492,0,0,0.0200377,0,0.00514879,0.0132987,0.0594129,0.0520802,0.0385704,0.0764155,0.0206345,0.0283185,0.0584066,0.0322886,0.042586,0.0717982,0.0411198,0.010036,0.0255865,0.0326114,0.0703758,0.0169964,0.0134414,0.00915568,0.0174909,0.0337491,0,0,0,0,0,0,0,0,0
8,0.0393627,0.023686,0,0,0,0,0,0,0.0261505,0.0160558,0.0307626,0.0541224,0,0,0.0344679,0,0.0393001,0.0135941,0.0351443,0.0395038,0.0214066,0.022805,0.0444161,0.0271184,0.0302711,0.0228463,0.0282379,0.0388255,0.0223796,0.0236748,0.023634,0.0274355,0.0352421,0.0262522,0.0263457,0.00912039,0.0380716,0.00168304,0.0476377,0.0917893,0.0341069,0,0,0.0187553,0,0.00506179,0.0129251,0.0602093,0.0524572,0.0379316,0.0759513,0.0204808,0.0272899,0.0584337,0.0328448,0.043808,0.0722909,0.0405532,0.00960915,0.0243213,0.0312809,0.0674296,0.0157224,0.0133197,0.00917573,0.0173779,0.0333872,0,0,0,0,0,0,0,0,0
