Timestep,C7,CLAV,IMUL_L,IMUL_M,IMUL_R,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74
All Timesteps RMSE,0.0447447,0.0325604,0,0,0,0,0,0,0.0254642,0.0267721,0.0220753,0.0555614,0,0,0.0294829,0,0.0102696,0.0112715,0.0332095,0.0310801,0.0232743,0.0330423,0.0393319,0.0327541,0.0210654,0.0158668,0.0210443,0.0460569,0.027337,0.0267806,0.0238373,0.0170681,0.036418,0.0328138,0.016797,0.00636567,0.0373388,0.0149763,0.0413115,0.107798,0.0431449,0,0,0.0418691,0,0.0164221,0.0234122,0.0470734,0.0411479,0.0322443,0.0742246,0.0438402,0.0407603,0.0207957,0.0345529,0.0550525,0.0285576,0.0320362,0.0186118,0.0252743,0.0247503,0.0419,0.0341601,0.00988325,0.0082978,0.031666,0.046197,0,0,0,0,0,0,0,0
0,0.0509592,0.0351157,0,0,0,0,0,0,0.0283891,0.0258804,0.0230232,0.0691458,0,0,0.0337944,0,0.0116521,0.0133243,0.0362964,0.0284167,0.0254094,0.031184,0.0339803,0.0377103,0.01763,0.016615,0.0188811,0.051805,0.0214079,0.0211919,0.0200238,0.0248463,0.0326889,0.0374616,0.0162668,0.00767126,0.0185095,0.0150668,0.046749,0.112663,0.0508872,0,0,0.0459705,0,0.0160892,0.0265275,0.0459315,0.0791728,0.0318469,0.0816966,0.0366083,0.0452915,0.0274942,0.0322617,0.0466693,0.0271856,0.0401701,0.0214479,0.0378551,0.0426719,0.0405581,0.0393721,0.0127591,0.00855046,0.0328534,0.0514665,0,0,0,0,0,0,0,0
1,0.0509701,0.0353175,0,0,0,0,0,0,0.0275985,0.0259649,0.0225284,0.0686442,0,0,0.0337951,0,0.0116477,0.0130323,0.0363673,0.0259135,0.0252633,0.0334733,0.0337357,0.0378355,0.0173512,0.0153699,0.0189729,0.0518406,0.0222788,0.0220822,0.0197931,0.025029,0.0318442,0.0375719,0.0162898,0.00773287,0.0196967,0.0150885,0.0473354,0.111681,0.0509174,0,0,0.046225,0,0.0160823,0.0266197,0.0463028,0.0786233,0.0322231,0.082418,0.0374194,0.0454093,0.0273581,0.0320309,0.0474954,0.0271658,0.0404102,0.0210242,0.0379702,0.0421438,0.0409534,0.0397861,0.0126231,0.0084687,0.0329256,0.0515614,0,0,0,0,0,0,0,0
2,0.0506048,0.0352064,0,0,0,0,0,0,0.0272468,0.0261344,0.0223722,0.068478,0,0,0.0336619,0,0.011586,0.012858,0.0362211,0.025766,0.0250427,0.0339104,0.0336723,0.0377649,0.0168684,0.0146754,0.0186007,0.0520743,0.0218468,0.0219978,0.0191637,0.0251039,0.0318787,0.037549,0.0162977,0.00774047,0.0208381,0.0151155,0.0481534,0.111067,0.050514,0,0,0.0462349,0,0.0161318,0.0265978,0.0466734,0.0787777,0.0322594,0.0832142,0.0377048,0.0452643,0.0273071,0.0320707,0.0481203,0.0273681,0.0410106,0.0212414,0.0383365,0.0422271,0.0423697,0.0398238,0.0123756,0.00834916,0.0328126,0.051282,0,0,0,0,0,0,0,0
3,0.0502181,0.035028,0,0,0,0,0,0,0.0278907,0.0262887,0.0226821,0.068482,0,0,0.0335552,0,0.0115039,0.0127674,0.0359496,0.0282764,0.0247901,0.0333453,0.0338065,0.0376171,0.0160848,0.014064,0.0178315,0.0525011,0.0205764,0.0212266,0.0181044,0.0250553,0.0330033,0.0375118,0.0163029,0.00761302,0.0223762,0.0151264,0.0490381,0.110734,0.0500626,0,0,0.0461269,0,0.0161867,0.0263794,0.0469708,0.0787877,0.0323093,0.0841436,0.0379228,0.0451432,0.0272643,0.0321478,0.0488218,0.0276472,0.0416771,0.0215673,0.0386491,0.0423225,0.0439563,0.0397175,0.0120625,0.00832378,0.0325266,0.0509918,0,0,0,0,0,0,0,0
4,0.049782,0.0348463,0,0,0,0,0,0,0.0295881,0.026378,0.0239301,0.0685549,0,0,0.0335498,0,0.011422,0.0126355,0.035651,0.032137,0.0244179,0.0326658,0.0340046,0.0374135,0.0149627,0.013411,0.0168939,0.0529871,0.0187957,0.0199404,0.0166048,0.0249029,0.0352013,0.0374389,0.0163122,0.00744217,0.0239819,0.0151256,0.0500348,0.110544,0.0495254,0,0,0.0458481,0,0.016229,0.026185,0.0473569,0.0787221,0.0324399,0.0851905,0.0380233,0.0450042,0.0272306,0.0322514,0.0494843,0.0280152,0.0424596,0.0219544,0.0390302,0.0425077,0.0455304,0.0394463,0.0117807,0.00822688,0.0322715,0.0506657,0,0,0,0,0,0,0,0
5,0.0493239,0.0346036,0,0,0,0,0,0,0.0316493,0.0264251,0.0269081,0.0687777,0,0,0.033442,0,0.0113553,0.0124838,0.0354851,0.0353764,0.0240207,0.0319422,0.0342916,0.0372294,0.0138637,0.0128932,0.0160093,0.0533557,0.0168244,0.0183015,0.015272,0.0247652,0.0376587,0.037341,0.0163041,0.00728414,0.0256198,0.0151161,0.0511129,0.11059,0.0489699,0,0,0.0455544,0,0.0162571,0.026105,0.0478097,0.0785229,0.0326211,0.0863831,0.0380543,0.0448575,0.0272045,0.032354,0.0501803,0.0285065,0.0432859,0.0224345,0.0394699,0.0426952,0.0473207,0.0390866,0.0115378,0.00817798,0.0319724,0.0503276,0,0,0,0,0,0,0,0
6,0.0488189,0.034289,0,0,0,0,0,0,0.0331755,0.0265048,0.0303407,0.0690741,0,0,0.0334146,0,0.0111473,0.012376,0.0355266,0.0369406,0.0237846,0.0303555,0.0345554,0.0370791,0.0130569,0.0127068,0.0149073,0.053115,0.0152808,0.0175757,0.0149765,0.0246836,0.0389757,0.0374049,0.0162979,0.00724389,0.0273748,0.0150955,0.0523208,0.110758,0.048543,0,0,0.0452315,0,0.0162575,0.0264468,0.0482344,0.0782689,0.0327732,0.0875656,0.0379989,0.044737,0.0272591,0.0324056,0.0509349,0.0290835,0.044148,0.022995,0.039879,0.0428546,0.0492522,0.0387528,0.011301,0.00817884,0.0316044,0.0499848,0,0,0,0,0,0,0,0
7,0.0483707,0.0340316,0,0,0,0,0,0,0.0335656,0.0266517,0.0317135,0.0693762,0,0,0.0335314,0,0.0109849,0.012371,0.0355956,0.0372912,0.0238053,0.0277542,0.034628,0.0370705,0.0129443,0.0127885,0.0133505,0.0519192,0.0148185,0.0182113,0.0157514,0.0244057,0.03883,0.0375624,0.0163112,0.00723433,0.0292882,0.0150466,0.053586,0.110936,0.0482991,0,0,0.0449386,0,0.0162313,0.0269062,0.0485546,0.077763,0.0328032,0.088693,0.0378409,0.0448439,0.0273335,0.0324499,0.0517656,0.0297387,0.0450568,0.0236386,0.0402127,0.0429509,0.0511753,0.038653,0.0109582,0.00802196,0.0312658,0.0496923,0,0,0,0,0,0,0,0
8,0.0480464,0.0339102,0,0,0,0,0,0,0.0325424,0.0267466,0.0306964,0.0695456,0,0,0.0335995,0,0.0108681,0.0123464,0.0352643,0.0371729,0.0240664,0.025319,0.0344831,0.037195,0.0134984,0.0128727,0.0117227,0.0501627,0.0155442,0.0191913,0.0169261,0.0238857,0.0379727,0.0376944,0.0163223,0.0071367,0.0314145,0.0149327,0.0548957,0.110921,0.0482252,0,0,0.044927,0,0.0161453,0.0259871,0.048795,0.0767681,0.0327178,0.0897362,0.0377607,0.0451782,0.0273698,0.0325714,0.0526816,0.0303719,0.0459286,0.0243582,0.0404934,0.0429317,0.0530618,0.0389161,0.0105718,0.00782353,0.0311061,0.049438,0,0,0,0,0,0,0,0
