Timestep,C7,CLAV,IMUL_L,IMUL_M,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RKNE,RPSI,RSHO,RTHIA,RTHII,RTHIP,RTIB,RTIBP,RTOE,RUPA,RWRA,RWRB,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,LTHIA,LTIBI,STRN,RANK,RTIBA,RTIBI,RTHI,IMUL_R,RHEE,RILC,IMUR_T,IMUR_M,IMUR_B
All Timesteps RMSE,0.0126636,0.00750642,0,0,0.0277539,0.0199743,0.0168824,0.0106291,0,0,0.0104812,0,0.0195039,0.0073343,0.0380234,0.0302633,0.0189884,0.0164409,0.0122821,0.0124443,0.0394094,0.0390668,0.0357369,0.0173599,0.0180082,0.0411332,0.0366088,0.0170431,0.0186711,0.00378294,0.0347072,0.00918528,0.0106453,0.0157035,0,0,0.0112668,0,0.00710404,0.0132089,0.082183,0.025829,0.0150039,0.0112466,0.0506212,0.0698948,0.022821,0.0241693,0.0248157,0.0423608,0.0106062,0.0154139,0.00860263,0.0145402,0,0,0,0,0,0,0,0,0.0385708,0.0237911,0.00854207,0.035988,0.0278763,0.0197825,0.022399,0,0.0443444,0.0780042,0,0,0
0,0.0387932,0.028251,0,0,0.0289452,0.0264682,0.0247776,0.0245699,0,0,0.0254772,0,0.0107436,0.0124993,0.0361103,0.043908,0.0306479,0.00663134,0.0218617,0.0140168,0.0389912,0.0392087,0.0302374,0.0200853,0.0217122,0.0513896,0.0349145,0.0225928,0.0158832,0.00613552,0.0975,0.0116674,0.0371899,0.0556144,0,0,0.0394524,0,0.00618637,0.0192705,0.103812,0.0412403,0.058427,0.049178,0.0577496,0.0778092,0.0258151,0.0467619,0.0448173,0.124579,0.0328051,0.0135964,0.00867082,0.0431217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.033273,0.0238298,0,0,0.0328477,0.0270506,0.0256027,0.0225348,0,0,0.0277686,0,0.0102805,0.0136819,0.0367365,0.0471673,0.0284595,0,0.0213431,0.013504,0.0387172,0.0377588,0.0311359,0.021537,0.0235637,0.0522331,0.0389328,0.0243164,0.0157559,0.00642038,0.0965147,0.0127769,0.0376032,0.0451793,0,0,0.0378951,0,0.00716804,0.0192138,0.10368,0.0398619,0.0571405,0.0394913,0.0572386,0.0773775,0.0246429,0.0481165,0.0463693,0.124284,0.0304233,0.0149228,0.0090271,0.0371588,0,0,0,0,0,0,0,0,0.0385863,0.0234105,0.0261389,0,0,0,0,0,0,0,0,0,0
2,0.0338298,0,0,0,0.0209749,0.0269688,0.0169758,0.0397413,0,0,0.0280449,0,0.0103804,0.0132488,0.0296262,0.0401176,0,0.0134332,0.0139999,0.0190558,0.0447316,0.0442405,0.0379533,0.0159122,0.0163993,0.0452319,0.0195408,0.0264064,0.0157184,0.00653105,0.0344158,0.0126796,0.0453552,0.0434422,0,0,0.0350071,0,0.00739975,0.0180869,0.108759,0.0200339,0.0616307,0.0423779,0.0689919,0.087661,0.0302506,0.0330114,0.0408944,0.0606711,0.0321477,0.0139848,0.00884428,0.0351737,0,0,0,0,0,0,0,0,0,0.00393215,0.0315307,0.0385071,0.0219985,0.0317035,0,0,0,0,0,0,0
3,0.0179015,0.0183118,0,0,0.0261922,0.0264518,0.0208289,0.0226607,0,0,0.0254383,0,0.0109075,0.0123876,0.0335538,0.0427091,0.0275913,0.0104412,0.0179381,0.0198061,0.0416653,0,0.0321106,0.018355,0.0194152,0.0478238,0.0283186,0.0279176,0.0158631,0.0062328,0.0300038,0.0141986,0.0307492,0.0179676,0,0,0.0306074,0,0.00906787,0.0180199,0.105072,0.0148885,0.0522984,0.0187659,0.0676377,0.0857562,0.0270577,0.0327095,0.0394363,0.0610151,0.021503,0.0161587,0.00975303,0.019203,0,0,0,0,0,0,0,0,0,0.0444978,0.0190508,0.036846,0.0215952,0.0311416,0.0336881,0,0,0,0,0,0
4,0.0174213,0.0186661,0,0,0.0269257,0.0262843,0.0203443,0.0238712,0,0,0.0252909,0,0.0107343,0.0122779,0.033166,0.0437797,0.0272429,0.0129129,0.0180703,0.0207241,0.0379068,0,0.0317655,0.0191907,0.0193707,0.0472888,0.0282042,0.0278304,0.0159026,0.00617433,0.0280659,0.0141268,0.0315239,0.0166114,0,0,0.0301929,0,0.00907975,0.0177953,0.104552,0.0129268,0.0527925,0.0180008,0.0681757,0.0859433,0.0266995,0.0327002,0.0384398,0.0618487,0.0210773,0.0162531,0.0097942,0.018427,0,0,0,0,0,0,0,0,0.0349872,0,0.0190124,0.0364519,0.0216806,0.0308321,0.0329735,0,0,0,0,0,0
5,0.0168487,0.0188503,0,0,0.0214147,0.026337,0.016193,0.0249762,0,0,0.025532,0,0.0108186,0.0122374,0.0317538,0.041478,0.0287768,0.00645792,0.0150226,0.0222667,0.0388196,0,0.0297026,0.0150816,0.0145742,0.0463891,0.0252604,0.0279428,0.0159592,0.00621184,0,0.0139725,0.0324806,0.0148785,0,0,0.0292716,0,0.00903996,0.017188,0.103877,0.0124035,0.0512057,0.0168297,0.0670319,0.0844628,0.0253698,0.0374103,0.0423294,0.0578656,0.020629,0.0162978,0.00978964,0.0174482,0,0,0,0,0,0,0,0,0.0367412,0.306323,0.0192253,0,0.0232584,0.0356337,0.0311889,0,0,0,0,0,0
6,0.0162825,0.0186795,0,0,0.0283635,0.0262053,0.0181468,0.0253222,0,0,0.0250634,0,0.0110209,0.0119124,0.0326881,0.0438062,0.0275562,0.0155072,0.0161299,0.0224791,0.0330055,0,0.0314103,0.0190773,0,0.0462705,0.0291035,0.0278908,0.0160199,0.00607587,0.0259184,0.0138449,0.031992,0.0142343,0,0,0.0288616,0,0.00904151,0.017327,0.103171,0.0100923,0.0513076,0.0164973,0.0688157,0.086158,0.0266309,0.0326948,0.036004,0.0617359,0.0202264,0.0163304,0.00980475,0.0167691,0,0,0,0,0,0,0,0,0.0295646,0,0.0192466,0.036774,0.0215129,0.0306469,0.0311535,0,0,0,0,0,0
7,0.0161196,0.0187022,0,0,0.0278455,0.0262613,0.0175569,0.0257463,0,0,0.025075,0,0.0108131,0.011839,0.0329267,0.0422491,0.0276675,0.0163744,0.0155305,0.0231707,0.0323304,0,0.0313451,0.0186368,0,0.045618,0.0277553,0.0285146,0.0160198,0.00610977,0,0.0138079,0.0321792,0.0138846,0,0,0.0287726,0,0.00906838,0.0171405,0.102543,0.00919287,0.0506729,0.0162859,0.0689398,0.0863376,0.0267679,0.0332043,0.0349623,0.0603066,0.0203577,0.0161809,0.00987559,0.0163853,0,0,0,0,0,0,0,0,0.0289753,0,0.0194618,0.0362794,0.0223418,0.031078,0.0302801,0,0,0,0,0,0
8,0.0190749,0.0183202,0,0,0.0269538,0.0263827,0.017146,0.0261422,0,0,0.0258847,0,0.0106354,0.0125674,0.033165,0.0407701,0.027636,0.0182252,0.0154255,0.0188115,0.0324249,0,0.0317905,0.0183186,0,0.045292,0.0254666,0.02766,0.0161257,0.00617822,0.0212151,0.0132109,0.0321691,0.0207532,0,0,0.0293431,0,0.0083146,0.0169159,0.101914,0.0105927,0.0495401,0.0198672,0.0692453,0.0865041,0.0280902,0.0320087,0.0325942,0.0573072,0.0238876,0.0152424,0.00946102,0.0197359,0,0,0,0,0,0,0,0,0.0290237,0,0.0192297,0.0375078,0.0214635,0.0303727,0.0299176,0,0,0,0,0,0
