Timestep,C7,CLAV,IMUL_M,IMUL_R,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFM,WFR,x72,x73,x74,IMUR_B,IMUL_L
All Timesteps RMSE,0.0263262,0.0266418,0,0,0,0,0.0308274,0.0207512,0.0260855,0.0630227,0,0,0.0453732,0,0.0240059,0.0212697,0.033244,0.0324475,0.0290908,0.0381126,0.0532193,0.0494961,0.0386601,0.0422358,0.0329307,0.0543726,0.0313514,0.0308566,0.0271883,0.0168971,0.0440987,0.0493499,0.0185507,0.00511633,0.038718,0.0173696,0.0343923,0.113401,0.0305915,0,0,0.061916,0,0.0203154,0.0257827,0.0501701,0.0393941,0.0340649,0.0755023,0.0380598,0.0401627,0.0394259,0.0259141,0.0401764,0.0520206,0.0303687,0.0179646,0.0203827,0.024902,0.0421794,0.0422671,0.0178961,0.0108283,0.0262347,0.0344314,0,0,0,0,0,0,0,0,0,0
0,0.025215,0.0242746,0,0,0,0,0.0477627,0.0210324,0.0315512,0.0655166,0,0,0.0455377,0,0.0219956,0.0206207,0.0339347,0.0211216,0.0316391,0.0425724,0.0652902,0.0489179,0.0439628,0.0473752,0.0365304,0.0563286,0.0276756,0.0265042,0.0259771,0.016562,0.062562,0.0518112,0.0180266,0.00524863,0.0529829,0.018174,0.0418801,0.123671,0.0298798,0,0,0.06569,0,0.0217834,0.0257639,0.0543371,0.0347948,0.0312787,0.074072,0.0336728,0.0388855,0.0286697,0.0339524,0.058609,0.0520373,0.0338759,0.0107082,0.0176998,0.0211466,0.0483528,0.0468989,0.0152636,0.0100696,0.0239562,0.0345966,0,0,0,0,0,0,0,0,0,0
1,0.0251034,0.0250143,0,0,0,0,0.0460678,0.0209864,0.0312012,0.0649317,0,0,0.045512,0,0.0220524,0.0207477,0.0339251,0.0212734,0.0318793,0.0433892,0.0656086,0.0483371,0.0441124,0.0477014,0.0365999,0.0559083,0.0281486,0.0271362,0.0260419,0.0164167,0.0609003,0.0516323,0.0180451,0.00523004,0.0518752,0.01819,0.0399884,0.122829,0.0309188,0,0,0.0647309,0,0.0219031,0.0253224,0.0543991,0.0316134,0.0318765,0.072399,0.0341322,0.0401853,0.0286477,0.0333204,0.0570219,0.0509499,0.0322425,0.00984572,0.0174879,0.01926,0.0487361,0.0466121,0.0151007,0.0100352,0.0247971,0.034955,0,0,0,0,0,0,0,0,0,0
2,0.0251311,0.0251349,0,0,0,0,0.0448199,0.0209728,0.0308766,0.0643307,0,0,0.0454537,0,0.022022,0.0208919,0.0338555,0.0213728,0.031585,0.0439109,0.0656214,0.0481919,0.0440826,0.0478156,0.0364543,0.0555299,0.0285327,0.0275627,0.0261806,0.0162566,0.0597,0.0516287,0.0180239,0.0053442,0.0510913,0.0181644,0.0377958,0.121957,0.0312259,0,0,0.0644247,0,0.0218036,0.0252013,0.0542594,0.0284855,0.0321058,0.0711225,0.0343481,0.0405422,0.0286502,0.0328657,0.0556423,0.050061,0.0304219,0.00917003,0.0173017,0.0177614,0.0494028,0.0465826,0.0150308,0.0100161,0.0249245,0.0351025,0,0,0,0,0,0,0,0,0,0
3,0.025106,0.0251795,0,0,0,0,0.0438003,0.0210236,0.0305405,0.0638657,0,0,0.0454074,0,0.0220088,0.0208002,0.0336138,0.0215031,0.0312354,0.0441747,0.0656529,0.0481681,0.0439248,0.0478174,0.0361756,0.055123,0.0288418,0.027895,0.0263335,0.0160896,0.058768,0.0516156,0.0180076,0.00553181,0.050438,0.0181483,0.0354242,0.121207,0.0313079,0,0,0.0643689,0,0.0217246,0.0251094,0.0542318,0.0255861,0.0322909,0.0698276,0.0345107,0.0406784,0.0287661,0.0324128,0.0541535,0.0493144,0.0281825,0.00848978,0.0170491,0.0161879,0.0504427,0.0466919,0.0151468,0.00998394,0.0248614,0.0351402,0,0,0,0,0,0,0,0,0,0
4,0.0250337,0.0253458,0,0,0,0,0.0430223,0.0210866,0.030329,0.0635137,0,0,0.0453518,0,0.0220133,0.0204287,0.033342,0.0217313,0.030909,0.0443367,0.0656703,0.0481621,0.0437693,0.0476781,0.0357972,0.0546724,0.0291368,0.0282046,0.0265018,0.0159438,0.0580999,0.0516308,0.0180138,0.00559049,0.0499235,0.0181591,0.0330558,0.120531,0.031328,0,0,0.0644337,0,0.0217089,0.0251373,0.0541504,0.0230752,0.0324952,0.0684467,0.034602,0.0408145,0.0290421,0.0318859,0.0525421,0.0486586,0.0257006,0.00778959,0.0166375,0.0148495,0.0515342,0.0466991,0.015192,0.00998471,0.0247565,0.035125,0,0,0,0,0,0,0,0,0,0
5,0.0249344,0.0253838,0,0,0,0,0.0425384,0.0211371,0.0302809,0.0632096,0,0,0.045249,0,0.0220188,0.0200431,0.0330903,0.0221582,0.0306437,0.044466,0.0656783,0.0481454,0.0435875,0.0474202,0.0353544,0.0542271,0.0293705,0.0284754,0.0266646,0.0158606,0.0577138,0.051672,0.0180207,0.00524439,0.0495669,0.0181204,0.0307522,0.119918,0.0313335,0,0,0.0644866,0,0.0217003,0.0254746,0.0539467,0.0205708,0.0327383,0.0671075,0.0346557,0.0409055,0.0295967,0.0312498,0.0508571,0.0482382,0.0233467,0.00724106,0.0160501,0.0137696,0.0528028,0.0466727,0.0152117,0.00996669,0.0246788,0.035062,0,0,0,0,0,0,0,0,0,0
6,0.0248432,0.025391,0,0,0,0,0.042361,0.0211914,0.0302649,0.0629687,0,0,0.0451084,0,0.0220517,0.0200079,0.0328255,0.0230012,0.0303455,0.044464,0.06573,0.0480791,0.0433359,0.047135,0.0349562,0.0537745,0.0295919,0.0287236,0.0268675,0.0158648,0.0576531,0.0517064,0.0180306,0.00516511,0.0496347,0.0180697,0.0282533,0.119419,0.0313662,0,0,0.0645184,0,0.0216659,0.0256806,0.053728,0.017629,0.0329629,0.0659919,0.0347017,0.0409626,0.0303319,0.0306852,0.0490967,0.0479531,0.021362,0.00708158,0.0155087,0.013007,0.0544364,0.0466423,0.015179,0.00986156,0.0246157,0.0350004,0,0,0,0,0,0,0,0,0,0
7,0.0247551,0.0253088,0,0,0,0,0.0423621,0.0212279,0.0303069,0.0627743,0,0,0.0450997,0,0.0220283,0.0200908,0.0324259,0.0239177,0.0300379,0.0442888,0.0658238,0.0480428,0.0430561,0.0468905,0.0345559,0.0533504,0.0297744,0.0288925,0.0270546,0.0159146,0.0578381,0.0517133,0.0180033,0.00508649,0.0499932,0.0180385,0.0258569,0.119033,0.0312185,0,0,0.0645412,0,0.0216815,0.0256369,0.05352,0.0147798,0.0331587,0.0650268,0.0347441,0.0410808,0.0311878,0.0301238,0.0470967,0.0477221,0.0195009,0.0074094,0.0148677,0.0121235,0.0562752,0.0467278,0.0150791,0.00975083,0.0246163,0.0349522,0,0,0,0,0,0,0,0,0,0
8,0.0247109,0.0252741,0,0,0,0,0.0425348,0.0212432,0.0305129,0.0625419,0,0,0.0451163,0,0.0220095,0.0201945,0.0319101,0.0248786,0.0297795,0.0440389,0.0658897,0.0480579,0.0428208,0.0466633,0.0341354,0.0530156,0.0299064,0.0290474,0.0272321,0.0159678,0.0582826,0.0517362,0.017985,0.00517589,0.0503569,0.0179888,0.0236708,0.118646,0.0310727,0,0,0.064495,0,0.0215985,0.02548,0.0533015,0.0119561,0.0333493,0.0643837,0.0348648,0.0411445,0.0322227,0.0295374,0.044863,0.0476059,0.017687,0.00820568,0.0140427,0.0112399,0.0578731,0.0467723,0.0150086,0.00977642,0.0246501,0.0349231,0,0,0,0,0,0,0,0,0,0
