Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0152969
1,1,-0.0298309
1,2,-0.0577927
1,3,-0.167465
1,4,-0.154495
1,5,-0.178642
1,6,-0.167313
1,7,-0.123291
1,8,-0.0272369
1,9,-0.0427628
2,0,0.030365
2,1,-0.0254822
2,2,0.0417328
2,3,-0.0603104
2,4,-0.0191116
2,5,-0.0577164
2,6,0.013504
2,7,-0.0269699
2,8,-0.00816345
2,9,-0.0727081
3,0,-0.105553
3,1,-0.167542
3,2,-0.130997
3,3,-0.121918
3,4,-0.0893402
3,5,-0.0761032
3,6,-0.0547028
3,7,-0.0141907
3,8,0.00953674
3,9,0.0325394
4,0,0.0168991
4,1,0.014267
4,2,0.0614929
4,3,0.0761032
4,4,0.0156784
4,5,-0.033493
4,6,-0.0867462
4,7,-0.0852203
4,8,-0.0783157
4,9,-0.0847244
5,0,-0.0921631
5,1,-0.0773239
5,2,-0.0868988
5,3,0.0148773
5,4,0.0653839
5,5,0.016861
5,6,0.0650024
5,7,0.0562668
5,8,0.0730133
5,9,0.0400543
6,0,0.0542831
6,1,0.0511551
6,2,-0.0176239
6,3,-0.0675964
6,4,-0.0615311
6,5,-0.069313
6,6,-0.119324
6,7,-0.0451279
6,8,-0.0508118
6,9,0.0154495
7,0,0.0543213
7,1,0.111847
7,2,0.161705
7,3,0.102768
7,4,0.0725937
7,5,0.104904
7,6,0.0850677
7,7,0.0806046
7,8,0.0976562
7,9,0.00358582
8,0,-0.000305176
8,1,-0.0282288
8,2,-0.0578308
8,3,0.0296021
8,4,0.0212479
8,5,0.0466156
8,6,0.0611877
8,7,0.0915146
8,8,0.125809
8,9,0.166168
9,0,0.12001
9,1,0.10891
9,2,0.10231
9,3,0.123062
9,4,0.0946426
9,5,0.0961304
9,6,0.0416565
9,7,-0.00717163
9,8,-0.0087738
9,9,-0.0138855
10,0,-0.0122452
10,1,0.011673
10,2,-0.013237
10,3,0.0270844
10,4,0.104942
10,5,0.100479
10,6,0.114555
10,7,0.0711823
10,8,0.110703
10,9,0.102768
11,0,0.0806046
11,1,0.0938034
11,2,0.052948
11,3,-0.00812531
11,4,-0.0888443
11,5,-0.0601578
11,6,-0.0556564
11,7,-0.00675201
11,8,0.00534058
11,9,0.0429916
12,0,0.0562286
12,1,0.0628662
12,2,0.055542
12,3,0.0896835
12,4,0.0681686
12,5,0.0377655
12,6,0.0624847
12,7,0.0546265
12,8,0.0639343
12,9,0.0239563
13,0,-0.0728607
13,1,-0.087471
13,2,-0.104599
13,3,-0.0679016
13,4,-0.0801086
13,5,-0.0222015
13,6,-0.00816345
13,7,0.0458527
13,8,0.0452423
13,9,0.0117111
14,0,0.0183868
14,1,0.00240326
14,2,0.0274277
14,3,0.00843048
14,4,0.000457764
14,5,-0.0402069
14,6,-0.097847
14,7,-0.101242
14,8,-0.18692
14,9,-0.143929
15,0,-0.156097
15,1,-0.0777435
15,2,-0.0556946
15,3,-0.0396347
15,4,0.00904083
15,5,0.0636292
15,6,0.00789642
15,7,0.0187683
15,8,-0.0322723
15,9,-0.0457001
16,0,-0.0370026
16,1,-0.0298309
16,2,-0.0608063
16,3,-0.14122
16,4,-0.16449
16,5,-0.128975
16,6,-0.154877
16,7,-0.118027
16,8,-0.110207
16,9,-0.0392151
17,0,-0.0233078
17,1,-0.0119019
17,2,0.0242996
17,3,-0.0288391
17,4,0.00141144
17,5,0.00549316
17,6,-0.00682831
17,7,0.0260925
17,8,-0.0590515
17,9,-0.0593948
18,0,-0.096817
18,1,-0.134354
18,2,-0.146828
18,3,-0.100555
18,4,-0.0727081
18,5,-0.00930786
18,6,0.0138855
18,7,-0.00614166
18,8,0.0165176
18,9,0.0636673
19,0,0.0426102
19,1,0.0116348
19,2,0.000610352
19,3,0.00328064
19,4,0.0302124
19,5,-0.00297546
19,6,-0.030365
19,7,-0.0959015
19,8,-0.0572968
19,9,-0.0632858
20,0,-0.0522995
20,1,-0.0166321
20,2,-0.00572205
20,3,0.048027
20,4,0.0806046
20,5,0.111771
20,6,0.0951385
20,7,0.0745392
20,8,0.0524139
20,9,0.153275
21,0,0.0576401
21,1,0.0741577
21,2,0.0172424
21,3,-0.0428009
21,4,-0.055542
21,5,0.00549316
21,6,-0.0172424
21,7,0.0499725
21,8,0.061264
21,9,0.0541687
22,0,0.0623703
22,1,0.0738907
22,2,0.143433
22,3,0.160561
22,4,0.137329
22,5,0.142059
22,6,0.0971985
22,7,0.0989532
22,8,0.0720215
22,9,0.0871277
23,0,0.0685501
23,1,-0.00682831
23,2,-0.0130463
23,3,-0.0364304
23,4,-0.033493
23,5,0.0296783
23,6,0.0992584
23,7,0.121536
23,8,0.179253
23,9,0.119972
24,0,0.110207
24,1,0.138283
24,2,0.0801849
24,3,0.122185
24,4,0.137405
24,5,0.0785446
24,6,0.0479126
24,7,-0.0109863
24,8,-0.0484085
24,9,-0.0203705
25,0,-0.026741
25,1,-0.0267029
