Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0783563,0.0516105,0,0,0,0.0573192,0,0.0251764,0.0686288,0,0,0.020205,0,0,0.0294037,0.0715966,0.0313394,0.0526083,0.0290974,0.109253,0.0692278,0.0609455,0.075555,0.0767856,0.067137,0.0408223,0.0378851,0.0405097,0.0483972,0.0392948,0.0259612,0.00820484,0.0174459,0.0398831,0,0.0321115,0.0650809,0.0317035,0,0,0.022713,0,0,0.031779,0.0607825,0.0381864,0.0557142,0.0273799,0.11148,0.0652559,0.0567082,0.0813919,0.0650772,0.0432071,0.0518065,0.0281774,0.0338108,0.0643354,0.0277071,0.0174704,0.00912174,0.0153727,0.0403944,0.0359591,0,0,0,0
0,0,0,0,0,0,0,0.0822537,0.051851,0,0,0,0.0725151,0,0.0300809,0.0622099,0,0,0.0230846,0,0,0.0268583,0.0711138,0.0383915,0.0559442,0.0371552,0.137023,0.0865231,0.0613668,0.0709167,0.0700929,0.0650103,0.0332912,0.0260566,0.0379831,0.0503975,0.0424731,0.0310243,0.00788771,0.00695966,0.029183,0,0.0404579,0.0582545,0.0344985,0,0,0.0302289,0,0,0.0274898,0.060933,0.0461839,0.0659429,0.0306728,0.142268,0.0657189,0.0565774,0.0716275,0.0563054,0.040982,0.0307341,0.0133042,0.0136878,0.0446963,0.0264378,0.0126535,0.00748844,0.00668093,0.0455843,0.0383123,0,0,0,0
1,0,0,0,0,0,0,0.0822186,0.0517756,0,0,0,0.0726212,0,0.029991,0.062897,0,0,0.0222753,0,0,0.0272755,0.0711818,0.0384411,0.0557669,0.0371105,0.136822,0.0866741,0.0614321,0.0710047,0.0701066,0.065029,0.0333998,0.0262254,0.0380635,0.0505235,0.0424554,0.0313263,0.00813562,0.0073128,0.0294456,0,0.0403348,0.0584199,0.0344421,0,0,0.0298809,0,0,0.0277203,0.0609426,0.0461658,0.0658236,0.0306329,0.142045,0.0656998,0.0563787,0.0717201,0.0564622,0.0411086,0.0307837,0.0131741,0.0137423,0.04477,0.0261925,0.0124556,0.00755335,0.0067918,0.0455863,0.0381359,0,0,0,0
2,0,0,0,0,0,0,0.0821962,0.0517164,0,0,0,0.0727638,0,0.0299658,0.0627264,0,0,0.0214907,0,0,0.0275881,0.071339,0.0385053,0.05575,0.0371424,0.136608,0.0866391,0.0614387,0.0710947,0.0700389,0.0650077,0.0335555,0.0264522,0.0382973,0.0505716,0.0425463,0.0316861,0.00832439,0.00762644,0.0297517,0,0.0401946,0.0586109,0.03438,0,0,0.0295543,0,0,0.0279957,0.060941,0.0460849,0.0657614,0.0306318,0.141811,0.0656613,0.0566064,0.0716649,0.0565068,0.041252,0.0308225,0.0130894,0.0138213,0.0448081,0.0259074,0.0123284,0.00770452,0.00678388,0.0455941,0.0380035,0,0,0,0
3,0,0,0,0,0,0,0.0822099,0.0516926,0,0,0,0.072977,0,0.0299559,0.062728,0,0,0.0207896,0,0,0.0278699,0.0715445,0.0385517,0.055739,0.0371433,0.13633,0.0865599,0.0614541,0.0712357,0.0699755,0.0650041,0.0337539,0.0267331,0.0386312,0.0506954,0.0427251,0.032101,0.00836064,0.00791756,0.0300388,0,0.0400508,0.0587755,0.0342963,0,0,0.0292544,0,0,0.0282673,0.0609248,0.0459737,0.0656789,0.0306262,0.141519,0.0654848,0.0567586,0.0716491,0.0565099,0.0413984,0.0308607,0.0130336,0.0139034,0.0448295,0.0256267,0.0123659,0.00787007,0.0067493,0.045627,0.0379395,0,0,0,0
4,0,0,0,0,0,0,0.0822312,0.0516752,0,0,0,0.073205,0,0.0298811,0.0629881,0,0,0.0202316,0,0,0.0280506,0.0716292,0.0385316,0.0557474,0.0371467,0.136019,0.0863955,0.0614519,0.0713347,0.0699273,0.065026,0.0340005,0.027064,0.0388805,0.0508547,0.0429072,0.0325683,0.00831651,0.00816266,0.0303306,0,0.039905,0.0589595,0.0342308,0,0,0.0289842,0,0,0.0285146,0.0609024,0.0458495,0.065517,0.0306186,0.141156,0.0654246,0.056784,0.0716522,0.0564973,0.0415278,0.0309184,0.0129903,0.0139735,0.0448553,0.0253754,0.0126047,0.00800288,0.00669116,0.0456734,0.0379269,0,0,0,0
5,0,0,0,0,0,0,0.0822917,0.0516584,0,0,0,0.073415,0,0.0297557,0.063316,0,0,0.0198345,0,0,0.0281018,0.0715726,0.038456,0.0558222,0.0372037,0.135688,0.0860259,0.0614387,0.0714447,0.0698554,0.0650324,0.0342458,0.0273683,0.0390647,0.0510061,0.043055,0.0330033,0.00818937,0.00841466,0.030663,0,0.0397365,0.0591556,0.0342231,0,0,0.0287898,0,0,0.0287094,0.0609356,0.0457414,0.0652415,0.0306018,0.140694,0.0654384,0.0567384,0.0716522,0.0564881,0.0416302,0.0310196,0.0129827,0.0140567,0.0448925,0.0251379,0.0131245,0.00812949,0.00658845,0.0456942,0.0379487,0,0,0,0
6,0,0,0,0,0,0,0.0824224,0.0516542,0,0,0,0.0735871,0,0.029565,0.0636369,0,0,0.0195772,0,0,0.0280988,0.0715858,0.0383282,0.0558932,0.0373154,0.135284,0.0855421,0.0613905,0.0715035,0.069766,0.0650338,0.0344591,0.0276139,0.0392221,0.0511375,0.0431375,0.0333298,0.00809905,0.00854785,0.0310121,0,0.039548,0.0592981,0.0342465,0,0,0.0287316,0,0,0.0289251,0.0610375,0.0456365,0.0648643,0.030572,0.14012,0.065249,0.0565836,0.0716957,0.0564813,0.0417405,0.0311092,0.0129783,0.0141618,0.0449498,0.0249538,0.0138342,0.00827674,0.00646512,0.0457084,0.0379845,0,0,0,0
7,0,0,0,0,0,0,0.0825765,0.0516418,0,0,0,0.0737279,0,0.0293187,0.0639163,0,0,0.0194934,0,0,0.0280331,0.0716886,0.0381399,0.05598,0.0374093,0.134861,0.0850482,0.0613393,0.0715021,0.0696796,0.0650568,0.0346467,0.0278114,0.0393362,0.0512454,0.0432018,0.0336214,0.00799927,0.00864639,0.0313667,0,0.0393305,0.0594447,0.0342869,0,0,0.0287216,0,0,0.0291719,0.0611901,0.0455474,0.0644445,0.0305637,0.139512,0.0650947,0.0566306,0.0717412,0.0564209,0.0418741,0.0311689,0.0129569,0.0143262,0.0450401,0.0248446,0.0146585,0.0084571,0.00635548,0.0457281,0.0380348,0,0,0,0
8,0,0,0,0,0,0,0.0827556,0.0516054,0,0,0,0.0738873,0,0.0290447,0.0641726,0,0,0.0195484,0,0,0.0279317,0.0718326,0.037835,0.0560793,0.0374765,0.134426,0.0844509,0.0612858,0.0714541,0.0695885,0.0650746,0.0348443,0.0280022,0.0393564,0.0513789,0.0433254,0.0341376,0.00788443,0.00871014,0.0317024,0,0.0391224,0.0596188,0.0343098,0,0,0.0287165,0,0,0.0293174,0.0613296,0.0454813,0.0640209,0.0305771,0.138882,0.0650118,0.0569158,0.0717788,0.0563079,0.0420118,0.0313004,0.0129098,0.0145347,0.0451722,0.0246343,0.0155306,0.00856289,0.00625494,0.0457101,0.038087,0,0,0,0
