Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73,LASI,,RASI
All Timesteps RMSE,0,0,0,0,0,0,0.078002,0.051594,0,0,0,0.0465864,0,0.0313378,0,0,0.0201157,0,0,0.0276655,0.0729301,0.0358326,0.0614945,0.0286048,0.111472,0.0700122,0.0635126,0.07579,0.0756913,0.0722002,0.0387728,0.0348461,0.0389211,0.0471247,0.0354401,0.0272377,0.0078129,0.0180575,0.0435392,0,0.0367525,0.0307188,0,0,0.0229377,0,0,0.0311376,0.0543263,0.0466065,0.0573616,0.0331488,0.111086,0.0640158,0.0499796,0.0759691,0.0607166,0.0437763,0.0566146,0.0330338,0.0392538,0.0704697,0.0294942,0.0171574,0.00891556,0.0161325,0.0410712,0.0365845,0,0,0,0,0.121097,0,0.0646363
0,0,0,0,0,0,0,0.0673505,0.0528845,0,0,0,0.0328493,0,0.0298518,0,0,0.0232926,0,0,0.0273352,0.0632316,0.0405101,0.0480932,0.0148,0.0842696,0.0620386,0.0663408,0.0865122,0.0877583,0.0728381,0.0408707,0.0394281,0.0362119,0.0411849,0.0486156,0.0193452,0.00597981,0.0177796,0.0449521,0,0.0263257,0.0259061,0,0,0.0209224,0,0,0.0322464,0.0539255,0.0318629,0.0650165,0.0204724,0.091718,0.066977,0.0572005,0.0884128,0.0717785,0.0495445,0.0714565,0.0437793,0.0524145,0.0854969,0.028049,0.0202115,0.0102896,0.0188829,0.0351228,0.0280814,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.067439,0.0528159,0,0,0,0.0329257,0,0.0298208,0,0,0.023435,0,0,0.0272623,0.063245,0.0403623,0.0481622,0.0148051,0.0843492,0.061988,0.0663434,0.0863633,0.0877573,0.0728404,0.040834,0.0393958,0.0361661,0.041167,0.0484769,0.0193911,0.00598481,0.0177831,0.0448472,0,0.0264551,0.025954,0,0,0.0209636,0,0,0.0322234,0.0539205,0.0318962,0.0650015,0.0204518,0.0917304,0.0670603,0.0572534,0.0886173,0.0717439,0.0495885,0.0714118,0.0437518,0.0523971,0.0854555,0.0281696,0.0203439,0.0102505,0.018896,0.0350453,0.0280948,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0674793,0.0527617,0,0,0,0.0329984,0,0.0297494,0,0,0.0234988,0,0,0.027222,0.063258,0.040304,0.0482226,0.0148462,0.0843985,0.061944,0.0663502,0.0863016,0.0877569,0.0728404,0.040818,0.0394064,0.0361369,0.0411411,0.0482932,0.0193787,0.00600494,0.0177343,0.0447731,0,0.0265239,0.0259945,0,0,0.0209938,0,0,0.0321742,0.0539062,0.0319926,0.0649702,0.0204351,0.0917402,0.0671461,0.0573044,0.088686,0.0717159,0.0495566,0.0713984,0.0437691,0.0523612,0.0854374,0.0282579,0.0204412,0.0101643,0.0189633,0.0349543,0.0281206,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.067495,0.0526915,0,0,0,0.0330436,0,0.0296942,0,0,0.0235604,0,0,0.0272038,0.0632472,0.0402586,0.0482504,0.0148823,0.0844391,0.0619052,0.0663726,0.0862511,0.0877505,0.072808,0.0408118,0.0394287,0.0361638,0.0411543,0.0480187,0.0192909,0.00606002,0.0176587,0.0447058,0,0.0265582,0.0260703,0,0,0.0210064,0,0,0.03217,0.0539131,0.0320835,0.0649368,0.0204418,0.0917523,0.0672419,0.0573096,0.0886865,0.0716624,0.0494956,0.0714189,0.0437983,0.0523661,0.0854318,0.0283492,0.0205076,0.0101648,0.0190032,0.0348628,0.0281095,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.067494,0.0526389,0,0,0,0.0331209,0,0.0296589,0,0,0.0235941,0,0,0.0272085,0.0632388,0.0401831,0.0482644,0.014889,0.0844693,0.0618593,0.0664359,0.0861968,0.0877415,0.0727698,0.0408171,0.0394402,0.0361856,0.04115,0.0478181,0.0192069,0.00611134,0.0175311,0.0446614,0,0.0265841,0.0261551,0,0,0.0210269,0,0,0.0322051,0.0539219,0.0321416,0.0648959,0.0204881,0.0917418,0.0673513,0.0573099,0.0887569,0.0716076,0.0494444,0.0714289,0.0438365,0.0523811,0.0854201,0.0284097,0.0205568,0.0102558,0.0189735,0.0347715,0.0280782,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0675143,0.0525872,0,0,0,0.0331784,0,0.0296559,0,0,0.0236137,0,0,0.0271751,0.06325,0.040088,0.0482698,0.0148936,0.0844769,0.0618111,0.0665355,0.0861587,0.0877361,0.0727312,0.0408222,0.0394441,0.036212,0.0411501,0.0476744,0.019151,0.00610317,0.0175027,0.0446337,0,0.0265888,0.0262393,0,0,0.0210251,0,0,0.0321913,0.0539207,0.032157,0.0648593,0.020554,0.0917248,0.0674354,0.0572965,0.0887502,0.0715749,0.049423,0.0714488,0.043872,0.0523862,0.0854255,0.0284329,0.0206227,0.0102573,0.0189741,0.0346733,0.0280611,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0675837,0.0525487,0,0,0,0.0332198,0,0.0296569,0,0,0.0236162,0,0,0.0271398,0.0632665,0.0399505,0.048282,0.0149111,0.0844971,0.0617614,0.0666784,0.0861391,0.0877329,0.0727075,0.0408018,0.0394107,0.0362381,0.0411468,0.0476045,0.0190914,0.0061103,0.0175088,0.0446521,0,0.0265789,0.0262978,0,0,0.0210116,0,0,0.0321499,0.0538984,0.0321471,0.0648165,0.020598,0.0917147,0.067494,0.0572915,0.0886782,0.0715641,0.0494308,0.0714858,0.0439001,0.0524043,0.0854462,0.0284187,0.0206992,0.0102062,0.0190121,0.0345528,0.0280597,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0.067595,0.0525173,0,0,0,0.0332795,0,0.0296549,0,0,0.0236117,0,0,0.0271208,0.0632717,0.0396376,0.0483149,0.0149388,0.0845131,0.0617365,0.0668608,0.0861202,0.0877553,0.0727245,0.0407493,0.0393411,0.036206,0.041081,0.0476573,0.0190521,0.00609061,0.017505,0.0447035,0,0.0265899,0.0263144,0,0,0.0210355,0,0,0.0321959,0.0538737,0.0321553,0.0647617,0.020622,0.0916912,0.0675459,0.0573004,0.0886956,0.0715443,0.0494534,0.0714973,0.043912,0.0524082,0.0854526,0.0283493,0.0207328,0.0102668,0.0189991,0.0344163,0.0280446,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0.0675912,0.052471,0,0,0,0.0332508,0,0.0297064,0,0,0.0236265,0,0,0.0270748,0.0632647,0.0392958,0.0483451,0.0149148,0.0845211,0.0617287,0.0669578,0.0861069,0.0877681,0.0727639,0.0406938,0.0392829,0.0361794,0.0410477,0.0477052,0.0190165,0.00609629,0.0175161,0.0447322,0,0.0265752,0.0263327,0,0,0.0210675,0,0,0.0322772,0.0538577,0.0321196,0.0647237,0.0206108,0.0916708,0.0675939,0.0572613,0.0886876,0.071541,0.0494891,0.0715031,0.0439,0.0524151,0.0854647,0.028307,0.0207545,0.0103169,0.0190115,0.0342494,0.0280231,0,0,0,0,0,0,0
