Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTOE,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,BBL,LTIBP,LWRB,LWRA,LILC,LBHD
All Timesteps RMSE,0,0,0,0,0,0.0293284,0.0412262,0,0,0,0.0359642,0,0.0237931,0,0.019021,0,0,0.0290752,0.0955509,0.0203374,0.0267852,0.0309964,0.0363525,0.075806,0.0941633,0.108212,0.0907506,0.0370545,0.091599,0.093579,0.0418555,0.0142365,0.0356292,0,0.0222124,0.0354684,0,0,0.021778,0,0,0.0344361,0.0787515,0.0297846,0.0199872,0.0230756,0.0462572,0.0413849,0.0657177,0.102548,0.0909936,0.0445842,0.0721756,0.0437511,0.0533271,0.0870954,0.0349832,0.0109356,0.0107476,0.0199141,0.0189788,0.0292362,0,0,0,0,0,0.0449919,0.0190093,0.0165434,0.0252577,0
0,0,0,0,0,0,0.0305739,0.040234,0,0,0,0.0385583,0,0.0231009,0,0.0160155,0,0,0.00152854,0.0972946,0.00923993,0.0203365,0.0227802,0.036202,0.0729357,0.0939921,0.104414,0.0880169,0.0398085,0.0880576,0.0907364,0.0268852,0.0186389,0.028805,0,0.0253406,0.034508,0,0,0.0222477,0,0,0.0330206,0.0701786,0.0223091,0.0290808,0.0296401,0.0493272,0.0394883,0.070807,0.104842,0.0889707,0.0480172,0.0775468,0.0464152,0.0589517,0.0947448,0.0288399,0.0110476,0.0109049,0.0188662,0.0169219,0.029811,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.0273324,0.0410295,0,0,0,0.0365735,0,0.0267942,0,0.017078,0,0,0.000832891,0,0.0166728,0.0262053,0.0242624,0.0377194,0.0672261,0.085606,0.0988513,0.0844016,0.0368823,0.0922622,0.0941599,0.0321899,0.01898,0.0270118,0,0.0259529,0.0330482,0,0,0.0227718,0,0,0.0333642,0.0693072,0.0222356,0.031572,0.0311491,0.0502309,0.0419363,0.071864,0.105314,0.0885774,0.0474023,0.0776936,0.0462771,0.0592504,0.095186,0.0314124,0.0112684,0.0108388,0.0192332,0.0169145,0.0320122,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.0304491,0.0411494,0,0,0,0.0387778,0,0.0229971,0,0.0159424,0,0,0.00163798,0.0973918,0.00987771,0.0206977,0.02164,0.0364184,0.0724015,0.0935454,0.104195,0.0874867,0.0398574,0.0882019,0.0908186,0.0266646,0.0188214,0.0275097,0,0.0264371,0.0343472,0,0,0.0222117,0,0,0.0329605,0.0696033,0.0232858,0.0294783,0.0310486,0.0484316,0.0392918,0.0719058,0.105141,0.0887048,0.0487989,0.0775708,0.0461236,0.0591322,0.0951381,0.0295508,0.0107088,0.0107961,0.0183619,0.018258,0.0291556,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0.0299376,0.0412649,0,0,0,0.0371525,0,0.0257798,0,0.0161432,0,0,0.00154403,0.0993156,0.0138506,0.0221113,0.0209245,0.0365498,0.0710954,0.0910036,0.102408,0.0860045,0.038877,0.0892325,0.0918696,0.0273975,0.0186932,0.0271931,0,0.0266824,0.0341388,0,0,0.0223013,0,0,0.0331183,0.0696929,0.0236369,0.0299434,0.0313029,0.0488983,0.0398827,0.0721808,0.105176,0.0884486,0.0486292,0.077774,0.0462862,0.0594426,0.0953973,0.0300718,0.010712,0.0108607,0.0186399,0.0182931,0.0293896,0,0,0,0,0,0.0419101,0,0,0,0
4,0,0,0,0,0,0.0303466,0.0413325,0,0,0,0.0405127,0,0.0219661,0,0.0161799,0,0,0.00173813,0.0978753,0.0103113,0.0214585,0.0216879,0.0368001,0.0721482,0.0926902,0.103569,0.0871488,0.0395086,0.0888018,0.0908034,0.025183,0.0187645,0.031043,0,0.0264827,0.0341706,0,0,0.0220981,0,0,0.0330647,0.0690829,0.0250883,0.0289583,0.0296686,0.0479255,0.0388795,0.073036,0.106763,0.0891648,0.0481295,0.077247,0.0470611,0.0588209,0.0943008,0.0239432,0.0105537,0.0108441,0.0181835,0.0182753,0.0293576,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0.0298951,0.0415037,0,0,0,0.0388109,0,0.0247179,0,0.0163871,0,0,0.0017369,0.0997381,0.0140987,0.0226183,0.0209428,0.0368319,0.0707251,0.0905556,0.101886,0.0856209,0.0384511,0.0896122,0.0918864,0.0257996,0.0185563,0.0309606,0,0.0264406,0.0339992,0,0,0.0221617,0,0,0.033293,0.0693664,0.02495,0.0291921,0.0294319,0.0484206,0.0396152,0.0731057,0.106608,0.0889893,0.047657,0.0774016,0.0471971,0.05902,0.0944095,0.0241635,0.0105663,0.0108558,0.0183547,0.018519,0.0296092,0,0,0,0,0,0.0421758,0,0,0,0
6,0,0,0,0,0,0.0302253,0.0416495,0,0,0,0.0386812,0,0.024028,0,0.0161361,0,0,0.00201593,0.0993241,0.0138865,0.0224116,0.0199963,0.0362477,0.070718,0.0911374,0.101911,0.0852849,0.038369,0.0896651,0.0918063,0.0256249,0.0182022,0.0281297,0,0.0259632,0.0342985,0,0,0.0220722,0,0,0.0334658,0.0699713,0.0229765,0.0298457,0.030058,0.0487543,0.0399168,0.0724187,0.105271,0.0886886,0.0480494,0.0776789,0.0463388,0.0595121,0.0952159,0.0292037,0.0105841,0.0108371,0.0185998,0.0189498,0.0291557,0,0,0,0,0,0.0425743,0,0,0,0
7,0,0,0,0,0,0.0299746,0.0417127,0,0,0,0.0393407,0,0.0233059,0,0.0162218,0,0,0.00196496,0.0996708,0.0140312,0.022629,0.0202274,0.0364969,0.0704982,0.0909618,0.101607,0.0849774,0.0381169,0.0899176,0.0918122,0.0248033,0.0181952,0.0324941,0,0.025224,0.0341343,0,0,0.0219888,0,0,0.0335848,0.0695888,0.0237219,0.0287343,0.0278628,0.048258,0.0398097,0.0726869,0.106836,0.0894648,0.0469048,0.0772714,0.0475302,0.058879,0.0939607,0.0226971,0.010527,0.0108661,0.018753,0.0188025,0.0294798,0,0,0,0,0,0.0428177,0,0,0,0
8,0,0,0,0,0,0.0301812,0.0417538,0,0,0,0.0386653,0,0.0227117,0,0.0158673,0,0,0.00217164,0.0991148,0.0141138,0.0222641,0.0190519,0.0358727,0.0706352,0.0913667,0.101817,0.0846875,0.0380512,0.0899462,0.091766,0.0247304,0.0179231,0.0288747,0,0.0250819,0.0343915,0,0,0.0219624,0,0,0.0337092,0.0703781,0.0224247,0.0290347,0.0281254,0.048446,0.0402286,0.0717036,0.105115,0.0893167,0.047097,0.0776997,0.0467825,0.0595117,0.0946251,0.0288618,0.0105626,0.0109031,0.0187289,0.019,0.0291236,0,0,0,0,0,0.0430303,0,0,0,0
