Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBP,LTOE,LUPA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,x71,L5HD,LWRB,LTIBI,LWRA,LILC,LBHD
All Timesteps RMSE,0,0,0,0,0,0,0.0360958,0.0401585,0,0,0,0.0444347,0.0188446,0,0.0138589,0,0,0.0264964,0.0797417,0.011329,0.014663,0.01993,0.0253359,0.0337424,0.0465227,0.0642751,0.0493406,0.0214368,0.0173465,0.0383224,0.0309709,0.0143663,0.033873,0,0.0293593,0.039617,0,0,0.0199554,0,0,0.0316631,0.0661392,0.0450145,0.0268981,0.025995,0.0382422,0.035008,0.027635,0.0592097,0.0603826,0.0302149,0.0558964,0.0306726,0.0373157,0.0720157,0.0383662,0.0099992,0.0100205,0.0180128,0.020945,0.0227432,0,0,0,0,0,0.0163862,0.0333952,0.00848012,0.0158356,0
0,0,0,0,0,0,0,0.040133,0.039013,0,0,0,0.0533263,0.0234009,0,0.010828,0,0,0.00473654,0.0830832,0.00838123,0.0130159,0.0183174,0.0231724,0.0282248,0.0391468,0.0560929,0.0426385,0.0180606,0.0132972,0.0385108,0.0204249,0.0152018,0.0418632,0,0.0275366,0.0424822,0,0,0.0208016,0,0,0.0316529,0.0596077,0.037404,0.035483,0.0253871,0.0385345,0.036638,0.034706,0.0610933,0.0567499,0.0348254,0.0625267,0.0330503,0.044589,0.0802523,0.0150894,0.0104491,0.0101372,0.0191837,0.0202384,0.0187983,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0399084,0.0397029,0,0,0,0.0554671,0.0226486,0,0.0108794,0,0,0.00477469,0.0830358,0.00812283,0.0115029,0.0182868,0.0232141,0.0277552,0.0391844,0.0556949,0.0423113,0.0180206,0.0128375,0.0390084,0.0226231,0.0153082,0.0409022,0,0.0280653,0.0424429,0,0,0.0207318,0,0,0.0319418,0.0588023,0.0372304,0.0354288,0.0256856,0.0378966,0.0364036,0.035417,0.0614513,0.0573298,0.0356702,0.0628956,0.0330619,0.0447223,0.0807245,0.0150413,0.00990478,0.0101246,0.0190864,0.0213804,0.018399,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0398875,0.0399341,0,0,0,0.0567363,0.021981,0,0.0109776,0,0,0.00480226,0.0831992,0.00803301,0.0106444,0.0182194,0.0232367,0.0275074,0.0391342,0.0553968,0.0421591,0.0180482,0.0123122,0.0392093,0.023847,0.0153068,0.0403646,0,0.0287965,0.0424359,0,0,0.0205765,0,0,0.032141,0.0582109,0.0371546,0.0355562,0.026526,0.0376442,0.0361726,0.0357449,0.0615255,0.057913,0.0361424,0.0632325,0.0331258,0.0448716,0.0812474,0.0147634,0.0100094,0.0103028,0.0189923,0.0214824,0.0183264,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0399317,0.0400336,0,0,0,0.0570831,0.0215337,0,0.011111,0,0,0.0047928,0.0834348,0.00808239,0.010202,0.0180465,0.0232279,0.0274028,0.039127,0.055241,0.0420702,0.0179998,0.01195,0.0392216,0.0240306,0.0153095,0.0402041,0,0.0294712,0.0424623,0,0,0.0204257,0,0,0.0321947,0.0577434,0.0371574,0.0356728,0.0275871,0.0375598,0.0359681,0.0357716,0.0615617,0.0585014,0.036287,0.0635325,0.0332321,0.0450467,0.081759,0.0142856,0.0101158,0.0104751,0.0188649,0.0213458,0.0183668,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0.0398409,0.0407203,0,0,0,0.0571724,0.0209642,0,0.011532,0,0,0.0233938,0.0835437,0.00823748,0.00966319,0.0175525,0.0230721,0.0272605,0.0392797,0.0551783,0.0420581,0.0176752,0.0119118,0.0391958,0.0238825,0.0155274,0.040581,0,0.0298323,0.0420403,0,0,0.0203897,0,0,0.0322807,0.0573597,0.0369816,0.0358964,0.0283877,0.0380231,0.0358457,0.0356657,0.0617716,0.0590385,0.0361766,0.0637041,0.0331734,0.0451798,0.0820878,0.0135451,0.0101601,0.0103671,0.0188926,0.0217933,0.0183432,0,0,0,0,0,0.0186734,0,0,0,0
5,0,0,0,0,0,0,0.0400281,0.0402021,0,0,0,0.0571986,0.0203863,0,0.012045,0,0,0.00483056,0.083521,0.00845802,0.00914545,0.017437,0.0229365,0.0272314,0.0396028,0.0552559,0.0420285,0.0175092,0.0118787,0.0391225,0.0236423,0.0151296,0.0415469,0,0.0295765,0.0424942,0,0,0.0203489,0,0,0.0322235,0.0571371,0.0363441,0.0358833,0.0288721,0.0376972,0.0358398,0.035081,0.061676,0.0591768,0.0357841,0.0638195,0.0331226,0.0453908,0.0822747,0.0123592,0.010115,0.0102691,0.0189203,0.0214881,0.0183783,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0398184,0.0406826,0,0,0,0.0581375,0.0193362,0,0.0108855,0,0,0.0233086,0.0837115,0.00760964,0.0101923,0.0166402,0.0226006,0.0272405,0.0402531,0.0552736,0.041585,0.0169363,0.0110902,0.0376125,0.0243501,0.0157422,0.0426095,0,0.0289614,0.0421894,0,0,0.0205762,0,0,0.0321398,0.0569515,0.0359842,0.0364672,0.0288764,0.0385367,0.0362426,0.0344291,0.0614064,0.0588067,0.0351369,0.063581,0.032967,0.0453784,0.0820787,0.0115173,0.0099562,0.0101531,0.0189817,0.0219537,0.0182721,0,0,0,0,0,0.0182616,0.0333959,0,0,0
7,0,0,0,0,0,0,0.0408743,0.040206,0,0,0,0.0534264,0.0173451,0,0.0118102,0,0,0.0232478,0.0835332,0.0141295,0.0108595,0.0164126,0.0224571,0.028625,0.0406784,0.0559589,0,0.0204076,0.0152354,0.0396945,0.0178676,0.0151974,0.0419137,0,0.0278907,0.0429855,0,0,0.0209125,0,0,0.0317901,0.0558365,0.0350708,0.0373727,0.0289322,0.0387423,0.0356511,0.0346861,0.0616548,0.0578196,0.0335169,0.0628277,0.0318186,0.0450754,0.0817682,0.0138129,0.0102639,0.0103197,0.0184546,0.0219814,0.0182431,0,0,0,0,0,0.0179415,0.0346686,0,0,0
8,0,0,0,0,0,0,0.0399827,0.0407832,0,0,0,0.0537263,0.0159179,0,0.0115647,0,0,0.0233605,0.0840209,0.0122127,0.00942247,0.0163048,0.0223097,0.0269305,0.0406007,0.0547072,0.0408386,0.0194658,0.0142736,0.0384477,0.0174167,0.0151772,0.042723,0,0.0266844,0.0425785,0,0,0.0207051,0,0,0.031906,0.0565811,0.0340637,0.037705,0.0278177,0.0388936,0.0369326,0.0336933,0.0609325,0.0568713,0.0328668,0.0623681,0.0317487,0.044999,0.0815479,0.0133941,0.00989977,0.0104454,0.018601,0.0228497,0.0179247,0,0,0,0,0,0.017818,0.0336035,0,0,0
