Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x68,x69,x70,x71,RGTR,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0330129,0.0403459,0,0,0,0.0336451,0,0.0248657,0,0,0.0212875,0,0,0.0291607,0.0878635,0.0268041,0.0177574,0.016777,0.0237367,0.0359464,0.0576517,0.081302,0.0866565,0.067226,0.0400305,0.033815,0.0372354,0.0440064,0.0381633,0.00970597,0.00882294,0.0185424,0.0338724,0,0.0291119,0.0351786,0,0,0.0198792,0,0,0.029248,0.0440161,0.0210413,0.0255012,0.0387942,0.0393372,0.0510096,0.0852895,0.074597,0.0387258,0.0626798,0.0357906,0.0429922,0.0764879,0.0381551,0.0124509,0.0221987,0.0222551,0.0239063,0,0,0,0,0.0729307,0.0186053
0,0,0,0,0,0,0,0.0321718,0.0399072,0,0,0,0.0267462,0,0.0290241,0,0,0.0251668,0,0,0.0283861,0.0910823,0.0459844,0.0151544,0.0166718,0.0266649,0.0429904,0.0594903,0.0787481,0.0906885,0.0677726,0.0381972,0.0325306,0.0373954,0.0443635,0.064144,0.0104743,0.00904883,0.0194603,0.0371172,0,0.0231076,0.0339959,0,0,0.0172996,0,0,0.0255985,0.0353542,0.017519,0.0266451,0.0430634,0.0442812,0.0469713,0.0830124,0.0708809,0.0386131,0.0694315,0.0420403,0.0490867,0.0833868,0.0281658,0.0146102,0.0163761,0.0211762,0.0268724,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0330411,0.0406342,0,0,0,0.0300755,0,0.0254792,0,0,0.0236316,0,0,0.0289971,0.0899884,0.0388717,0.015633,0.0166473,0.0256955,0.0413114,0.0606871,0.0803754,0.0916376,0.068465,0.0384313,0.033047,0.0377798,0.0452221,0.065412,0.0107445,0.00900186,0.0188043,0.0360329,0,0.0253196,0.0347845,0,0,0.0173358,0,0,0.0256359,0.0384522,0.0226346,0.0252746,0.0428122,0.043955,0.0520652,0.0880294,0.0733944,0.0393215,0.0657852,0.0391698,0.04591,0.0803707,0.0292718,0.0141829,0.0163226,0.0223961,0.0253682,0,0,0,0,0.0689495,0
2,0,0,0,0,0,0,0.0331876,0.040774,0,0,0,0.0300515,0,0.0251694,0,0,0.0236186,0,0,0.02898,0.0904169,0.0383406,0.0148885,0.0173768,0.0259996,0.0409322,0.060257,0.0799785,0.0913066,0.0681838,0.0390547,0.033705,0.0386006,0.0460014,0.0638995,0.01054,0.00896869,0.0186817,0.0347812,0,0.0257753,0.0348432,0,0,0.0172786,0,0,0.0257163,0.0390214,0.0228016,0.0253744,0.0421242,0.0436213,0.0527917,0.0887528,0.0737046,0.0393084,0.0655389,0.0390943,0.0457023,0.0802698,0.0306358,0.0138046,0.0162888,0.0230164,0.0252625,0,0,0,0,0.0718548,0
3,0,0,0,0,0,0,0.0334066,0.0404426,0,0,0,0.0300127,0,0.0247856,0,0,0.0228472,0,0,0.0287704,0.0916551,0.0377311,0.0164763,0.0181874,0.0249588,0.0401974,0.0595741,0.0792323,0.0906157,0.0677758,0.0395667,0.0342076,0.0392447,0.0466211,0.0618247,0.0101673,0.0089171,0.018501,0.0325482,0,0.027355,0.0341748,0,0,0.0152774,0,0,0,0.0411993,0,0.0243679,0.0421389,0.0451284,0.0551803,0.0905224,0.075224,0.0402444,0.0639349,0.0373419,0.0442182,0.0790875,0.0340226,0.0158407,0.00760275,0.0231806,0.0252492,0,0,0,0,0.0704052,0
4,0,0,0,0,0,0,0.0337168,0.0409947,0,0,0,0.0303426,0,0.0246984,0,0,0.023336,0,0,0.0287896,0.0913719,0.037756,0.0138448,0.0182169,0.0263344,0.0404084,0.0592053,0.0793064,0.0905671,0.0676427,0.0397098,0.0345201,0.0396562,0.0470092,0.0622007,0.0100086,0.00896079,0.0185955,0.0329945,0,0.0264926,0.034935,0,0,0.0168128,0,0,0.025343,0.0393329,0.0223286,0.0252639,0.0408738,0.0431464,0.0536055,0.0891095,0.0743027,0.0398099,0.0652166,0.03902,0.0453273,0.0802679,0.0324243,0.0135754,0.0162453,0.0238692,0.0250306,0,0,0,0,0.0722834,0
5,0,0,0,0,0,0,0.0328179,0.0409679,0,0,0,0.0307716,0,0.0244351,0,0,0.0238965,0,0,0.0287414,0.0919745,0.0377026,0.0121338,0.0191574,0.0279085,0.0412894,0.0576038,0.078586,0.0896121,0.0665979,0.0402099,0.0350965,0.0403053,0.0476847,0.0631915,0.010404,0.00894332,0.0187639,0.0314054,0,0.0256251,0.0341664,0,0,0.0166975,0,0,0.0252498,0.0368536,0.0159323,0.0259043,0.0401203,0.0432702,0.0488045,0.083998,0.072393,0.0396423,0.0684709,0.0417099,0.0483587,0.0830317,0.034738,0.0134757,0.0162506,0.0234871,0.0261632,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0333275,0.0410653,0,0,0,0.0305383,0,0.0245918,0,0,0.0234839,0,0,0.0285029,0.0929054,0.0373056,0.0131089,0.0194546,0.0278356,0.04072,0.0571342,0.0780162,0.0891554,0.0665664,0.0401182,0.034919,0.0403962,0.0477485,0.0615699,0.00996631,0.00890428,0.0186257,0.0301378,0,0.02668,0.0346219,0,0,0.0166076,0,0,0.0251691,0.0378442,0,0.0249185,0.0398007,0.0432976,0.0503399,0.0852049,0.0734363,0.0401551,0.0672313,0.0404857,0.0471735,0.082016,0.0368002,0.013538,0.0161998,0.0237567,0.0254804,0,0,0,0,0,0
7,0,0,0,0,0,0,0.033222,0.0410928,0,0,0,0.0305802,0,0.024774,0,0,0.0235301,0,0,0.0284011,0.0930191,0.0371075,0.0119791,0.019344,0.0285353,0.0409142,0.056664,0.0779125,0.0889094,0.0664228,0.0400492,0.0349096,0.0405263,0.0477999,0.0617761,0.0100104,0.00885446,0.0187591,0.0305221,0,0.0264246,0.0346035,0,0,0.0165164,0,0,0.0251072,0.036521,0.0153277,0.0252874,0.039253,0.0432669,0.0491971,0.0841778,0.0728638,0.0404481,0.0679759,0.0414246,0.0477894,0.0827236,0.0351354,0.0135026,0.0161388,0.0235621,0.0255453,0,0,0,0,0,0
8,0,0,0,0,0,0,0.0345495,0.0414074,0,0,0,0.0300603,0,0.0248225,0,0,0.0227181,0,0,0.0282968,0.0931239,0.0365298,0.0131336,0.0186632,0.0274596,0.0396097,0.0571205,0.0781191,0.0891371,0.0672841,0.0395735,0.0343635,0.0402967,0.0473577,0.0595722,0.00923838,0.00885623,0.0183301,0.0319246,0,0.0276712,0.0356994,0,0,0.0165088,0,0,0.0252445,0.0385261,0.0212495,0.024163,0.0391587,0.0431764,0.0542051,0.0894842,0.0751281,0.0415824,0.0644371,0.0387105,0.0444711,0.0798346,0.0322834,0.0135875,0.0160384,0.0241081,0.0238918,0,0,0,0,0.0696968,0
