Timestep,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,LANK,LEAR,LELB,LFHD,LFIN,LFRM,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTOE,LUPA,LWRA,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LTIBP,LILC,BBL,LBHD,LGTR,L5HD,LWRB,LTIBI
All Timesteps RMSE,0,0,0,0,0,0.0352297,0.0387537,0,0,0,0.0352056,0.0238899,0,0.016654,0,0,0.0282686,0.0215637,0.0190834,0.023043,0.0279963,0.0595046,0.0805555,0.0887749,0.0704732,0.0416705,0.0356065,0.0305188,0.0129867,0.00992866,0.0323059,0,0.0273351,0.0375219,0,0,0.0196657,0,0,0.0330845,0.0753574,0.0399865,0.0213302,0.0250724,0.0389017,0.0393902,0.0535184,0.0879324,0.0769536,0.0388554,0.0656215,0.0386157,0.0462944,0.0797847,0.0412112,0.0103389,0.0107582,0.0170524,0.0193434,0.0231608,0,0,0,0,0.0445549,0.0217919,0,0,0.0896002,0,0.0195978,0.0385757
0,0,0,0,0,0,0.0324368,0.0372745,0,0,0,0.0344642,0.031758,0,0.0176691,0,0,0.0183399,0.0117071,0.0298538,0.0208213,0.0308334,0.0515705,0.0684974,0.0777846,0.0628195,0.0542969,0.047654,0.0129024,0.012594,0.011054,0.0366497,0,0.0245016,0.035928,0,0,0.0202824,0,0,0.0315736,0.0802422,0.035735,0.0257777,0.0241418,0.0466046,0.0421335,0.0469299,0.0825935,0.0774306,0.0359589,0.0666738,0.0382867,0.0478204,0.0819959,0.0250471,0.00839015,0.010401,0.0172868,0.0173469,0.0277376,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0.0322823,0.0376132,0,0,0,0.0331684,0.0323335,0,0.0176687,0,0,0.0183105,0.0123266,0.0296783,0.0199115,0.0309557,0.0518802,0.068515,0.0780828,0.0627348,0.0541784,0.0472976,0.0137588,0.0127276,0.0109938,0.0369888,0,0.0241774,0.0357492,0,0,0.0203079,0,0,0.0315652,0.0791011,0.0348617,0.0264313,0.0239717,0.0464199,0.0425188,0.0477597,0.0830644,0.0776151,0.0362097,0.0672023,0.0388274,0.0485723,0.0829735,0.024225,0.00825094,0.0103631,0.0172901,0.0177435,0.0273434,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0.0329899,0.0377697,0,0,0,0.0350338,0.030146,0,0.0174039,0,0,0.0181883,0.0161147,0.0276145,0.0200532,0.0304477,0.0540268,0.0695019,0.0802478,0.0646502,0.049601,0.0429499,0.0184741,0.0127699,0.0109061,0.0376942,0,0.0237404,0.0360652,0,0,0.0202146,0,0,0.0315447,0.0785,0.0334983,0.0270884,0.0241125,0.0467187,0.0422862,0.0481531,0.0833903,0.0778013,0.0368509,0.0679132,0.0395959,0.0492426,0.0837638,0.0227231,0.00810042,0.0103528,0.017109,0.0180437,0.0266385,0,0,0,0,0.049397,0,0,0,0,0,0,0
3,0,0,0,0,0,0.0332286,0.0378107,0,0,0,0.0345383,0.0302779,0,0.0172679,0,0,0.0181074,0.0159793,0.0274955,0.019555,0.0301468,0.0539079,0.0694997,0.0802921,0.0645709,0.0491678,0.042657,0.0186402,0.0127174,0.0108387,0.0379543,0,0.0234813,0.0361713,0,0,0.0201452,0,0,0.0315533,0.0776379,0.0321571,0.0274772,0.0243638,0.0469235,0.0426134,0.0486504,0.0839508,0.0777805,0.0373315,0.0686672,0.0403147,0.0499475,0.084298,0.0218194,0.00817767,0.0104229,0.0170656,0.0180891,0.0262326,0,0,0,0,0.0491104,0,0,0,0,0,0,0
4,0,0,0,0,0,0.0330134,0.0377782,0,0,0,0.0316051,0.0326684,0,0.0171723,0,0,0.0180798,0.0118984,0.0289081,0.0183462,0.0298265,0.0516575,0.0685679,0.0780313,0.0621979,0.0529819,0.0461995,0.0147116,0.0125411,0.0107935,0.038074,0,0.0232752,0.0361487,0,0,0.020076,0,0,0.0316311,0.0766821,0.0309494,0.027759,0.0246663,0.0474739,0.0435199,0.0491919,0.0846321,0.0777547,0.0376619,0.0694758,0.0410654,0.0507273,0.0850237,0.0212726,0.00844746,0.0105407,0.0173409,0.0180016,0.0260304,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0.0354246,0.0388931,0,0,0,0.027921,0.0317665,0,0.0149725,0,0,0.0174936,0.019147,0.0241945,0.0315436,0.0242523,0.0554176,0.0714521,0.0852649,0.0684371,0.0422622,0.0360527,0.0225826,0.0133756,0.0104801,0.0427132,0,0.0211551,0.0378503,0,0,0.019579,0,0,0.0314549,0.0787876,0.0283597,0.0300153,0.0255803,0.0575858,0.0402295,0.047316,0.0829913,0.0758356,0.0371194,0.0721066,0.044405,0.0528631,0.0869408,0.0162175,0.00845691,0.010454,0.016668,0.0191653,0.0256479,0,0,0,0,0.043852,0.0866998,0,0,0,0,0,0
6,0,0,0,0,0,0.0339795,0.0377757,0,0,0,0.0325528,0.0310916,0,0.0167442,0,0,0.0180624,0.0155576,0.0270135,0.0181846,0.0290317,0.0537616,0.0692277,0.0804321,0.0642667,0.0476707,0.041343,0.0196249,0.0125129,0.0107767,0.0379644,0,0.0230877,0.0366984,0,0,0.0200732,0,0,0.0317766,0.0750634,0.0283353,0.0289299,0.0256277,0.0475973,0.0434566,0.0499931,0.085505,0.077861,0.0388109,0.0710833,0.0425915,0.0521913,0.0868268,0.0198289,0.00880127,0.0104193,0.017462,0.0182212,0.0248669,0,0,0,0,0.0480476,0,0,0,0,0,0,0
7,0,0,0,0,0,0.0340805,0.0377431,0,0,0,0.0328044,0.0311303,0,0.0167878,0,0,0.0181471,0.0154747,0.0269009,0.0177903,0.0293206,0.0539493,0.06914,0.080493,0.0645693,0.0474402,0.0411513,0.0194065,0.0125721,0.0108414,0.0371733,0,0.0234468,0.0367246,0,0,0.0202367,0,0,0.0318076,0.0737916,0.0274292,0.0295743,0.0262957,0.0468317,0.0435343,0.0510074,0.0861506,0.0778459,0.0391268,0.0716393,0.0430325,0.0527159,0.0875635,0.0199075,0.00908936,0.0104488,0.0174403,0.0182969,0.024645,0,0,0,0,0.0478714,0,0,0,0,0,0,0
8,0,0,0,0,0,0.0342998,0.0378086,0,0,0,0.0324721,0.0311379,0,0.0165546,0,0,0.0181602,0.0151281,0.0265375,0.0175623,0.0288627,0.0537134,0.0690491,0.0805267,0.0644298,0.0470817,0.0408717,0.0195621,0.0126096,0.0108352,0.0373094,0,0.0235725,0.0369027,0,0,0.0201223,0,0,0.0319545,0.0732695,0.0264672,0.0300542,0.0268024,0.0473181,0.0437661,0.0517472,0.0863416,0.0777148,0.0398045,0.0722645,0.0436348,0.0532808,0.0883243,0.0188429,0.00934075,0.0104471,0.0175065,0.0184809,0.0243467,0,0,0,0,0.0476407,0,0,0,0,0,0,0
