Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LILC
All Timesteps RMSE,0,0,0,0,0,0,0.0283694,0.0448111,0,0,0,0.0397397,0,0.0238857,0,0,0.0159799,0,0,0.0281059,0.104652,0.0222765,0.023899,0.0502423,0.0289304,0.056691,0.0756158,0.0873288,0.0734852,0.041013,0.0345276,0.0380132,0.044256,0.0366345,0.0153979,0.00951801,0.0143744,0.0294747,0,0.0257878,0.0320264,0,0,0.0168537,0,0,0.0349975,0.0799083,0.0356412,0.0208805,0.028689,0.0536904,0.0271872,0.0586055,0.0956556,0.0853465,0.0417407,0.0670887,0.0405847,0.0476669,0.0810715,0.0408433,0.0135912,0.0118943,0.0141277,0.0232761,0.0364543,0,0,0,0,0.0419064
0,0,0,0,0,0,0,0.0299351,0.0426882,0,0,0,0.0346135,0,0.0181918,0,0,0.0166497,0,0,0.0276144,0.118472,0.0279009,0.032488,0.0623374,0.0234935,0.0523867,0.071694,0.0854956,0.0700152,0.0452891,0.0386501,0.0463213,0.05515,0.0600171,0.0177066,0.00989452,0.0128271,0.0278647,0,0.0259497,0.0349285,0,0,0.0174662,0,0,0.0369135,0.0761906,0.03139,0.0243775,0.0310222,0.0605299,0.0311524,0.0605895,0.0994701,0.0852248,0.0403182,0.0692088,0.0443664,0.0499826,0.0842832,0.0412949,0.0131342,0.0115592,0.0147947,0.0227668,0.0382774,0,0,0,0,0
1,0,0,0,0,0,0,0.0308789,0.0427829,0,0,0,0.034218,0,0.0191107,0,0,0.012555,0,0,0.0246553,0.118782,0.0263736,0.0324957,0.0620669,0.0230751,0.0515417,0.0708221,0.0849268,0.0695466,0.045436,0.0390244,0.0468005,0.0548582,0.0592117,0.0186763,0,0.0158001,0.02795,0,0.0259018,0.0349213,0,0,0.0176298,0,0,0.0367434,0.0754596,0.0311426,0.0236756,0.030353,0.059536,0.0304794,0.0610478,0.0996534,0.0860369,0.0410144,0.0690366,0.0437224,0.0498295,0.0841257,0.0406412,0.0131534,0.011576,0.0146279,0.0228966,0.0377406,0,0,0,0,0
2,0,0,0,0,0,0,0.0311389,0.0429679,0,0,0,0.0347953,0,0.0186841,0,0,0.0166049,0,0,0.0276312,0.118802,0.0262589,0.0324976,0.062012,0.0244994,0.0507238,0.0706139,0.0845299,0.0690044,0.0450123,0.0386232,0.0463233,0.0542103,0.0575215,0.0176145,0.00986985,0.0125282,0.0281421,0,0.0257648,0.0349534,0,0,0.0177406,0,0,0.0364539,0.0754437,0.0305575,0.0226628,0.0299485,0.0586152,0.0296519,0.0612704,0.0996491,0.0866158,0.0416664,0.0691322,0.0433936,0.0499488,0.0841862,0.0394977,0.0136248,0.0116458,0.0144141,0.0229268,0.0374998,0,0,0,0,0
3,0,0,0,0,0,0,0.0315776,0.0430361,0,0,0,0.0350859,0,0.0186512,0,0,0.0164432,0,0,0.0276765,0.118592,0.0250303,0.0322093,0.0621392,0.0247628,0.0500618,0.0702299,0.0838954,0.0684327,0.0448892,0.0385579,0.0459941,0.053739,0.0550968,0.0176518,0.00985106,0.0126688,0.028231,0,0.0256781,0.0349401,0,0,0.0179517,0,0,0.036224,0.0753029,0.0301935,0.0219514,0.0295318,0.0581222,0.0291476,0.0615138,0.0997527,0.0873243,0.0423731,0.069087,0.0429658,0.0499007,0.0841152,0.0385095,0.0137054,0.0115742,0.014182,0.0229178,0.0373579,0,0,0,0,0
4,0,0,0,0,0,0,0.0319127,0.04307,0,0,0,0.0353422,0,0.0184839,0,0,0.016379,0,0,0.0276587,0.118133,0.0236704,0.0315139,0.0623748,0.0249509,0.049664,0.0700338,0.0835779,0.0680635,0.0448689,0.0384637,0.0457318,0.0531361,0.0520071,0.0176404,0.0098376,0.012756,0.0282351,0,0.0257097,0.0349444,0,0,0.0180836,0,0,0.0359813,0.0754048,0.0300301,0.0210845,0.029265,0.057658,0.0287409,0.0615187,0.0997051,0.0878718,0.0428561,0.0689915,0.0426218,0.0497957,0.084072,0.0377961,0.0136895,0.0115866,0.0139974,0.0229063,0.0372858,0,0,0,0,0
5,0,0,0,0,0,0,0.0320911,0.0431054,0,0,0,0.0359668,0,0.0182513,0,0,0.0163054,0,0,0.0275856,0.117532,0.0223241,0.0308181,0.0626851,0.0250324,0.0494361,0.0701776,0.0834645,0.0679524,0.0449605,0.0384739,0.0456371,0.0527963,0.0485902,0.0176058,0.00967877,0.0128461,0.0281199,0,0.0258397,0.0349612,0,0,0.0181454,0,0,0.0358013,0.0757062,0.0302845,0.0201529,0.0290991,0.0572261,0.0284732,0.0613868,0.0995152,0.0881229,0.0430722,0.0687122,0.0422669,0.0495619,0.083974,0.0375219,0.0137773,0.0115088,0.0139554,0.0229243,0.037243,0,0,0,0,0
6,0,0,0,0,0,0,0.0321569,0.0431078,0,0,0,0.0367198,0,0.0180143,0,0,0.0162885,0,0,0.0275034,0.116861,0.0211293,0.0300086,0.0630328,0.0250796,0.0494192,0.0703115,0.0835312,0.0681937,0.0451592,0.038781,0.0456736,0.052578,0.0452305,0.0175576,0.00954955,0.0129114,0.0279158,0,0.0259725,0.0350099,0,0,0.0181197,0,0,0.0356169,0.0761682,0.0309005,0.0191167,0.0289499,0.0567939,0.0282758,0.0610961,0.0991852,0.0880267,0.0430039,0.068374,0.0419344,0.0492235,0.0836049,0.0377357,0.0139104,0.0115327,0.0138914,0.0229253,0.0371863,0,0,0,0,0
7,0,0,0,0,0,0,0.0321481,0.0430809,0,0,0,0.0377078,0,0.0175826,0,0,0.0163148,0,0,0.0273921,0.116154,0.0199545,0.0293871,0.0633072,0.0250916,0.0494578,0.070502,0.0836275,0.0685662,0.0454024,0.0391625,0.045819,0.0525451,0.0423268,0.0175575,0.00951991,0.012925,0.0275344,0,0.0261272,0.0350449,0,0,0.0179763,0,0,0.0354028,0.0767307,0.0315129,0.0181205,0.0288564,0.0563818,0.028155,0.0607397,0.0987967,0.0877725,0.0428391,0.0679707,0.0416222,0.0487953,0.0829146,0.0383841,0.0140301,0.0117084,0.013819,0.0229072,0.0370793,0,0,0,0,0
8,0,0,0,0,0,0,0.0321144,0.0430745,0,0,0,0.0390205,0,0.0172675,0,0,0.0163825,0,0,0.0273199,0.11548,0.0187775,0.0288049,0.0635238,0.0251511,0.0495072,0.0707904,0.0836774,0.0689739,0.0455682,0.039496,0.0460333,0.05257,0.0398129,0.017587,0.00955133,0.0128907,0.0271619,0,0.026364,0.0350962,0,0,0.0178393,0,0,0.0352452,0.0773098,0.0319812,0.0172036,0.0289086,0.0559951,0.0280631,0.0604595,0.098484,0.0875377,0.042666,0.0675547,0.0413362,0.0482847,0.0821885,0.039374,0.0141502,0.0117987,0.013781,0.022898,0.0369172,0,0,0,0,0
