Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,x73
All Timesteps RMSE,0,0,0,0,0,0,0.0358508,0.0439909,0,0,0,0.106136,0,0.0600536,0,0,0.0145777,0,0,0.0272757,0.099398,0.281559,0.0214691,0.0257786,0.033646,0.0169244,0.067007,0.0824901,0.100062,0.0807889,0.0428299,0.0407912,0.0612779,0.0735157,0.209632,0.0191207,0.00971572,0.0154696,0.0369814,0,0.0234333,0.03957,0,0,0.0159904,0,0,0.0373232,0.078845,0.0334904,0.0183531,0.0214655,0.0514281,0.0331365,0.0652892,0.100499,0.0879447,0.0455539,0.0674567,0.0409173,0.0481577,0.0818462,0.0276953,0.0113295,0.0111136,0.0168166,0.0250281,0.0197751,0,0,0,0
0,0,0,0,0,0,0,0.0282911,0.0416534,0,0,0,0.0784642,0,0.0307146,0,0,0.0146374,0,0,0.0268835,0.094685,0.286354,0.0332633,0.0264135,0.0345647,0.0188325,0.0732487,0.090788,0.103526,0.081873,0.0395182,0.0331997,0.0406875,0.0476642,0.262774,0.0169706,0.00927523,0.0159086,0.0467112,0,0.0198836,0.0365284,0,0,0.0200467,0,0,0.0370627,0.0722299,0.0200198,0.0299163,0.0218668,0.0602985,0.0432946,0.0667264,0.102893,0.0890092,0.0461204,0.0726162,0.0458056,0.0533545,0.0878385,0.0123678,0.0106699,0.0117018,0.0195224,0.0213849,0.0278377,0,0,0,0
1,0,0,0,0,0,0,0.0293226,0.0418592,0,0,0,0.0755444,0,0.0300775,0,0,0.0146475,0,0,0.026784,0.0946395,0.287959,0.032041,0.0271861,0.0344708,0.0188546,0.0723825,0.0895233,0.102978,0.081126,0.0404662,0.0338959,0.0422741,0.0493195,0.262623,0.0170856,0.00927837,0.0158286,0.0442499,0,0.0205704,0.0366424,0,0,0.0199086,0,0,0.0369748,0.0722938,0.0210697,0.0293323,0.0218349,0.0598191,0.0427595,0.0664712,0.102609,0.0886439,0.0456503,0.072074,0.0454927,0.0530237,0.0875225,0.0143271,0.0105785,0.0116806,0.0193989,0.0214618,0.0265533,0,0,0,0
2,0,0,0,0,0,0,0.0301902,0.0419064,0,0,0,0.0735345,0,0.0293088,0,0,0.014664,0,0,0.0267143,0.0947344,0.28922,0.0311399,0.028361,0.034669,0.0187471,0.0715058,0.0885713,0.102656,0.0804597,0.0417128,0.0350133,0.0434673,0.0510214,0.262439,0.0172158,0.00932716,0.0158759,0.042221,0,0.0211749,0.0367028,0,0,0.0196894,0,0,0.0369842,0.0728099,0.0224605,0.0284347,0.0216217,0.0591941,0.042235,0.0659333,0.102244,0.0880598,0.0451618,0.071351,0.0450856,0.0525458,0.0870278,0.0165802,0.0104089,0.0116479,0.0193613,0.0215962,0.0257421,0,0,0,0
3,0,0,0,0,0,0,0.0307819,0.0418934,0,0,0,0.0723344,0,0.0287673,0,0,0.0146479,0,0,0.0266653,0.0948777,0.29044,0.0303261,0.0293834,0.0349054,0.0185488,0.0707436,0.0880504,0.102104,0.079824,0.0431465,0.0363763,0.0445415,0.0527022,0.262011,0.0173269,0.0093211,0.0159273,0.0405447,0,0.0217834,0.0368479,0,0,0.0194472,0,0,0.0370141,0.0734474,0.0241017,0.0273599,0.0217605,0.0583438,0.0417521,0.0657098,0.102059,0.0874686,0.0448705,0.0709216,0.044551,0.0519121,0.0863523,0.0189224,0.0102855,0.0116509,0.0192646,0.0217909,0.0252483,0,0,0,0
4,0,0,0,0,0,0,0.0310912,0.0418599,0,0,0,0.0715403,0,0.0285345,0,0,0.0146637,0,0,0.0266348,0.0951281,0.291467,0.0296519,0.0301125,0.0351553,0.0182874,0.0700485,0.0874509,0.1015,0.0792892,0.0443809,0.0376644,0.0457336,0.0542656,0.261463,0.0174478,0.00930255,0.0159036,0.0390381,0,0.0223279,0.0369742,0,0,0.0191906,0,0,0.0370404,0.0740537,0.0255867,0.0262061,0.0224297,0.0573563,0.041211,0.0657526,0.102102,0.087123,0.0449006,0.0703922,0.0439854,0.0512878,0.0857432,0.0211635,0.0102759,0.0116894,0.0190898,0.0220405,0.0249502,0,0,0,0
5,0,0,0,0,0,0,0.0312937,0.0419037,0,0,0,0.0708995,0,0.0286478,0,0,0.0146816,0,0,0.0266238,0.0954694,0.292457,0.029121,0.0309311,0.0354527,0.0180947,0.0694088,0.0867427,0.100991,0.0788601,0.0452699,0.038604,0.0468319,0.0555866,0.260894,0.0175882,0.00931756,0.0158359,0.0376404,0,0.0227003,0.0371223,0,0,0.0189268,0,0,0.0371427,0.0745383,0.0265811,0.0250401,0.023085,0.0563256,0.040717,0.0659474,0.102367,0.0871638,0.0452863,0.0698819,0.043554,0.0508247,0.0853383,0.0230862,0.0102514,0.011626,0.0189936,0.0223246,0.0246804,0,0,0,0
6,0,0,0,0,0,0,0.0315556,0.0419979,0,0,0,0.0701388,0,0.0291789,0,0,0.0146894,0,0,0.0266243,0.0958943,0.293352,0.0287366,0.0315899,0.0358379,0.0180078,0.0687801,0.0860985,0.100469,0.0785529,0.0457126,0.0392174,0.0476848,0.0566674,0.260293,0.0177231,0.00935324,0.0157603,0.0363508,0,0.0230043,0.0371883,0,0,0.0187026,0,0,0.0372371,0.074855,0.0269651,0.0239382,0.0233052,0.0554271,0.040304,0.0662162,0.102747,0.0875806,0.0459106,0.0695731,0.0433839,0.0504317,0.0850472,0.0244178,0.0101531,0.0115697,0.0189166,0.0224264,0.024356,0,0,0,0
7,0,0,0,0,0,0,0.031899,0.0420936,0,0,0,0.0688389,0,0.0300921,0,0,0.0146857,0,0,0.0266917,0.096367,0.29417,0.0283783,0.0320312,0.0362885,0.0180285,0.0681344,0.0854084,0.0998337,0.0782311,0.0457487,0.0394584,0.0482478,0.0575448,0.259578,0.0177914,0.00940731,0.0156981,0.035342,0,0.0233599,0.0371737,0,0,0.0185389,0,0,0.0372987,0.0750057,0.0268381,0.022893,0.0231589,0.0547573,0.0399403,0.0665365,0.103109,0.0882777,0.0465546,0.0693838,0.0434207,0.0500064,0.0847785,0.0251127,0.0100633,0.0115234,0.0188832,0.0224598,0.0239617,0,0,0,0
8,0,0,0,0,0,0,0.0322,0.042176,0,0,0,0.0670926,0,0.0313691,0,0,0.014685,0,0,0.0268235,0.0967421,0.295055,0.0279386,0.0324203,0.0367989,0.0181322,0.0674166,0.0847206,0.0990973,0.0777617,0.0456962,0.0395252,0.0488593,0.0582801,0.258546,0.0177241,0.00947759,0.0156268,0.0346599,0,0.0236003,0.0370964,0,0,0.0184458,0,0,0.0373179,0.0750945,0.0264767,0.0218643,0.0228468,0.0542596,0.0396196,0.0668297,0.103383,0.089071,0.0471106,0.0691908,0.0434399,0.0495706,0.0845861,0.0253551,0.0100011,0.0115236,0.0188592,0.0224489,0.0235482,0,0,0,0
