Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x69,x70,x71,x72,LANK,LTOE
All Timesteps RMSE,0,0,0,0,0,0,0.0330311,0.0404081,0,0,0,0.109929,0,0,0,0.0185785,0,0,0.0288983,0.100039,0.271399,0.016241,0.029055,0.0268733,0.0361491,0.0729299,0.0874216,0.106232,0.0883708,0.0413895,0.0401137,0.0620093,0.0712092,0.0134594,0.00909557,0.0174766,0.0393198,0,0.0213962,0.0362256,0,0,0.0183716,0,0,0.0339821,0.0768723,0.032209,0.0194155,0.0216954,0.0413366,0.0371164,0.0641588,0.100625,0.0890496,0.0443382,0.0698473,0.0422125,0.0505139,0.084166,0.0266545,0.0104251,0.00996512,0.0194467,0.0208949,0.0233207,0,0,0,0,0.0594474,0.209008
0,0,0,0,0,0,0,0.0340088,0.0405351,0,0,0,0.105804,0,0,0,0.0192586,0,0,0.0309012,0.0883121,0.207063,0.0126422,0.0119407,0.0232654,0.0393708,0.0753177,0.0963999,0.107675,0.088575,0.0490441,0.04966,0.0837016,0.0795801,0.0163269,0.00917442,0.0168443,0.0409337,0,0.0175857,0.0348537,0,0,0.0200874,0,0,0.0340068,0.0707294,0.029059,0.0201304,0.0219117,0.0447022,0.0373695,0.065462,0.104288,0.0890129,0.0437622,0.0732397,0.0448471,0.0544333,0.0877206,0.0199173,0.00945378,0.00913617,0.0203488,0.0207281,0.0253097,0,0,0,0,0,0
1,0,0,0,0,0,0,0.0339793,0.0413575,0,0,0,0.107046,0,0,0,0.0191234,0,0,0.0309073,0.0881749,0.206768,0.0123724,0.0124253,0.0229387,0.0390804,0.0754114,0.0967189,0.107462,0.0884601,0.0491048,0.049708,0.0838115,0.0795129,0.0163667,0.00917784,0.0167611,0.0413192,0,0.0176321,0.0348333,0,0,0.020461,0,0,0.0339936,0.0698689,0.0284259,0.0206514,0.0211468,0.0444374,0.0373766,0.0662695,0.104623,0.0891461,0.0441267,0.0736135,0.0449375,0.0548818,0.0883209,0.0189256,0.0091636,0.00915523,0.0200709,0.0216785,0.0247587,0,0,0,0,0,0
2,0,0,0,0,0,0,0.0340743,0.0416745,0,0,0,0.102952,0,0,0,0.0188585,0,0,0.0308226,0.0877699,0.206131,0.0124987,0.0128102,0.0230504,0.0384437,0.075799,0.098027,0.107326,0.0887641,0.0486304,0.0488542,0.0831245,0.0794597,0.0161016,0.00917785,0.0166065,0.0413929,0,0.0178293,0.0350287,0,0,0.0208609,0,0,0.0339466,0.0693101,0.0273101,0.0213296,0.0207264,0.0447032,0.0375825,0.0668339,0.104556,0.0892542,0.0445301,0.0741918,0.0452579,0.0555211,0.0892042,0.017529,0.0089516,0.0094055,0.0199497,0.0217567,0.0243487,0,0,0,0,0,0
3,0,0,0,0,0,0,0.0341406,0.0418529,0,0,0,0.0878638,0,0,0,0.0186159,0,0,0.0306616,0.0882301,0.209919,0.0132243,0.0134671,0.0229328,0.0378588,0.0755495,0.0978925,0.106873,0.0888705,0.0480123,0.0476111,0.0813783,0.0787113,0.0158576,0.00924658,0.0166601,0.0401018,0,0.0190751,0.0352549,0,0,0.0210849,0,0,0.0340266,0.0686093,0.0262968,0.022466,0.0210328,0.0447479,0.0379829,0.0674448,0.104138,0.0892337,0.0451996,0.0747533,0.0454297,0.0562043,0.0901558,0.016952,0.00890048,0.00953677,0.0198981,0.0220133,0.023985,0,0,0,0,0,0
4,0,0,0,0,0,0,0.034851,0.041881,0,0,0,0.0771064,0,0,0,0.0180523,0,0,0.0303602,0.0886405,0.21203,0.0143338,0.0140133,0.0225504,0.0366404,0.0753454,0.0975403,0.10649,0.0888461,0.0480182,0.0470265,0.0802908,0.0780382,0.0153757,0.00931795,0.0164037,0.0323729,0,0.0236466,0.0359825,0,0,0.0210799,0,0,0.033935,0.0681946,0.0254246,0.0245445,0.0295275,0.0454667,0.0379547,0.0688601,0.101119,0.0866902,0.0461604,0.0758821,0.0445926,0.0575063,0.0925135,0.0244935,0.00890688,0.00973741,0.0196372,0.022226,0.0232073,0,0,0,0,0,0
5,0,0,0,0,0,0,0.0342469,0.0418973,0,0,0,0.0679305,0,0,0,0.018125,0,0,0.0303822,0.0892634,0.213089,0.0141871,0.0146991,0.0226329,0.0372057,0.0746618,0.096991,0.105627,0.0882013,0.0480038,0.046396,0.0798566,0.0776187,0.0156678,0.00930219,0.0164656,0.0412784,0,0.0192738,0.0356878,0,0,0.0214716,0,0,0.0338375,0.0679764,0.0249391,0.0227881,0.0215496,0.0444265,0.0381353,0.0684061,0.104315,0.0894776,0.0460791,0.0757057,0.0460138,0.0571458,0.0913227,0.0149863,0.00892476,0.0097931,0.0195716,0.0221549,0.0237253,0,0,0,0,0,0
6,0,0,0,0,0,0,0.0347892,0.0420183,0,0,0,0.0586602,0,0,0,0.0175015,0,0,0.0299777,0.0896849,0.212847,0.0145848,0.0155796,0.0223472,0.0361589,0.074281,0.0965337,0.105131,0.0879813,0.0478771,0.0459345,0.0795423,0.0775742,0.0151152,0.00926161,0.0161264,0.032722,0,0.0242912,0.0363091,0,0,0.0227793,0,0,0.0331684,0.0679766,0.0255061,0.0240593,0.030955,0.0456547,0.0376864,0.069753,0.101466,0.0866224,0.0465192,0.0765038,0.0450119,0.0581001,0.0935321,0.0240558,0.00861812,0.00951626,0.0191579,0.0218736,0.0231991,0,0,0,0,0,0
7,0,0,0,0,0,0,0.0350318,0.0420277,0,0,0,0.0636248,0,0,0,0.0174403,0,0,0.029842,0.0896819,0.21384,0.0158146,0.0151066,0.0218413,0.0363087,0.0742961,0.0959787,0.105686,0.0882983,0.0476425,0.0462677,0.079625,0.0776779,0.015178,0.00935489,0.0159333,0.0305856,0,0.0262764,0.0363186,0,0,0.0203687,0,0,0.0336646,0.0679891,0.0262823,0.0246009,0.0344758,0.0444052,0.0378196,0.0700359,0.100891,0.0865708,0.0478146,0.0763607,0.0444276,0.0579056,0.0937456,0.0245326,0.00875898,0.00947917,0.0198417,0.0218294,0.0230785,0,0,0,0,0,0
8,0,0,0,0,0,0,0.0345794,0.0420505,0,0,0,0.0560476,0,0,0,0.0175651,0,0,0.0299113,0.0904404,0.213359,0.0157581,0.0154561,0.0217229,0.0369095,0.0735034,0.0952271,0.105313,0.0874172,0.047921,0.0461423,0.0795336,0.0779834,0.0153528,0.00934647,0.0160592,0.0402635,0,0.0216642,0.0359473,0,0,0.0204087,0,0,0.0335073,0.067532,0.0246925,0.0233519,0.0237617,0.0436494,0.0378369,0.0693992,0.104016,0.0897242,0.0479564,0.0763955,0.0461324,0.0580476,0.09262,0.0144559,0.00858806,0.00932734,0.0197628,0.0213998,0.023621,0,0,0,0,0,0
9,0,0,0,0,0,0,0.0349821,0.0419896,0,0,0,0.0515665,0,0,0,0.0172904,0,0,0.0296794,0.0906629,0.212251,0.0169511,0.0154637,0.0212657,0.0361074,0.0731434,0.0948036,0.104968,0.087139,0.0480756,0.045875,0.0796477,0.0777372,0.0149818,0.00934029,0.0158978,0.0308302,0,0.0268659,0.0362924,0,0,0.0201724,0,0,0.0334015,0.0682225,0.0263297,0.0241901,0.0357063,0.0442035,0.0377724,0.0703359,0.100571,0.0869255,0.0485046,0.0766531,0.0444413,0.0581653,0.0941127,0.0237877,0.00849497,0.00941305,0.0197141,0.0213612,0.023317,0,0,0,0,0,0
10,0,0,0,0,0,0,0.0345948,0.0419241,0,0,0,0.0502647,0,0,0,0.0175324,0,0,0.0297012,0.0911815,0.210308,0.0166734,0.0168466,0.0211294,0.036635,0.0725556,0.0941732,0.104228,0.0863568,0.0482909,0.045737,0.0797358,0.0776438,0.0151766,0.0094086,0.0160759,0.0412719,0,0.0215687,0.0360257,0,0,0.0202312,0,0,0.0334876,0.0675876,0.0243973,0.0230045,0.0240756,0.0435738,0.0376918,0.069527,0.103899,0.0902179,0.048453,0.076546,0.0459945,0.0582366,0.0928875,0.0133343,0.0084467,0.00933115,0.019516,0.0214397,0.0237592,0,0,0,0,0,0
11,0,0,0,0,0,0,0.0344068,0.0423702,0,0,0,0.049362,0,0,0,0.0166478,0,0,0.0304229,0.0916304,0.210002,0.0171438,0.0170829,0.0208766,0.0354418,0.0723325,0.0931953,0.104693,0.0868601,0.0472312,0.045973,0.0793329,0.0766084,0.0152474,0.00919672,0.0146486,0.0315688,0,0.0265629,0.0360407,0,0,0.0195567,0,0,0.0339467,0.0687121,0.0252806,0.0239927,0.0357834,0.0450109,0.0379588,0.0697852,0.100166,0.0869707,0.0483545,0.0770757,0.0445455,0.0585514,0.094589,0.0220133,0.00812697,0.0095352,0.0193952,0.0217392,0.0234013,0,0,0,0,0,0
12,0,0,0,0,0,0,0.0343759,0.0426562,0,0,0,0.0523121,0,0,0,0.0168085,0,0,0.0300788,0.0920067,0.206593,0.0176601,0.0173145,0.0203008,0.0352848,0.0724292,0.0929464,0.104826,0.0868205,0.0467878,0.0464021,0.0800163,0.0766573,0.0150465,0.00922549,0.014795,0.0327802,0,0.0259158,0.0361549,0,0,0.0193288,0,0,0.0340361,0.0688196,0.0243226,0.0239915,0.0342547,0.045265,0.0382435,0.0694507,0.10011,0.0869828,0.0478107,0.0769968,0.0446282,0.0586339,0.0945354,0.0210572,0.00827206,0.00963923,0.0196593,0.0217459,0.0233487,0,0,0,0,0,0
13,0,0,0,0,0,0,0.0406207,0.0413518,0,0,0,0.132612,0,0,0,0.0175534,0,0,0.0273663,0.110079,0.269028,0.0129048,0.0124672,0.0204261,0.0335307,0.0726106,0.08366,0.107424,0.0894053,0.0269125,0.0313553,0.0570775,0.0640799,0.0134536,0.00962181,0.01677,0.0337841,0,0.0266505,0.0404511,0,0,0.0184242,0,0,0.0325265,0.0677601,0.0238435,0.023138,0.0342707,0.0449923,0.0339126,0.0722586,0.101666,0.0877681,0.0497557,0.0749894,0.0421755,0.0567488,0.0930421,0.0200773,0.00952438,0.0101677,0.0195322,0.0216184,0.0210262,0,0,0,0,0.0683819,0.195844
14,0,0,0,0,0,0,0.034324,0.04233,0,0,0,0.0580547,0,0,0,0.018206,0,0,0.0280803,0.0900276,0.207168,0.019489,0.02351,0.0201002,0.0346615,0.0781181,0.0999583,0.108905,0.0926668,0.0397453,0.0340392,0.068121,0.0678199,0.0134225,0.00936386,0.0169155,0.0352026,0,0.0244217,0.0365953,0,0,0.0189028,0,0,0.033778,0.0691246,0.0198195,0.0250283,0.0324168,0.0471602,0.0386929,0.0689942,0.0999216,0.0861554,0.0462856,0.0766242,0.0442358,0.0586791,0.0948466,0.0179574,0.00896494,0.0106105,0.020479,0.0210249,0.0237874,0,0,0,0,0.0879368,0
