Timestep,BBL,BBR,BFBL,BFBR,BFTL,BFTR,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,STRN,T10,x69,x70,x71,x72,RWRB
All Timesteps RMSE,0,0,0,0,0,0,0.0242427,0.0474215,0,0,0,0.0339749,0,0.0227668,0,0,0.0695722,0,0,0.0229275,0.0929585,0.0249552,0.0200802,0.0238523,0.0268161,0.041184,0.0742697,0.0941704,0.10665,0.0875794,0.0335654,0.029873,0.0913064,0.0432811,0.0427375,0.0219222,0.0332708,0.035804,0.0360933,0,0.0229877,0.0258773,0,0,0.0226992,0,0,0.0360535,0.0753199,0.0364223,0.0209068,0.0201945,0.0441743,0.0437212,0.0673056,0.103492,0.0907077,0.0444751,0.0678763,0.0398012,0.0489041,0.0822615,0.0397004,0.0129629,0.0121689,0.0261365,0.0288709,0,0,0,0,0.0190714
0,0,0,0,0,0,0,0.0258359,0.0470436,0,0,0,0.0356558,0,0.0184484,0,0,0.0702093,0,0,0.020921,0.0931704,0.0216622,0.0186436,0.0261512,0.0320382,0.0428436,0.0720941,0.0929573,0.106356,0.0852032,0.0371085,0.0324158,0.0959261,0.0443062,0.045455,0.0229121,0.0326808,0.0346609,0.0345372,0,0.0237802,0.0246826,0,0,0.0230898,0,0,0.0294127,0.0721718,0.0277662,0.0193401,0.0199299,0.0430442,0.0442908,0.0709076,0.108105,0.0951597,0.04966,0.0679758,0.0407294,0.0492539,0.0840327,0.0229001,0.0143061,0.0157842,0.0265578,0.0287846,0,0,0,0,0
1,0,0,0,0,0,0,0.0261173,0.0477321,0,0,0,0.0359886,0,0.0183784,0,0,0.0705945,0,0,0.0211533,0.0923694,0.0206628,0.018092,0.0247656,0.03238,0.0422129,0.072469,0.0931849,0.106653,0.0859272,0.0365176,0.0319757,0.0954993,0.043835,0.0437764,0.0223568,0.0329222,0.0348625,0.0344597,0,0.0237054,0.0260728,0,0,0.0223084,0,0,0.0342804,0.0719786,0.0275416,0.0198853,0.0198147,0.0430129,0.0427587,0.0708157,0.108047,0.0949207,0.0492856,0.0680663,0.0407099,0.0493189,0.0840163,0.0230018,0.0121355,0.0120873,0.027292,0.0276633,0,0,0,0,0.0190184
2,0,0,0,0,0,0,0.0261795,0.0477943,0,0,0,0.0366032,0,0.0182486,0,0,0.0707652,0,0,0.0211582,0.0920151,0.0197832,0.0178081,0.023663,0.0321701,0.0419236,0.0724367,0.0931237,0.106655,0.086168,0.0361496,0.0318527,0.0952886,0.0431769,0.0420628,0.0225058,0.0330254,0.0348356,0.0345634,0,0.0236388,0.0261702,0,0,0.0223552,0,0,0.0343283,0.0719496,0.0273652,0.0200995,0.0197885,0.043163,0.0429477,0.0707842,0.10799,0.0947328,0.0491577,0.0680478,0.0406517,0.0492706,0.0839122,0.0226345,0.01195,0.0120987,0.0274311,0.0275308,0,0,0,0,0.0190963
3,0,0,0,0,0,0,0.0262113,0.0478515,0,0,0,0.0368269,0,0.0185596,0,0,0.0709193,0,0,0.0211514,0.0917549,0.0193863,0.0176223,0.0225462,0.0320667,0.0416869,0.0724284,0.0930516,0.106645,0.0865893,0.035749,0.0317914,0.0952092,0.0423098,0.0401881,0.0226299,0.033169,0.0348577,0.0346018,0,0.0235664,0.0262356,0,0,0.0224234,0,0,0.0343976,0.0719879,0.0271881,0.0201427,0.0197815,0.0433912,0.0430597,0.0706688,0.107923,0.0945346,0.0490602,0.0679782,0.0406283,0.0491595,0.0837944,0.022343,0.0118826,0.0121072,0.0275092,0.027445,0,0,0,0,0.0191685
4,0,0,0,0,0,0,0.0262374,0.0479198,0,0,0,0.0365942,0,0.0192997,0,0,0.0710278,0,0,0.0211853,0.0915221,0.0190657,0.0174817,0.0213264,0.0320159,0.0415255,0.0724659,0.0929835,0.106678,0.08723,0.0352785,0.0314092,0.0950533,0.0413815,0.0384057,0.0227382,0.0332832,0.03491,0.034587,0,0.0235236,0.0262804,0,0,0.0225347,0,0,0.0344737,0.0721171,0.0270874,0.0201663,0.0198229,0.043621,0.0431898,0.070455,0.107824,0.0943534,0.0489718,0.0679095,0.0407108,0.0490407,0.0836618,0.0222216,0.0119199,0.0121121,0.027603,0.0273389,0,0,0,0,0.01924
5,0,0,0,0,0,0,0.0262,0.0479593,0,0,0,0.0365019,0,0.0197125,0,0,0.0711231,0,0,0.021228,0.0913488,0.018945,0.0174502,0.0202346,0.0319338,0.0414128,0.0723973,0.0928908,0.106689,0.0876436,0.0348689,0.0307637,0.0945247,0.0405508,0.0368062,0.0228342,0.0333122,0.0349645,0.0344786,0,0.0235432,0.0262606,0,0,0.0226593,0,0,0.0345378,0.0723046,0.0270119,0.0200704,0.0199137,0.0439157,0.0433157,0.0702184,0.10768,0.0941824,0.0488649,0.067847,0.0407636,0.0489263,0.0835189,0.022197,0.0119123,0.0121242,0.027669,0.0272861,0,0,0,0,0.0193164
6,0,0,0,0,0,0,0.0261331,0.0479844,0,0,0,0.0365001,0,0.0200512,0,0,0.0711672,0,0,0.0212827,0.0912127,0.0191203,0.0174725,0.0194375,0.0317703,0.0413494,0.072268,0.0928037,0.106752,0.0880127,0.0345029,0.0302798,0.0940631,0.0398654,0.0353743,0.022887,0.0332803,0.0350173,0.0343992,0,0.0234989,0.026201,0,0,0.0227177,0,0,0.0345722,0.0725312,0.0268483,0.0199776,0.0199852,0.0442362,0.0434034,0.0699781,0.107509,0.0939955,0.0487418,0.0677608,0.0407727,0.0488159,0.0833544,0.0221789,0.0119786,0.0121497,0.0276183,0.0272803,0,0,0,0,0.0193569
7,0,0,0,0,0,0,0.0260372,0.0480295,0,0,0,0.0366641,0,0.0204911,0,0,0.0711021,0,0,0.0212831,0.0911064,0.0196301,0.017524,0.0191984,0.0315196,0.0412375,0.0721596,0.0926371,0.106904,0.0884305,0.0341811,0.030064,0.0936753,0.03918,0.0341456,0.0228834,0.0332546,0.0350359,0.0344015,0,0.0234098,0.0261485,0,0,0.0227286,0,0,0.0346041,0.0727618,0.0266629,0.0198841,0.020048,0.0445882,0.0435148,0.0697646,0.10725,0.0937408,0.0486127,0.0677094,0.0408032,0.0487399,0.083204,0.0220324,0.0120865,0.0121691,0.0275305,0.0272957,0,0,0,0,0.0193609
8,0,0,0,0,0,0,0.025931,0.0480665,0,0,0,0.0367096,0,0.0212472,0,0,0.0709541,0,0,0.0212515,0.090992,0.0205287,0.0175808,0.0195307,0.0311832,0.0410562,0.072045,0.0923466,0.106889,0.0889058,0.033877,0.0299683,0.0933432,0.038761,0.0331544,0.0228333,0.0332478,0.0350132,0.0345301,0,0.0232619,0.0261023,0,0,0.022768,0,0,0.034626,0.0729958,0.026473,0.0197663,0.0201366,0.0449925,0.0435998,0.0694212,0.106908,0.0934956,0.048501,0.0676656,0.0408922,0.048642,0.0830458,0.0216557,0.0120311,0.0121879,0.0274798,0.0273355,0,0,0,0,0.0193871
