Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0783157
1,1,0.0865936
1,2,0.0801468
1,3,0.0861359
1,4,0.0865173
1,5,0.0712967
1,6,0.0868607
1,7,0.0780869
1,8,0.0162888
1,9,-0.0328827
2,0,-0.0403595
2,1,-0.0649643
2,2,-0.0579453
2,3,-0.0104141
2,4,0.00514984
2,5,0.0226212
2,6,0.0498581
2,7,0.0885391
2,8,0.10006
2,9,0.0937271
3,0,0.0734329
3,1,0.0484467
3,2,0.0649261
3,3,0.0241852
3,4,0.0527191
3,5,-0.00644684
3,6,-0.0400162
3,7,-0.0585175
3,8,-0.0698471
3,9,-0.0534439
4,0,-0.0204468
4,1,0.00087738
4,2,0.022583
4,3,0.0481415
4,4,0.0658417
4,5,0.0610352
4,6,0.0917053
4,7,0.0554276
4,8,0.0557327
4,9,0.0582504
5,0,0.0773621
5,1,0.00686646
5,2,-0.0428009
5,3,-0.0712204
5,4,-0.0833511
5,5,-0.0927353
5,6,-0.0684357
5,7,-0.0149536
5,8,0.00610352
5,9,0.0120926
6,0,0.0500488
6,1,0.0473404
6,2,0.0566864
6,3,0.0156403
6,4,0.0285339
6,5,0.0242996
6,6,0.0408173
6,7,0.0156021
6,8,-0.0294876
6,9,-0.0643158
7,0,-0.113564
7,1,-0.136681
7,2,-0.131264
7,3,-0.0815964
7,4,-0.051384
7,5,-0.0510406
7,6,0.00904083
7,7,0.00331879
7,8,0.0263596
7,9,0.037384
8,0,0.018692
8,1,-0.000801086
8,2,-0.0113297
8,3,0.01194
8,4,-0.00617981
8,5,-0.0788879
8,6,-0.104027
8,7,-0.121422
8,8,-0.139771
8,9,-0.110321
9,0,-0.0902557
9,1,-0.0382614
9,2,-0.0331879
9,3,-0.0189209
9,4,0.0101089
9,5,0.0377274
9,6,0.0389481
9,7,0.0069046
9,8,0.0167465
9,9,-0.0115585
10,0,-0.00583649
10,1,-0.0457382
10,2,-0.0777435
10,3,-0.111008
10,4,-0.130806
10,5,-0.131454
10,6,-0.101891
10,7,-0.0780487
10,8,-0.0297165
10,9,-0.00579834
11,0,0.00637054
11,1,0.0238037
11,2,0.0303268
11,3,0.00473022
11,4,-0.00473022
11,5,0.0188446
11,6,0.0107193
11,7,-0.00595093
11,8,-0.0455475
11,9,-0.0870132
12,0,-0.104141
12,1,-0.121384
12,2,-0.10643
12,3,-0.0898743
12,4,-0.0511932
12,5,-0.00362396
12,6,0.0201416
12,7,0.0354004
12,8,0.0534439
12,9,0.0717926
13,0,0.0336838
13,1,0.0502396
13,2,0.0629044
13,3,0.0153732
13,4,0.0217819
13,5,-0.0518417
13,6,-0.0554657
13,7,-0.0940704
13,8,-0.0931168
13,9,-0.0632477
14,0,-0.0323486
14,1,-0.00854492
14,2,-0.0190353
14,3,0.0542068
14,4,0.0542831
14,5,0.0719452
14,6,0.0727463
14,7,0.0725937
14,8,0.0658417
14,9,0.073204
15,0,0.0792313
15,1,0.0214767
15,2,-0.00926971
15,3,-0.0635529
15,4,-0.0835419
15,5,-0.107079
15,6,-0.0328445
15,7,-0.0231171
15,8,0.0170898
15,9,0.0472641
16,0,0.063858
16,1,0.122337
16,2,0.082016
16,3,0.0858307
16,4,0.0633621
16,5,0.0807571
16,6,0.0746918
16,7,0.0742722
16,8,0.00579834
16,9,-0.0363541
