Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.0540918,0.0540626,0,0,0,0.0330706,0,0.0315356,0.0541214,0,0,0.015332,0,0,0.0530269,0.0302355,0.0424868,0.0150296,0.0208685,0.0508521,0.0397669,0.0272281,0.0406809,0.0597828,0.0442466,0.0580551,0.0542686,0.0568028,0.0568835,0.0489394,0.0378802,0.0126517,0.0136453,0.0384188,0,0.0200499,0.0629935,0.0193849,0,0,0.0209013,0,0,0.0344733,0.040591,0.0311798,0.0107588,0.0230012,0.0511593,0.0228438,0.0325317,0.0150698,0.041639,0.0468083,0.0569546,0.0352665,0.0348998,0.0578537,0.0266154,0.0108142,0.00925939,0.00748797,0.0358843,0.0207711,0,0,0
0,0,0,0,0,0.0536576,0.0558861,0,0,0,0.0434131,0,0.0231082,0.0580085,0,0,0.0132577,0,0,0.0506677,0.0338286,0.0255773,0.00959222,0.0282011,0.0419617,0.0366999,0.0294461,0.0421953,0.0623679,0.0475351,0.0686184,0.0632179,0.0643408,0.0643793,0.0172998,0.0397218,0.0130749,0.00995033,0.0515337,0,0.0110246,0.0636209,0.0248951,0,0,0.0191751,0,0,0.0349791,0.0436918,0.0244633,0.0142181,0.028627,0.0416179,0.0172505,0.0317271,0.0207723,0.0448221,0.0501545,0.0669085,0.0454841,0.0422046,0.067214,0.0122869,0.0107956,0.00910281,0.00789815,0.0379429,0.0150789,0,0,0
1,0,0,0,0,0.0538503,0.0558809,0,0,0,0.0435683,0,0.0229226,0.0579706,0,0,0.0132321,0,0,0.0506058,0.033853,0.0253427,0.00957292,0.0282339,0.0419512,0.036686,0.0292364,0.0420296,0.0623505,0.0472415,0.0687137,0.0633002,0.0644211,0.0644911,0.0170406,0.0398529,0.0130739,0.0100919,0.0519162,0,0.0109813,0.0637641,0.0249656,0,0,0.0191376,0,0,0.0348598,0.0437549,0.02435,0.014538,0.0288478,0.0416257,0.0170432,0.0318785,0.020346,0.0445186,0.0499986,0.0668646,0.0455636,0.0422533,0.067245,0.0123817,0.0109672,0.0091252,0.007844,0.0380476,0.0151792,0,0,0
2,0,0,0,0,0.054009,0.0559094,0,0,0,0.0438236,0,0.0228106,0.0579421,0,0,0.0131777,0,0,0.0505659,0.0338975,0.0251005,0.00954416,0.0283294,0.0419794,0.0366725,0.0290991,0.0418213,0.0622656,0.0469475,0.0688023,0.0633989,0.0645015,0.0644959,0.0166108,0.0399109,0.0131464,0.0101576,0.0524328,0,0.0109144,0.0639108,0.02506,0,0,0.0190929,0,0,0.034786,0.0437878,0.0241469,0.0149491,0.0291353,0.0416762,0.0168765,0.0320227,0.0197815,0.0442868,0.049929,0.0668212,0.0455177,0.0422722,0.0672606,0.0125385,0.011101,0.00917151,0.00779476,0.0381495,0.0152558,0,0,0
3,0,0,0,0,0.0541265,0.0559197,0,0,0,0.0441164,0,0.0227724,0.0579292,0,0,0.0131025,0,0,0.0505157,0.0339225,0.0249278,0.00952267,0.0284858,0.0419771,0.0366648,0.0290015,0.0415925,0.0621114,0.0466925,0.0688703,0.0634154,0.0645525,0.0645274,0.016163,0.0399361,0.0133067,0.0100544,0.0529602,0,0.0108392,0.0641106,0.0251534,0,0,0.0190434,0,0,0.0347373,0.0438273,0.0238988,0.0151272,0.0293538,0.0417078,0.0168031,0.0322097,0.0192317,0.0440773,0.049937,0.0668377,0.0455305,0.042308,0.0672975,0.0127458,0.0111974,0.00921864,0.00776215,0.0382526,0.0153243,0,0,0
4,0,0,0,0,0.0541866,0.0559395,0,0,0,0.0444015,0,0.0228117,0.0579287,0,0,0.0130857,0,0,0.0504728,0.0339542,0.0248377,0.00949093,0.0286747,0.0419498,0.0366543,0.0289445,0.0413578,0.0618877,0.0465232,0.0689168,0.0634156,0.0645844,0.0645834,0.0157731,0.0399796,0.0134408,0.00993838,0.0534201,0,0.0107815,0.0643114,0.025239,0,0,0.0190046,0,0,0.034712,0.0438624,0.0236302,0.0151865,0.0295109,0.0417248,0.0167602,0.0324935,0.0188801,0.0438248,0.0499999,0.0668909,0.045582,0.0423539,0.067398,0.01295,0.0112711,0.0092682,0.00773717,0.0383354,0.0153781,0,0,0
5,0,0,0,0,0.0542088,0.0559611,0,0,0,0.044698,0,0.0228926,0.057972,0,0,0.0131131,0,0,0.0504269,0.033968,0.0248187,0.0094214,0.0288428,0.0419477,0.0366605,0.0289329,0.0411987,0.0617493,0.0464344,0.068964,0.0634224,0.0646213,0.0646463,0.0155184,0.0400419,0.0135236,0.00984206,0.053767,0,0.0108129,0.064421,0.0252831,0,0,0.0190212,0,0,0.0347103,0.0438984,0.0234423,0.0154333,0.0296537,0.0417306,0.0167195,0.0329127,0.0187578,0.0436789,0.050079,0.0669621,0.0456589,0.0424239,0.0675708,0.0131076,0.0113536,0.00932142,0.00769933,0.0383563,0.0154459,0,0,0
6,0,0,0,0,0.0541636,0.0560047,0,0,0,0.0449567,0,0.0229692,0.0580014,0,0,0.0131766,0,0,0.0503978,0.0339643,0.0248132,0.00936611,0.0289698,0.0418531,0.0366734,0.028965,0.0410965,0.0617666,0.0464577,0.0690025,0.0634301,0.0646515,0.0647199,0.0154483,0.0401049,0.0135523,0.00973556,0.0539511,0,0.0108974,0.0644852,0.0253005,0,0,0.0190778,0,0,0.0347054,0.0438987,0.0232925,0.0155184,0.029693,0.0416563,0.0166928,0.0330909,0.0188012,0.0436683,0.0501711,0.0670699,0.0457699,0.0424547,0.0676865,0.0131699,0.0114241,0.00938286,0.00764318,0.0383642,0.0154947,0,0,0
7,0,0,0,0,0.0540409,0.056073,0,0,0,0.0450161,0,0.0230032,0.0580013,0,0,0.0132295,0,0,0.0503646,0.0339735,0.0248579,0.00929059,0.0289386,0.0416786,0.0368426,0.0290163,0.041085,0.061782,0.0465902,0.069022,0.06344,0.0646546,0.0648114,0.0154795,0.0401537,0.0135907,0.0096365,0.0539819,0,0.0109455,0.0644866,0.0252931,0,0,0.0190614,0,0,0.0346536,0.0438484,0.0231319,0.015439,0.0296444,0.0415317,0.0166993,0.0330673,0.018963,0.0437358,0.0502392,0.0672022,0.0458842,0.0424362,0.0677053,0.0131713,0.0114869,0.00941959,0.00761096,0.0383675,0.0155218,0,0,0
8,0,0,0,0,0.0539441,0.0561181,0,0,0,0.0448779,0,0.0230197,0.0579808,0,0,0.013221,0,0,0.0503141,0.0340896,0.0249369,0.00916126,0.02888,0.041517,0.0367875,0.0291083,0.0410812,0.061782,0.0467725,0.0690194,0.0634312,0.0646357,0.0648339,0.015593,0.0402154,0.0135881,0.00950299,0.0538748,0,0.0109081,0.0644416,0.0252655,0,0,0.019039,0,0,0.034597,0.0437498,0.023031,0.01552,0.0295777,0.0413937,0.0166865,0.0330018,0.0192154,0.0437773,0.050321,0.0672951,0.0459491,0.0423667,0.0677439,0.0131117,0.0115533,0.00945207,0.0075954,0.0383103,0.0155252,0,0,0
