Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,BriefCase:BCBT,,,BriefCase:BCFT,,,BriefCase:BCBTT,,,BriefCase:BCBB,,,BriefCase:BCBF,,,BriefCase:IMU_M,,,BriefCase:IMU_T,,,BriefCase:IMU_B,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
6486,0,493.850525,-247.533463,1574.978516,591.951294,-233.090210,1596.286011,467.307007,-372.436859,1563.140747,632.991028,-378.638733,1586.206177,507.332275,-328.852722,1466.611572,627.982605,-325.093933,1496.126587,568.938843,-537.491455,1350.129272,580.179565,-557.275208,1267.255615,585.707458,-352.161591,1344.190552,595.328613,-343.499969,1276.104980,657.784302,-556.565552,1327.863892,387.166840,-432.923309,1382.751099,319.234741,-459.065582,1180.769287,293.972137,-457.196594,1080.051880,,,,280.247375,-437.735779,969.740295,307.370270,-414.433899,809.776367,285.038483,-480.345154,822.978943,277.119263,-411.730286,704.278076,259.642242,-478.970428,753.002014,788.636597,-458.174408,1385.192505,814.435913,-485.737152,1218.300659,840.699707,-493.887177,1091.219727,,,,878.195984,-477.420654,968.245544,863.442383,-438.826721,822.360168,879.646179,-508.790192,826.593445,897.445740,-453.664337,717.042297,904.164001,-509.648987,769.323853,511.272308,-358.022552,930.484863,650.484131,-327.535034,927.552490,544.212402,-552.908142,938.691101,685.458313,-539.008240,929.061218,443.642334,-468.132904,947.989258,759.088806,-417.371979,945.505859,425.592957,-477.738800,792.363647,447.282959,-487.589264,652.710571,470.342163,-432.740326,592.102478,471.187866,-498.900909,538.116333,459.039673,-556.810364,599.404663,479.386780,-521.856995,462.622192,,,,489.866333,-618.188782,408.441803,496.038971,-623.517212,344.753693,513.114502,-710.842285,356.115326,512.336304,-704.828979,415.555176,570.666565,-854.920898,183.162827,,,,633.820984,-920.707703,191.946457,603.170837,-709.625977,37.560459,780.992615,-371.984253,803.806641,542.403076,-767.892212,45.826122,759.538330,-316.875183,663.929199,718.528442,-237.934479,669.544861,710.233887,-236.744781,584.641724,748.778076,-319.392334,579.383362,711.925476,-208.287476,497.794495,,,,730.387085,-253.435699,398.556244,713.149231,-180.094620,345.918243,719.298584,-216.285919,301.666382,729.999390,-288.429138,351.212982,701.650269,-205.620667,94.753365,,,,643.375671,-267.095886,40.545036,661.197754,17.982965,85.628601,723.475342,-34.283920,70.194275,,,,837.193665,-231.826340,565.657593,886.772400,-716.632019,540.881714,856.549194,-721.078552,327.474548,821.897644,-236.961441,404.771881,,,,957.964539,-286.009430,655.562195,928.575256,-288.243927,584.824097
6487,0,496.194855,-233.274918,1576.913208,594.317749,-218.829483,1598.076294,469.754700,-358.229889,1565.094971,635.190918,-363.651031,1587.690918,509.613922,-314.510498,1468.554199,630.150024,-310.826599,1497.825073,569.407043,-522.933228,1352.292480,579.623474,-543.294128,1269.484985,587.374878,-337.748138,1345.874878,596.761536,-328.915283,1277.885986,658.113586,-542.551025,1329.505859,388.680786,-416.792908,1385.519409,319.952515,-443.803375,1184.044800,294.741608,-442.160919,1083.085938,,,,281.199310,-423.166443,972.498169,308.169098,-401.127197,812.308289,286.210510,-466.903229,825.903687,277.093292,-398.880646,706.973511,260.515869,-466.107819,756.005066,789.973633,-444.535400,1386.158325,814.772156,-472.174530,1219.045776,840.305969,-480.655457,1091.937378,,,,877.407715,-464.594910,968.785156,862.412537,-426.114227,822.886719,878.253662,-496.629364,827.501831,895.808044,-441.401794,717.709351,902.547913,-497.223572,769.853394,512.475769,-343.908234,932.975830,651.537415,-313.384766,930.601318,544.557007,-538.918701,940.080933,685.737427,-525.058044,931.008240,444.542755,-453.943054,949.486572,759.685913,-403.695099,947.866333,426.000549,-460.729431,792.993530,445.825409,-466.474640,652.918030,467.508087,-409.797028,593.521851,467.921448,-474.325623,537.604309,456.980408,-534.070312,597.459106,474.660919,-495.578339,461.257080,,,,486.506561,-593.433777,409.316528,493.011536,-601.251892,345.806427,511.236023,-687.315552,360.295349,509.796844,-679.823364,419.780609,569.382629,-838.491211,194.219391,,,,632.988953,-903.149780,208.634491,603.284058,-705.769226,35.048264,782.575134,-358.314697,806.060608,542.319702,-762.608276,49.740196,760.440918,-303.148499,666.300598,721.096985,-223.379883,671.466370,711.562866,-223.197083,586.639709,748.422729,-306.551056,581.854980,714.000732,-195.043518,499.224182,,,,731.801636,-243.096878,399.455963,714.236145,-171.137589,345.014160,719.063416,-209.648773,301.137177,731.832520,-280.222534,352.861908,702.301025,-204.510162,93.200363,,,,643.832336,-265.795959,41.621609,664.571350,20.386301,79.090111,725.979675,-32.539360,63.724751,,,,837.382996,-219.052307,565.989197,884.350281,-704.458008,543.379333,855.019470,-709.706665,329.903961,822.814392,-225.053696,405.000458,,,,957.258179,-273.454254,656.332397,928.308167,-276.161591,585.707520
6488,0,498.395081,-219.277679,1578.840454,596.669678,-204.684647,1599.699951,471.987579,-344.277863,1566.992554,637.744324,-349.035736,1588.850708,511.802032,-300.475708,1470.123291,632.239563,-296.586212,1499.306274,570.194519,-508.716949,1354.292114,579.211426,-529.556274,1271.454712,588.753296,-323.571075,1347.221191,598.208740,-314.598572,1279.307861,658.776001,-528.650818,1330.974609,389.880493,-401.343658,1388.083008,320.471863,-428.425323,1186.637695,295.472870,-427.166168,1085.495850,,,,281.877014,-408.752869,974.830078,309.111572,-387.737305,814.602417,286.731842,-453.184021,828.492554,277.859192,-386.050476,709.169922,261.202423,-452.867096,758.553162,791.442627,-430.610016,1387.024292,815.285400,-458.496796,1219.739990,839.783752,-467.111877,1092.513184,,,,876.521973,-451.830231,969.335449,861.383118,-412.921600,823.620483,876.552063,-484.034180,828.103577,894.252747,-428.646179,718.241150,900.899658,-484.749054,770.416931,513.295105,-329.907745,935.187012,652.242737,-299.453308,933.226685,545.279602,-525.212585,941.399170,686.348206,-511.194763,932.834045,445.748962,-439.781677,950.754822,760.392090,-389.998993,949.798218,426.098633,-443.945618,793.626648,444.097748,-445.381622,652.956726,463.730103,-386.738129,595.080505,464.710083,-449.378235,537.234924,455.022156,-511.030670,595.259766,469.479340,-468.196747,460.139923,,,,483.393677,-567.518921,410.040802,490.220062,-577.559998,347.048370,508.595276,-663.638733,365.067993,506.750122,-653.235046,423.833893,568.089783,-820.440308,205.382950,,,,631.928528,-883.103027,226.061707,603.186401,-701.983215,33.919445,784.072937,-345.212677,807.396606,541.727356,-756.411560,54.231392,762.604370,-291.114990,667.077759,724.402039,-210.689407,671.403076,713.987732,-211.701218,586.660889,749.498413,-295.772186,582.850769,716.446106,-184.129333,498.868774,,,,732.848816,-234.949020,399.638611,716.478027,-163.838684,343.663696,720.942505,-202.924881,300.841736,732.354065,-273.149231,353.947906,703.296021,-202.762680,92.449051,,,,644.150879,-264.736572,42.577301,666.015503,22.351536,73.586075,727.358276,-30.849192,58.457382,,,,837.331543,-207.182129,566.101685,881.718079,-692.145020,546.327698,853.481689,-698.363892,332.810028,823.604797,-213.265747,405.320465,,,,956.584778,-261.098572,657.605164,927.982666,-263.946564,586.752808
6489,0,500.786835,-205.383667,1580.755371,598.976257,-190.953156,1601.246948,474.398438,-330.489319,1568.763794,640.142029,-336.267487,1590.210449,513.807617,-286.485992,1471.737915,634.297058,-282.540649,1500.546875,571.332764,-494.916748,1356.061279,579.438416,-516.032288,1273.097046,590.298767,-309.622437,1348.699829,599.558960,-300.567017,1280.670288,660.024353,-514.888367,1332.359985,391.681396,-386.701752,1389.901611,320.913361,-413.168945,1188.643066,295.627747,-412.652893,1087.709839,,,,282.295837,-394.350555,976.969177,309.936737,-374.100861,816.676086,286.402191,-439.745911,831.031250,279.482971,-372.737823,710.946106,261.651428,-438.987732,760.595581,792.834900,-416.437805,1387.856445,816.050476,-444.909332,1220.557495,839.288757,-453.984772,1093.208740,,,,875.609497,-439.087250,969.966370,859.630188,-400.885468,824.392090,874.891296,-471.351685,828.855347,892.567139,-415.900055,718.967529,899.236328,-472.183929,771.059204,514.000488,-315.951599,937.053040,653.010132,-285.709564,934.935425,546.048889,-511.500366,942.542236,687.137451,-497.527893,934.578247,446.574036,-426.303253,952.054443,761.143494,-376.356079,951.263733,426.104980,-427.356720,794.094055,442.387207,-424.390106,653.003723,460.451019,-363.563354,596.821472,461.682037,-424.511566,536.993530,453.399017,-487.894409,593.060425,463.864075,-440.714142,459.494385,,,,480.103943,-540.796875,411.075165,487.583588,-553.029419,348.434113,506.052795,-638.462280,369.386292,503.486389,-626.252197,427.716217,566.670349,-800.933960,216.286896,,,,630.427002,-859.782593,243.109390,603.041992,-697.471924,33.187206,785.977722,-332.263336,808.321228,541.383667,-748.947998,59.495148,764.478943,-281.255554,666.652039,728.066162,-200.067368,669.584106,717.319214,-202.475632,584.856628,750.891357,-286.822266,582.478760,719.628052,-174.696243,498.291534,,,,733.945923,-228.633209,399.304626,718.488464,-158.770905,341.935669,722.493774,-198.173950,299.996826,732.431274,-267.912781,354.334900,703.982544,-201.017975,91.906425,,,,644.405518,-263.834625,43.336086,666.234802,23.784498,68.832993,727.582336,-29.565948,54.199245,,,,837.624573,-194.108337,566.739014,879.046936,-679.738586,549.419434,851.935425,-686.776489,335.683502,824.830811,-201.099686,405.750397,954.933899,-252.375961,620.327271,955.850464,-249.043457,659.268372,927.697510,-251.755768,588.059509
6490,0,502.770111,-191.745880,1582.614380,601.184631,-177.103333,1602.752808,476.404541,-316.760895,1570.721802,642.233521,-321.755096,1591.473389,515.650635,-272.704895,1473.340942,636.175354,-268.746613,1501.712646,572.861877,-481.512970,1357.502319,580.455200,-502.700867,1274.400269,591.621582,-296.181305,1350.001709,600.787842,-286.783447,1282.093750,661.945007,-500.420044,1333.246094,392.656494,-373.225159,1391.941284,321.435272,-398.202515,1190.344971,296.087128,-398.381500,1089.763794,,,,282.717834,-379.943176,979.079468,310.654022,-360.240692,818.705139,285.935516,-425.043152,833.068909,281.734741,-359.209412,712.472168,261.549225,-424.610870,762.558838,794.456665,-403.023193,1389.116089,816.703735,-431.313629,1221.516602,839.051025,-441.292938,1094.322266,,,,874.730103,-426.213776,970.744690,858.570190,-387.619415,825.266541,873.388977,-458.520264,829.772644,891.023376,-403.099579,719.992554,897.714172,-459.395020,771.896545,514.785095,-302.146576,938.565796,653.923218,-272.356873,936.051819,546.697754,-497.834351,943.460938,687.885742,-484.232941,936.138489,447.226471,-412.537872,953.129944,762.042603,-363.162415,952.492310,426.085083,-410.917450,794.423950,440.678528,-403.731720,653.086487,457.588715,-340.752136,598.733765,458.970825,-399.861023,536.942932,451.763885,-465.164032,591.037048,458.532440,-412.893768,459.296265,,,,477.116089,-514.091125,412.255859,485.204041,-527.901367,350.115631,503.607452,-612.616150,373.430237,500.453583,-599.096680,431.492126,564.707214,-779.710693,226.445328,,,,628.186279,-834.919189,260.002502,602.604858,-691.363525,32.211632,787.526611,-320.333282,808.803284,541.034546,-739.478577,65.091393,765.206665,-273.389557,665.658142,731.451538,-190.773453,666.795776,720.667725,-194.750061,582.111816,751.742493,-280.733337,582.000122,722.390686,-168.239075,495.874176,,,,735.268616,-223.254044,398.690948,720.968628,-153.679214,340.374573,724.043640,-194.126801,299.044006,732.644470,-263.625427,354.324188,704.290283,-199.491714,91.495064,,,,644.510010,-263.132080,43.844582,666.535583,24.970585,64.537392,727.266846,-28.834265,50.049099,,,,837.833374,-181.642807,567.206970,876.445740,-667.227112,552.583069,850.529907,-675.211304,338.799316,825.802612,-189.112381,406.183777,954.538513,-240.090561,621.673157,955.262268,-236.555450,660.656555,927.475098,-239.485474,589.272888
6491,0,504.912384,-178.051254,1584.494873,603.462830,-163.452530,1604.165649,478.423248,-302.889282,1572.811279,644.480652,-308.735962,1592.835815,517.298035,-259.252838,1475.196411,637.863342,-255.198990,1503.022705,574.575317,-468.459473,1358.859009,582.012756,-489.404388,1275.685425,592.595215,-282.366486,1351.687500,601.950684,-273.430603,1283.704102,663.491882,-486.862823,1334.841431,393.971497,-360.784027,1393.839600,321.942719,-383.824310,1192.079590,296.517059,-384.347900,1091.864014,,,,282.990540,-365.845245,981.326782,311.207458,-346.327972,820.794006,284.861389,-411.144135,835.388611,284.378418,-345.320892,714.091492,261.354401,-409.995026,764.489441,795.790100,-389.674194,1390.531616,817.285706,-418.066864,1222.868408,838.612854,-427.912628,1095.170166,,,,873.907715,-413.276947,971.795288,857.680359,-373.987518,826.444824,871.969666,-445.428894,830.928955,889.426086,-390.345398,721.234741,896.214539,-446.351471,772.979675,515.965088,-288.530670,939.945496,655.257141,-259.399353,937.022888,546.914307,-484.152374,944.230530,688.314209,-471.493713,937.746521,447.682159,-398.503296,954.106323,763.095886,-350.733704,953.552979,426.112885,-394.603638,794.815674,439.134674,-383.464813,653.393188,455.204620,-318.516541,600.866333,456.658234,-375.675842,537.270935,450.314880,-442.713287,589.364868,453.165649,-386.437866,460.169891,,,,474.560303,-487.382874,414.101074,483.090088,-502.449402,352.224518,501.462219,-586.676453,377.481842,497.818146,-572.012756,435.329926,562.556274,-757.850525,236.699341,,,,625.547607,-807.740234,275.876312,601.263916,-683.275085,30.500475,788.596497,-309.304047,808.629700,540.546143,-727.049500,69.880524,766.069092,-265.671509,664.590210,734.486023,-182.279846,663.946411,723.378113,-187.760147,579.401001,752.255859,-274.170593,581.010986,724.650818,-163.478516,492.848816,,,,736.445923,-217.977509,398.004486,722.520996,-149.226700,338.833160,725.142029,-190.286392,297.958130,732.988708,-259.258240,354.254059,704.156982,-198.257126,91.318932,,,,644.465454,-262.527557,44.266945,666.776611,26.066341,61.260452,727.597351,-28.021866,47.401276,,,,838.136108,-168.847427,567.589233,874.052979,-654.637207,555.736633,849.149353,-663.618042,341.851959,826.909424,-177.181107,406.602417,954.232605,-227.712311,622.975647,954.770630,-223.975189,661.896118,927.326172,-227.097229,590.457275
6492,0,506.901154,-164.393326,1586.474121,605.588135,-149.876877,1605.494873,480.182159,-289.342499,1575.056030,646.444275,-296.650055,1594.324585,518.673767,-245.881592,1477.127197,639.175720,-241.080673,1504.081665,576.139160,-455.430786,1360.464478,583.839783,-475.992279,1277.254517,593.576660,-269.390839,1353.513550,602.975952,-260.352386,1285.393921,664.495850,-474.520355,1337.076050,395.096832,-348.117004,1395.808838,322.637848,-370.270844,1194.058716,296.942902,-370.821991,1094.135620,,,,283.293976,-351.954285,983.626526,311.803558,-332.255829,823.039246,284.268707,-396.262695,837.439453,286.630035,-331.412262,715.899902,261.108643,-395.035492,766.424072,796.965210,-376.569336,1392.181885,817.824524,-405.177734,1224.389526,838.452637,-415.565247,1096.991821,,,,873.113647,-400.364563,973.131958,856.799500,-360.185333,828.074707,870.480347,-431.780121,832.104431,888.228516,-376.884827,722.462708,894.875793,-433.232574,774.328857,517.599548,-275.100098,941.365479,656.952087,-246.870972,938.069641,546.823181,-470.662415,944.914490,688.369019,-459.265167,939.523926,448.008606,-384.505127,955.270447,764.138184,-338.971161,954.705811,426.351410,-378.400146,795.473328,437.851898,-363.634888,654.104797,453.581635,-296.774658,603.328735,454.744598,-352.036774,538.125671,449.203583,-420.543549,588.166565,450.037750,-360.478729,460.845612,,,,472.252533,-461.229248,416.769562,480.894806,-477.528229,355.300262,499.379791,-561.083008,382.045715,495.805023,-545.255615,439.568512,560.307007,-734.954468,246.827393,,,,622.629211,-781.289551,290.306366,599.846558,-675.304321,26.899408,789.632874,-299.115356,808.708496,540.672058,-713.815063,73.150932,766.715881,-257.722443,663.778931,736.652344,-174.023590,661.923096,725.383240,-180.675430,577.631165,752.741150,-267.391388,580.468262,726.855835,-158.757416,490.396606,,,,737.028809,-212.067795,397.438477,723.707397,-144.866425,337.496155,725.721985,-186.509232,297.229431,733.087830,-254.756897,354.421265,703.812683,-197.635330,91.696136,,,,644.386658,-262.154114,44.607288,667.294067,26.556421,59.094257,727.913940,-27.475115,45.561230,,,,838.549805,-156.080978,568.066345,871.916809,-642.050720,558.781616,847.922424,-652.019775,344.833832,827.913940,-165.132523,406.981628,954.003296,-215.198196,624.169678,954.424255,-211.299545,663.054138,927.290344,-214.665115,591.525696
6493,0,508.736725,-150.885590,1588.402344,607.530701,-136.451859,1606.860229,481.768921,-275.863464,1577.469238,648.122986,-282.048737,1595.649780,519.719482,-232.520599,1479.375122,640.473083,-227.922516,1505.498047,577.380127,-442.407684,1362.545044,585.616882,-462.504242,1279.121826,594.570312,-256.391846,1355.448853,603.874573,-247.458298,1287.241089,665.875305,-460.731934,1338.592041,395.853973,-335.850555,1397.864868,323.032104,-357.859894,1196.349976,297.410217,-357.867554,1096.448364,,,,283.551025,-338.430817,986.006104,312.460449,-318.214081,825.416260,283.615326,-382.485535,839.907288,288.336639,-317.373688,717.894287,260.793915,-380.497437,768.679565,797.936523,-363.671265,1394.031372,818.211609,-392.263092,1226.086182,837.810913,-402.438995,1098.198242,,,,872.396179,-387.571625,974.646790,855.835876,-346.996826,829.685669,869.330139,-418.299591,833.649780,887.119446,-363.531311,723.935730,893.599060,-419.888153,775.813171,519.468506,-261.905853,943.089966,659.049622,-234.604782,939.295349,546.433838,-457.436798,945.596130,688.138794,-447.478027,941.498352,448.392792,-370.481781,956.565430,765.152039,-327.628296,956.031128,426.792206,-362.266571,796.519165,436.882843,-343.874176,655.267212,452.322876,-275.179718,606.337952,453.277893,-328.728058,539.636719,448.349548,-398.683563,587.749817,449.317535,-334.652588,461.965881,,,,470.510040,-434.890045,420.000702,479.037872,-452.217285,358.759949,497.625153,-535.317749,386.924408,494.177673,-518.524109,444.145477,558.242310,-711.723999,255.646500,,,,619.673218,-755.959778,301.930389,597.414551,-663.452026,28.554075,790.612549,-289.425385,809.315002,539.806335,-698.413879,78.438171,767.897095,-249.880890,663.838196,738.220703,-165.998474,661.374878,726.625488,-173.029160,577.167419,753.318970,-260.065247,580.675171,727.698364,-154.286682,488.688293,,,,736.791687,-208.315872,397.735840,724.383911,-140.626678,336.453461,726.112732,-182.813049,296.917847,732.753784,-251.014175,355.069519,703.622192,-196.796906,91.817818,,,,644.365784,-261.839630,44.878929,666.958374,26.992186,57.320282,727.623962,-27.164814,44.579399,,,,838.999634,-143.304214,568.351624,870.055054,-629.458435,561.722534,846.781128,-640.446594,347.720032,828.988159,-153.022964,407.293518,953.950684,-202.694580,625.153015,954.247803,-198.542557,664.079895,927.340515,-202.209106,592.427734
6494,0,510.424133,-137.379333,1590.274902,609.449036,-123.130096,1608.156982,483.124176,-262.290741,1579.948364,649.671997,-269.185303,1597.347412,520.616455,-219.394318,1481.563110,641.558044,-214.983673,1506.954468,578.125488,-429.466217,1364.732544,587.038086,-449.308136,1281.427246,595.267517,-243.569885,1357.352051,604.611694,-234.838120,1289.141357,666.390747,-448.725189,1341.192139,396.543671,-322.921234,1400.108276,323.923920,-345.184418,1198.543213,297.743927,-345.095245,1098.709961,,,,284.015442,-325.135895,988.365356,313.121460,-304.380768,827.828918,283.949860,-367.930847,841.892212,289.335510,-303.139069,720.236206,261.043823,-365.627319,770.737488,798.758362,-350.849823,1395.832397,818.630920,-379.753296,1227.943970,837.482117,-390.049561,1100.030884,,,,871.690002,-374.594818,976.264526,854.930176,-333.675018,831.343811,868.458679,-405.318909,835.648254,886.229065,-350.167603,725.581726,892.461487,-406.382355,777.449097,521.400269,-248.878571,945.160889,661.244019,-222.506729,940.908508,545.895325,-444.615906,946.467590,687.705444,-435.837280,943.637695,448.939056,-356.347260,958.094482,766.130371,-316.623047,957.583008,427.286682,-345.993134,798.089600,436.210999,-323.978699,657.037415,451.327759,-253.795242,609.972534,452.002716,-305.359070,541.844055,447.793091,-376.658173,588.102478,449.338715,-308.857178,464.152802,,,,468.794312,-408.573944,423.886932,477.197723,-426.710938,362.703217,496.073700,-509.525726,392.357574,492.895569,-491.591644,449.144592,556.197083,-688.364502,264.199768,,,,618.949768,-730.975708,310.130188,593.852234,-643.540405,36.801373,791.483215,-279.889984,810.444336,536.640076,-677.724365,87.576424,768.736633,-241.535858,664.693970,738.770569,-157.656570,661.656006,726.947266,-165.301285,577.690063,753.909363,-252.387680,581.660400,727.928528,-148.412552,488.469391,,,,736.368774,-203.613800,398.219727,724.242615,-137.176392,335.674408,725.313965,-180.205353,296.594330,732.325928,-246.606003,356.248413,703.366821,-195.995651,91.992905,,,,644.303711,-261.580872,45.094929,666.654602,27.536226,55.733917,727.195862,-26.739120,43.606632,,,,839.471558,-130.511292,568.501221,868.445312,-616.795288,564.464661,845.712219,-628.787048,350.423859,829.860901,-141.019028,407.491699,954.073608,-190.245041,625.743652,954.226990,-185.761551,664.899963,927.465759,-189.653198,593.204956
