Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,IMU_B
All Timesteps RMSE,0,0,0,0,0.048117,0.0488515,0,0,0.0427479,0,0.0257465,0.0607154,0,0,0.0255703,0,0,0.0545829,0.0296116,0.0396148,0.0109314,0.0172204,0.0355437,0.0576406,0.02785,0.0460315,0.0650246,0.049759,0.0654968,0.062451,0.06286,0.0622829,0.0389988,0.0351506,0.0139183,0.0139944,0.0358412,0,0.0348218,0.0597492,0.0258862,0,0,0.0211265,0,0,0.0376704,0.0447207,0.0265461,0.0126157,0.0200569,0.0403147,0.016604,0.0373691,0.024443,0.0543961,0.0585737,0.0631624,0.0446746,0.043641,0.0657625,0.0328396,0.0184195,0.00943363,0.00753582,0.0284012,0.0188782,0,0,0,0
0,0,0,0,0,0.0478078,0.0481124,0,0,0.0304465,0,0.0353211,0.0617125,0,0,0.0276708,0,0,0.0546581,0.0300381,0.0597796,0.0179758,0.00795475,0.0354423,0.0554754,0.0266008,0.0389109,0.0634925,0.0487637,0.0540783,0.0509993,0.0526186,0.051968,0.0785968,0.0338428,0.012675,0.0146121,0.025384,0,0.0315753,0.0586872,0.0263631,0,0,0.0220736,0,0,0.0406113,0.0395202,0.0162801,0.0102879,0.019674,0.0442754,0.0176843,0.0344603,0.0281332,0.0567306,0.0574605,0.0635421,0.0438063,0.0448022,0.0659479,0.0310974,0.0150582,0.00890025,0.0104887,0.0303483,0.0169148,0,0,0,0
1,0,0,0,0,0.0477324,0.0488125,0,0,0.0304726,0,0.0357438,0.0615683,0,0,0.0275827,0,0,0.0544918,0.0294303,0.0604597,0.0176435,0.00812956,0.036046,0.0550487,0.0265625,0.0393481,0.0631004,0.0481028,0.054393,0.0510053,0.0529516,0.0523048,0.0797075,0.0337693,0.0126239,0.0144434,0.0254434,0,0.0319092,0.0587292,0.0264943,0,0,0.0220019,0,0,0.0405948,0.0395044,0.0161045,0.0107323,0.0194899,0.0437837,0.017468,0.0344395,0.0280171,0.0567546,0.0575107,0.0634621,0.043704,0.0462827,0.0656449,0.0302996,0.0148563,0.0088009,0.0106722,0.031008,0.0164749,0,0,0,0
2,0,0,0,0,0.0478014,0.0489851,0,0,0.0305984,0,0.0359013,0.0613387,0,0,0.0273899,0,0,0.0544018,0.0290631,0.0609464,0.0174839,0.00847749,0.0367335,0.0547285,0.0264234,0.0394322,0.0628282,0.047653,0.0544457,0.0513139,0.0535422,0.0529668,0.0805695,0.0338265,0.0127258,0.0142218,0.025864,0,0.0319309,0.0590261,0.026603,0,0,0.0219125,0,0,0.0405771,0.0396007,0.0159738,0.0109041,0.0194091,0.0434646,0.0171925,0.0344165,0.0281376,0.0567702,0.0577319,0.0633357,0.0437038,0.0464273,0.0654331,0.0292706,0.0149067,0.00869235,0.0107757,0.0312297,0.0163542,0,0,0,0
3,0,0,0,0,0.047957,0.0489645,0,0,0.030783,0,0.0359215,0.061073,0,0,0.0271924,0,0,0.0543738,0.0287541,0.0612995,0.0173444,0.00882812,0.0372971,0.0545706,0.0262438,0.0396015,0.0627355,0.0472952,0.0547394,0.0518064,0.0542958,0.0538444,0.0812371,0.0339269,0.0128436,0.0140723,0.0265196,0,0.0318341,0.0594355,0.0266946,0,0,0.0218068,0,0,0.0405427,0.0397584,0.0157388,0.0110491,0.0194339,0.0431585,0.0168881,0.0343987,0.0282691,0.0567915,0.0580697,0.0631862,0.0437119,0.0460966,0.0652152,0.0281222,0.0150124,0.00862285,0.0107766,0.0313175,0.0163394,0,0,0,0
4,0,0,0,0,0.0480955,0.0489332,0,0,0.0311323,0,0.0358403,0.060862,0,0,0.0269717,0,0,0.0543138,0.0284158,0.0614634,0.0171763,0.00929247,0.0377903,0.0544284,0.0260909,0.039957,0.0627618,0.0469354,0.0553228,0.0524373,0.0551415,0.0548488,0.0818585,0.0340612,0.0128183,0.0139431,0.0272602,0,0.0317224,0.0598087,0.0267616,0,0,0.0216827,0,0,0.0404471,0.0399487,0.0154225,0.0112317,0.0195102,0.0428951,0.0169055,0.0346261,0.0283538,0.056839,0.0583937,0.0630603,0.0438523,0.0458684,0.0650181,0.026927,0.0150982,0.00857378,0.0106626,0.0313205,0.01636,0,0,0,0
5,0,0,0,0,0.0482269,0.0489279,0,0,0.03166,0,0.0356851,0.0606571,0,0,0.026773,0,0,0.0542191,0.028056,0.0615209,0.0169847,0.0099981,0.0382428,0.0542267,0.025938,0.0403932,0.0625584,0.0465588,0.056101,0.0532301,0.0561077,0.0560146,0.0824562,0.0341884,0.0127272,0.0138583,0.0279951,0,0.0315284,0.0601508,0.0268327,0,0,0.021571,0,0,0.0402937,0.0401065,0.0154297,0.0115018,0.0195311,0.0425842,0.0168194,0.0353415,0.0284924,0.0568623,0.0586048,0.0630169,0.0440007,0.0458207,0.0649582,0.0255725,0.0152303,0.00851508,0.0104976,0.0312823,0.016405,0,0,0,0
6,0,0,0,0,0.0483792,0.0489268,0,0,0.0322272,0,0.0354315,0.0603182,0,0,0.0265289,0,0,0.0541586,0.0277106,0.0616478,0.0167902,0.0109055,0.0386053,0.0539469,0.0257489,0.0409345,0.0623762,0.0461507,0.0569747,0.0541839,0.0572315,0.0572024,0.0830233,0.0343279,0.0127251,0.0137753,0.028858,0,0.0313505,0.0604712,0.0268808,0,0,0.0214609,0,0,0.0401179,0.0402206,0.0154772,0.0117924,0.0194848,0.0421922,0.0166108,0.0358187,0.0285871,0.0568128,0.0588352,0.0629828,0.0440825,0.045775,0.0649242,0.024138,0.0154308,0.00847142,0.0102814,0.0312299,0.0164752,0,0,0,0
7,0,0,0,0,0.0486398,0.0490522,0,0,0.0282436,0,0.040409,0.0592588,0,0,0.0257708,0,0,0.0544499,0.0278954,0.0642285,0.0159766,0.0163635,0.0394659,0.0542264,0.0257855,0.0437523,0.0644841,0.0466297,0.0574095,0.0535355,0.0584992,0.0589431,0.0726548,0.0345769,0.012574,0.0140907,0.02957,0,0.0311612,0.0614558,0.0267219,0,0,0.022196,0,0,0.038862,0.0396616,0.0157101,0.0113392,0.0193487,0.041153,0.0170179,0.0358413,0.0285782,0.0566286,0.0589548,0.0630485,0.0443462,0.0457298,0.0649575,0.0230132,0.0159596,0.00891835,0.00938835,0.0312629,0.0169455,0,0,0,0
8,0,0,0,0,0.0488886,0.0491225,0,0,0.0286355,0,0.0397867,0.0588257,0,0,0.0253116,0,0,0.0545062,0.0277257,0.0641102,0.0157738,0.0174448,0.0395528,0.0542819,0.0256487,0.0447587,0.0649117,0.0462428,0.0586729,0.0547379,0.0596135,0.0600383,0.0732904,0.0348404,0.0125706,0.0140515,0.0304722,0,0.0310856,0.0620319,0.0267035,0,0,0.0220651,0,0,0.0387056,0.0395646,0.0160591,0.0115537,0.0191366,0.040446,0.0166773,0.0358345,0.0283839,0.0565512,0.0591783,0.062918,0.044689,0.0455313,0.0648628,0.0216494,0.0162435,0.0093257,0.00911142,0.0312778,0.0170807,0,0,0,0
