Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
All Timesteps RMSE,0,0,0,0,0.0524453,0.0494233,0,0,0,0.0397266,0,0.0274533,0.0595289,0,0,0.0221798,0,0,0.053765,0.0320237,0.0418344,0.0113486,0.0160535,0.0381773,0.0490072,0.0290019,0.0453169,0.0648537,0.0500527,0.0629485,0.0599052,0.060921,0.0603051,0.0428765,0.0378164,0.0129886,0.0142226,0.03936,0,0.0168244,0.0607467,0.031102,0,0,0.0218575,0,0,0.0413569,0.0428252,0.028205,0.011091,0.0185846,0.0411587,0.01992,0.0347664,0.0248369,0.0529452,0.0558801,0.0676093,0.0410124,0.0448879,0.0642806,0.0279453,0.0129079,0.00899347,0.0119116,0.0298265,0.0149174,0,0,0
0,0,0,0,0,0.0556346,0.0462325,0,0,0,0.0541839,0,0.0239316,0.0581166,0,0,0.0187162,0,0,0.0516718,0.038433,0.0287073,0.00508953,0.0154741,0.0319863,0.04664,0.0249413,0.0384093,0.0613383,0.0506013,0.0632433,0.0606991,0.059107,0.0585293,0.0141259,0.0414589,0.012622,0.0126023,0.0483395,0,0.0168189,0.0642791,0.0356545,0,0,0.0196168,0,0,0.0394815,0.0436628,0.0210335,0.00771902,0.0176333,0.0443077,0.020346,0.0378433,0.0277571,0.054682,0.0603556,0.0712735,0.0484473,0.0482928,0.071035,0.00695114,0.0160376,0.00897388,0.00964688,0.0264341,0.0172295,0,0,0
1,0,0,0,0,0.055367,0.0471555,0,0,0,0.0524255,0,0.0236131,0.0589023,0,0,0.0187427,0,0,0.0516626,0.0379166,0.0301415,0.00476116,0.0149291,0.0317747,0.0462416,0.0243528,0.0389764,0.0613667,0.0500234,0.062726,0.0604447,0.058746,0.057845,0.012673,0.0413028,0.012551,0.0126213,0.0463802,0,0.0160905,0.0631534,0.0355168,0,0,0.0197986,0,0,0.0393019,0.0436222,0.021528,0.00749552,0.0167464,0.0440666,0.0204039,0.0361662,0.0289197,0.0543093,0.0585754,0.0707623,0.047884,0.0474214,0.0704849,0.00933215,0.0158233,0.00888176,0.00953772,0.0271909,0.0167422,0,0,0
2,0,0,0,0,0.0553639,0.0474158,0,0,0,0.0507925,0,0.0238505,0.0596403,0,0,0.0186767,0,0,0.0516408,0.0377259,0.0315476,0.00510571,0.0145086,0.0315334,0.0458026,0.0238529,0.0390634,0.0611564,0.0497159,0.062117,0.0598987,0.058276,0.0572621,0.0119931,0.0412953,0.0125156,0.0125524,0.0440398,0,0.0156538,0.06212,0.0355583,0,0,0.0199419,0,0,0.0392313,0.0431202,0.0208466,0.00728964,0.0165691,0.043969,0.0206813,0.0347054,0.0299916,0.054145,0.0568086,0.0701764,0.0471295,0.0465651,0.0701292,0.0115211,0.0156886,0.00884927,0.00951016,0.0274185,0.0165081,0,0,0
3,0,0,0,0,0.0555091,0.0477088,0,0,0,0.0491819,0,0.0240003,0.060355,0,0,0.0184639,0,0,0.0515598,0.0374746,0.0331362,0.00579087,0.0140995,0.0312577,0.0453653,0.0234603,0.0391663,0.0609529,0.0494089,0.0614175,0.059239,0.0576765,0.0566211,0.011944,0.0414204,0.0125331,0.0123638,0.0413453,0,0.014741,0.0613987,0.0357771,0,0,0.0200812,0,0,0.0392167,0.0424137,0.0193716,0.0074919,0.016718,0.0438544,0.0210354,0.0333092,0.03085,0.0544883,0.0553676,0.0697452,0.0464667,0.0459148,0.0699432,0.0139484,0.0156025,0.00882936,0.00952932,0.0275455,0.0163407,0,0,0
4,0,0,0,0,0.0555875,0.0483537,0,0,0,0.0475741,0,0.0241644,0.0608405,0,0,0.0180694,0,0,0.0513914,0.0371281,0.0350164,0.00665117,0.0136945,0.0310444,0.0449657,0.0231609,0.0392257,0.0608622,0.0490034,0.0606947,0.0585983,0.0570315,0.0558561,0.0125994,0.0416792,0.0125733,0.0121086,0.0385744,0,0.013104,0.0608292,0.0359314,0,0,0.0201993,0,0,0.0392133,0.04177,0.0179392,0.00801415,0.0171416,0.0437669,0.0214553,0.0318442,0.0318267,0.0552305,0.0545313,0.0699033,0.0464909,0.0458298,0.0699114,0.016432,0.015576,0.00879323,0.00952801,0.0276721,0.0161121,0,0,0
5,0,0,0,0,0.0553535,0.0486954,0,0,0,0.0457181,0,0.0243777,0.0609755,0,0,0.0175934,0,0,0.0512201,0.0367613,0.0371692,0.00737223,0.0132238,0.0309162,0.0447293,0.0228652,0.0393867,0.0608826,0.0485144,0.0601365,0.0580921,0.0563837,0.0552036,0.0138827,0.0419238,0.012493,0.0120435,0.0366242,0,0.0125217,0.0605387,0.0357587,0,0,0.0203728,0,0,0.0391796,0.0413021,0.0165627,0.00855176,0.0171367,0.0440807,0.022042,0.0306981,0.0325689,0.0557756,0.0543089,0.0703709,0.0472909,0.0463586,0.0698118,0.0181955,0.015494,0.00885327,0.00946054,0.0278383,0.0155199,0,0,0
6,0,0,0,0,0.0549795,0.0485602,0,0,0,0.0436649,0,0.0245908,0.0606166,0,0,0.0175712,0,0,0.0509985,0.0366128,0.0396107,0.00796557,0.0123777,0.0310757,0.0447225,0.022596,0.0396235,0.0609214,0.0479466,0.0597694,0.057728,0.0559643,0.0547121,0.0158527,0.0419898,0.0124024,0.0118467,0.0356816,0,0.0126961,0.0606434,0.03522,0,0,0.0195983,0,0,0.0401407,0.0408155,0.0154411,0.00895642,0.0167324,0.0447482,0.0213597,0.0305726,0.0325231,0.0554773,0.0545316,0.0706206,0.0482668,0.0469502,0.0697718,0.0191905,0.0153225,0.00911704,0.0109634,0.027849,0.0147146,0,0,0
7,0,0,0,0,0.0544785,0.0484904,0,0,0,0.0413927,0,0.0250822,0.0601259,0,0,0.0177106,0,0,0.0510961,0.0363095,0.0421698,0.00867001,0.0114662,0.0315551,0.0446904,0.0223056,0.0397859,0.0609003,0.0473978,0.0594132,0.0573938,0.0557689,0.0544047,0.0184341,0.0417779,0.0123675,0.0119837,0.0345337,0,0.0126406,0.060643,0.0347039,0,0,0.0198846,0,0,0.0405013,0.0402811,0.0157509,0.00916301,0.0166896,0.0453608,0.0216148,0.0311289,0.0318846,0.0546288,0.0548465,0.0702878,0.0487212,0.0466975,0.0691289,0.0209116,0.0149608,0.00949573,0.0112649,0.0279267,0.0134966,0,0,0
8,0,0,0,0,0.054037,0.0484008,0,0,0,0.0385571,0,0.0258843,0.060158,0,0,0.0182927,0,0,0.0515441,0.035861,0.044569,0.00947697,0.0107214,0.0321469,0.044713,0.0220561,0.0398653,0.0609361,0.0470484,0.0588997,0.0568585,0.0554147,0.0540871,0.0217558,0.04112,0.0125634,0.0121943,0.031997,0,0.0129928,0.0599899,0.0342244,0,0,0.0202982,0,0,0.0407627,0.0395573,0.0176926,0.00868343,0.0174236,0.0454758,0.0217781,0.0310343,0.0317903,0.0540483,0.0544746,0.0693417,0.0482948,0.045464,0.06774,0.0251097,0.0144313,0.00951833,0.011614,0.0281475,0.0124144,0,0,0
9,0,0,0,0,0.0535714,0.0482446,0,0,0,0.0353465,0,0.0268106,0.0609119,0,0,0.0191909,0,0,0.0521766,0.0353112,0.046776,0.0102686,0.0101561,0.0325076,0.0449488,0.0219183,0.0398553,0.0610258,0.0469347,0.058245,0.0561041,0.0547745,0.0535636,0.0257599,0.0403021,0.0125961,0.0126935,0.0286831,0,0.014191,0.0586968,0.0336509,0,0,0.0207639,0,0,0.0408415,0.0386794,0.0206583,0.0075931,0.0184703,0.045259,0.0216977,0.0298562,0.0322451,0.0540378,0.052934,0.0681129,0.0471639,0.043809,0.0662961,0.0316173,0.0138689,0.00920583,0.0118966,0.0284517,0.0119382,0,0,0
