Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Door:FBR,,,Door:FTR,,,Door:FTL,,,Door:FBL,,,Door:DBR,,,Door:DTR,,,Door:DTL,,,Door:DBL,,,Door:IMU_R,,,Door:IMU_M,,,Door:IMU_L,,,Door:Handle1,,,Door:Handle2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
10706,0,768.227295,-530.155334,1651.350708,667.112976,-545.683228,1650.559692,796.475708,-406.320190,1634.628418,629.462524,-403.254700,1618.083252,777.728882,-460.356964,1533.871094,653.235474,-465.121185,1537.699219,723.922791,-273.397217,1385.350952,720.945312,-260.968964,1299.953247,720.489380,-456.364960,1391.941162,718.571655,-469.703522,1323.959839,634.627747,-264.354858,1353.393188,911.915344,-360.865845,1442.876587,950.952759,-365.116638,1213.549927,958.639221,-379.074005,1112.851440,,,,947.951477,-416.062866,1006.993896,885.808533,-458.472565,859.969116,920.872253,-396.937073,860.824341,908.707153,-476.636536,752.270996,939.209351,-412.413269,792.440247,506.590668,-367.330383,1405.834839,492.454529,-339.613708,1235.873291,484.915161,-330.832336,1106.024414,,,,473.652374,-373.547729,985.412598,509.128143,-437.561951,852.705078,487.896698,-369.444153,848.166138,501.594971,-423.184967,736.927856,481.470215,-370.529633,786.910156,789.653809,-491.074738,966.878601,647.663635,-491.447449,961.110718,786.359985,-285.189972,984.324219,644.335693,-280.658722,981.945374,869.628906,-387.794556,984.787048,551.830933,-388.252167,979.948730,,,,877.836182,-385.994110,675.998962,845.271240,-444.208160,623.970215,849.997620,-384.476196,562.302917,874.395935,-322.743469,615.146851,854.083069,-369.617065,499.739807,,,,861.816040,-309.047302,419.794983,864.028137,-343.351288,365.430145,855.576172,-265.779510,319.292572,848.674072,-235.230164,370.661072,830.435242,-262.408447,87.020195,,,,774.021484,-208.562836,42.989075,823.982422,-494.234314,50.196529,529.327698,-385.153198,827.975647,876.202271,-430.041138,42.390591,569.845276,-439.353241,634.225342,580.941406,-403.667908,557.135132,563.229126,-322.758362,591.700745,549.527039,-359.303558,667.297791,577.400208,-383.200012,482.966156,,,,567.791016,-313.792328,404.999176,572.403259,-371.269104,333.886383,573.757812,-322.889343,301.308960,575.893738,-266.075409,369.709076,593.504272,-281.345886,95.999870,,,,661.550415,-222.397980,36.949886,598.159668,-507.207275,41.579742,544.813110,-444.221405,40.111694,221.495865,510.092072,1422.304077,226.559464,517.222290,1735.195435,1119.776367,539.653931,1749.475708,1120.195068,527.325134,1449.646118,391.582977,422.776062,1201.271973,388.742706,426.170044,1531.333252,963.041687,404.398468,1543.648926,957.757568,401.855896,1229.951782,870.630005,491.715424,1214.014771,899.354309,503.184723,1227.104736,927.110779,491.164795,1242.956665,997.187866,576.066223,1189.311646,967.054565,561.806763,756.596130
10707,0,768.067322,-530.464478,1651.323975,667.105774,-545.843323,1650.361206,796.304321,-406.578491,1634.631714,629.296631,-403.547241,1618.066650,777.619568,-460.642822,1533.850952,653.119263,-465.355652,1537.651611,723.829102,-273.763641,1385.304932,720.821228,-261.155426,1299.880127,720.346252,-456.920410,1392.005859,718.445557,-469.993744,1323.934814,634.447083,-264.627045,1353.344360,911.729614,-361.083069,1442.838013,950.753540,-365.657745,1213.765991,958.409302,-379.050964,1112.784424,,,,947.858521,-416.199371,1006.989502,885.698242,-458.657806,859.976562,920.744995,-397.136841,860.738708,908.400269,-476.724884,752.294556,939.085754,-412.545898,792.407959,506.467407,-367.622162,1405.802856,492.326141,-339.962036,1235.854248,484.756073,-331.242706,1106.030518,,,,473.531830,-373.894257,985.355713,509.042725,-437.922119,852.633606,487.765839,-369.759827,848.112793,501.503357,-423.488922,736.866333,481.072815,-371.220703,787.081482,789.507996,-491.329498,966.854065,647.519470,-491.714478,961.073669,786.230652,-284.334045,984.532288,644.161804,-280.944397,981.940308,869.512146,-388.166382,984.763733,551.668335,-388.559265,979.914307,893.531128,-387.557739,830.451721,877.745239,-386.201508,675.964417,845.205017,-444.359894,623.939636,849.896362,-384.622955,562.310608,874.228088,-322.866974,615.143860,854.018127,-369.825104,499.769104,,,,861.763977,-309.168152,419.806976,863.992432,-343.477448,365.408844,855.461853,-265.913177,319.317749,848.599915,-235.334061,370.667725,830.451355,-262.405273,87.098328,,,,773.756409,-208.534164,43.198627,823.993591,-494.268188,50.218216,529.165222,-385.491364,827.944214,876.197815,-430.074554,42.390667,569.722717,-439.587402,634.157898,580.875244,-403.851990,557.106506,562.932678,-323.231873,591.834534,549.428833,-359.535645,667.234253,577.347168,-383.326996,482.894043,,,,567.733337,-313.920441,404.980896,572.344238,-371.369537,333.853485,573.610474,-322.987488,301.284393,575.770935,-266.219482,369.705597,593.487244,-281.362793,95.998856,,,,661.565002,-222.420715,36.909092,598.184082,-507.192627,41.561958,544.827637,-444.277405,40.127235,221.537643,510.054352,1422.302612,226.616791,517.223633,1735.171875,1119.771118,539.649902,1749.503296,1120.185059,527.303772,1449.657349,391.670135,422.836945,1201.247070,388.773560,426.190002,1531.265869,963.072327,404.858765,1543.646240,957.555115,401.750000,1230.183838,870.628479,492.074951,1214.032227,899.329346,503.630707,1227.094604,927.105408,491.608765,1242.934448,997.102600,576.476929,1189.296143,966.965027,562.157104,756.557678
10708,0,767.901672,-530.727722,1651.312988,666.941406,-546.060486,1650.258179,796.139282,-406.835602,1634.601929,629.149048,-403.805359,1618.034302,777.474487,-460.859802,1533.787720,652.880859,-465.765228,1537.592529,723.612976,-273.974976,1385.295776,720.673157,-261.397949,1299.913452,720.212830,-457.182495,1391.975098,718.300598,-470.249817,1323.894409,634.240906,-264.904175,1353.304688,911.561707,-361.366028,1442.835083,950.703735,-365.947906,1213.782593,958.290039,-379.153992,1112.752808,,,,947.717041,-416.302917,1006.960022,885.546326,-458.804626,859.943726,920.611145,-397.305420,860.758118,908.267639,-476.820618,752.220764,938.964966,-412.753021,792.424866,506.291046,-367.890259,1405.767212,492.112579,-340.308319,1235.814087,484.569885,-331.637177,1106.006104,,,,473.390625,-374.229614,985.304932,508.963348,-438.208862,852.587097,487.607239,-370.081573,848.057251,501.385437,-423.766815,736.823486,480.902252,-371.533142,787.049011,789.364136,-491.527863,966.753967,647.383972,-491.990967,961.009155,786.098083,-284.445496,984.584045,643.990417,-281.203278,981.962341,869.313965,-388.270935,984.684021,551.491150,-388.802612,979.855225,893.523132,-387.928131,830.141907,877.605042,-386.340881,675.957642,845.110840,-444.461395,623.842346,849.802429,-384.766449,562.264038,873.921387,-323.311249,615.230530,853.932922,-369.937531,499.752533,,,,861.668213,-309.299408,419.791138,863.630981,-343.695953,365.283539,855.428894,-265.984039,319.315430,848.540710,-235.426025,370.703674,830.443054,-262.455719,87.054634,,,,773.774780,-208.501801,43.210571,823.996460,-494.248230,50.198158,529.041931,-385.613281,827.901611,876.157104,-430.092926,42.478882,569.636292,-439.788788,634.145813,580.800232,-403.985962,557.051270,563.216553,-322.960846,591.585693,549.294739,-359.749939,667.223022,577.309204,-383.443420,482.885284,,,,567.832520,-314.249390,404.913361,572.336914,-371.483673,333.821625,573.395203,-323.119843,301.305115,575.758301,-266.238831,369.722595,593.500183,-281.342285,95.984612,,,,661.567993,-222.440033,36.969273,598.185974,-507.247559,41.559978,544.852295,-444.241791,40.118366,221.622833,510.010376,1422.287842,226.605423,517.226135,1735.178101,1119.805664,539.705261,1749.519531,1120.224854,527.358704,1449.666260,391.609772,422.839386,1201.250732,388.780823,426.263214,1531.257568,963.137207,405.189667,1543.647095,957.816711,402.603271,1229.912720,870.591370,492.423248,1214.060791,899.312805,504.020264,1227.094727,927.122437,492.065979,1242.921265,997.024109,576.877441,1189.310059,966.918213,562.549255,756.584839
10709,0,767.737000,-531.019714,1651.271606,666.691101,-546.448242,1650.234619,795.993591,-407.116394,1634.619263,628.978821,-404.054321,1618.003540,777.274536,-461.124023,1533.791992,652.686279,-466.044128,1537.591064,723.544189,-274.224609,1385.263672,720.585693,-261.645355,1299.967896,720.039917,-457.408936,1391.907593,718.135864,-470.513000,1323.869995,634.157227,-265.160278,1353.320312,911.299744,-361.582184,1442.658813,950.507080,-366.081818,1213.761719,958.244995,-379.432465,1112.777344,,,,947.554016,-416.490051,1006.951355,885.393616,-458.994629,859.926514,920.455688,-397.398529,860.731873,908.304688,-477.136780,752.224731,938.781799,-412.887665,792.409607,505.989624,-368.322205,1405.809937,491.931152,-340.647186,1235.802246,484.330994,-332.042572,1106.010620,,,,473.204193,-374.548859,985.303772,508.782928,-438.524384,852.577026,487.514008,-370.389679,848.005859,501.230072,-424.073395,736.817627,480.740936,-371.843323,787.012024,789.175415,-491.766418,966.744995,647.177368,-492.258942,960.994751,785.818604,-285.810059,984.360901,643.853699,-281.412628,981.958252,869.113708,-388.490967,984.636963,551.299133,-389.088379,979.827637,893.106445,-387.153534,831.071228,877.470642,-386.491760,675.892029,844.949097,-444.602325,623.815857,849.668152,-384.923737,562.221069,873.802185,-323.453796,615.192932,853.778137,-370.073334,499.704834,,,,861.577454,-309.450134,419.794128,863.794983,-343.705841,365.387756,855.317017,-266.112762,319.308746,848.438904,-235.550095,370.676483,830.434265,-262.398071,87.146828,,,,773.994507,-208.574158,43.030563,823.973389,-494.280975,50.211426,528.896423,-385.781006,827.871094,876.179504,-430.088104,42.431015,569.525024,-439.977478,634.133118,580.688110,-404.153259,557.039490,562.961853,-323.265594,591.723572,549.164124,-359.987061,667.236023,577.169006,-383.609741,482.897949,,,,567.749329,-314.353821,404.940216,572.220398,-371.590271,333.836456,573.416809,-323.130310,301.324738,575.445740,-266.560638,369.660370,593.472717,-281.358337,96.032578,,,,661.602356,-222.402695,37.029194,598.156128,-507.202789,41.578182,544.804504,-444.264496,40.116360,221.608887,510.012970,1422.301270,226.633469,517.225342,1735.191406,1119.801147,539.796997,1749.523438,1120.242188,527.422119,1449.675293,391.586823,422.777679,1201.308594,388.782959,426.280273,1531.300171,963.160400,405.548218,1543.687744,957.854980,402.946075,1229.955933,870.544312,492.738220,1214.057617,899.303833,504.406982,1227.124512,927.083923,492.448334,1242.956421,996.859070,577.297729,1189.307983,966.869507,562.952332,756.548706
10710,0,767.578735,-531.325012,1651.278320,666.473145,-546.780457,1650.380249,795.778137,-407.381012,1634.623535,628.932190,-404.455475,1617.952881,777.144165,-461.437836,1533.785522,652.647583,-466.136536,1537.579346,723.392883,-274.390991,1385.259766,720.399109,-261.931030,1299.912842,719.891113,-457.433380,1391.811646,718.006775,-470.769104,1323.856567,633.976746,-265.407257,1353.309570,911.200684,-361.728333,1442.828125,950.383362,-366.302734,1213.757202,957.968384,-379.460419,1112.738403,,,,947.427368,-416.611206,1006.927124,885.252197,-459.158569,859.936340,920.380981,-397.475128,860.759460,908.174988,-477.272583,752.197266,938.645264,-413.037354,792.380859,505.836548,-368.612793,1405.799805,491.768921,-340.950745,1235.776245,484.145660,-332.388336,1106.002686,,,,473.069580,-374.884430,985.267212,508.713074,-438.776855,852.566345,487.356995,-370.639984,848.010925,501.104950,-424.278503,736.770142,480.620117,-372.130676,786.975220,789.030579,-491.978455,966.707886,647.060913,-492.527344,960.975525,785.713318,-284.880310,984.595459,643.703979,-281.628937,981.970642,868.957397,-388.668762,984.625488,551.141785,-389.354462,979.817505,892.991211,-387.330322,831.031372,877.358093,-386.663849,675.856079,844.832214,-444.759247,623.793701,849.518738,-385.130829,562.219727,873.655212,-323.608185,615.198975,853.680298,-370.244415,499.720520,,,,861.487122,-309.531525,419.818237,863.471985,-343.907654,365.302734,855.245789,-266.187683,319.341064,848.312134,-235.651825,370.696045,830.390747,-262.397583,87.070503,,,,774.007690,-208.572342,43.095997,824.001526,-494.291260,50.230907,528.743286,-386.144775,827.838989,876.138977,-430.149719,42.549381,569.438538,-440.120758,634.098633,580.625366,-404.309814,557.042786,562.748718,-323.600525,591.779236,549.060974,-360.181427,667.234558,577.140869,-383.743744,482.924988,,,,567.676086,-314.443573,404.971741,572.193726,-371.633820,333.849731,573.284058,-323.206085,301.301270,575.611572,-266.429993,369.717896,593.514160,-281.485931,96.048294,,,,661.591125,-222.412430,37.033230,598.135803,-507.393372,41.605865,544.828918,-444.273254,40.125164,221.635986,510.020020,1422.337158,226.656906,517.212830,1735.219727,1119.822998,539.839111,1749.553711,1120.251831,527.431396,1449.686157,391.661041,422.800934,1201.329590,388.800720,426.336823,1531.322632,963.119751,405.870300,1543.686279,957.871826,403.295013,1229.998291,870.516785,493.015076,1214.048218,899.259949,504.741241,1227.140869,927.064270,492.797302,1242.958984,996.805847,577.716431,1189.302979,966.800659,563.382019,756.562744
10711,0,767.396851,-531.583679,1651.246460,666.302063,-547.077942,1650.343994,795.610840,-407.631683,1634.586670,628.752747,-404.736908,1617.924194,776.956116,-461.683075,1533.776367,652.442505,-466.429718,1537.578003,723.168884,-274.648315,1385.243774,720.096619,-262.281494,1299.810547,719.748779,-457.879028,1391.854370,717.859497,-471.029205,1323.809204,633.792297,-265.682404,1353.273560,910.968933,-362.036407,1442.613037,950.206116,-366.467499,1213.717407,957.956848,-379.870819,1112.794434,,,,947.266296,-416.790955,1006.886719,885.137939,-459.318329,859.909180,920.316345,-399.297241,859.584412,908.064026,-477.426880,752.164856,938.484619,-413.169739,792.350586,505.700836,-368.892548,1405.706421,491.576569,-341.233307,1235.755981,483.999542,-332.611816,1105.939941,,,,472.900024,-375.145477,985.239197,508.566742,-438.995728,852.503723,487.170868,-370.923584,847.971924,500.983002,-424.508850,736.750488,480.484131,-372.350311,786.917542,788.884888,-492.213501,966.700684,646.902893,-492.743683,960.944519,785.532471,-285.074707,984.584778,643.472839,-281.937775,981.962158,868.765625,-388.776428,984.582947,550.968323,-389.607422,979.793884,892.818359,-387.406738,831.048950,877.192139,-386.863068,675.878967,844.677185,-444.923615,623.828186,849.385620,-385.217804,562.252930,873.545410,-323.748199,615.230164,853.547607,-370.298035,499.665039,,,,861.350525,-309.609436,419.876007,863.439026,-343.977692,365.365692,855.148621,-266.260956,319.335266,848.195129,-235.763733,370.732239,830.277344,-262.430969,87.044632,,,,773.952454,-208.615005,43.039963,823.982178,-494.332306,50.274082,528.573364,-386.321594,827.779175,876.184448,-430.103973,42.508629,569.314331,-440.284332,634.053467,580.486633,-404.462830,557.009949,562.715332,-323.715607,591.830139,548.931519,-360.332855,667.216492,577.074707,-383.804169,482.872681,,,,567.775513,-314.326324,405.223450,572.104675,-371.694244,333.820374,573.211853,-323.256378,301.263855,575.529419,-266.499664,369.744812,593.479370,-281.410492,96.063034,,,,661.582458,-222.445251,37.020466,598.183472,-507.212646,41.610703,544.841370,-444.247101,40.157894,221.655792,510.009003,1422.319214,226.670471,517.198853,1735.203857,1119.801147,539.913025,1749.560059,1120.254028,527.444092,1449.695068,391.635895,422.911285,1201.317993,388.814789,426.382202,1531.329834,963.193970,406.242920,1543.691772,957.750793,403.249512,1230.138916,870.498535,493.330994,1214.077881,899.247253,505.003998,1227.134888,927.044189,493.187347,1242.938110,996.734253,578.085938,1189.321899,966.739380,563.722107,756.572693
10712,0,767.211609,-531.832703,1651.218750,666.180481,-547.246033,1650.156372,795.460571,-407.895142,1634.590332,628.596619,-404.911133,1617.890259,776.794434,-461.899261,1533.753540,652.284424,-466.727966,1537.546509,723.013550,-274.874146,1385.230103,719.360596,-263.012939,1300.153809,719.569641,-458.104340,1391.819824,717.710815,-471.263000,1323.770386,633.586914,-265.965179,1353.240479,910.805542,-362.225952,1442.574097,950.044922,-366.688507,1213.698120,957.765503,-380.030884,1112.748169,,,,947.120605,-416.979980,1006.858459,884.997437,-459.496246,859.853943,920.081055,-397.755219,860.692139,907.935852,-477.529327,752.081543,938.327087,-413.316620,792.325500,505.519806,-369.141235,1405.689087,491.407196,-341.479248,1235.701294,483.875061,-332.882050,1105.888428,,,,472.794312,-375.325684,985.180603,508.439301,-439.204529,852.466492,487.058868,-371.149445,847.874817,500.861298,-424.711578,736.723022,480.344025,-372.564789,786.899353,788.740845,-492.407196,966.681641,646.768250,-492.989716,960.900818,785.345703,-285.315216,984.585999,643.302124,-282.147095,981.967590,868.613220,-389.047882,984.646362,550.810242,-389.813324,979.732605,892.684204,-387.572418,831.065247,877.017395,-387.049133,675.886902,844.511658,-445.029999,623.811890,849.265686,-385.257935,562.211426,873.622681,-323.548218,615.069580,853.406250,-370.308868,499.689056,,,,861.281372,-309.645477,419.891968,863.328613,-343.991486,365.370605,855.020447,-266.307098,319.398529,848.105835,-235.807343,370.790527,830.293091,-262.441650,87.091385,,,,773.724792,-208.629608,43.280235,823.981995,-494.336395,50.276855,528.426941,-386.651245,827.727051,876.081543,-430.183960,42.599255,569.197571,-440.437256,634.015930,580.383301,-404.536896,556.957397,562.557312,-323.857513,591.798950,548.798523,-360.534943,667.174377,576.937439,-383.923920,482.883179,,,,567.326050,-314.370636,405.018494,572.026001,-371.713867,333.791565,572.570557,-323.224548,301.330322,575.260620,-266.798676,369.657471,593.441772,-281.400940,96.060974,,,,661.550110,-222.460159,37.033039,598.136597,-507.234863,41.601486,544.817627,-444.261383,40.146698,221.604675,509.977051,1422.317993,226.677643,517.213623,1735.197021,1119.807861,539.917114,1749.570190,1120.250366,527.549561,1449.713623,391.605316,422.903839,1201.319824,388.801422,426.416687,1531.333618,963.200317,406.550568,1543.670654,957.773376,403.618561,1230.179199,870.458557,493.588867,1214.059692,899.222046,505.310944,1227.159424,927.108826,493.630737,1243.040283,996.675476,578.490845,1189.326050,966.648621,564.189087,756.596619
10713,0,767.044373,-532.115540,1651.160522,666.054688,-547.441895,1650.101196,795.270508,-408.200134,1634.529297,628.429749,-405.157074,1617.837646,776.620056,-462.172180,1533.718750,652.121216,-466.988708,1537.508667,722.858215,-275.131439,1385.182373,719.256653,-263.157166,1300.166748,719.426575,-458.335571,1391.767822,717.557312,-471.475464,1323.712036,633.422791,-266.218323,1353.249512,910.838318,-362.411011,1442.740112,949.896667,-366.880524,1213.642578,957.622681,-380.286469,1112.676270,,,,946.945618,-417.169830,1006.806152,884.868469,-459.701080,859.806396,919.896118,-398.042999,860.585632,907.819824,-477.660004,752.022949,938.185547,-413.456421,792.264526,505.386230,-369.388702,1405.641357,491.283386,-341.698700,1235.654053,483.624969,-333.283417,1105.981812,,,,472.626038,-375.536774,985.136047,508.302460,-439.403931,852.442383,486.934998,-371.295807,847.872559,500.752380,-424.854248,736.643799,480.213806,-372.782349,786.847839,788.596741,-492.642456,966.664978,646.624695,-493.245605,960.879761,785.099365,-286.640869,984.339966,643.077759,-282.367462,981.969971,868.455261,-389.193268,984.589905,550.659729,-390.074646,979.707581,892.645264,-388.728394,830.133240,876.847290,-387.126678,675.834839,844.391479,-445.089142,623.756775,849.143127,-385.336914,562.209290,873.517517,-323.687775,615.115540,853.321045,-370.386200,499.684753,,,,861.184998,-309.720764,419.912750,863.495361,-343.921967,365.470856,854.934631,-266.313324,319.451141,847.999634,-235.818558,370.861053,830.292786,-262.478058,87.179024,,,,774.002014,-208.669464,43.072948,823.987610,-494.350739,50.259258,528.264709,-387.027313,827.642151,876.184387,-430.122314,42.453674,569.108154,-440.540192,633.940369,580.257812,-404.696930,556.938599,562.646423,-323.741211,591.655334,548.633423,-360.690918,667.153015,576.828308,-384.015167,482.863586,,,,567.661743,-314.516357,404.938629,572.000000,-371.792419,333.799957,573.797424,-323.401611,301.065063,575.152344,-266.839050,369.664124,593.458923,-281.469910,96.064430,,,,661.606445,-222.461929,37.007248,598.140930,-507.405579,41.629871,544.821045,-444.294373,40.149128,221.641830,509.999390,1422.310791,226.690109,517.177185,1735.196289,1119.794678,539.921814,1749.574097,1120.260010,527.562744,1449.706543,391.671906,422.843323,1201.338013,388.838287,426.465485,1531.322388,963.230286,406.937073,1543.663574,957.833069,404.009247,1230.114502,870.471375,493.857269,1214.078857,899.231445,505.668457,1227.132446,926.953613,493.685760,1242.986938,996.653198,579.009583,1189.363525,966.583374,564.616455,756.592712
10714,0,766.846619,-532.426697,1651.120483,665.846680,-547.801331,1650.053223,795.093323,-408.475403,1634.518188,628.253174,-405.582031,1617.861450,776.460693,-462.448456,1533.691406,651.969177,-467.234131,1537.469849,722.685486,-275.357513,1385.202393,719.668884,-263.004700,1299.461914,719.257385,-458.584259,1391.721069,717.401672,-471.726410,1323.698120,633.232056,-266.440460,1353.303101,910.517395,-362.658386,1442.540649,949.702393,-367.162750,1213.604004,957.388428,-380.439575,1112.638550,,,,946.753967,-417.403656,1006.746765,884.720459,-459.838379,859.724792,919.771729,-398.239838,860.508850,907.682129,-477.807373,751.963562,937.997192,-413.591766,792.211670,505.192749,-369.647217,1405.631592,491.114441,-341.936523,1235.646729,483.446198,-333.518127,1106.000488,,,,472.514343,-375.689056,985.125000,508.171448,-439.575134,852.415833,486.792114,-371.472229,847.893188,500.613617,-425.010223,736.636902,480.084106,-372.948090,786.868713,788.422058,-492.807861,966.622253,646.470825,-493.454407,960.860168,784.946655,-285.834686,984.569275,642.869934,-282.565948,982.006775,868.312866,-389.392181,984.620239,550.488159,-390.332214,979.680725,892.470886,-388.952606,830.168091,876.806580,-387.211487,675.992554,844.252441,-445.144104,623.709106,849.031372,-385.446564,562.192200,873.354370,-323.748993,615.109070,853.220459,-370.487305,499.721069,,,,861.105225,-309.785339,419.918243,863.195007,-344.074066,365.403198,854.867798,-266.357971,319.426971,847.933350,-235.859665,370.844055,830.309937,-262.454071,87.214706,,,,773.746094,-208.613953,43.320671,823.984802,-494.354065,50.276699,528.182983,-387.007751,827.657532,876.132568,-430.194794,42.598610,568.990540,-440.702606,633.926086,580.150574,-404.802765,556.924744,562.439636,-324.016876,591.770508,548.561829,-360.877136,667.181152,576.855103,-384.034973,482.829437,,,,567.631958,-314.581879,404.967010,571.957275,-371.840973,333.773804,572.945129,-323.361084,301.276611,575.102478,-266.878113,369.733154,593.428650,-281.449066,96.086876,,,,661.601196,-222.444794,37.084663,598.160950,-507.270935,41.614094,544.830261,-444.284180,40.124031,221.662735,509.957245,1422.311646,226.724686,517.159546,1735.217651,1119.801880,539.914490,1749.572510,1120.236084,527.528870,1449.724243,391.683105,422.974823,1201.344116,388.845276,426.509003,1531.349854,962.829102,406.698914,1543.459961,957.808411,404.312622,1230.164795,870.423279,494.136230,1214.107544,899.178345,505.927032,1227.135376,926.920776,493.935364,1242.992676,996.624451,579.389526,1189.394653,966.493103,565.102234,756.562683
