Trajectories
100
,,Subject:LFHD,,,Subject:RFHD,,,Subject:LBHD,,,Subject:RBHD,,,Subject:LEAR,,,Subject:REAR,,,Subject:C7,,,Subject:T10,,,Subject:CLAV,,,Subject:STRN,,,Subject:RBAK,,,Subject:LSHO,,,Subject:LUPA,,,Subject:LELB,,,Subject:LELBM,,,Subject:LFRM,,,Subject:LWRA,,,Subject:LWRB,,,Subject:LFIN,,,Subject:L5HD,,,Subject:RSHO,,,Subject:RUPA,,,Subject:RELB,,,Subject:RELBM,,,Subject:RFRM,,,Subject:RWRA,,,Subject:RWRB,,,Subject:RFIN,,,Subject:R5HD,,,Subject:LASI,,,Subject:RASI,,,Subject:LPSI,,,Subject:RPSI,,,Subject:LILC,,,Subject:RILC,,,Subject:LGTR,,,Subject:LTHI,,,Subject:LTHIA,,,Subject:LTHII,,,Subject:LTHIP,,,Subject:LKNE,,,Subject:LKNEM,,,Subject:LTIB,,,Subject:LTIBA,,,Subject:LTIBI,,,Subject:LTIBP,,,Subject:LANK,,,Subject:LANKM,,,Subject:LHEE,,,Subject:LTOE,,,Subject:RGTR,,,Subject:L5FT,,,Subject:RTHI,,,Subject:RTHIA,,,Subject:RTHII,,,Subject:RTHIP,,,Subject:RKNE,,,Subject:RKNEM,,,Subject:RTIB,,,Subject:RTIBA,,,Subject:RTIBI,,,Subject:RTIBP,,,Subject:RANK,,,Subject:RANKM,,,Subject:RHEE,,,Subject:RTOE,,,Subject:R5FT,,,Door:FBR,,,Door:FTR,,,Door:FTL,,,Door:FBL,,,Door:DBR,,,Door:DTR,,,Door:DTL,,,Door:DBL,,,Door:IMU_R,,,Door:IMU_M,,,Door:IMU_L,,,Door:Handle1,,,Door:Handle2,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
8670,0,721.684082,1805.251953,1655.161377,622.147461,1783.713745,1653.713379,742.587830,1930.367310,1637.662964,575.673645,1922.876221,1620.079468,728.448608,1874.817017,1537.332886,604.181274,1862.453369,1540.508667,666.530457,2059.226318,1384.558960,661.442505,2072.805420,1300.226562,668.113708,1874.332397,1395.479126,664.362488,1861.593018,1327.071411,578.884521,2066.145020,1353.967041,856.946899,1973.318970,1438.320190,891.366943,1963.251465,1210.184448,898.526062,1947.414062,1109.813843,,,,891.377197,1908.884277,1004.679932,835.110535,1856.144897,859.759033,858.971863,1922.967896,857.746521,861.387634,1837.990112,753.458069,878.616638,1908.561523,789.274658,450.069641,1958.566650,1409.920410,433.217468,1967.121704,1235.529419,423.960968,1953.371338,1104.737427,,,,426.470337,1901.803467,986.971436,476.110809,1845.833984,856.952209,436.196167,1903.589722,848.052246,454.887787,1841.943359,742.208923,421.421234,1893.725098,789.926208,737.682861,1845.470703,971.988831,593.835144,1836.418579,967.458374,729.594238,2049.940674,979.940796,587.780151,2050.302246,976.418152,813.363586,1948.911133,986.148438,494.656921,1942.672485,982.862793,839.155518,1945.318604,832.447449,822.672607,1939.842163,679.264221,791.644897,1877.761108,630.863281,791.783569,1933.547729,565.967834,812.309265,1998.606079,614.288696,795.121033,1944.056641,502.647949,,,,796.159668,1999.729614,417.210510,800.108643,1962.115601,364.107239,785.915649,2037.122681,315.183716,776.520691,2069.013428,364.242737,757.614258,2028.500854,84.447525,,,,689.011475,2070.076904,39.538109,769.841736,1791.469116,53.240570,467.386658,1933.875854,831.835388,814.016052,1861.661377,43.485771,514.084778,1874.992554,643.902527,,,,502.108093,1988.004028,592.047485,489.575104,1956.386841,670.107788,519.131042,1921.129761,486.671051,,,,508.564941,1987.677368,403.796844,514.360718,1928.034424,334.245605,514.693237,1975.744141,300.158875,514.690430,2033.857056,366.807922,532.045715,2007.679932,94.363625,,,,598.252563,2068.946045,33.994190,547.935364,1781.251953,45.042873,492.677551,1841.148682,42.309284,222.187332,510.098145,1422.347046,226.782822,517.625244,1735.260254,1119.942627,538.860657,1749.615723,1120.405518,526.486511,1449.782104,391.889557,424.487366,1201.541992,388.580536,427.670074,1531.313721,963.209534,416.167511,1543.949097,957.559265,412.035217,1230.482910,869.547302,501.344788,1214.292969,898.005737,513.301514,1227.366577,925.992310,502.104095,1243.280640,994.513428,588.162598,1189.496216,964.901550,573.124268,756.788330
8671,0,721.525024,1806.223755,1655.519653,621.807312,1784.582520,1654.249390,742.296814,1931.347656,1637.793823,575.360352,1923.606201,1620.101318,728.177429,1875.485718,1537.563354,603.976929,1863.093018,1540.727905,666.349365,2059.401123,1384.278564,661.296204,2072.786621,1299.918701,668.153320,1874.614624,1395.625366,664.290283,1861.666260,1327.281616,578.661499,2066.211426,1353.591064,856.937866,1973.750610,1438.155151,890.338684,1963.517822,1209.723145,896.592285,1947.556152,1109.270874,,,,888.525635,1909.800049,1004.011841,830.790466,1858.737183,859.086792,855.239014,1925.425537,857.325378,857.234863,1842.026733,752.371460,875.107483,1911.033447,789.058167,449.932648,1958.541138,1409.883667,432.717346,1965.838135,1235.532593,423.507935,1951.508423,1104.721924,,,,426.470795,1899.697388,987.097534,480.264954,1847.729492,855.510071,436.133331,1901.003662,848.095337,455.590790,1840.009033,742.214661,421.476624,1891.242798,790.063721,737.578613,1845.189209,971.962463,596.506897,1840.584839,965.947021,729.787964,2049.589600,979.916016,588.014832,2050.134033,976.389526,813.373535,1948.380127,986.011719,494.431976,1941.963745,982.746399,839.012573,1944.894653,832.052979,822.672424,1939.489380,679.031860,791.480957,1877.460449,630.801758,791.574280,1933.139526,565.779541,812.804199,1998.596680,614.329651,794.919373,1943.680298,502.546417,,,,796.057861,1999.181152,417.075317,800.240845,1961.915771,364.202393,785.812988,2036.720947,315.105377,776.536560,2068.506836,364.197998,757.424377,2028.444580,84.487534,,,,688.927124,2070.070068,39.485142,769.947205,1791.554688,53.268139,467.144592,1934.228516,831.798157,814.036133,1861.701294,43.545181,514.010193,1875.019043,643.795288,,,,502.108582,1988.063843,591.996338,489.478516,1956.478638,670.124023,519.043274,1921.245605,486.650208,,,,508.603882,1987.833252,403.766235,514.222290,1928.202637,334.219788,514.398682,1976.016724,300.323486,514.770020,2034.000366,366.772949,532.002502,2007.753662,94.323814,,,,598.246033,2068.969971,33.986443,547.919312,1781.267334,45.094833,492.414612,1841.189575,42.261051,222.199371,510.101501,1422.349609,226.792206,517.628357,1735.276245,1119.967285,538.868835,1749.593750,1120.392090,526.449341,1449.778809,391.900116,424.379089,1201.572144,388.577789,427.678955,1531.328125,963.185913,416.132843,1543.935425,957.548218,412.054718,1230.475464,869.517273,501.324768,1214.295288,898.005188,513.311829,1227.386841,925.985596,502.120667,1243.290771,994.516174,588.131958,1189.497192,964.889465,573.148010,756.813416
8672,0,721.799622,1807.209473,1655.800659,621.681091,1785.418091,1654.557129,741.879883,1932.180786,1637.906494,575.057251,1924.304810,1620.138062,727.944214,1876.057861,1537.809937,603.516907,1863.619507,1541.012939,666.164246,2059.493408,1384.053711,661.153748,2072.769043,1299.670166,667.916687,1874.784424,1395.683716,664.188477,1861.762695,1327.412231,578.473145,2066.248779,1353.289551,856.835388,1974.163696,1438.071655,889.353638,1963.729248,1209.328491,894.563843,1947.773193,1108.665894,,,,885.755249,1910.728027,1003.469849,826.759644,1861.003906,858.545776,851.498718,1927.588501,857.021545,851.302368,1844.380005,751.288635,871.804138,1912.793091,788.855225,449.754181,1958.548218,1409.856812,432.586426,1964.508789,1235.450073,423.214172,1949.780518,1104.692871,,,,426.436737,1897.694946,987.298096,480.878693,1846.042603,855.677063,435.886261,1898.855103,848.448425,456.679504,1838.381348,742.336975,421.559692,1888.891846,790.278870,737.497559,1844.870605,971.980530,596.470398,1840.428467,965.944397,729.972229,2049.308105,979.905518,588.176025,2049.997314,976.364136,813.378662,1948.062622,985.946777,494.359772,1941.608887,982.677795,839.361816,1944.996582,831.742737,822.667419,1939.341431,678.935364,791.318604,1877.225952,630.720886,791.406311,1932.683228,565.536987,812.812988,1998.253540,614.051758,794.697449,1943.058228,502.310333,,,,795.996216,1998.688232,416.994080,800.063843,1961.453857,364.080597,785.737732,2036.303467,315.059082,776.730774,2068.222656,364.296173,757.231445,2028.426636,84.442039,,,,688.877197,2070.026855,39.499752,769.927795,1791.546265,53.253387,467.198517,1934.205811,831.764648,813.986572,1861.696777,43.574203,513.911682,1874.947876,643.757385,,,,502.109344,1988.053467,591.954712,488.862823,1956.910645,670.104980,518.918457,1921.259521,486.601074,,,,508.592499,1987.865234,403.761566,514.098999,1928.220093,334.229797,514.604980,1975.909058,300.090027,514.870667,2033.993530,366.790253,531.985718,2007.778442,94.314484,,,,598.242004,2069.035889,34.038738,547.917419,1781.287231,45.101246,492.494019,1841.222900,42.247070,222.195831,510.126068,1422.351562,226.768448,517.644714,1735.268799,1119.941284,538.862854,1749.635132,1120.397461,526.499573,1449.797119,391.887634,424.363892,1201.590698,388.565002,427.691437,1531.344238,963.184387,416.163330,1543.949463,957.795105,412.464447,1230.458496,869.512756,501.346771,1214.288452,898.005676,513.349365,1227.375977,925.965820,502.128662,1243.280151,994.542053,588.144836,1189.484619,964.904663,573.123413,756.804626
8673,0,722.144714,1808.181519,1656.296875,621.341003,1786.066284,1654.926025,741.597229,1932.946289,1638.017700,574.770325,1924.930664,1620.140137,727.804810,1876.615601,1538.069946,603.631104,1864.085083,1541.116211,665.993896,2059.564453,1383.806030,661.001282,2072.782471,1299.450928,668.000854,1875.087524,1395.852295,664.097046,1861.830811,1327.540405,578.284851,2066.304199,1353.014038,856.634583,1974.548950,1437.963745,888.314697,1963.982056,1208.965698,892.822083,1948.134155,1108.340820,,,,883.275940,1911.653320,1003.023865,823.464294,1862.393555,858.334290,848.747498,1929.093506,856.884155,847.608887,1846.664551,750.848999,869.170776,1913.848267,788.737305,449.583069,1958.547974,1409.914551,432.204010,1963.453003,1235.462280,422.736481,1948.291504,1104.821533,,,,426.489716,1895.934814,987.524963,481.462830,1844.308228,856.017883,435.864807,1896.696655,848.711731,457.504120,1836.641846,742.583313,421.774048,1886.711792,790.516113,737.436340,1844.578857,971.873108,596.358032,1840.234619,965.893860,730.052551,2049.092041,979.893372,588.299133,2049.904053,976.364868,813.038330,1948.197998,985.830872,494.335510,1941.317017,982.656006,839.618774,1944.767822,831.507507,822.751709,1939.193726,678.644958,791.392517,1877.009277,630.647949,791.197998,1932.284058,565.276062,812.795654,1997.987305,613.724915,794.681824,1942.586426,502.163757,,,,795.663269,1997.981201,416.669403,799.910339,1960.958740,363.897858,785.711060,2035.939453,315.025208,776.584900,2067.692627,364.159302,757.106995,2028.386353,84.408020,,,,688.833191,2070.018311,39.448193,769.887146,1791.516113,53.245354,467.188690,1934.194702,831.739136,813.796387,1861.600220,43.552643,513.810059,1874.906982,643.744141,,,,502.106598,1987.972900,591.908569,489.240601,1956.686157,670.029419,518.865723,1921.151245,486.569855,,,,508.558441,1987.791626,403.731812,514.039307,1928.203857,334.169891,514.183655,1976.049927,300.353210,514.861206,2033.954346,366.756744,531.935608,2007.783447,94.285408,,,,598.218262,2069.007080,33.998913,547.898682,1781.284058,45.101448,492.406769,1841.222412,42.231670,222.172592,510.142914,1422.374756,226.763458,517.647461,1735.255249,1119.934814,538.833740,1749.634644,1120.393921,526.513794,1449.796631,391.872589,424.457214,1201.568848,388.545044,427.692535,1531.327271,963.198669,416.203552,1543.967896,957.746521,412.359253,1230.505371,869.489258,501.327759,1214.285156,897.960510,513.356506,1227.362305,925.923035,502.126099,1243.264893,994.543701,588.151855,1189.506348,964.916077,573.122314,756.791382
8674,0,721.247803,1808.854980,1656.898193,621.245789,1786.754639,1655.248047,741.278503,1933.717529,1638.166138,574.488403,1925.425293,1620.161499,727.574707,1877.029541,1538.306274,603.417542,1864.446411,1541.302368,665.814819,2059.635742,1383.623779,660.884521,2072.767090,1299.243652,667.835327,1875.233521,1395.959473,664.023071,1861.937500,1327.662354,578.076233,2066.302490,1352.785400,856.472595,1974.845947,1437.896606,887.281738,1964.395508,1208.655029,890.909363,1948.793945,1107.958496,,,,881.600159,1912.232910,1002.915833,822.468384,1862.444580,858.390808,848.288818,1929.128906,856.739258,844.360962,1846.671143,750.398743,867.543701,1913.746582,788.384521,449.455231,1958.541382,1409.912231,431.773834,1962.555176,1235.560791,422.534088,1946.822021,1104.872681,,,,426.551788,1894.253540,987.803711,481.849304,1842.510010,856.480713,435.962219,1894.705933,849.100464,458.282227,1834.849243,742.757324,422.088623,1884.603149,790.760193,737.404663,1844.418457,971.811096,596.310364,1840.136597,965.824280,729.977295,2048.948242,979.826782,588.275574,2049.809814,976.343323,812.660706,1948.364258,985.754395,494.357605,1941.208252,982.630066,839.534363,1944.680176,831.304504,822.682617,1939.106323,678.391724,791.510071,1876.964600,630.650452,791.049072,1931.951294,564.975952,812.734253,1997.844604,613.385986,794.613403,1942.046753,501.907593,,,,795.852844,1997.745605,416.765747,799.401489,1960.261353,363.523254,785.612061,2035.627563,314.948425,776.726440,2067.504639,364.272125,756.945374,2028.350342,84.398239,,,,688.767822,2070.024414,39.386646,769.866760,1791.519287,53.300892,467.298889,1933.911011,831.722839,813.850891,1861.659912,43.618637,513.789734,1874.782593,643.731689,,,,502.081207,1987.859619,591.909546,488.959442,1956.672241,670.042114,518.837280,1921.038330,486.525116,,,,508.513153,1987.681519,403.702698,513.949036,1928.118774,334.150146,514.268799,1975.956055,300.292328,514.837952,2033.841553,366.741516,531.909790,2007.784790,94.288055,,,,598.208374,2069.009766,33.980267,547.879456,1781.267822,45.070076,492.443695,1841.225098,42.212292,222.184845,510.154175,1422.350586,226.752106,517.651428,1735.259766,1119.942627,538.865479,1749.628174,1120.381470,526.474915,1449.781006,391.861328,424.324890,1201.504395,388.567596,427.747192,1531.332642,963.183655,416.192902,1543.936890,957.748962,412.423401,1230.459961,869.501892,501.360229,1214.275513,897.968262,513.339783,1227.382324,925.932739,502.135986,1243.275879,994.527100,588.167725,1189.485596,964.906494,573.128784,756.801331
8675,0,720.906982,1809.450928,1657.191650,621.178101,1787.298096,1655.558838,740.983337,1934.329712,1638.366211,574.195679,1925.893555,1620.162598,727.433533,1877.451538,1538.533325,603.232544,1864.738037,1541.478516,665.625000,2059.683594,1383.458984,660.732605,2072.789307,1299.117676,667.821289,1875.431763,1396.036133,663.907776,1861.908936,1327.812378,577.851624,2066.273926,1352.611084,856.301636,1975.166992,1437.878174,886.175476,1964.852051,1208.190552,889.789307,1950.098755,1108.110840,,,,880.989990,1912.806030,1003.479492,823.058228,1861.485352,858.636353,848.959045,1928.182373,856.727722,842.903381,1845.875610,750.138733,867.372620,1912.645996,788.084045,449.290405,1958.468140,1409.997192,431.501160,1961.812256,1235.664307,422.231689,1945.784790,1105.027344,,,,426.681885,1892.772095,988.106628,482.365173,1840.959839,856.908997,436.127319,1892.767578,849.447144,459.128662,1833.076172,743.190552,422.494171,1882.569214,791.087280,737.366455,1844.333862,971.884338,596.382141,1840.239868,965.861572,729.857239,2048.892822,979.803650,588.139221,2049.768799,976.328796,812.438721,1948.417847,985.636414,494.265320,1941.085083,982.624390,839.216797,1944.764282,831.233276,822.515259,1938.934937,678.362183,791.459412,1876.713379,630.658142,790.925110,1931.635864,564.885559,812.641541,1997.673096,613.364563,794.684509,1941.643066,501.879211,,,,795.762207,1997.346802,416.690186,799.267456,1959.933105,363.407990,785.475525,2035.288086,314.880402,776.630920,2067.183350,364.235657,756.783081,2028.310791,84.402573,,,,688.717102,2070.051758,39.401447,769.859131,1791.531372,53.307072,467.224304,1933.802734,831.698242,813.769165,1861.624512,43.644592,513.828613,1874.611328,643.720093,,,,502.007477,1987.702148,591.894531,489.680237,1956.039062,669.842163,518.806580,1920.879150,486.531158,,,,508.471252,1987.538452,403.705292,513.978577,1927.966675,334.127258,514.502014,1975.708618,300.070953,514.780151,2033.778687,366.786469,531.888794,2007.787476,94.280296,,,,598.017273,2068.880859,33.924171,547.871033,1781.273071,45.036720,492.406494,1841.223267,42.199875,222.201614,510.144409,1422.370728,226.775589,517.662109,1735.272339,1119.923218,538.849121,1749.631714,1120.374268,526.477051,1449.791260,391.904297,424.532654,1201.563110,388.587708,427.728699,1531.345459,963.214844,416.214325,1543.978271,957.722595,412.379364,1230.444336,869.486877,501.316071,1214.302979,898.000793,513.333252,1227.398071,925.972717,502.112976,1243.292969,994.536133,588.149902,1189.492310,964.902222,573.116333,756.812073
8676,0,720.906067,1810.105347,1657.473755,621.004272,1787.864014,1655.965576,740.708313,1934.879150,1638.361572,573.949158,1926.249023,1620.171021,727.329163,1877.788208,1538.731445,603.061279,1865.000366,1541.651001,665.395813,2059.745605,1383.355835,660.542175,2072.752686,1299.030640,667.405823,1875.267944,1396.057251,663.751648,1861.969238,1327.944458,577.606628,2066.289551,1352.471924,856.101196,1975.521729,1437.734131,885.412415,1965.735596,1208.016724,889.237305,1951.532837,1108.196289,,,,881.196655,1913.042725,1004.038940,823.894836,1860.393677,859.130798,849.954285,1926.974731,856.831543,843.000000,1844.355225,750.533569,868.633606,1910.885254,788.286438,449.120056,1958.421021,1410.057129,431.317596,1961.228882,1235.721680,422.011902,1944.836426,1105.139893,,,,426.799591,1891.467285,988.401978,482.753998,1839.438965,857.409302,436.338867,1890.939697,849.762634,459.942810,1831.266235,743.551453,422.823029,1880.599243,791.466248,737.243958,1844.303833,971.957581,596.251648,1840.157837,966.001831,729.774536,2048.812500,979.726685,588.029663,2049.740234,976.284973,812.445557,1948.358276,985.610229,494.401398,1942.649170,982.776550,839.057861,1944.410034,831.298523,822.416260,1938.523926,678.486938,790.231689,1875.612793,630.090332,790.958496,1931.451538,565.088379,812.435669,1997.271118,613.508789,794.052979,1940.892944,501.739075,,,,795.662109,1996.992310,416.619263,799.444641,1959.962646,363.533051,785.329346,2035.076416,314.853241,776.506409,2066.847900,364.205505,756.626099,2028.199463,84.419571,,,,688.676514,2069.999512,39.380100,769.814270,1791.511963,53.261246,467.153473,1933.684082,831.711609,813.858032,1861.697632,43.733334,513.828308,1874.428955,643.735718,,,,501.917053,1987.508789,591.860107,489.195221,1956.046631,670.147217,518.743347,1920.688477,486.490570,,,,508.350861,1987.421509,403.687286,513.691589,1927.735718,334.138733,514.443848,1975.565674,300.047333,514.647339,2033.617554,366.775604,531.856812,2007.730225,94.267654,,,,598.258301,2069.132324,34.124172,547.866760,1781.257446,45.018646,492.403381,1841.195801,42.179615,222.213150,510.158600,1422.374146,226.801102,517.642700,1735.290283,1119.942993,538.835815,1749.625854,1120.394897,526.490906,1449.788330,391.953674,424.432068,1201.577881,388.588318,427.718872,1531.359863,963.237915,416.214233,1543.996216,957.768066,412.376251,1230.495239,869.535583,501.331757,1214.329102,898.036377,513.357483,1227.425293,925.985413,502.129425,1243.286987,994.542908,588.152466,1189.505127,964.901001,573.107727,756.822937
8677,0,720.648376,1810.569946,1657.793701,620.663818,1788.172241,1656.318481,740.425476,1935.391479,1638.429321,573.685547,1926.509155,1620.152832,727.123962,1878.033936,1538.857910,602.884460,1865.142822,1541.750732,665.141418,2059.770996,1383.262695,660.307495,2072.797363,1298.967896,667.671204,1875.628418,1396.105957,663.610779,1862.006714,1327.990112,577.330566,2066.168945,1352.365356,855.867188,1975.941650,1437.690674,885.128418,1966.878418,1208.118896,889.304871,1952.756104,1108.146729,,,,881.959045,1913.443237,1004.401550,824.567261,1859.228516,859.732361,850.696472,1925.811646,857.079224,844.490112,1842.470093,751.353516,870.056763,1909.079834,788.959595,448.849518,1958.306274,1410.137329,431.146240,1960.803955,1235.779541,421.917389,1944.099243,1105.191528,,,,426.953491,1890.210815,988.646179,483.500366,1837.953125,857.957092,436.632019,1889.300293,850.087830,460.765289,1829.535400,743.993469,423.269165,1878.753174,791.785583,737.089661,1844.209595,972.085327,596.062500,1840.069336,966.071228,729.694580,2048.670410,979.598145,587.954346,2049.717773,976.263184,812.464722,1948.023804,985.607910,494.186951,1941.995239,982.555054,838.960022,1943.951660,831.392151,822.391479,1937.909546,678.571106,790.002686,1875.002563,630.203735,790.736023,1930.921265,565.206177,812.272766,1996.696655,613.614136,793.821228,1940.549194,501.779907,,,,795.474548,1996.653320,416.580719,799.287598,1959.699951,363.533356,785.190369,2034.772217,314.844208,776.361389,2066.550293,364.259338,756.491028,2028.138672,84.412910,,,,688.608398,2070.021973,39.413639,769.799561,1791.463135,53.254704,467.099548,1933.536865,831.674011,813.698853,1861.613770,43.731480,513.771729,1874.278564,643.697937,,,,501.797607,1987.368286,591.869751,489.088013,1955.906006,670.170288,518.629211,1920.627930,486.499634,,,,508.255829,1987.333374,403.655457,513.823181,1927.757446,334.082855,514.127136,1975.619995,300.270935,514.491943,2033.537109,366.759613,531.819336,2007.783203,94.231125,,,,598.242981,2069.136719,34.075981,547.873840,1781.259399,45.014011,492.441498,1841.212280,42.172100,222.221329,510.161285,1422.382080,226.779694,517.660645,1735.291992,1119.943359,538.833130,1749.630005,1120.365479,526.433167,1449.780396,391.908936,424.413574,1201.608398,388.575714,427.718323,1531.349121,963.212769,416.181915,1543.994751,957.718994,412.240356,1230.597900,869.524292,501.327271,1214.309082,898.012146,513.328979,1227.412720,925.988708,502.116913,1243.298950,994.542480,588.147705,1189.477051,964.903931,573.117493,756.811401
8678,0,720.499146,1811.014160,1658.035278,620.602295,1788.544922,1656.547363,740.198730,1935.777954,1638.461914,573.448181,1926.729614,1620.154053,726.942322,1878.209473,1538.962524,603.223022,1864.962402,1541.737793,664.830750,2059.758057,1383.159912,659.994629,2072.805176,1298.894531,667.689209,1875.836670,1396.124878,663.486755,1862.065186,1327.974854,576.986755,2066.102295,1352.306519,855.558350,1976.512329,1437.735718,885.091125,1968.097046,1208.222046,890.359009,1953.872192,1108.334595,,,,882.715576,1913.641602,1004.436035,825.214172,1858.128174,860.461670,851.094666,1924.783691,857.382874,846.976135,1840.483032,752.608826,871.218567,1907.626587,789.784363,448.710968,1958.326660,1410.130859,430.967377,1960.549072,1235.760742,421.690521,1943.523315,1105.242065,,,,427.070496,1889.179199,988.911072,484.792023,1836.410034,858.479309,436.993286,1887.683105,850.386230,461.759583,1827.833252,744.485596,423.695740,1876.893555,792.159668,736.914673,1844.108643,972.136047,595.974548,1840.000732,966.043091,729.639282,2048.507080,979.472778,587.908203,2049.686523,976.216919,812.473877,1947.612915,985.636902,494.031158,1941.577148,982.452637,838.880615,1943.562866,831.475281,822.366943,1937.331909,678.611328,790.769226,1874.995850,630.783020,790.596069,1930.235840,565.247131,812.208862,1996.169067,613.703613,793.628113,1940.075806,501.764404,,,,795.354736,1996.272461,416.609955,799.133362,1959.366577,363.485016,785.053833,2034.526855,314.941895,776.111206,2066.063232,364.220154,756.357971,2028.098877,84.459068,,,,688.571533,2069.941650,39.377098,769.786560,1791.456787,53.256741,467.006409,1933.461914,831.643860,813.692932,1861.597656,43.737408,513.690063,1874.190552,643.629333,,,,501.660767,1987.291626,591.838135,488.998657,1955.833618,670.110901,518.487854,1920.590210,486.436737,,,,508.116058,1987.344849,403.612457,513.493713,1927.687134,334.056976,514.130066,1975.620239,300.077515,514.357239,2033.541870,366.695007,531.761292,2007.847290,94.221535,,,,598.177734,2069.147705,34.089943,547.807129,1781.274780,45.020607,492.370819,1841.232056,42.158161,222.216309,510.128906,1422.345215,226.796814,517.643555,1735.274292,1119.957275,538.837708,1749.638062,1120.384399,526.464111,1449.777100,391.894501,424.363129,1201.498413,388.596100,427.727386,1531.311768,963.220398,416.195587,1543.953125,957.683228,412.198059,1230.602539,869.511719,501.313324,1214.295166,897.993713,513.299927,1227.349243,925.969299,502.102966,1243.285156,994.536194,588.144714,1189.501221,964.915649,573.118164,756.789795
