Timestep,,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,R5FT
All Timesteps RMSE,0,0.0227451,0.0464756,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039755,0,0.0345585,0.0623556,0,0,0.0238341,0,0,0.0549852,0.0319246,0.0509211,0.0170383,0.0208485,0.0381847,0.0499342,0.0380244,0.0537188,0.0747752,0.0662131,0.145577,0.0538003,0.0569479,0.0577508,0.0380881,0.0449848,0.0171448,0.0162274,0,0.0191213,0.0638369,0.0136836,0,0,0.0183473,0,0,0.0367753,0.0476591,0.0438219,0.0125821,0.0245846,0.0403948,0.0272544,0.0704354,0.0909933,0.0620076,0.0289115,0.0599013,0.0428098,0.0407251,0.0622913,0.0629141,0.0232352,0.0210993,0.0125644,0.0275945,0.0418475,0,0,0,0.0298281
0,0,0.021939,0.0503121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431167,0,0.0255062,0.0623144,0,0,0.0320997,0,0,0.051414,0.0282522,0.038907,0.0180574,0.0287259,0.0349002,0.0427124,0.0330333,0.0507545,0.0753404,0.060811,0.0652405,0.0603193,0.0617904,0.0612673,0.0180396,0.0499526,0.0235178,0.012169,0,0.0156829,0.0626067,0.0145109,0,0,0.0222325,0,0,0.0375155,0.0501363,0.0418901,0.00804587,0.0245093,0.0394556,0.0264934,0.0676297,0.0893479,0.0607133,0.0297049,0.0599129,0.0475122,0.0435695,0.0615077,0.0737161,0.0246165,0.0174669,0.0128034,0.0304379,0.0258091,0,0,0,0
1,0,0.0220246,0.050403,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428086,0,0.0260141,0.0618764,0,0,0.032391,0,0,0.0513146,0.0285404,0.0382785,0.0173284,0.0284518,0.0350237,0.0426013,0.0329624,0.0505812,0.0751705,0.0608219,0.0653121,0.0603084,0.0621048,0.0615473,0.0176272,0.0498218,0.0243132,0.0115802,0,0.0158509,0.0630415,0.0145207,0,0,0.0223061,0,0,0.0375448,0.0500652,0.0417322,0.00800953,0.0246743,0.039564,0.0265272,0.0675697,0.0892829,0.0606124,0.0298617,0.0598738,0.047493,0.043643,0.0615604,0.0729406,0.024672,0.0176515,0.0126789,0.0302061,0.0260028,0,0,0,0
2,0,0.0221678,0.050448,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425392,0,0.0266351,0.0619055,0,0,0.0326149,0,0,0.0513496,0.0285156,0.0379314,0.0176329,0.028394,0.0348713,0.0425108,0.0328476,0.0502251,0.0750121,0.0605904,0.0653925,0.0603702,0.0622822,0.0617385,0.0174249,0.0497056,0.0250565,0.0111566,0,0.0161023,0.0630556,0.0145663,0,0,0.0223956,0,0,0.0375706,0.050154,0.0415743,0.00795943,0.0248381,0.0394466,0.026346,0.0676067,0.0891077,0.0605515,0.0301196,0.059813,0.047462,0.043642,0.0615837,0.0719972,0.0246689,0.0178445,0.012585,0.030125,0.026021,0,0,0,0
3,0,0.0222513,0.0504644,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428671,0,0.0267674,0.0619777,0,0,0.0328435,0,0,0.0512448,0.0284511,0.038047,0.0178365,0.0283512,0.0347387,0.0424267,0.0327262,0.0495409,0.0748074,0.060446,0.0653925,0.0604043,0.0622186,0.0616933,0.017179,0.0496418,0.0257082,0.0107529,0,0.0163903,0.0629552,0.0146148,0,0,0.0224448,0,0,0.0374899,0.0502692,0.0414336,0.00783054,0.0250142,0.0393965,0.0262315,0.0677021,0.088908,0.0604934,0.0303821,0.0597935,0.0474365,0.0436235,0.0616449,0.0710559,0.0246968,0.0180185,0.0124992,0.0300658,0.0260158,0,0,0,0
4,0,0.0222712,0.0505207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0435888,0,0.026397,0.0619975,0,0,0.0330573,0,0,0.051225,0.0284603,0.0387,0.0177936,0.0283564,0.0346633,0.0423199,0.032621,0.0491745,0.0746326,0.0603274,0.0653383,0.0603815,0.0619458,0.0614009,0.0171317,0.0496519,0.0263328,0.0104889,0,0.0168,0.0628915,0.0146238,0,0,0.0224717,0,0,0.0374366,0.0503803,0.041367,0.00768682,0.0252321,0.0394218,0.0262704,0.0676813,0.0887087,0.0603709,0.030744,0.0598092,0.0474301,0.0436289,0.0617259,0.0701278,0.0247657,0.0182121,0.0124604,0.0300644,0.0260173,0,0,0,0
5,0,0.0222393,0.0506058,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442772,0,0.0258754,0.0619063,0,0,0.0333049,0,0,0.0512203,0.0286081,0.0395871,0.0176328,0.0284047,0.0346423,0.0422126,0.0325566,0.0492892,0.0745445,0.0601899,0.0653033,0.0603606,0.0616158,0.0610435,0.0173689,0.0497626,0.0269344,0.0102467,0,0.0171711,0.063002,0.0145776,0,0,0.0224531,0,0,0.0373943,0.0504562,0.0413887,0.00763357,0.025466,0.0393727,0.0261759,0.0675722,0.0885365,0.0602261,0.0310782,0.0598352,0.0474198,0.0436723,0.0618058,0.0693696,0.0248486,0.0183744,0.0124743,0.0301553,0.0260105,0,0,0,0
6,0,0.0221734,0.0506941,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04452,0,0.0258024,0.0618886,0,0,0.0335862,0,0,0.0510637,0.0287657,0.040289,0.0175412,0.0284427,0.0346451,0.0420942,0.0324841,0.0496,0.0744964,0.0601405,0.0653179,0.0604022,0.0613956,0.0608833,0.0178206,0.0499168,0.0274255,0.00990119,0,0.0174324,0.0630372,0.0144793,0,0,0.022438,0,0,0.0373692,0.0504918,0.0413896,0.00761931,0.0255542,0.0393034,0.0260922,0.0674458,0.0883562,0.0601813,0.0309757,0.0598432,0.0474354,0.0437048,0.0618632,0.0687023,0.0249141,0.0185251,0.0125026,0.0302643,0.0259919,0,0,0,0
7,0,0.0221062,0.0508346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444632,0,0.0257229,0.0619216,0,0,0.0338145,0,0,0.050745,0.0288641,0.0405654,0.0175452,0.0283938,0.034631,0.0419381,0.0324353,0.0493826,0.0745373,0.0601834,0.0653708,0.06047,0.0612305,0.0609255,0.0180665,0.050115,0.0277011,0.00955153,0,0.0174785,0.0630281,0.014337,0,0,0.0224178,0,0,0.0373793,0.0505068,0.0413861,0.00761173,0.025573,0.0392008,0.0260581,0.0673339,0.0882387,0.0601948,0.0310584,0.0598272,0.0474625,0.0437186,0.0618858,0.068168,0.0249614,0.0186649,0.012594,0.0303943,0.0259992,0,0,0,0
8,0,0.0220647,0.0510692,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439612,0,0.0258792,0.0619291,0,0,0.03394,0,0,0.0507483,0.0288684,0.0404902,0.0177068,0.0283154,0.0345245,0.0417462,0.0324033,0.0495381,0.0745438,0.060211,0.0654661,0.060577,0.0611158,0.0610571,0.0184183,0.0502826,0.0279418,0.00952517,0,0.0174993,0.0630354,0.0142116,0,0,0.0223936,0,0,0.0374011,0.0504803,0.0413559,0.00757929,0.0256046,0.0390986,0.0260976,0.0672701,0.0882229,0.0602106,0.0314334,0.0598259,0.0475291,0.0437643,0.0618752,0.0678877,0.0250206,0.0188295,0.0126958,0.030549,0.0259872,0,0,0,0
