Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76
All Timesteps RMSE,0.0219258,0.0472523,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429683,0,0.0289886,0.0624516,0,0,0.0198841,0,0,0.0572605,0.0325702,0.0414577,0.0170898,0.023753,0.0365286,0.055813,0.032996,0.0479107,0.0742905,0.0602496,0.063758,0.0592795,0.0602907,0.0606034,0.0275694,0.0426285,0.0141491,0.0161267,0.0339462,0,0.0198474,0.062328,0.0137568,0,0,0.0207437,0,0,0.0377318,0.0472855,0.0368895,0.00910019,0.0276211,0.0425215,0.0274706,0.0697951,0.087731,0.0597877,0.0310177,0.0608837,0.0405325,0.0403445,0.064614,0.0276249,0.0229203,0.0204942,0.0113541,0.0301906,0.0283874,0,0,0
0,0.0233668,0.0482872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402803,0,0.0281307,0.060057,0,0,0.0177615,0,0,0.0530744,0.0313368,0.0377012,0.0158258,0.0271609,0.0361746,0.0476435,0.0322486,0.0501548,0.0733831,0.0592795,0.06562,0.0606321,0.0615575,0.0615748,0.0192703,0.046824,0.0154276,0.0143655,0.0287744,0,0.0219774,0.0658408,0.0158028,0,0,0.0249404,0,0,0.037259,0.0484947,0.0319207,0.00626807,0.0320879,0.0386811,0.0246257,0.0674893,0.0842033,0.0568111,0.0327835,0.0613596,0.0418163,0.0422003,0.0663996,0.0233562,0.0239725,0.0220298,0.0111907,0.0306642,0.0258507,0,0,0
1,0.0233423,0.0484361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040379,0,0.0280212,0.0601901,0,0,0.0178021,0,0,0.0530812,0.0312554,0.0374937,0.0157776,0.0274016,0.0362269,0.0476966,0.0320695,0.0499422,0.0732756,0.0591577,0.0656423,0.0606787,0.0614734,0.0617662,0.019047,0.0469581,0.0154398,0.0144856,0.0286541,0,0.021965,0.0661106,0.0157317,0,0,0.0248676,0,0,0.0372075,0.0485498,0.0318111,0.00629244,0.0321197,0.0387493,0.0245933,0.0675329,0.0841529,0.0566929,0.0325154,0.0613551,0.0418114,0.0422122,0.0664197,0.0234592,0.0239824,0.0218339,0.0113785,0.0306495,0.0258336,0,0,0
2,0.0233002,0.0483521,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405627,0,0.0279506,0.0602022,0,0,0.0180233,0,0,0.0530011,0.0313053,0.0373252,0.01575,0.0275886,0.0362258,0.0476027,0.0319799,0.0495267,0.0732397,0.0591165,0.0656165,0.0606996,0.0615238,0.0617981,0.0188107,0.0470628,0.0154612,0.0145946,0.0285798,0,0.0220246,0.06601,0.0156832,0,0,0.0247578,0,0,0.0371305,0.0485596,0.031735,0.00638166,0.0321863,0.0386817,0.0245631,0.0675464,0.0840921,0.0566169,0.0324042,0.0613757,0.0417563,0.042236,0.0664462,0.0235214,0.0240545,0.0216831,0.0115846,0.0307215,0.0257398,0,0,0
3,0.0232407,0.0482304,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407001,0,0.0279062,0.0601292,0,0,0.0179777,0,0,0.0528699,0.0314713,0.0371598,0.0157049,0.0276504,0.0362315,0.0474906,0.0319589,0.0489509,0.0732124,0.0591681,0.0656005,0.0606832,0.0615473,0.0617608,0.0185775,0.0472623,0.0154122,0.0145935,0.0286042,0,0.0220985,0.0656834,0.015638,0,0,0.0246638,0,0,0.0371577,0.0485439,0.0316744,0.00649984,0.0322882,0.0385541,0.024443,0.0675027,0.0840183,0.0565775,0.0322914,0.0613934,0.0418061,0.0422463,0.066446,0.0234726,0.0241181,0.0215929,0.0117625,0.0307934,0.0255967,0,0,0
4,0.0231577,0.0481355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407437,0,0.0278686,0.0600805,0,0,0.0178958,0,0,0.0528681,0.0317813,0.0370479,0.015722,0.0276735,0.0363169,0.0473933,0.0319751,0.0489788,0.0731648,0.0593166,0.0656386,0.0606862,0.0615458,0.0617461,0.0185076,0.0474492,0.0154234,0.0146664,0.028681,0,0.0221614,0.0655676,0.0156043,0,0,0.0246084,0,0,0.0371942,0.0484897,0.0316465,0.00657538,0.03239,0.0384492,0.0244838,0.067454,0.0839009,0.0565919,0.0321512,0.0613976,0.0418671,0.0422482,0.0664263,0.0233575,0.0241866,0.0215313,0.011864,0.0308174,0.0254679,0,0,0
5,0.0231328,0.0480449,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406388,0,0.0278252,0.0601767,0,0,0.0178218,0,0,0.0527773,0.031992,0.0369928,0.0159711,0.0276772,0.0363634,0.0472081,0.031997,0.0495071,0.0731633,0.0594715,0.0656481,0.0607119,0.0615573,0.0617684,0.0186633,0.0476634,0.0155053,0.0146156,0.0287752,0,0.0222078,0.065776,0.0155832,0,0,0.0245596,0,0,0.0371924,0.0484676,0.0316588,0.00663586,0.0324378,0.0383696,0.0246239,0.0674836,0.0837745,0.0565977,0.0321146,0.0614199,0.0419298,0.0422988,0.0664495,0.0232363,0.0242685,0.021539,0.0118923,0.0308126,0.0252703,0,0,0
6,0.0227761,0.048346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405352,0,0.0278412,0.0601327,0,0,0.0141262,0,0,0.0470666,0.0321148,0.0370124,0.0159375,0.0276407,0.0363529,0.0475471,0.0320881,0.049747,0.0732155,0.059531,0.0656053,0.0607027,0.0615682,0.0617776,0.0188732,0.0468842,0.0209607,0,0.0288201,0,0.0222698,0.0660054,0.0149257,0,0,0.0245741,0,0,0.0372553,0.0484671,0.0316089,0.00696642,0.0325574,0.0379605,0.0247558,0.0673661,0.0835255,0.056532,0.032168,0.061527,0.0420568,0.0424479,0.0665847,0.0231619,0.0242818,0.021501,0.0117561,0.0310885,0.0253575,0,0,0
7,0.0229163,0.0483904,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403891,0,0.0278502,0.0601311,0,0,0.0142231,0,0,0.0471474,0.0320652,0.0370282,0.0162179,0.027582,0.036229,0.047432,0.0321523,0.0497931,0.0732518,0.0595373,0.0656091,0.0607116,0.0616503,0.0617849,0.019075,0.0470989,0.0212921,0,0.0289593,0,0.0223289,0.0659461,0.0149553,0,0,0.0245874,0,0,0.0373087,0.0484626,0.0317042,0.00704862,0.032636,0.0377218,0.0247179,0.0673869,0.0834677,0.0564789,0.0324208,0.0615303,0.0420404,0.0424491,0.0666134,0.0231197,0.0243077,0.0214721,0.0117725,0.0311809,0.0250879,0,0,0
8,0.0233986,0.0481068,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402583,0,0.0278229,0.060185,0,0,0.0175307,0,0,0.0524174,0.0319386,0.0370455,0.0167967,0.027469,0.0361242,0.0469549,0.0321737,0.0498346,0.0732145,0.0595195,0.0656618,0.0607671,0.0617024,0.0618396,0.0192825,0.0480793,0.0157467,0.0138748,0.0290684,0,0.0224475,0.0655216,0.0154902,0,0,0.0245437,0,0,0.0372442,0.0484517,0.031957,0.00688767,0.0327298,0.037717,0.0248015,0.0675573,0.083533,0.0563846,0.0327365,0.0614442,0.0419099,0.0423376,0.0665434,0.0231299,0.0244299,0.021569,0.0118761,0.0310732,0.0245928,0,0,0
