Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
All Timesteps RMSE,0.0226734,0.0472346,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0369539,0,0.0305045,0.061822,0,0,0.0200024,0,0,0.0559881,0.0328575,0.0528891,0.0196582,0.0256946,0.0384769,0.0526536,0.0367298,0.0514694,0.0748452,0.0651633,0.0597647,0.0549427,0.0597615,0.0596898,0.0307539,0.0435191,0.0136476,0.0161058,0.0311895,0,0.0195857,0.0644115,0.0139318,0,0,0.0215855,0,0,0.0381647,0.0465483,0.0371383,0.00977562,0.0256957,0.0423343,0.027927,0.0702024,0.088944,0.0602033,0.0290502,0.0614228,0.0408557,0.0406164,0.0651376,0.032452,0.0224914,0.0221993,0.011152,0.0291551,0.0267197,0,0,0,0
0,0.0252017,0.0487559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0434087,0,0.0270584,0.0606408,0,0,0.0178367,0,0,0.0521609,0.0307345,0.0397372,0.0150001,0.0277436,0.0351331,0.0459628,0.0341995,0.0503863,0.0752092,0.062191,0.065089,0.0605985,0.0603294,0.0609201,0.0179374,0.0456528,0.0172946,0.0123005,0.0290511,0,0.0197942,0.0652384,0.0160462,0,0,0.0260586,0,0,0.0368708,0.0475649,0.0288666,0.00563037,0.02999,0.0380065,0.0260348,0.067496,0.0847722,0.0567431,0.0310282,0.0628839,0.0436046,0.0438671,0.0679407,0.0227308,0.025767,0.0226584,0.0108233,0.0323627,0.0215357,0,0,0,0
1,0.0250867,0.0487667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0428993,0,0.0270643,0.060568,0,0,0.0178107,0,0,0.0520288,0.0308068,0.0391409,0.0148768,0.0276766,0.0352468,0.0459947,0.034144,0.0503709,0.0752,0.0621707,0.0649985,0.0605239,0.0602044,0.0611476,0.0178914,0.0457172,0.0174253,0.0121915,0.0287779,0,0.0198904,0.0650981,0.0159822,0,0,0.026045,0,0,0.036848,0.0475507,0.0288011,0.00568237,0.0300275,0.0380151,0.0264377,0.0674108,0.0847793,0.0567301,0.0308888,0.0628663,0.0436737,0.0439355,0.0679039,0.0230584,0.0257649,0.0225997,0.0109234,0.0323642,0.0216359,0,0,0,0
2,0.0249886,0.0487517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426215,0,0.0268538,0.0604657,0,0,0.0177493,0,0,0.0520122,0.0312016,0.0386056,0.0148531,0.0276402,0.0353892,0.0460601,0.0341251,0.050491,0.07528,0.06215,0.0649479,0.0604549,0.0604526,0.0612535,0.0176428,0.0457846,0.0175757,0.012109,0.0285455,0,0.0199371,0.0646805,0.0159291,0,0,0.0259915,0,0,0.0367377,0.04754,0.0288112,0.00568807,0.0300513,0.037964,0.0266508,0.0674099,0.0847913,0.0567107,0.0308459,0.0628267,0.0436955,0.0439318,0.0678638,0.0232698,0.0257575,0.0224157,0.0110132,0.0323386,0.0217237,0,0,0,0
3,0.0249263,0.0487084,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422498,0,0.0269855,0.0603644,0,0,0.0178163,0,0,0.0520426,0.0316909,0.0379468,0.014799,0.0275902,0.0354793,0.046078,0.0340866,0.0506649,0.075353,0.0620884,0.064963,0.0603615,0.0607696,0.0614641,0.0174324,0.0458692,0.0178051,0.0118661,0.0284132,0,0.0200326,0.0646424,0.0158939,0,0,0.0259648,0,0,0.0366569,0.0474604,0.0288747,0.00569994,0.029999,0.0378941,0.0268005,0.0674989,0.0848253,0.0566667,0.0309171,0.0627911,0.043696,0.0438993,0.0678208,0.0233599,0.0257419,0.0222835,0.0111078,0.0322789,0.0217644,0,0,0,0
4,0.0248755,0.0486525,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0419823,0,0.027248,0.0603161,0,0,0.0179109,0,0,0.0521941,0.0322074,0.0374127,0.0146921,0.0275417,0.0355733,0.0459747,0.0340556,0.0507888,0.0753889,0.0619839,0.0649617,0.0602753,0.0609991,0.0616646,0.0173713,0.0459333,0.0178888,0.011962,0.0284281,0,0.020099,0.0649162,0.0158262,0,0,0.0260719,0,0,0.036669,0.047429,0.0289782,0.00574002,0.0299692,0.0378381,0.026778,0.0676299,0.0848654,0.0566084,0.0310247,0.0627567,0.043662,0.0438201,0.0677733,0.023367,0.0258762,0.0226755,0.0109153,0.0321817,0.0218572,0,0,0,0
5,0.0244847,0.0488796,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421113,0,0.0273414,0.0602167,0,0,0.0139861,0,0,0.045963,0.0326171,0.0373457,0.0143807,0.0274722,0.0358054,0.0461617,0.0340855,0.0508737,0.0754516,0.0619491,0.0649258,0.060226,0.0610228,0.0616768,0.0174264,0.0448643,0.0202061,0,0.0284752,0,0.0201914,0.0651697,0.0151147,0,0,0.0263644,0,0,0.0367749,0.0474355,0.0289773,0.00618859,0.0300767,0.0376278,0.0266442,0.0676244,0.084749,0.0565155,0.0310746,0.0628103,0.0437017,0.0438619,0.0678293,0.0233028,0.0259684,0.0232851,0.0103775,0.0322649,0.0223935,0,0,0,0
6,0.0247035,0.0486032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420218,0,0.0272959,0.0603415,0,0,0.0180494,0,0,0.0523318,0.0321241,0.0371613,0.0145174,0.0274286,0.0359053,0.0458416,0.0339608,0.0509168,0.0754456,0.0617902,0.0649973,0.0603138,0.0611119,0.0616409,0.017503,0.0459812,0.0172925,0.0133379,0.0286103,0,0.0203005,0.064935,0.0156561,0,0,0.0263201,0,0,0.0366594,0.047515,0.029335,0.00656496,0.0302107,0.037962,0.0267751,0.0678779,0.0849094,0.0565768,0.0313529,0.0626016,0.0434324,0.0436356,0.0676159,0.0232383,0.0261414,0.0234774,0.0104099,0.0319796,0.0221448,0,0,0,0
7,0.024076,0.04875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366904,0,0.027117,0.0605732,0,0,0.0181275,0,0,0.0524681,0.0310191,0.0328609,0.0138701,0.0234349,0.0355824,0.0457593,0.0319434,0.0484583,0.0725937,0.0591751,0.0684272,0.0640579,0,0.0662086,0.0191302,0.0456527,0.0169149,0.0135352,0.028085,0,0.0203084,0.0638043,0.0155503,0,0,0.0267343,0,0,0.0369867,0.0463349,0.0292588,0.00529096,0.0300257,0.0384744,0.0277232,0.0682367,0.0848007,0.0560728,0.0313216,0.062907,0.0436464,0.0439151,0.0678729,0.0238892,0.0263624,0.0233167,0.0102073,0.0321053,0.0223733,0,0,0,0
8,0.0239908,0.0487772,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366387,0,0.0272436,0.0603582,0,0,0.0181048,0,0,0.052612,0.0303716,0.0326286,0.0138007,0.0234575,0.0357397,0.0459476,0.0319529,0.0483451,0.0726177,0.0591593,0.0684796,0.0641087,0,0.0662415,0.0190725,0.0455935,0.0166505,0.0137294,0.0280175,0,0.0204248,0.0640179,0.0153636,0,0,0.0266979,0,0,0.0369823,0.046255,0.0295157,0.00493276,0.0302312,0.038432,0.0276432,0.0683903,0.0847978,0.0560284,0.0314033,0.0627859,0.043517,0.0437926,0.0677851,0.0239938,0.026352,0.0233306,0.0101457,0.0320863,0.0225657,0,0,0,0
9,0.0244473,0.0486576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0420811,0,0.0273102,0.0597683,0,0,0.0180315,0,0,0.0526583,0.0306662,0.0366197,0.0141871,0.0274052,0.0364716,0.0462826,0.0339495,0.0507178,0.0755074,0.0617177,0.065147,0.0605106,0.0612391,0.0616624,0.0171594,0.0458579,0.0164902,0.0138987,0.0285312,0,0.0206162,0.0651721,0.0151232,0,0,0.0261729,0,0,0.0365834,0.0473728,0.0300674,0.00643084,0.0307559,0.0379857,0.0265541,0.0683496,0.0849176,0.0565022,0.0316256,0.062253,0.0430356,0.0432604,0.0673321,0.0234465,0.0260957,0.0234374,0.0103124,0.031849,0.0227288,0,0,0,0
10,0.0243936,0.0487059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421236,0,0.0271318,0.0597116,0,0,0.0176007,0,0,0.0527201,0.0307814,0.0364449,0.0140487,0.0273886,0.0365705,0.0464123,0.0338927,0.0507696,0.0753975,0.061695,0.065223,0.060571,0.0611173,0.061685,0.0170411,0.0458732,0.0161053,0.0138913,0.0284402,0,0.0207151,0.0653788,0.0149494,0,0,0.0260839,0,0,0.0366116,0.0474339,0.0302564,0.00657246,0.0309201,0.0380449,0.0265406,0.0684416,0.0848964,0.0564791,0.0316573,0.0621533,0.0429314,0.0431346,0.0672525,0.0235606,0.0260534,0.0233471,0.0104535,0.0318341,0.0228946,0,0,0,0
11,0.0243344,0.0487715,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421072,0,0.0269581,0.0596564,0,0,0.0168573,0,0,0.0527096,0.0309952,0.0362935,0.0139714,0.0273063,0.0366111,0.0465166,0.0338345,0.0508244,0.0753389,0.0616807,0.0652919,0.0606122,0.0608983,0.061723,0.0170096,0.0459174,0.0156761,0.0136191,0.0283157,0,0.0208507,0.0654925,0.0147618,0,0,0.0259979,0,0,0.0366704,0.0474613,0.0304147,0.00657741,0.0310686,0.0380909,0.0264488,0.0684575,0.0848933,0.0564225,0.031676,0.0620858,0.0428568,0.043077,0.0671789,0.0237133,0.0260378,0.0233367,0.0105428,0.0318434,0.0230517,0,0,0,0
12,0.0242663,0.0488098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421097,0,0.0269106,0.0596381,0,0,0.0165316,0,0,0.0527394,0.0312096,0.0362013,0.0139511,0.0272838,0.0366181,0.0466735,0.033789,0.0508158,0.0753416,0.0616693,0.0653283,0.0606088,0.0610476,0.0617106,0.016991,0.0459344,0.0155226,0.0131193,0.028224,0,0.0209293,0.0655555,0.0145694,0,0,0.0259425,0,0,0.0367476,0.0474599,0.0305531,0.00652455,0.0311981,0.0381226,0.0263203,0.0683852,0.0848882,0.0563775,0.0316637,0.0620181,0.042811,0.043049,0.06712,0.0238582,0.0260044,0.0233004,0.0106538,0.0318225,0.0232103,0,0,0,0
13,0.0241352,0.0489228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422283,0,0.0270198,0.0590623,0,0,0.0165272,0,0,0.0529725,0.0317065,0.0362477,0.0138575,0.0273067,0.0365234,0.0472402,0.0339379,0.0507164,0.0755323,0.0618506,0.0651616,0.060452,0.0609812,0.0615752,0.0169115,0.0457642,0.0152399,0.0129409,0.0279676,0,0.020949,0.066226,0.0142885,0,0,0.0258039,0,0,0.0366431,0.0471491,0.0304098,0,0.0312411,0.0374928,0.0261772,0.0681561,0.0847005,0.0561729,0.0315325,0.0621583,0.0429306,0.0432251,0.0672748,0.0241327,0.0258237,0.0230909,0.0107559,0.0320598,0.0234575,0,0,0,0
14,0.0241148,0.0488156,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0418991,0,0.026829,0.0596002,0,0,0.0164707,0,0,0.052826,0.0314967,0.0360239,0.0138344,0.0274082,0.0365944,0.046917,0.0336238,0.0507134,0.0756782,0.0614856,0.0653175,0.0606232,0.0611537,0.0617059,0.0171798,0.0460086,0.0155116,0.0126409,0.0280349,0,0.0210682,0.0655843,0.0142845,0,0,0.0257607,0,0,0.036566,0.0474897,0.0306788,0.00674845,0.0313508,0.0382263,0.0262823,0.0681879,0.0848597,0.0563543,0.0315925,0.0619016,0.0426256,0.0429528,0.0670373,0.0241224,0.0259026,0.0230776,0.0107989,0.0317098,0.0234149,0,0,0,0
15,0.0235922,0.048606,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422876,0,0.0268548,0.0585738,0,0,0.0162103,0,0,0.0526259,0.0326871,0.0357727,0,0.0278661,0.0374035,0.0464925,0.0333355,0.050166,0.0755392,0.0617502,0.065116,0.0603161,0.0608761,0.0614414,0.0165571,0.0462147,0.0159383,0.0122965,0.0281142,0,0.0210343,0.0663425,0.0142569,0,0,0.0257959,0,0,0.0366638,0.0475563,0.0305259,0.0071928,0.031242,0.0402242,0.026753,0.0682077,0.0847887,0.0562828,0.0317324,0.0619897,0.042704,0.0430089,0.0671045,0.0240144,0.0260809,0.0229457,0.0109139,0.0308796,0.0236454,0,0,0,0
16,0.0239226,0.0488237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416344,0,0.0268045,0.0595421,0,0,0.0163406,0,0,0.052967,0.0317362,0.0359504,0.0131319,0.0273538,0.0366645,0.0471022,0.0335341,0.0504103,0.0754531,0.0614135,0.0652419,0.0605253,0.0611151,0.0616045,0.0172037,0.0461015,0.0156292,0.0125081,0.0280268,0,0.0210372,0.0656737,0.0142376,0,0,0.0256228,0,0,0.0365138,0.0475572,0.0306633,0.00726507,0.0313635,0.0384646,0.0262573,0.0682084,0.0849042,0.0563457,0.0315373,0.0618291,0.0425746,0.0428457,0.0669687,0.0241147,0.025761,0.0229293,0.0109421,0.031681,0.0234372,0,0,0,0
17,0.0239348,0.0489152,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417573,0,0.0269444,0.0589554,0,0,0.0166366,0,0,0.0532844,0.0323074,0.0360535,0.0133101,0.0272773,0.0365184,0.0474796,0.0338159,0.0500648,0.0754726,0.0616992,0.0650312,0.0603268,0.060896,0.0614634,0.0170364,0.0460462,0.0150447,0.0134455,0.0278866,0,0.02096,0.0663533,0.0142065,0,0,0.0256898,0,0,0.0365084,0.047191,0.030424,0,0.0312608,0.0376774,0.0259072,0.0681736,0.0848055,0.0561515,0.0313974,0.062005,0.0427772,0.0430386,0.0671357,0.024187,0.0255636,0.0231427,0.010808,0.0320825,0.0234533,0,0,0,0
18,0.0238616,0.0489321,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417774,0,0.0269266,0.0587811,0,0,0.0167215,0,0,0.0531376,0.0327075,0.0359774,0.0128979,0.0272428,0.0365584,0.047775,0.0338423,0.0502183,0.0754275,0.0617783,0.0650197,0.0603072,0.0608301,0.0614727,0.0170375,0.0459674,0.0156008,0.0126329,0.0279585,0,0.0209462,0.0665179,0.0142211,0,0,0.0254782,0,0,0.0364379,0.0471048,0.0303439,0,0.0311208,0.0377328,0.0261534,0.0682106,0.0848179,0.0561401,0.0313908,0.062049,0.0427682,0.0430877,0.067148,0.0241186,0.0255643,0.0226407,0.0111569,0.0321596,0.0233923,0,0,0,0
