Timestep,C7,CLAV,DBL,DBR,DTL,DTR,FBL,FBR,FTL,FTR,Handle1,Handle2,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x74,x75,x76,
All Timesteps RMSE,0.0232095,0.0466738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387169,0,0.0299117,0.0653623,0,0,0.0143783,0,0,0.0465965,0.0301603,0.0440848,0.0193312,0.0234932,0.0339497,0.0495506,0.0346675,0.0507078,0.0773844,0.0629456,0.0607324,0.0561027,0.0581438,0.058538,0.031784,0.0362127,0.0192469,0.0103728,0.0755425,0,0.0228965,0.0613055,0.0177976,0,0,0.0175604,0,0,0.0363656,0.0534503,0.0347605,0.0124489,0.0266456,0.0424169,0.0313345,0.0699034,0.0902079,0.0648433,0.0315455,0.0603601,0.0386031,0.0386495,0.063562,0.0287234,0.025168,0.0259028,0.0122784,0.0284747,0.0249024,0,0,0,0
0,0.0298586,0.0505137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376546,0,0.026972,0.0647848,0,0,0.0102438,0,0,0.0450938,0.027264,0.0417933,0.0194753,0.0287664,0.0362149,0.045616,0.0351601,0.0528084,0.0775437,0.0631084,0.062235,0.057445,0.058611,0.0587236,0.0252,0.0412373,0.0220135,0.0119698,0.0339496,0,0.0220612,0.0626896,0.0208193,0,0,0.0150097,0,0,0.0370844,0.0534435,0.0358592,0.00674618,0.0309212,0.0416294,0.0362826,0.0692642,0.0862681,0.0591356,0.0356935,0.0592718,0.0398668,0.0398268,0.0637527,0.019976,0.025453,0.0233802,0.0127592,0.0360377,0.016411,0,0,0,0
1,0.0296521,0.0502496,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0373352,0,0.0269454,0.0649375,0,0,0.00998233,0,0,0.0445897,0.027547,0.0412386,0.0197643,0.0288834,0.0356509,0.0460173,0.0351891,0.0523731,0.0775809,0.0631905,0.0622694,0.0574583,0.0588651,0.0588739,0.0251958,0.0420885,0.0223013,0.0116908,0.0351916,0,0.021778,0.0625892,0.0199804,0,0,0.020184,0,0,0.0363586,0.0532685,0.0356081,0.00702672,0.0299759,0.0412513,0.0341852,0.0690252,0.0864789,0.0595015,0.03542,0.0593538,0.0399206,0.0400354,0.0636937,0.0187171,0.027199,0.023738,0.0108565,0.0360949,0.0169316,0,0,0,0
2,0.0297785,0.0500518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365894,0,0.0273931,0.0649499,0,0,0.0102428,0,0,0.0442917,0.027542,0.0404385,0.0201129,0.0289343,0.0357796,0.0458812,0.0353483,0.0523071,0.0778379,0.0633796,0.0623564,0.0571669,0.0591101,0.0592542,0.0250745,0.0423983,0.0222476,0.0109616,0.0350634,0,0.0217395,0.0625633,0.0198698,0,0,0.0203233,0,0,0.0365851,0.0531333,0.0356002,0.00687912,0.0300036,0.041337,0.0337158,0.0690493,0.0864949,0.0594892,0.0353313,0.0593498,0.0399059,0.0399878,0.0636993,0.0188613,0.0271855,0.0242025,0.0103993,0.0359445,0.0170851,0,0,0,0
3,0.0299358,0.0498869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035929,0,0.0278131,0.0648848,0,0,0.0105671,0,0,0.0444865,0.0274448,0.0398346,0.0203166,0.0290292,0.0358574,0.0454245,0.0353861,0.0526911,0.0779342,0.0634012,0.0623655,0.0570376,0.0592582,0.0594871,0.0251047,0.0427424,0.0221046,0.0107684,0.0349198,0,0.0217011,0.062665,0.0197603,0,0,0.0205253,0,0,0.0367399,0.0530304,0.0355973,0.00658892,0.0299687,0.0414302,0.0333678,0.0691227,0.0865637,0.0594945,0.0351212,0.0593396,0.0398875,0.0398081,0.0637044,0.019026,0.0269561,0.0242775,0.010063,0.0358402,0.0172188,0,0,0,0
4,0.0299296,0.0499604,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353092,0,0.0281672,0.0647542,0,0,0.0106106,0,0,0.0447681,0.0273836,0.0395184,0.0204095,0.0291503,0.0359528,0.0446586,0.0353861,0.0535545,0.0778521,0.0633,0.06226,0.0570796,0.0593484,0.059554,0.0253661,0.043268,0.0220226,0.0115265,0.0348054,0,0.0216878,0.0628077,0.0193009,0,0,0.020718,0,0,0.0368717,0.0529065,0.0356799,0.00611712,0.0299619,0.0415792,0.03319,0.0692781,0.0866976,0.0595019,0.0351688,0.0592456,0.0398023,0.039694,0.0636025,0.0191908,0.0265474,0.0239951,0.00978537,0.0357856,0.0174711,0,0,0,0
5,0.0301264,0.0498661,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351316,0,0.028148,0.0648351,0,0,0.0111601,0,0,0.0454774,0.027285,0.0392303,0.0204025,0.0291437,0.0356405,0.0443402,0.0351386,0.0535528,0.0775796,0.0629828,0.0623591,0.0572935,0.0594957,0.0596368,0.0254415,0.0419247,0.0212768,0.0113212,0.0348858,0,0.0217131,0.0627259,0.0203201,0,0,0.0205201,0,0,0.0368215,0.0530221,0.0356531,0.00633158,0.0299935,0.0415576,0.03419,0.0692018,0.086615,0.0595228,0.0353153,0.0592449,0.0398198,0.0398145,0.063598,0.0190988,0.0271942,0.0242029,0.0101541,0.03615,0.0168275,0,0,0,0
6,0.0300162,0.0499634,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035052,0,0.0282838,0.0648407,0,0,0.0110605,0,0,0.0454167,0.0272121,0.0391253,0.0202188,0.0289664,0.0357827,0.0442532,0.0351765,0.0530775,0.0776243,0.0628886,0.0623324,0.0572562,0.0595715,0.0595785,0.0254459,0.0417307,0.0213444,0.0115491,0.0349403,0,0.0217561,0.0627711,0.0201955,0,0,0.0205031,0,0,0.0368749,0.0530482,0.0356587,0.00653125,0.0300246,0.0416012,0.0344383,0.0691896,0.0865917,0.0595258,0.0353556,0.0592473,0.0398186,0.0397622,0.0635847,0.0190296,0.0272633,0.024201,0.0101538,0.0362047,0.0168612,0,0,0,0
7,0.0299467,0.0501833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350531,0,0.028293,0.0648528,0,0,0.0107037,0,0,0.0453263,0.0271985,0.0391544,0.020057,0.0287765,0.0358931,0.0443067,0.0352153,0.0528851,0.077677,0.0628676,0.0623187,0.0572168,0.0595517,0.0595189,0.0255168,0.0416159,0.0214105,0.0119355,0.0349853,0,0.0217946,0.0628221,0.0201222,0,0,0.0204511,0,0,0.0368936,0.0530504,0.0356941,0.00668001,0.0300706,0.0416283,0.0346222,0.0692042,0.0865549,0.0595276,0.0353932,0.059284,0.039805,0.0396903,0.0636108,0.0189609,0.0273345,0.0240551,0.0102107,0.0362688,0.0168438,0,0,0,0
8,0.0296467,0.050447,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347804,0,0.0285109,0.0630408,0,0,0.0103476,0,0,0.0455151,0,0.0404832,0.0203224,0.0288409,0.0363583,0.045062,0.0356302,0.0511146,0.0773322,0.0636942,0.0620394,0.0569733,0.0590711,0.0589915,0.0269091,0.041235,0.0212147,0.012194,0.0344256,0,0.0217942,0.0649892,0.0198771,0,0,0.0203571,0,0,0.036825,0.0517662,0.0360229,0.00612749,0.0307253,0.0413093,0.0345616,0.0692118,0.0868141,0.0595024,0.0342512,0.0588136,0.0393446,0.0392938,0.0632611,0.0195991,0.0274039,0.0239431,0.0102805,0.0363961,0.0170879,0,0,0,0
