Timestep,C7,CLAV,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x61,x62,x63
All Timesteps RMSE,0.0476365,0.0525174,0.0361457,0,0.0186885,0.057448,0,0,0.0183276,0,0,0.0523919,0.0305959,0.0422852,0.0102785,0.0150409,0.0320431,0.0383411,0.0275716,0.0476815,0.0678418,0.0534801,0.0642195,0.0631043,0.062054,0.0596603,0.0382133,0.0419877,0.0122493,0.0145928,0.0359553,0,0.0145888,0.0550786,0.0216379,0,0,0.0185009,0,0,0.0399711,0.0553943,0.0292032,0.0232992,0.0201132,0.0344617,0.0173531,0.0669836,0.0885737,0.0652973,0.038349,0.0631368,0.0467774,0.0454271,0.0648532,0.0299578,0.0162798,0.00841623,0.0109943,0.0274029,0.0194089,0,0,0
0,0.047404,0.0506516,0.0235128,0,0.0326222,0.0595303,0,0,0.0177636,0,0,0.052442,0.0336598,0.0618192,0.0144564,0.0116713,0.027898,0.0352005,0.0289832,0.0408766,0.0682556,0.0551669,0.0500494,0.0472241,0.0514314,0.0507754,0.0668417,0.0418601,0.0113328,0.0143785,0.0345283,0,0.0143457,0.0522227,0.0216944,0,0,0.0211279,0,0,0.0411684,0.0463397,0.0172666,0.0121314,0.0163247,0.0375758,0.0200285,0.0667982,0.0885715,0.063759,0.0373649,0.0691236,0.0533623,0.0504611,0.0691481,0.0161577,0.0139681,0.00929072,0.0130397,0.0269258,0.0189343,0,0,0
1,0.0468791,0.051291,0.0234458,0,0.0335236,0.0594244,0,0,0.0181705,0,0,0.0526078,0.0329325,0.0629899,0.0153962,0.0119496,0.0279618,0.0353682,0.028932,0.041167,0.0682625,0.0548384,0.0496011,0.0468345,0.051095,0.0505473,0.0684109,0.0414448,0.0113591,0.0144851,0.0354093,0,0.0144991,0.0522561,0.0218708,0,0,0.0214212,0,0,0.0412447,0.0464429,0.0169168,0.0120645,0.0157206,0.0371914,0.019851,0.0670507,0.0885389,0.0638445,0.0373283,0.0692676,0.0533037,0.0506882,0.0694185,0.0150329,0.0135662,0.00940731,0.0131023,0.0271615,0.0186351,0,0,0
2,0.046876,0.0513865,0.0236495,0,0.0338904,0.0588496,0,0,0.0178578,0,0,0.0529827,0.0331587,0.063578,0.0158963,0.0118851,0.028447,0.0353466,0.029023,0.041272,0.0682934,0.0547162,0.0493375,0.0466288,0.050824,0.0503447,0.0696687,0.0412195,0.0113261,0.0148131,0.0360293,0,0.0151275,0.0528931,0.0219041,0,0,0.0212921,0,0,0.0413698,0.0466664,0.0164169,0.0113416,0.0152786,0.0368935,0.0195299,0.0666069,0.088301,0.0638226,0.0370064,0.0693107,0.0532796,0.0510054,0.0697493,0.0139255,0.0131422,0.00933722,0.0134957,0.0271543,0.0185964,0,0,0
3,0.0468659,0.0514773,0.0237448,0,0.0341801,0.0582583,0,0,0.0179866,0,0,0.0531531,0.0332625,0.064115,0.0157269,0.0120324,0.0289309,0.0352971,0.0288552,0.0413711,0.0683687,0.0545709,0.0493334,0.0464718,0.0507151,0.0502653,0.070256,0.0409922,0.0113073,0.0147759,0.0367061,0,0.0155469,0.0534937,0.0219923,0,0,0.0213492,0,0,0.0413406,0.046924,0.0160323,0.0107598,0.015004,0.036766,0.0195652,0.065977,0.0880852,0.0638859,0.0368143,0.0693013,0.0532363,0.051227,0.0699723,0.0128626,0.01273,0.00916497,0.0135068,0.0273011,0.018533,0,0,0
4,0.0469398,0.0517468,0.0237243,0,0.0343386,0.0576727,0,0,0.0180824,0,0,0.0532542,0.0333606,0.0643884,0.0154024,0.0122514,0.0295134,0.03531,0.0287612,0.0411908,0.0681005,0.0543275,0.0493148,0.0464285,0.0507432,0.0503303,0.0706753,0.0408506,0.0113188,0.0146746,0.0372364,0,0.0158882,0.0540465,0.0220296,0,0,0.0214614,0,0,0.0412704,0.046994,0.0156378,0.0103139,0.0148422,0.036631,0.0195709,0.0657871,0.0879124,0.0640896,0.0366693,0.0692477,0.0531801,0.0513933,0.0701422,0.0119118,0.0126934,0.00885631,0.0136644,0.0273376,0.0185307,0,0,0
5,0.0470587,0.0522936,0.0235991,0,0.0342937,0.057419,0,0,0.0181575,0,0,0.0532638,0.0334217,0.0645255,0.0159627,0.0124325,0.0301126,0.035387,0.0287941,0.041105,0.0678352,0.0540801,0.0492203,0.046523,0.0508626,0.0505308,0.0709,0.0407752,0.0115345,0.0146212,0.037534,0,0.016269,0.0544242,0.0221034,0,0,0.0215606,0,0,0.0413129,0.0470888,0.0153398,0.0102317,0.0148339,0.0363209,0.0195401,0.0658358,0.087732,0.0643296,0.0366703,0.0690606,0.0530946,0.0515021,0.0702467,0.0112537,0.0127744,0.00896224,0.0136218,0.0273589,0.0184976,0,0,0
6,0.0470937,0.0525697,0.0235966,0,0.0341433,0.0569821,0,0,0.0181919,0,0,0.053214,0.0334833,0.0644775,0.0159129,0.0127,0.0306845,0.0354154,0.0287583,0.0411675,0.0675934,0.0538086,0.0492693,0.0466929,0.0511715,0.0508371,0.0707558,0.0408226,0.0117005,0.0145034,0.0378326,0,0.0166035,0.0549579,0.0221028,0,0,0.0215637,0,0,0.0413398,0.0472111,0.0151069,0.0102539,0.0150258,0.0360564,0.0194892,0.065504,0.0876013,0.0645567,0.0366266,0.0688786,0.053002,0.0515736,0.0702853,0.0106964,0.0128465,0.00913792,0.0135292,0.0273956,0.0184997,0,0,0
7,0.0470745,0.0526172,0.0236202,0,0.0339791,0.0564904,0,0,0.0181805,0,0,0.0531459,0.0335069,0.0643636,0.0155035,0.013096,0.0312095,0.0353796,0.0285254,0.0412967,0.067414,0.0534936,0.0495101,0.046939,0.0515069,0.0510974,0.0701615,0.0409161,0.0117802,0.0143216,0.0380837,0,0.0169123,0.0555191,0.022089,0,0,0.0214683,0,0,0.0413035,0.0473932,0.0149866,0.0102396,0.0154018,0.0358133,0.0194551,0.0651433,0.0874465,0.0647497,0.0365764,0.0686993,0.0528972,0.0515981,0.070278,0.0102777,0.0129242,0.00912095,0.0134009,0.0275205,0.0184722,0,0,0
8,0.0470757,0.0525554,0.0237214,0,0.0339582,0.0560619,0,0,0.0181725,0,0,0.0530415,0.0334622,0.0639972,0.0149249,0.0135068,0.0317133,0.0352829,0.0280862,0.0413372,0.067242,0.0531154,0.0497414,0.0472189,0.0518073,0.0512862,0.0693248,0.0410368,0.0118469,0.0141155,0.0383146,0,0.0172041,0.0560312,0.0220047,0,0,0.0213395,0,0,0.0411849,0.0475837,0.0148761,0.0101131,0.0157522,0.0356653,0.0195217,0.064774,0.0872936,0.0649769,0.0365336,0.0685768,0.0528004,0.0516025,0.0702827,0.00989889,0.0129719,0.00911678,0.0132125,0.0275884,0.0184602,0,0,0
9,0.0470141,0.0526653,0.0236296,0,0.0338212,0.0560387,0,0,0.0182706,0,0,0.0528871,0.0329828,0.063663,0.0147727,0.0139378,0.0319926,0.0350625,0.0278603,0.0415979,0.0670095,0.0526211,0.0498752,0.0474784,0.0519996,0.0514193,0.0681096,0.0411268,0.0118714,0.013826,0.0388016,0,0.0171766,0.0561305,0.0219661,0,0,0.021075,0,0,0.0410987,0.0479783,0.0146656,0.0101424,0.0159089,0.0356123,0.0196035,0.0645622,0.0872385,0.0652671,0.0366804,0.0684954,0.0527287,0.0515911,0.0702558,0.00934854,0.012982,0.00909742,0.0129462,0.0276894,0.0183611,0,0,0
10,0.0470952,0.0526185,0.0235988,0,0.0330182,0.0557569,0,0,0.0178102,0,0,0.0529524,0.033008,0.063045,0.015421,0.0140122,0.0323237,0.0349747,0.027832,0.0417363,0.0666917,0.0522494,0.0501016,0.0478581,0.0521459,0.0514428,0.0666324,0.041269,0.0119986,0.0139268,0.0382566,0,0.0179336,0.0566333,0.0218901,0,0,0.0206156,0,0,0.0411257,0.0482361,0.014434,0.00959997,0.0170117,0.0353119,0.0192373,0.0646366,0.087009,0.0651229,0.0365186,0.0681715,0.0525188,0.0516691,0.0702527,0.00960009,0.0130619,0.00884379,0.013283,0.0276906,0.0183371,0,0,0
11,0.0470821,0.0526573,0.0235592,0,0.0323232,0.055474,0,0,0.0177584,0,0,0.0528449,0.032829,0.0625744,0.015588,0.0139731,0.0324969,0.0349709,0.0275649,0.0421283,0.066488,0.0518972,0.0503899,0.0482727,0.0523127,0.0514836,0.0649462,0.0413967,0.0121006,0.0138905,0.0381663,0,0.0181903,0.0570605,0.0218418,0,0,0.0205131,0,0,0.0410519,0.0484208,0.0142619,0.00949162,0.0176404,0.0351184,0.0192243,0.0647091,0.0870063,0.0651506,0.036672,0.0679289,0.0523203,0.0515846,0.070163,0.00958174,0.0132622,0.00885447,0.0131077,0.0277573,0.0182975,0,0,0
12,0.0470704,0.0526861,0.023726,0,0.0316315,0.0553628,0,0,0.0178531,0,0,0.0527837,0.0325682,0.061985,0.0151862,0.013951,0.032783,0.0349975,0.0271677,0.0426672,0.0662997,0.0515996,0.0508442,0.0488428,0.0526401,0.051602,0.0632385,0.0414585,0.0121466,0.0137651,0.0381256,0,0.0184051,0.0573581,0.0217694,0,0,0.0203804,0,0,0.0409763,0.048741,0.0141511,0.00979211,0.0181926,0.0350835,0.0191747,0.0646094,0.0869694,0.065265,0.0364233,0.0676842,0.0521577,0.0514633,0.0700775,0.00957764,0.0134679,0.00876733,0.0129803,0.0278155,0.0182791,0,0,0
13,0.0471238,0.0527022,0.0240987,0,0.0309462,0.0552416,0,0,0.0179675,0,0,0.0527427,0.0322197,0.061153,0.0148238,0.0137875,0.0330852,0.0349628,0.026795,0.0433591,0.0661981,0.0513611,0.0514948,0.0496274,0.0532097,0.0520136,0.0613687,0.0414682,0.0121807,0.0137234,0.0381102,0,0.0185511,0.0574663,0.0216833,0,0,0.0202638,0,0,0.0408291,0.0491253,0.0140016,0.010137,0.0185545,0.0350694,0.0190373,0.064339,0.0869527,0.0655476,0.0359633,0.067447,0.052028,0.0513369,0.0699834,0.00961563,0.0136264,0.00861724,0.0128847,0.0278315,0.0182818,0,0,0
14,0.0472047,0.052721,0.0245956,0,0.0303695,0.0551765,0,0,0.0180858,0,0,0.0527094,0.0318536,0.0601549,0.0146131,0.0136169,0.0332967,0.0350212,0.0265681,0.0440621,0.0662001,0.0511898,0.0523826,0.0506631,0.053915,0.0526327,0.0595559,0.0414076,0.0121908,0.0136943,0.0380953,0,0.0185994,0.0574844,0.0216224,0,0,0.020177,0,0,0.0407022,0.0494408,0.0138064,0.0103933,0.018788,0.0349871,0.0188341,0.0641341,0.0869927,0.065798,0.0359589,0.0671812,0.0519262,0.051225,0.0698195,0.00963911,0.0137832,0.00854468,0.0126859,0.0278527,0.0182697,0,0,0
15,0.04723,0.0527785,0.0272277,0,0.0261255,0.0560678,0,0,0.01895,0,0,0.0519731,0.031129,0.0588198,0.0146762,0.00957265,0.0323176,0.0345467,0.0260835,0.0428944,0.0647138,0.0505923,0.0539142,0.0530949,0.0550443,0.0534001,0.0658758,0.0416164,0.0127399,0.0133943,0.0409072,0,0.0194049,0.0567713,0.0222912,0,0,0.0192846,0,0,0.0411777,0.0500529,0.0136095,0.0118114,0.019745,0.0358158,0.0191652,0.0650027,0.087276,0.0652168,0.0362994,0.0663601,0.0518115,0.0509852,0.0691937,0.00776631,0.0138917,0.00828839,0.0122713,0.0280361,0.0174382,0,0,0
