Devices
1000
,,Impulse - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0777435
1,1,0.0832748
1,2,0.0834274
1,3,0.0875092
1,4,0.08358
1,5,0.0765228
1,6,0.0626373
1,7,0.0602722
1,8,0.0222015
1,9,-0.0118637
2,0,-0.0624847
2,1,-0.088501
2,2,-0.0748444
2,3,-0.0744629
2,4,-0.0276947
2,5,-0.018959
2,6,0.0208282
2,7,0.0601196
2,8,0.0801468
2,9,0.0643158
3,0,0.0504303
3,1,0.0433731
3,2,0.0305939
3,3,0.0254822
3,4,0.0239944
3,5,-0.0108337
3,6,-0.068779
3,7,-0.0849152
3,8,-0.103874
3,9,-0.102577
4,0,-0.0910187
4,1,-0.0605774
4,2,-0.0154114
4,3,0.00804901
4,4,0.021019
4,5,0.0339508
4,6,0.0391388
4,7,0.0399399
4,8,0.0288391
4,9,0.01297
5,0,0.00839233
5,1,0.000343323
5,2,-0.0579453
5,3,-0.103302
5,4,-0.108452
5,5,-0.126877
5,6,-0.0983047
5,7,-0.0913239
5,8,-0.0379944
5,9,-0.0331879
6,0,-0.00175476
6,1,0.0208282
6,2,0.0270844
6,3,0.0181198
6,4,0.0151825
6,5,0.0148773
6,6,0.0224686
6,7,0.0153351
6,8,-0.0289154
6,9,-0.0971603
7,0,-0.109329
7,1,-0.118103
7,2,-0.102844
7,3,-0.0827789
7,4,-0.0605011
7,5,-0.031662
7,6,0.00541687
7,7,0.0162125
7,8,0.0448227
7,9,0.032196
8,0,0.0341797
8,1,0.0292969
8,2,0.0320435
8,3,0.0143433
8,4,0.00247955
8,5,-0.014267
8,6,-0.075798
8,7,-0.10479
8,8,-0.0960541
8,9,-0.110016
9,0,-0.0792313
9,1,-0.0543976
9,2,-0.00377655
9,3,0.033493
9,4,0.0485992
9,5,0.0519943
9,6,0.040741
9,7,0.0778961
9,8,0.0593948
9,9,0.0415802
10,0,0.041275
10,1,0.0322342
10,2,-0.0255585
10,3,-0.0747299
10,4,-0.0774384
10,5,-0.087204
10,6,-0.0775909
10,7,-0.0430298
10,8,-0.00518799
10,9,0.0218964
11,0,0.0368881
11,1,0.0444794
11,2,0.0728989
11,3,0.0461578
11,4,0.0749207
11,5,0.0772858
11,6,0.0706863
11,7,0.05867
11,8,0.0606155
11,9,-0.0196457
12,0,-0.0585556
12,1,-0.091629
12,2,-0.0685883
12,3,-0.0575256
12,4,-0.0258255
12,5,0.0141907
12,6,0.0485229
12,7,0.03582
12,8,0.0767136
12,9,0.0889969
13,0,0.074234
13,1,0.0783539
13,2,0.0549698
13,3,0.0765228
13,4,0.0495148
13,5,0.0289536
13,6,-0.0407791
13,7,-0.0501633
13,8,-0.0815201
13,9,-0.0569916
14,0,-0.0539398
14,1,-0.0177002
14,2,-0.0062561
14,3,0.0409698
14,4,0.0778961
14,5,0.0791168
14,6,0.0517273
14,7,0.0671387
14,8,0.0705338
14,9,0.0709534
15,0,0.0780106
15,1,0.0540543
15,2,-0.0279999
15,3,-0.0592041
15,4,-0.074234
15,5,-0.0762939
15,6,-0.080719
15,7,-0.0453568
15,8,0.00343323
15,9,0.0123978
16,0,0.0316238
16,1,0.054245
16,2,0.0706482
16,3,0.0567245
16,4,0.0567627
16,5,0.0553131
16,6,0.0546646
16,7,0.0576019
16,8,0.0205994
16,9,-0.0458527
17,0,-0.0756073
17,1,-0.105934
17,2,-0.118561
17,3,-0.0745392
17,4,-0.044899
17,5,-0.0203705
17,6,0.000305176
17,7,0.0418854
17,8,0.0657654
17,9,0.0445175
18,0,0.0239563
18,1,0.0122452
18,2,0.0308228
18,3,0.0477982
18,4,0.0157166
18,5,0.00301361
18,6,-0.0521088
18,7,-0.132828
18,8,-0.0946808
18,9,-0.0846863
19,0,-0.0499344
19,1,-0.0786972
19,2,-0.0314713
19,3,0.0162506
19,4,0.01297
19,5,0.0478745
19,6,0.0248718
19,7,0.0595474
19,8,0.0400543
19,9,0.0303268
20,0,-0.00457764
20,1,0.0139999
20,2,-0.0624084
20,3,-0.104904
20,4,-0.0941467
20,5,-0.143471
20,6,-0.0783539
20,7,-0.0700378
20,8,-0.0296021
20,9,-0.0127411
21,0,0.013504
21,1,0.0389862
21,2,0.0281525
21,3,0.0369263
21,4,0.0268555
21,5,0.0476837
21,6,0.0154495
21,7,0.0248718
21,8,0.0260162
21,9,-0.0367737
22,0,-0.0986481
22,1,-0.131912
22,2,-0.0971985
22,3,-0.0933075
22,4,-0.0321579
22,5,-0.0314331
22,6,0.00537872
22,7,0.0591278
22,8,0.0789642
22,9,0.0505066
23,0,0.0421906
23,1,0.0565338
23,2,0.0614929
23,3,0.0391388
23,4,0.0245285
23,5,-0.000915527
23,6,-0.0341034
23,7,-0.0788116
23,8,-0.0864792
23,9,-0.0653839
24,0,-0.0535583
24,1,-0.0343323
24,2,-0.0056839
24,3,0.0269318
24,4,0.0478363
24,5,0.0758743
24,6,0.0763702
24,7,0.0717926
24,8,0.087738
24,9,0.0892258
25,0,0.0686264
25,1,0.02491
25,2,-0.0107956
25,3,-0.0179291
25,4,-0.0729752
25,5,-0.0766754
25,6,-0.0509262
25,7,-0.0075531
25,8,-0.00404358
25,9,0.0192642
26,0,0.0485992
26,1,0.0754166
26,2,0.0764847
26,3,0.0640869
26,4,0.100555
26,5,0.0709534
26,6,0.0857544
26,7,0.0841522
26,8,0.033226
26,9,-0.00923157
27,0,-0.0351715
27,1,-0.0812912
27,2,-0.0602341
27,3,-0.0279236
27,4,0.022316
27,5,0.00453949
27,6,0.0327301
27,7,0.0834656
27,8,0.102158
27,9,0.0861359
28,0,0.0738525
28,1,0.0900269
28,2,0.0628281
28,3,0.0648499
28,4,0.0749207
28,5,0.0157166
28,6,-0.0300217
28,7,-0.042038
28,8,-0.0815582
28,9,-0.0415421
29,0,-0.036087
29,1,0.0212097
29,2,0.0388336
29,3,0.0318146
29,4,0.0482559
29,5,0.0931931
29,6,0.0790787
29,7,0.0737762
29,8,0.0722885
29,9,0.0680161
30,0,0.0674438
30,1,0.0239944
30,2,-0.0394058
30,3,-0.0639343
30,4,-0.0931549
30,5,-0.0805664
30,6,-0.0845718
30,7,-0.0565338
30,8,-0.0179291
30,9,0.00545502
31,0,0.0136185
31,1,0.0528717
31,2,0.0448608
31,3,0.0593567
31,4,0.0408554
31,5,0.0332642
31,6,0.0442886
31,7,0.0282669
31,8,0.00408173
31,9,-0.0598526
32,0,-0.102463
32,1,-0.112076
32,2,-0.118027
32,3,-0.121231
32,4,-0.0927353
32,5,-0.0437164
32,6,-0.00602722
32,7,0.0246048
32,8,0.0315094
32,9,0.0224686
33,0,0.0221252
33,1,0.0117493
33,2,0.0234985
33,3,0.00789642
