Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72,LBL
All Timesteps RMSE,0.0384404,0.0499406,0,0,0,0.0471167,0,0.0238657,0.0517879,0,0,0,0.0187692,0,0,0.0501814,0.0489696,0.0518634,0.027391,0.0123419,0,0,0.0296394,0.0501003,0.0310742,0.0471564,0.0653716,0.0540803,0.0670907,0.0657304,0.0616676,0.0617411,0,0.0335984,0,0.0389766,0.0143808,0.0109859,0.0241552,0,0.0141922,0.0735164,0.0169823,0,0,0.0201031,0,0,0.0369303,0.0317878,0.0418193,0.0238651,0.0234234,0.0355822,0.018043,0.0764833,0.0900526,0.0626768,0.0259215,0.0588071,0.0408435,0.0397441,0.0612051,0.0416183,0.012191,0.0115896,0.00592142,0.0250681,0.0259213,0,0,0,0
0,0.0403544,0.0506077,0,0,0,0.0642297,0,0.0193257,0.0496672,0,0,0,0.0173563,0,0,0.049728,0.0463263,0.0403283,0.0212366,0.0107185,0,0,0.0284472,0.0518761,0.0243749,0.0384877,0.059413,0.0547553,0.0725433,0.0716058,0.0647367,0.0647969,0,0.0230554,0,0.0398317,0.0148892,0.0101633,0.0262781,0,0.0104585,0.0726686,0.0166101,0,0,0.0168731,0,0,0.0336581,0.0355168,0.0394377,0.0171754,0.024559,0.0383881,0.00789878,0.0809111,0.0914718,0.0585741,0.0316227,0.0619254,0.0428485,0.0419456,0.0639938,0.0319328,0.0152054,0.0114715,0.00854877,0.0261801,0.0260362,0,0,0,0
1,0.0402703,0.0507967,0,0,0,0.0635851,0,0.0192928,0.0499226,0,0,0,0.0174356,0,0,0.0497062,0.0464861,0.0411735,0.0215528,0.0113247,0,0,0.0283877,0.0517977,0.0240982,0.0383662,0.0592205,0.0542402,0.0722651,0.0712823,0.0643072,0.0644516,0,0.0227876,0,0.0397755,0.0148409,0.0101736,0.0257472,0,0.0103476,0.0725914,0.0167484,0,0,0.0169153,0,0,0.0337864,0.0356516,0.0394775,0.0175241,0.0246887,0.038262,0.00834674,0.0813448,0.0916815,0.0584253,0.0315478,0.0618604,0.0427628,0.0419063,0.0639418,0.0327992,0.0152957,0.0113293,0.00837511,0.0262831,0.0262527,0,0,0,0
2,0.040215,0.0508304,0,0,0,0.063182,0,0.0194723,0.0500494,0,0,0,0.0175225,0,0,0.0496981,0.0467738,0.042071,0.0220195,0.0118786,0,0,0.0283814,0.051803,0.0239657,0.0382517,0.059109,0.0540261,0.0718741,0.0708498,0.0639373,0.0639527,0,0.0225788,0,0.0397934,0.0148105,0.0101881,0.0253779,0,0.0103716,0.0725797,0.0167656,0,0,0.0169543,0,0,0.0338336,0.035537,0.039402,0.0175052,0.0248159,0.038184,0.00847657,0.081499,0.0917656,0.0583062,0.0313911,0.0618728,0.0427168,0.0419544,0.063987,0.0332724,0.0152127,0.0113793,0.00829808,0.0262717,0.0263172,0,0,0,0
3,0.0401399,0.0508646,0,0,0,0.0629989,0,0.0197102,0.0502148,0,0,0,0.0175699,0,0,0.0496749,0.0470788,0.0430639,0.0224712,0.0124383,0,0,0.0284098,0.0517926,0.0238899,0.0381905,0.0589954,0.0538799,0.0714467,0.0703509,0.0634744,0.0633938,0,0.0222415,0,0.0397449,0.0147651,0.010213,0.0250106,0,0.0104009,0.0725106,0.0166886,0,0,0.0170189,0,0,0.0338851,0.0352598,0.0392917,0.0174803,0.0249357,0.0381017,0.00856784,0.0816984,0.0917552,0.0582756,0.031194,0.0618791,0.0427043,0.0420967,0.0641498,0.0336013,0.0150462,0.0113369,0.0081355,0.026231,0.0263018,0,0,0,0
4,0.0400998,0.0508351,0,0,0,0.0626544,0,0.0200044,0.050487,0,0,0,0.0176157,0,0,0.0496739,0.0473882,0.044102,0.0229001,0.0129789,0,0,0.0284137,0.0517292,0.0238314,0.038087,0.0588902,0.053715,0.0709057,0.0697749,0.0629662,0.0628025,0,0.0220128,0,0.0396636,0.0147191,0.0102687,0.0246495,0,0.0106084,0.0723561,0.0167189,0,0,0.0170558,0,0,0.0339826,0.0348922,0.0391095,0.0175021,0.0250441,0.0380183,0.00886551,0.0818261,0.0917705,0.0584131,0.0310417,0.0618136,0.0427395,0.042237,0.0643343,0.0338899,0.0148148,0.0114358,0.00801057,0.0261179,0.0262951,0,0,0,0
5,0.0400666,0.0507609,0,0,0,0.0621917,0,0.0204493,0.0507806,0,0,0,0.0177104,0,0,0.0496976,0.0476676,0.0452168,0.0232819,0.0133352,0,0,0.0283671,0.0516323,0.023769,0.0380261,0.0588326,0.0534926,0.0702581,0.0691143,0.06244,0.0622115,0,0.0218839,0,0.0395918,0.0146948,0.0103156,0.0242934,0,0.0112144,0.072121,0.0168174,0,0,0.0171246,0,0,0.0341203,0.0344542,0.0389654,0.0175143,0.025057,0.0379509,0.00940903,0.0818611,0.0918551,0.0585224,0.0307773,0.0617276,0.0427925,0.0423121,0.0643536,0.0342719,0.0145497,0.0114216,0.0077832,0.0259481,0.0262951,0,0,0,0
6,0.0399896,0.0507623,0,0,0,0.0618068,0,0.0210792,0.0511381,0,0,0,0.0178673,0,0,0.0497574,0.0479148,0.0463242,0.0236745,0.0135254,0,0,0.0282185,0.0514715,0.0237004,0.0380952,0.0587898,0.0532424,0.069544,0.0683933,0.0618324,0.061621,0,0.0217056,0,0.0394856,0.0146954,0.0103793,0.0237382,0,0.0111828,0.0718916,0.016835,0,0,0.0175407,0,0,0.0342493,0.0339126,0.0387982,0.0175473,0.0250382,0.0379603,0.00994988,0.0817975,0.0919117,0.0585815,0.0304788,0.061625,0.0427876,0.0423281,0.0642752,0.0347951,0.0142696,0.0112,0.00731222,0.0258317,0.0262202,0,0,0,0
7,0.0399571,0.0507532,0,0,0,0.0612836,0,0.0218079,0.0515249,0,0,0,0.0179513,0,0,0.0498349,0.0481044,0.0473184,0.0239455,0.0135071,0,0,0.0280788,0.0512425,0.0236717,0.0381251,0.0587792,0.0530309,0.0687675,0.0675914,0.061198,0.0609731,0,0.0214169,0,0.0393502,0.0146895,0.0105097,0.0236035,0,0.0110554,0.0715969,0.0168739,0,0,0.0176566,0,0,0.0344976,0.0333351,0.0381809,0.0176773,0.0249594,0.0379653,0.0104073,0.0818056,0.0919482,0.0586738,0.0302921,0.0615372,0.0427287,0.0423506,0.0641784,0.0349911,0.0140491,0.0110992,0.00701291,0.0257194,0.026192,0,0,0,0
8,0.0398265,0.0508559,0,0,0,0.0607065,0,0.0227625,0.0520005,0,0,0,0.0180117,0,0,0.0499303,0.0483713,0.0485898,0.0243813,0.01359,0,0,0.0279774,0.0510598,0.0236654,0.0381712,0.0587113,0.0527821,0.0679046,0.0667376,0.0604432,0.0602371,0,0.0213901,0,0.0392358,0.0146821,0.0106047,0.0238784,0,0.0110855,0.0712979,0.0168135,0,0,0.0177101,0,0,0.0347611,0.0326845,0.0370551,0.0179278,0.0250204,0.0380113,0.0109716,0.0818932,0.0919987,0.0586166,0.030344,0.061472,0.042583,0.042332,0.0642727,0.0348356,0.0137756,0.0111216,0.00678451,0.0256653,0.0261866,0,0,0,0
