Timestep,C7,CLAV,IMU_L,IMU_M,IMU_R,L5FT,L5HD,LANK,LASI,LBHD,LBL,LBR,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LML,LMR,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTL,LTOE,LTR,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x70,x71,x72
All Timesteps RMSE,0.0392606,0.0491461,0,0,0,0.0413719,0,0.0221296,0.0472555,0,0,0,0,0.0168457,0,0,0.0488465,0.0479284,0.0475525,0.027937,0.0154437,0,0,0.0296688,0.0458363,0.0917903,0.093245,0.0541148,0.0534211,0.0671084,0.0654622,0.0616773,0.0608972,0,0.0338452,0,0.0406447,0.0136713,0.0093882,0.02166,0,0.01415,0.0762525,0.0192047,0,0,0.0228813,0,0,0.0400857,0.032103,0.0415684,0.0238981,0.0234207,0.0346263,0.020776,0.0756089,0.0904484,0.0637533,0.0249114,0.0596429,0.0417377,0.0409835,0.0623946,0.0469256,0.0113369,0.0116628,0.0065775,0.0261782,0.0233497,0,0,0
0,0.0379574,0.046173,0,0,0,0.0254742,0,0.0247731,0.0455043,0,0,0,0,0.0178082,0,0,0.0490703,0.0513152,0.0627798,0.0380803,0.0174296,0,0,0.0292856,0.0445765,0.0974384,0.0948062,0.0483292,0.0578954,0.065435,0.062933,0.0620264,0.0620223,0,0.0630703,0,0.03951,0.0132544,0.00924209,0.0208643,0,0.00885631,0.0811443,0.0170984,0,0,0.0215205,0,0,0.0377407,0.0281786,0.0292272,0.0297115,0.0248134,0.0333022,0.0148842,0.0738528,0.0903417,0.0640306,0.0207883,0.0605986,0.0445668,0.0433545,0.0630915,0.0328098,0.0119101,0.0112866,0.00510979,0.0229842,0.0235979,0,0,0
1,0.0379887,0.0465894,0,0,0,0.0251646,0,0.0242249,0.0452625,0,0,0,0,0.0176036,0,0,0.0490397,0.051551,0.0611708,0.0371631,0.0171397,0,0,0.0289092,0.0442461,0.0980188,0.0953966,0.0482377,0.0584439,0.0661058,0.063816,0.0627747,0.0626654,0,0.059151,0,0.0396398,0.0132331,0.00918306,0.0209743,0,0.00898103,0.0812031,0.0170148,0,0,0.0212791,0,0,0.0374308,0.0283418,0.0292329,0.0300741,0.0246829,0.0332635,0.0148588,0.0737258,0.0902073,0.064013,0.0209711,0.0606206,0.0447508,0.0433602,0.0632103,0.0322813,0.0120537,0.0108918,0.00521661,0.0234367,0.0234268,0,0,0
2,0.0380901,0.0468176,0,0,0,0.0252627,0,0.0234725,0.0451382,0,0,0,0,0.0173849,0,0,0.0488951,0.0517979,0.0592046,0.0363286,0.0166797,0,0,0.0286715,0.0441372,0.098602,0.095888,0.0481238,0.058492,0.0668456,0.0647959,0.0633884,0.0631533,0,0.0543524,0,0.039837,0.0132368,0.00903825,0.021126,0,0.00913121,0.0810676,0.0170696,0,0,0.0210505,0,0,0.0372105,0.0286518,0.0292668,0.0301865,0.0247088,0.033312,0.0146593,0.0735722,0.0900797,0.0640533,0.0211325,0.0605614,0.0446867,0.0434506,0.0633323,0.0319279,0.0122007,0.0107042,0.00530112,0.0236726,0.0232795,0,0,0
3,0.0382339,0.0469744,0,0,0,0.0260507,0,0.0227156,0.045121,0,0,0,0,0.017182,0,0,0.0487643,0.0520085,0.0570461,0.0355304,0.0158891,0,0,0.0284084,0.0439989,0.0989639,0.0963203,0.0480617,0.0588272,0.0675902,0.0658907,0.0639809,0.0632031,0,0.0489699,0,0.040064,0.0132365,0.00895658,0.0211931,0,0.00930993,0.080935,0.0171674,0,0,0.0208891,0,0,0.0370044,0.0291109,0.02929,0.030245,0.0248094,0.033452,0.0144833,0.0733453,0.0899264,0.0640488,0.0214446,0.0604999,0.0446443,0.0436556,0.0633612,0.0318505,0.0123544,0.0107284,0.00524708,0.0237859,0.0231278,0,0,0
4,0.0383946,0.0471344,0,0,0,0.0277583,0,0.0220989,0.0452615,0,0,0,0,0.0169717,0,0,0.0486292,0.0522489,0.0549156,0.0346946,0.0147127,0,0,0.0281345,0.0438297,0.0994089,0.0967581,0.0483242,0.0593237,0.0683281,0.0669143,0.064595,0.0635194,0,0.0430506,0,0.0403403,0.0133077,0.00889012,0.0210909,0,0.00943236,0.0806292,0.017312,0,0,0.0208316,0,0,0.0368125,0.0295837,0.0293105,0.0302267,0.024823,0.0336399,0.0143259,0.0730797,0.0897316,0.0640318,0.0216862,0.0605026,0.0446799,0.0437938,0.0631441,0.0320169,0.0124721,0.0107264,0.00512268,0.0238328,0.0229776,0,0,0
5,0.0386577,0.0472687,0,0,0,0.0304079,0,0.0215438,0.0453649,0,0,0,0,0.0168693,0,0,0.0484153,0.0523042,0.0527363,0.0334391,0.0132916,0,0,0.0278544,0.0436848,0.0998247,0.0972026,0.0487308,0.0598308,0.0692514,0.0680177,0.0653353,0.0642179,0,0.036522,0,0.0406671,0.0133249,0.00863396,0.0209417,0,0.00949873,0.0801835,0.0174585,0,0,0.0204134,0,0,0.0366953,0.0302267,0.0293103,0.0301724,0.0246506,0.0337325,0.0139455,0.0727068,0.0894893,0.064053,0.0218841,0.0606069,0.0447403,0.0438427,0.0630249,0.0321619,0.0127111,0.0105292,0.00555978,0.0239486,0.0228301,0,0,0
6,0.0389851,0.0474578,0,0,0,0.0337454,0,0.0210849,0.0456413,0,0,0,0,0.0166367,0,0,0.0481984,0.0521971,0.0505397,0.0319653,0.0118598,0,0,0.0275874,0.0434738,0.100168,0.0976102,0.0492332,0.0604337,0.0702289,0.069187,0.0662062,0.0651384,0,0.0299116,0,0.040986,0.013287,0.00844253,0.0208594,0,0.00954512,0.0795938,0.0177016,0,0,0.0202728,0,0,0.0365305,0.0309496,0.029319,0.0300638,0.0243933,0.0338414,0.013608,0.0723388,0.0891776,0.0640852,0.0220322,0.0607031,0.0450138,0.0438146,0.0630477,0.032237,0.0129104,0.0105677,0.00551216,0.024123,0.0225532,0,0,0
7,0.0393596,0.0476826,0,0,0,0.0373742,0,0.0207631,0.0460764,0,0,0,0,0.0163746,0,0,0.0479505,0.0519812,0.0482489,0.0303853,0.0107538,0,0,0.0273665,0.0432495,0.100481,0.097888,0.0498643,0.0611741,0.0712536,0.0703548,0.06719,0.0659518,0,0.0237474,0,0.0413564,0.013241,0.00828755,0.0208284,0,0.00963403,0.0788899,0.0179869,0,0,0.0201085,0,0,0.0363751,0.0317585,0.0293433,0.0299058,0.0240966,0.033927,0.0133882,0.071967,0.0888698,0.0641408,0.0223965,0.060705,0.045463,0.0438449,0.0630082,0.0322288,0.0131388,0.0105949,0.00550066,0.0242897,0.0222448,0,0,0
8,0.0397707,0.0479173,0,0,0,0.0405743,0,0.0207169,0.04664,0,0,0,0,0.0160903,0,0,0.0476803,0.0514395,0.0459213,0.0285647,0.0109042,0,0,0.0272758,0.0428717,0.100779,0.0977228,0.0505932,0.0620451,0.0724323,0.0714367,0.068227,0.0668656,0,0.0186832,0,0.0418129,0.013131,0.00818792,0.0209484,0,0.00970063,0.0780581,0.0183697,0,0,0.0198662,0,0,0.0361416,0.0327349,0.0293455,0.029788,0.0237009,0.0339745,0.0131674,0.0715567,0.0885355,0.064203,0.0230802,0.060824,0.0458111,0.0437815,0.0629501,0.0320556,0.0133369,0.0105346,0.00554827,0.0244715,0.0219197,0,0,0
