Timestep,C7,CBL,CBR,CFL,CFR,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,LWRA
All Timesteps RMSE,0.0217735,0,0,0,0,0.0435616,0,0,0,0,0,0,0.0272622,0,0.0226107,0.0681149,0,0,0.0186321,0,0,0.0385439,0.0709456,0.025098,0.00626485,0.019713,0.0325294,0.0290505,0.0470997,0.0546928,0.0378976,0.0139336,0.0153323,0.0266298,0.0278575,0.0243344,0.0170027,0.0206222,0.0409855,0,0.0120936,0.0636558,0.0369354,0,0,0.0213006,0,0,0.0461501,0.0612823,0.029651,0.0132975,0.00825337,0.0422274,0.0460003,0.0421141,0.0752096,0.069901,0.0255629,0.065444,0.0401073,0.0512764,0.0829393,0.0140481,0.017104,0.00974249,0.0254894,0.0258778,0.0310127,0.0270449
0,0.0234379,0,0,0,0,0.0411571,0,0,0,0,0,0,0.0278683,0,0.0193186,0.0649083,0,0,0.0155633,0,0,0.0252742,0.0721705,0.0212939,0.00760047,0.0171982,0.0353546,0.0344646,0.0493555,0.0580479,0.0417929,0.0121672,0.0154838,0.0285379,0.0292215,0.0180108,0.0107277,0.022473,0.0507995,0,0.0144301,0.0675892,0.0354298,0,0,0.0234976,0,0,0.0474318,0.0574482,0.0280343,0.0195898,0.0166649,0.0447361,0.0456459,0.0443618,0.0748601,0.0691839,0.0264052,0.0649405,0.0373528,0.0509326,0.0835422,0.0172516,0.0117938,0.0176067,0.0227916,0.0215051,0.0317355,0
1,0.0233479,0,0,0,0,0.0413685,0,0,0,0,0,0,0.0278321,0,0.0194076,0.0649653,0,0,0.0155804,0,0,0.0253196,0.0721028,0.0213904,0.00757791,0.0172924,0.0352786,0.0340748,0.0495588,0.0581108,0.0418838,0.0121886,0.0155169,0.0287329,0.0291822,0.0183115,0.0104666,0.0224148,0.0510291,0,0.0143208,0.0675186,0.0354854,0,0,0.023638,0,0,0.0474535,0.0574311,0.0280821,0.0193984,0.0163701,0.0446405,0.0455812,0.0443454,0.0748913,0.0692567,0.0264714,0.0651148,0.0374111,0.0509691,0.0835672,0.0174134,0.0116551,0.0175734,0.0227824,0.0215463,0.0316178,0
2,0.0227391,0,0,0,0,0.0421636,0,0,0,0,0,0,0.027625,0,0.0194937,0.0649015,0,0,0.022911,0,0,0.0391018,0.072212,0.0214535,0.00765436,0.017367,0.0349421,0.0356076,0.0495267,0.0582865,0.0420146,0.0123092,0.0156517,0.0287242,0.0291158,0.0185488,0.00613334,0.0192792,0.0512392,0,0.0142839,0.0677615,0.0356635,0,0,0.0236268,0,0,0.0475971,0.0576353,0.0279313,0.018937,0.0162854,0.0439611,0.0445263,0.0440653,0.0746442,0.0691386,0.0264793,0.0653029,0.0376154,0.0512039,0.0837326,0.0175365,0.0123281,0.0178304,0.0226835,0.0223051,0.0314704,0.0205717
3,0.0233099,0,0,0,0,0.0414528,0,0,0,0,0,0,0.0270966,0,0.0194635,0.0649354,0,0,0.0153734,0,0,0.0252997,0.0720767,0.0215879,0.00761908,0.0174864,0.0351505,0.0332508,0.0495568,0.05852,0.0419713,0.0122994,0.0156981,0.0286727,0.029066,0.0192329,0.0102977,0.0224187,0.051214,0,0.0143124,0.0675728,0.0355823,0,0,0.0238149,0,0,0.0476278,0.0574566,0.0281702,0.0191447,0.0163079,0.0445367,0.0452204,0.0443938,0.0747573,0.0692048,0.0265898,0.0650993,0.0373816,0.0510453,0.0835664,0.0174179,0.011817,0.0178528,0.022781,0.0217394,0.0314269,0
4,0.0226948,0,0,0,0,0.0422417,0,0,0,0,0,0,0.0269788,0,0.0194336,0.0649009,0,0,0.0231971,0,0,0.0392496,0.072193,0.0216563,0.00768946,0.01749,0.0348363,0.0345642,0.0493733,0.0584698,0.0420737,0.0121986,0.0157976,0.0286842,0.0290537,0.0193203,0.00589426,0.0194811,0.0514453,0,0.0142604,0.0677179,0.0356514,0,0,0.0238138,0,0,0.0477731,0.0576889,0.0279464,0.0186311,0.0162904,0.0438478,0.0442656,0.0440328,0.0744885,0.0690604,0.0265748,0.0652074,0.0375089,0.0512025,0.0837547,0.0175806,0.0124251,0.0180221,0.0227346,0.0229642,0.0312683,0.0212213
5,0.0226494,0,0,0,0,0.0423917,0,0,0,0,0,0,0.0267477,0,0.0194351,0.0649595,0,0,0.0229278,0,0,0.039357,0.0721452,0.0216567,0.0076801,0.017469,0.0347507,0.0339962,0.0494146,0.0583402,0.0420449,0.0120493,0.0159118,0.028681,0.0290519,0.0195246,0.00595807,0.0195928,0.0515029,0,0.0142216,0.0676557,0.0356237,0,0,0.0239319,0,0,0.0478198,0.0577158,0.0279492,0.0185318,0.0162829,0.0437698,0.0441867,0.0438439,0.0745061,0.0690494,0.026623,0.0651832,0.0375127,0.0511393,0.0837456,0.0176165,0.0124821,0.0179898,0.0227335,0.0228653,0.0311149,0.0219128
6,0.0225983,0,0,0,0,0.0425189,0,0,0,0,0,0,0.0263708,0,0.0195027,0.064974,0,0,0.0228989,0,0,0.0393997,0.0721235,0.0216197,0.00772092,0.017481,0.034665,0.0335537,0.0495649,0.0583075,0.0420228,0.0119981,0.0159513,0.0285879,0.0290243,0.0199816,0.00594712,0.0197343,0.0515657,0,0.0142023,0.0676785,0.0356123,0,0,0.023984,0,0,0.0478939,0.0577067,0.0279244,0.0184132,0.0162425,0.0436586,0.0440977,0.0436974,0.0744567,0.0690417,0.026643,0.0652162,0.0375417,0.0511052,0.0837285,0.017664,0.0125336,0.0179966,0.0227257,0.0228628,0.0310005,0.022354
7,0.0225625,0,0,0,0,0.0426357,0,0,0,0,0,0,0.0259167,0,0.0196114,0.0649785,0,0,0.0229646,0,0,0.0394036,0.0721283,0.0216429,0.00778394,0.0175147,0.0346119,0.0331139,0.0497313,0.0584434,0.0420474,0.0120664,0.0158849,0.0284895,0.0290043,0.0206215,0.00588583,0.0199371,0.051602,0,0.0141734,0.0677035,0.0355978,0,0,0.0240447,0,0,0.0479923,0.0577145,0.0279215,0.0183384,0.0161928,0.0435948,0.04403,0.0435789,0.0744645,0.0690321,0.0266542,0.0652609,0.0375682,0.0511568,0.0837378,0.0176752,0.0126266,0.0179834,0.0227566,0.0230274,0.0308966,0.022728
8,0.0225386,0,0,0,0,0.0427362,0,0,0,0,0,0,0.0255329,0,0.0197006,0.0650173,0,0,0.0230409,0,0,0.0394201,0.0721098,0.021854,0.0078043,0.0175673,0.0345735,0.0326522,0.049844,0.0585664,0.0421151,0.0121195,0.0157684,0.02857,0.0290057,0.0211624,0.00582933,0.0201422,0.05159,0,0.0141455,0.0677064,0.0355839,0,0,0.0241456,0,0,0.048056,0.0577652,0.0279325,0.0182388,0.0161138,0.0435381,0.0440082,0.0438136,0.0744608,0.0690309,0.0267039,0.0652477,0.037598,0.051391,0.0837606,0.0175904,0.0128153,0.0179195,0.0228015,0.0231033,0.0308005,0.0231506
9,0.022493,0,0,0,0,0.0428248,0,0,0,0,0,0,0.0251823,0,0.0197688,0.0650283,0,0,0.0231009,0,0,0.03949,0.0720733,0.0221972,0.00781914,0.0176296,0.0345448,0.0321839,0.0499715,0.0586536,0.0421817,0.0121253,0.0157616,0.0286471,0.0290169,0.0216301,0.00580702,0.0202691,0.0515566,0,0.014141,0.0676846,0.0355911,0,0,0.0242543,0,0,0.0481053,0.0577893,0.0279661,0.0181158,0.0160338,0.0434697,0.0440343,0.0439269,0.0745087,0.069003,0.0267298,0.065229,0.0376561,0.0516613,0.0837522,0.0174795,0.0129544,0.0178077,0.0228507,0.023178,0.0307094,0.0235976
10,0.0224407,0,0,0,0,0.0429129,0,0,0,0,0,0,0.0249212,0,0.0198418,0.0649996,0,0,0.02311,0,0,0.0395017,0.0720355,0.0224383,0.00783941,0.017678,0.0345478,0.0316654,0.0501321,0.0587198,0.042257,0.0120465,0.0157717,0.0286551,0.0290136,0.0220684,0.00588082,0.0204259,0.051424,0,0.0141481,0.0676572,0.0356253,0,0,0.0243741,0,0,0.0481593,0.0578166,0.0279716,0.0180164,0.0160146,0.0434001,0.0440768,0.0438559,0.0744847,0.068941,0.0267362,0.0652822,0.0377408,0.0514672,0.0838012,0.0173133,0.0130625,0.0176806,0.0229054,0.023266,0.0306346,0.0240321
11,0.0223941,0,0,0,0,0.0429392,0,0,0,0,0,0,0.0245807,0,0.0198329,0.064953,0,0,0.0230701,0,0,0.0393272,0.0720222,0.0224946,0.00788548,0.0177631,0.0345338,0.0311273,0.0502271,0.0587164,0.0423031,0.0120227,0.0157313,0.0286667,0.0289781,0.0225756,0.0060535,0.0208433,0.0512518,0,0.0141853,0.0676391,0.035727,0,0,0.0245054,0,0,0.0482038,0.0578768,0.0279403,0.0179074,0.0160538,0.0433322,0.044131,0.0438265,0.0744232,0.0688473,0.0267089,0.0653428,0.0377922,0.0513907,0.0838627,0.0171645,0.0131899,0.0175308,0.0229441,0.0233733,0.0305726,0.0243652
12,0.0223553,0,0,0,0,0.0429613,0,0,0,0,0,0,0.0243488,0,0.0198327,0.0648462,0,0,0.0231524,0,0,0.0390319,0.0720324,0.0224401,0.00794779,0.0178249,0.034518,0.0305896,0.0502848,0.0586435,0.0422915,0.012048,0.01561,0.0286699,0.0288984,0.022975,0.00625701,0.0214384,0.051165,0,0.0142278,0.0676131,0.0358804,0,0,0.0245645,0,0,0.0482423,0.0579113,0.0279091,0.0178146,0.0160622,0.043271,0.0442588,0.0437774,0.0743069,0.0687607,0.0266604,0.0654446,0.0378218,0.0514727,0.0838689,0.0170501,0.013269,0.0173837,0.0230416,0.0234811,0.0304662,0.0246501
13,0.0223723,0,0,0,0,0.0430518,0,0,0,0,0,0,0.0241362,0,0.0198908,0.0648674,0,0,0.0231053,0,0,0.0393696,0.0720275,0.0225692,0.00796364,0.0179175,0.0345037,0.0300144,0.050355,0.0586384,0.0422432,0.0120766,0.0155033,0.0286117,0.0288798,0.023257,0.00634117,0.021219,0.0511217,0,0.0142417,0.0675864,0.035968,0,0,0.024717,0,0,0.0483116,0.057899,0.0278771,0.0177074,0.0160508,0.0432141,0.0443708,0.0437112,0.0742192,0.0686942,0.026614,0.0654859,0.0378465,0.0514869,0.0838543,0.0169356,0.0134499,0.0172099,0.0231329,0.0235965,0.0303198,0.0251441
14,0.0224369,0,0,0,0,0.0431207,0,0,0,0,0,0,0.0239667,0,0.0199251,0.0649131,0,0,0.0230505,0,0,0.0396529,0.0720404,0.0225218,0.00795799,0.0179953,0.0344694,0.0293851,0.0503318,0.0586321,0.0421918,0.0121058,0.0154742,0.0285684,0.0288526,0.0235011,0.00648603,0.0211068,0.0511087,0,0.0142171,0.0675679,0.0360722,0,0,0.024874,0,0,0.048355,0.0578887,0.0278191,0.0175761,0.0160196,0.0431128,0.0444958,0.0436121,0.0741518,0.0686347,0.026544,0.0654818,0.0378865,0.0514358,0.0838616,0.0168365,0.0136616,0.016996,0.0232371,0.0237968,0.030184,0.0256434
15,0.0224908,0,0,0,0,0.0431617,0,0,0,0,0,0,0.0237788,0,0.0199254,0.0649466,0,0,0.0230063,0,0,0.0397336,0.0720753,0.0225215,0.00798043,0.0180675,0.0344047,0.0287249,0.0502677,0.0585207,0.0420857,0.0120929,0.0154187,0.0284845,0.0288553,0.0237252,0.00671606,0.0210987,0.0511045,0,0.0142111,0.0675314,0.036201,0,0,0.0249557,0,0,0.0483581,0.0578647,0.0278011,0.0174388,0.0159526,0.0429973,0.0446785,0.0435426,0.0741002,0.0685897,0.026505,0.0655223,0.0379377,0.0514876,0.0838554,0.0167598,0.0138534,0.0167409,0.0233314,0.024089,0.0300722,0.0259784
16,0.0225194,0,0,0,0,0.0431922,0,0,0,0,0,0,0.0235498,0,0.0198687,0.0650071,0,0,0.0229338,0,0,0.0397678,0.07211,0.0226839,0.00799728,0.0180897,0.0343419,0.0281758,0.050188,0.0584257,0.0419585,0.0120619,0.0154158,0.0283888,0.0287812,0.0238195,0.00699825,0.020864,0.0511529,0,0.0142365,0.067462,0.0363758,0,0,0.0250639,0,0,0.04837,0.0578227,0.0278525,0.0173221,0.0158681,0.0428886,0.0448382,0.0434396,0.0741311,0.0685542,0.0264471,0.0655454,0.0379376,0.0516815,0.0838917,0.016719,0.0141371,0.0164286,0.0233463,0.0240944,0.0299913,0.0261758
17,0.0225226,0,0,0,0,0.0432157,0,0,0,0,0,0,0.0233173,0,0.0198145,0.0650579,0,0,0.0228858,0,0,0.0397872,0.072151,0.0228511,0.00801022,0.0180535,0.0342846,0.0276639,0.0500914,0.0583564,0.0419206,0.0120651,0.0153728,0.0282181,0.0286813,0.0238954,0.00729096,0.0207986,0.0512635,0,0.0142372,0.0673622,0.0365402,0,0,0.0251922,0,0,0.0484117,0.0577806,0.0278901,0.0172103,0.0157186,0.0427689,0.0449602,0.043456,0.0741135,0.0685176,0.0263823,0.0655478,0.0379226,0.0518488,0.083965,0.0167323,0.0143271,0.0161271,0.0233674,0.0240872,0.0299227,0.0264603
